"ori_node","des_node","ori_layer","des_layer","minutes","km"
31368,42049,2,2,5,5.706
35504,36253,2,2,3,2.042
35504,42049,2,2,4,4.25
36253,35504,2,2,2,2.042
42049,31368,2,2,5,5.706
42049,35504,2,2,4,4.25
42049,46952,2,2,4,3.607
46952,42049,2,2,4,3.607
61,11471,5,5,1,0.511
61,27516,5,5,1,0.495
61,34859,5,5,1,0.139
61,51537,5,5,1,0.553
65,19051,5,5,1,0.373
65,35504,5,5,1,0.928
112,19089,5,5,1,0.159
112,40844,5,5,1,0.167
807,15452,5,5,1,0.587
807,26935,5,5,1,0.411
820,4869,5,5,1,0.101
820,33145,5,5,2,0.359
820,34522,5,5,1,0.595
1014,25395,5,5,1,0.107
1014,36955,5,5,2,0.59
1014,42896,5,5,2,0.232
1027,39421,5,5,2,1.815
1027,45156,5,5,1,0.416
1110,4921,5,5,1,0.67
1110,12449,5,5,1,0.581
1110,12486,5,5,5,2.999
1110,48947,5,5,2,1.187
1110,48949,5,5,4,1.06
1472,4900,5,5,4,1.953
1472,12486,5,5,1,0.247
1472,41653,5,5,1,0.582
2091,37408,5,5,1,0.437
2091,249246,5,5,10,0.203
2579,8064,5,5,1,0.705
2579,20329,5,5,1,0.316
2579,35108,5,5,1,0.403
2583,35040,5,5,1,0.517
2583,50163,5,5,1,0.493
2801,8064,5,5,1,0.407
2801,39221,5,5,1,0.294
2936,19089,5,5,1,0.227
2936,26117,5,5,1,0.176
2936,42049,5,5,3,1.613
3090,17677,5,5,1,0.204
3090,40081,5,5,5,0.761
3090,41822,5,5,1,0.162
3090,49006,5,5,2,0.565
3090,50163,5,5,1,0.214
3329,18375,5,5,2,1.931
3329,32915,5,5,1,0.685
3329,47381,5,5,3,2.169
3448,6368,5,5,1,0.505
3448,47381,5,5,2,0.94
3842,22869,5,5,1,0.205
3842,32571,5,5,1,0.347
3889,37584,5,5,1,0.074
3889,51467,5,5,1,0.178
4232,6932,5,5,1,0.646
4232,36730,5,5,1,0.185
4340,5151,5,5,3,1.012
4340,14701,5,5,1,0.437
4340,23390,5,5,1,0.191
4340,36887,5,5,1,0.284
4448,25366,5,5,1,0.287
4448,36895,5,5,1,0.682
4481,12001,5,5,1,0.27
4481,31212,5,5,1,0.351
4840,41822,5,5,1,0.112
4840,42512,5,5,1,0.154
4869,820,5,5,1,0.101
4869,5145,5,5,2,0.259
4869,33145,5,5,1,0.455
4869,42864,5,5,1,0.468
4900,39403,5,5,3,1.164
4900,41653,5,5,2,1.378
4900,42896,5,5,2,0.795
4921,1110,5,5,1,0.67
4921,43460,5,5,1,0.542
4957,10344,5,5,1,0.353
4957,19776,5,5,2,0.438
4957,24577,5,5,1,0.502
5142,5143,5,5,1,0.244
5142,5147,5,5,1,0.106
5143,5142,5,5,1,0.244
5143,33145,5,5,1,0.249
5145,4869,5,5,2,0.259
5145,47464,5,5,1,0.161
5146,5147,5,5,1,0.129
5146,47464,5,5,1,0.247
5147,5142,5,5,1,0.106
5147,5146,5,5,1,0.129
5151,4340,5,5,5,1.012
5151,5151,5,5,1,0
5151,31368,5,5,1,0.679
5151,43087,5,5,1,0.355
6368,3448,5,5,1,0.505
6368,17908,5,5,2,1.447
6368,25550,5,5,1,0.353
6671,25898,5,5,1,0.235
6671,29656,5,5,1,0.355
6817,12681,5,5,1,0.228
6817,42049,5,5,1,0.847
6817,249246,5,5,1,0.2
6889,37420,5,5,1,0.195
6889,40050,5,5,1,0.249
6932,4232,5,5,1,0.646
6932,12693,5,5,1,0.184
7347,44942,5,5,1,0.375
7347,44944,5,5,1,0.344
7352,45118,5,5,1,0.403
7352,47109,5,5,1,0.533
7560,23139,5,5,1,0.287
7560,24216,5,5,1,0.378
7560,26698,5,5,1,0.455
7560,40050,5,5,1,0.265
7560,46230,5,5,5,0.504
8064,2579,5,5,1,0.705
8064,2801,5,5,1,0.407
8278,11345,5,5,1,0.339
8278,11974,5,5,1,0.066
8278,12478,5,5,1,0.242
8339,29404,5,5,1,0.446
8339,37584,5,5,1,0.266
9100,29404,5,5,2,0.358
9100,42468,5,5,1,0.363
9100,74516,5,5,1,0.082
9186,16537,5,5,1,0.252
9186,43814,5,5,1,0.319
9489,28763,5,5,1,0.653
9489,41914,5,5,1,0.473
9517,20010,5,5,1,0.619
9517,35944,5,5,1,0.531
9631,15406,5,5,1,0.332
9631,28921,5,5,1,0.407
9833,31368,5,5,1,0.695
9833,43711,5,5,1,0.195
9833,163751,5,5,2,0.564
10340,33143,5,5,1,0.459
10340,46421,5,5,1,0.436
10344,4957,5,5,1,0.353
10344,46425,5,5,1,0.309
10615,10758,5,5,1,0.447
10615,22197,5,5,1,0.515
10615,24440,5,5,1,0.969
10650,25015,5,5,1,0.445
10650,37829,5,5,1,0.277
10758,10615,5,5,1,0.447
10758,44994,5,5,1,0.428
10769,10650,5,5,1,0.201
10769,25015,5,5,1,0.27
10769,37829,5,5,1,0.344
10798,28974,5,5,2,0.387
10798,43241,5,5,1,0.307
11187,12480,5,5,2,0.257
11187,29404,5,5,1,0.211
11345,11974,5,5,1,0.315
11345,49586,5,5,1,0.198
11471,61,5,5,2,0.511
11471,34853,5,5,1,0.216
11471,43941,5,5,1,0.241
11551,17112,5,5,1,0.374
11551,41707,5,5,1,0.192
11974,11345,5,5,1,0.315
11974,12478,5,5,4,0.236
11974,17667,5,5,1,0.247
11974,17677,5,5,1,0.24
12001,4481,5,5,1,0.27
12001,44495,5,5,1,0.432
12001,196441,5,5,1,0.244
12197,31339,5,5,1,0.259
12197,44621,5,5,1,0.289
12449,1110,5,5,1,0.581
12449,31741,5,5,1,0.365
12478,8278,5,5,1,0.242
12478,12479,5,5,1,0.181
12478,12480,5,5,2,0.534
12479,12478,5,5,1,0.181
12479,71854,5,5,1,0.094
12480,8278,5,5,1,0.542
12480,11187,5,5,1,0.257
12480,12478,5,5,1,0.534
12486,1110,5,5,10,2.999
12486,1472,5,5,1,0.247
12486,26583,5,5,1,0.531
12486,44942,5,5,1,0.568
12486,45600,5,5,1,0.733
12486,48945,5,5,1,0.217
12540,12543,5,5,1,0.072
12540,18217,5,5,1,0.496
12540,27263,5,5,1,0.287
12543,12540,5,5,1,0.072
12543,18217,5,5,1,0.563
12543,27263,5,5,1,0.222
12543,39471,5,5,1,0.41
12681,6817,5,5,1,0.228
12681,45118,5,5,1,0.335
12693,6932,5,5,1,0.184
12693,17440,5,5,1,0.286
12693,19049,5,5,4,1.113
12693,45231,5,5,1,0.396
12890,15905,5,5,1,0.4
12890,16424,5,5,1,0.816
12890,48069,5,5,1,0.373
12890,112076,5,5,1,0.361
13003,13015,5,5,2,0.173
13003,13049,5,5,1,0.147
13015,13003,5,5,1,0.173
13015,47930,5,5,1,0.267
13049,13003,5,5,1,0.147
13094,47925,5,5,1,0.131
13094,47930,5,5,1,0.146
13166,10615,5,5,1,0.597
13166,10758,5,5,1,0.164
13166,50777,5,5,1,0.462
13414,32571,5,5,1,0.278
13414,42049,5,5,1,0.679
13574,42287,5,5,1,0.374
13574,46319,5,5,1,0.66
14511,3329,5,5,1,0.459
14511,41217,5,5,1,0.692
14511,47625,5,5,1,0.52
14556,17436,5,5,1,0.067
14556,17437,5,5,1,0.203
14701,4340,5,5,1,0.437
14701,23390,5,5,1,0.255
14701,23538,5,5,1,0.194
14701,33894,5,5,1,0.422
15406,9631,5,5,1,0.332
15406,47800,5,5,1,0.357
15452,807,5,5,2,0.587
15452,34522,5,5,1,0.411
15802,34997,5,5,1,0.349
15802,35504,5,5,1,0.793
15905,50730,5,5,1,0.276
15905,125058,5,5,1,0.247
16424,12890,5,5,2,0.816
16424,102225,5,5,1,0.514
16537,9186,5,5,1,0.252
17112,11551,5,5,1,0.374
17112,20978,5,5,1,0.156
17112,21767,5,5,4,0.924
17112,41707,5,5,1,0.492
17436,14556,5,5,1,0.067
17436,17439,5,5,1,0.334
17437,14556,5,5,1,0.203
17437,194155,5,5,2,0.475
17439,17436,5,5,2,0.334
17439,19049,5,5,1,0.196
17440,12693,5,5,2,0.286
17440,17437,5,5,1,0.154
17474,36724,5,5,1,0.319
17474,44270,5,5,4,2.365
17500,36730,5,5,1,0.361
17500,46349,5,5,1,0.36
17667,11974,5,5,1,0.247
17667,23538,5,5,1,0.314
17677,3090,5,5,1,0.204
17677,8278,5,5,1,0.301
17677,11974,5,5,1,0.24
17677,40081,5,5,4,0.857
17677,49006,5,5,1,0.639
17806,50155,5,5,1,0.277
17809,26698,5,5,1,0.364
17809,42049,5,5,1,0.566
17908,25550,5,5,2,1.106
17908,47925,5,5,1,0.176
17908,50420,5,5,1,0.376
18168,28974,5,5,2,0.346
18168,38604,5,5,1,0.096
18217,12540,5,5,1,0.496
18217,12543,5,5,2,0.563
18217,29656,5,5,1,0.406
18312,37829,5,5,1,0.201
18312,50730,5,5,1,0.105
18375,42049,5,5,1,0.499
18375,211507,5,5,1,0.314
18706,34997,5,5,1,0.522
18706,48285,5,5,1,0.224
18871,39421,5,5,1,0.525
19049,12693,5,5,2,1.113
19049,17439,5,5,1,0.196
19049,22869,5,5,2,0.657
19049,31212,5,5,1,0.32
19049,34573,5,5,1,0.448
19049,41914,5,5,2,0.792
19049,122992,5,5,2,0.591
19051,65,5,5,1,0.373
19051,38179,5,5,1,0.587
19089,112,5,5,1,0.159
19089,2936,5,5,1,0.227
19223,29181,5,5,1,0.387
19223,38729,5,5,1,1.183
19223,42909,5,5,1,0.845
19776,4957,5,5,2,0.438
19776,32517,5,5,1,0.533
19776,35504,5,5,3,0.926
19776,40683,5,5,1,0.211
20010,6671,5,5,5,1.326
20010,9517,5,5,1,0.619
20010,29181,5,5,1,0.384
20032,22804,5,5,1,0.287
20032,39221,5,5,1,0.299
20329,2579,5,5,1,0.316
20329,31148,5,5,1,0.21
20329,43087,5,5,1,0.345
20329,252415,5,5,1,0.166
20341,26060,5,5,1,0.263
20341,39403,5,5,1,0.374
20387,29149,5,5,1,0.285
20387,29150,5,5,1,0.248
20387,42049,5,5,2,0.844
20978,17112,5,5,1,0.156
20978,40081,5,5,1,0.268
21767,28974,5,5,7,1.507
21767,29404,5,5,2,0.541
21767,41707,5,5,1,0.441
22197,10615,5,5,1,0.515
22197,10758,5,5,2,0.941
22804,12449,5,5,1,0.682
22804,20032,5,5,1,0.287
22804,31741,5,5,1,0.342
22869,3842,5,5,1,0.205
22869,19049,5,5,2,0.657
22869,29150,5,5,1,0.216
22869,39391,5,5,1,0.427
22869,41914,5,5,1,0.32
23139,7560,5,5,1,0.287
23139,25395,5,5,1,0.229
23139,40050,5,5,1,0.329
23336,42049,5,5,1,0.51
23340,23341,5,5,1,0.238
23340,42049,5,5,2,0.7
23341,23340,5,5,1,0.238
23341,42049,5,5,1,0.567
23390,4340,5,5,1,0.191
23390,5151,5,5,2,1.059
23390,14701,5,5,1,0.255
23538,14701,5,5,1,0.194
23538,17667,5,5,1,0.314
24046,28974,5,5,1,0.446
24046,49006,5,5,1,0.075
24216,7560,5,5,2,0.378
24216,36955,5,5,1,0.221
24216,155113,5,5,1,0.273
24440,10758,5,5,2,0.925
24577,4957,5,5,1,0.502
24577,47625,5,5,1,0.697
24611,26075,5,5,1,0.199
24611,43711,5,5,1,0.31
25015,10769,5,5,1,0.27
25015,48285,5,5,1,0.521
25366,4448,5,5,1,0.287
25366,44495,5,5,1,0.39
25395,1014,5,5,1,0.107
25395,23139,5,5,1,0.229
25395,24216,5,5,1,0.512
25395,36955,5,5,3,0.651
25550,6368,5,5,1,0.353
25550,44621,5,5,1,0.339
25898,6671,5,5,1,0.235
25898,42325,5,5,1,0.432
25898,44994,5,5,1,0.425
26026,26027,5,5,1,0.063
26026,34722,5,5,1,0.554
26026,36955,5,5,1,0.273
26026,40844,5,5,1,0.197
26026,43241,5,5,1,0.216
26027,7560,5,5,2,0.605
26027,26026,5,5,1,0.063
26027,40844,5,5,1,0.14
26027,43241,5,5,1,0.193
26031,30059,5,5,1,0.257
26031,35032,5,5,1,0.116
26060,20341,5,5,1,0.263
26060,44535,5,5,1,0.239
26075,24611,5,5,1,0.199
26075,45156,5,5,1,0.395
26117,2936,5,5,1,0.176
26117,37408,5,5,1,0.168
26117,38604,5,5,1,0.404
26117,39391,5,5,2,0.796
26207,26208,5,5,2,0.337
26207,45364,5,5,5,0.539
26208,26207,5,5,2,0.337
26208,38179,5,5,2,0.343
26546,38179,5,5,1,0.505
26546,42284,5,5,1,0.471
26546,46537,5,5,1,0.242
26583,12486,5,5,1,0.531
26583,45600,5,5,1,0.611
26698,7560,5,5,1,0.455
26698,17809,5,5,1,0.364
26935,807,5,5,1,0.411
26935,31339,5,5,2,0.639
26935,47878,5,5,1,0.269
27263,12543,5,5,1,0.222
27263,46349,5,5,1,0.225
27516,61,5,5,1,0.495
27516,48333,5,5,1,0.29
28051,28921,5,5,1,0.315
28051,42864,5,5,1,0.291
28051,53023,5,5,1,0.365
28763,9489,5,5,1,0.653
28763,46952,5,5,3,0.952
28763,47640,5,5,1,0.25
28916,33145,5,5,2,0.262
28916,51105,5,5,1,0.363
28921,9631,5,5,1,0.407
28921,28051,5,5,1,0.315
28921,53242,5,5,1,0.077
28974,10798,5,5,1,0.387
28974,18168,5,5,1,0.346
28974,24046,5,5,1,0.446
28974,40081,5,5,1,0.331
29149,20387,5,5,2,0.285
29149,42049,5,5,1,0.576
29150,20387,5,5,1,0.248
29150,76550,5,5,1,0.125
29178,37420,5,5,1,0.212
29178,42049,5,5,2,1.213
29181,19223,5,5,1,0.387
29181,20010,5,5,1,0.384
29181,42909,5,5,1,0.458
29404,8339,5,5,1,0.446
29404,9100,5,5,1,0.358
29404,11187,5,5,1,0.211
29404,14701,5,5,1,0.615
29404,21767,5,5,1,0.541
29404,30059,5,5,1,0.403
29404,33894,5,5,1,0.23
29404,40793,5,5,1,0.329
29404,42049,5,5,15,4.119
29656,6671,5,5,1,0.355
29656,18217,5,5,1,0.406
30059,26031,5,5,1,0.257
30059,29404,5,5,2,0.403
31148,20329,5,5,1,0.21
31148,42468,5,5,1,0.11
31212,4481,5,5,1,0.351
31212,19049,5,5,1,0.32
31212,45231,5,5,1,0.447
31339,12197,5,5,1,0.259
31339,47878,5,5,1,0.373
31339,50420,5,5,1,0.266
31368,5151,5,5,1,0.679
31368,9833,5,5,1,0.695
31368,31368,5,5,1,0
31368,49586,5,5,5,2.046
31741,12449,5,5,1,0.365
31741,22804,5,5,1,0.342
32411,36895,5,5,1,0.303
