"ori_node","des_node","ori_layer","des_layer","minutes","km"
9516,19459,2,2,7,8.865
9516,22098,2,2,1,0.839
19459,9516,2,2,7,8.865
19459,22098,2,2,8,9.207
22098,9516,2,2,1,0.839
22098,19459,2,2,6,9.207
9430,22098,4,4,10,4.951
22098,9430,4,4,10,4.951
22098,153383,4,4,15,10.416
153383,22098,4,4,15,10.416
9430,69300,5,5,1,0.409
9430,150333,5,5,1,0.532
9516,9516,5,5,1,0
9516,64583,5,5,1,0.554
9516,125082,5,5,1,0.401
9516,154395,5,5,10,1.524
9516,155743,5,5,1,0.444
19459,95911,5,5,2,0.63
19459,112169,5,5,1,0.391
19459,137085,5,5,2,0.394
19459,137086,5,5,2,0.393
19459,145391,5,5,1,0.968
22098,22098,5,5,1,0
22098,56532,5,5,1,1.042
22098,67177,5,5,2,0.6
22098,70925,5,5,3,0.288
22098,70926,5,5,2,0.303
22098,80607,5,5,1,0.296
22098,80609,5,5,2,0.322
22098,84788,5,5,1,0.293
22098,145236,5,5,1,0.58
22098,169778,5,5,1,0.317
22098,169780,5,5,2,0.256
22098,228231,5,5,2,0.333
22098,240140,5,5,1,0.254
51645,75997,5,5,4,2.461
51645,97487,5,5,3,1.258
51855,81386,5,5,1,0.451
52181,88921,5,5,1,0.374
52183,178900,5,5,1,0.196
52183,178901,5,5,1,0.396
52184,87182,5,5,1,0.184
52186,55748,5,5,1,0.285
52187,52183,5,5,1,0.222
52768,129142,5,5,1,0.461
53519,238413,5,5,3,1.484
54580,122305,5,5,1,0.551
54580,145235,5,5,3,0.152
54582,64240,5,5,1,0.322
54583,54584,5,5,1,0.231
54584,140814,5,5,1,0.351
54585,54582,5,5,1,0.21
54586,54588,5,5,1,0.22
54587,255637,5,5,1,0.198
54588,54583,5,5,1,0.372
54588,123237,5,5,1,0.189
54954,100414,5,5,1,0.983
54954,139123,5,5,1,0.477
54955,218117,5,5,1,0.351
54956,178904,5,5,20,2.66
54956,206247,5,5,6,1.42
54968,178899,5,5,2,0.661
54968,187671,5,5,1,0.429
54969,54968,5,5,1,0.319
54969,116400,5,5,1,0.312
54970,54972,5,5,1,0.346
54970,116400,5,5,2,0.615
54972,54974,5,5,1,0.272
54973,72247,5,5,1,0.233
54974,54976,5,5,1,0.291
54975,67060,5,5,1,0.184
54975,77485,5,5,1,0.487
54976,67061,5,5,1,0.144
55108,55110,5,5,1,0.244
55110,227572,5,5,1,0.358
55112,109618,5,5,1,0.209
55748,52187,5,5,1,0.864
55748,101459,5,5,6,0.956
55748,161217,5,5,5,1.342
56523,56528,5,5,1,0.284
56524,181075,5,5,1,0.51
56524,199831,5,5,1,0.437
56525,56526,5,5,1,0.143
56526,56524,5,5,1,0.26
56526,74470,5,5,2,0.55
56527,56525,5,5,1,0.244
56528,56530,5,5,1,0.174
56529,56527,5,5,1,0.278
56530,168126,5,5,1,0.371
56531,228231,5,5,5,0.676
56532,56529,5,5,1,0.348
56532,110294,5,5,1,0.339
56532,182719,5,5,1,0.352
56532,239167,5,5,1,0.358
56611,153383,5,5,1,0.225
56611,196829,5,5,1,0.301
56818,218450,5,5,1,0.29
56818,218455,5,5,1,0.249
57548,76070,5,5,1,0.27
57548,76071,5,5,1,0.176
57548,199423,5,5,2,3.858
57548,201700,5,5,1,0.286
57643,54955,5,5,2,0.764
58183,204633,5,5,1,0.136
58184,260478,5,5,1,0.15
58185,58183,5,5,1,0.146
58186,58188,5,5,1,0.172
58187,67060,5,5,1,0.122
58188,58187,5,5,1,0.268
58190,58185,5,5,1,0.301
58193,204629,5,5,1,0.496
58786,116646,5,5,1,0.101
58786,126695,5,5,1,0.333
58786,198894,5,5,1,0.212
58787,251649,5,5,3,0.595
58787,251652,5,5,1,0.225
59875,96429,5,5,1,0.514
61342,70892,5,5,1,0.555
61342,238422,5,5,5,1.327
61343,131589,5,5,1,0.361
61344,61343,5,5,1,0.397
61345,61344,5,5,1,0.124
61346,61347,5,5,1,0.445
61346,70887,5,5,1,0.167
61945,217103,5,5,1,0.197
62745,239166,5,5,1,0.299
62746,140737,5,5,1,0.251
63038,158210,5,5,3,1.144
63038,203870,5,5,2,0.591
64240,54587,5,5,1,0.338
64242,261264,5,5,1,0.227
64581,77484,5,5,1,0.219
64582,67062,5,5,1,0.2
64583,111828,5,5,1,0.202
64583,238543,5,5,1,0.249
64584,9516,5,5,1,0.629
64585,64584,5,5,1,0.297
64587,87185,5,5,2,0.411
64588,130656,5,5,1,0.479
64588,178902,5,5,3,0.33
64589,64582,5,5,1,0.374
64589,178902,5,5,1,0.321
64675,188369,5,5,1,0.695
64675,206247,5,5,1,0.535
64675,259306,5,5,1,0.176
65952,158210,5,5,5,2.409
65952,161999,5,5,2,0.94
66150,56523,5,5,1,0.248
66244,220707,5,5,1,0.235
66245,124412,5,5,2,0.552
66245,237301,5,5,1,0.374
66802,236884,5,5,1,0.24
67060,54973,5,5,1,0.196
67061,58190,5,5,1,0.119
67061,64581,5,5,1,0.23
67061,77485,5,5,1,0.34
67062,54975,5,5,1,0.295
67177,22098,5,5,2,0.6
67177,113118,5,5,1,0.4
67177,145236,5,5,9,1.176
67909,195009,5,5,1,0.223
67909,204537,5,5,1,0.301
68281,54956,5,5,10,1.394
68281,188369,5,5,2,0.493
68281,214235,5,5,1,0.465
69300,248705,5,5,1,0.777
69358,90052,5,5,1,1.16
69358,225424,5,5,2,1.387
70080,188792,5,5,1,0.333
70887,91598,5,5,1,0.366
70888,121112,5,5,1,0.481
70889,252550,5,5,1,0.313
70890,99815,5,5,1,0.371
70891,130872,5,5,1,0.123
70892,70893,5,5,1,0.282
70893,218050,5,5,1,0.072
70920,241033,5,5,1,0.365
70925,56532,5,5,3,0.754
70925,145236,5,5,1,0.509
70926,56532,5,5,1,0.739
70926,74469,5,5,2,0.731
70926,145236,5,5,1,0.515
70982,56818,5,5,1,0.379
71437,198390,5,5,1,0.765
71654,120124,5,5,1,0.438
72247,54969,5,5,1,0.203
72444,54954,5,5,1,1.293
72444,100415,5,5,1,0.79
72444,245830,5,5,8,1.421
72664,76070,5,5,4,3.92
72664,96434,5,5,1,0.609
72664,217103,5,5,4,1.78
73828,91528,5,5,1,0.469
74469,198037,5,5,1,0.235
74470,56530,5,5,3,0.565
74471,22098,5,5,2,1.001
74471,70926,5,5,7,0.699
74471,80605,5,5,2,0.742
74471,80606,5,5,3,0.723
74918,222639,5,5,1,0.31
74919,58186,5,5,1,0.143
75997,187342,5,5,2,1.583
75997,253887,5,5,4,2.674
76070,57548,5,5,1,0.27
76070,76072,5,5,1,0.186
76071,76070,5,5,1,0.197
76072,86273,5,5,1,0.952
76072,127986,5,5,5,1.938
76072,199419,5,5,1,0.979
76073,201700,5,5,1,0.147
77357,81381,5,5,1,1.169
77357,127986,5,5,4,2.69
77480,77483,5,5,1,0.225
77482,64581,5,5,1,0.595
77482,67060,5,5,2,0.366
77482,77480,5,5,1,0.221
77483,54972,5,5,1,0.205
77484,64588,5,5,1,0.16
77485,91156,5,5,1,0.345
77546,155748,5,5,1,0.15
77548,77546,5,5,1,0.378
77548,155748,5,5,1,0.498
78373,55108,5,5,1,0.372
78374,99855,5,5,1,0.272
78874,90738,5,5,1,0.258
78874,99684,5,5,1,1.225
79009,195000,5,5,1,0.32
80565,176991,5,5,1,0.262
80566,80570,5,5,1,0.359
80567,176990,5,5,1,0.458
80568,241036,5,5,1,0.464
80570,52768,5,5,1,0.598
80605,145236,5,5,1,0.482
80606,22098,5,5,1,0.277
80607,22098,5,5,1,0.296
80608,22098,5,5,1,0.311
80609,56532,5,5,2,0.72
80827,172973,5,5,1,0.243
81381,77357,5,5,1,1.169
81381,90052,5,5,1,0.574
81386,71654,5,5,1,0.432
81632,158142,5,5,1,1.08
