"ori_node","des_node","ori_layer","des_layer","minutes","km"
40903,47163,2,2,4,4.139
47163,40903,2,2,7,4.139
40903,40903,5,5,1,0
40903,135196,5,5,1,0.354
40903,145231,5,5,1,0.403
40903,145232,5,5,1,0.332
40903,187126,5,5,1,0.387
40903,202305,5,5,1,0.388
40903,202307,5,5,1,0.359
40903,205478,5,5,1,0.274
40903,241980,5,5,1,0.451
40903,241985,5,5,1,0.712
47163,47163,5,5,1,0
47163,113992,5,5,1,0.73
47163,260368,5,5,1,0.29
52835,119122,5,5,1,0.294
52836,62535,5,5,1,0.329
52836,119122,5,5,1,0.32
52843,158949,5,5,1,0.408
53372,62533,5,5,2,0.192
54404,54409,5,5,1,0.209
54404,59147,5,5,2,0.34
54405,212934,5,5,1,0.236
54406,54411,5,5,1,0.217
54407,69369,5,5,1,0.201
54408,211562,5,5,1,0.297
54409,54407,5,5,1,0.348
54410,54405,5,5,1,0.27
54411,54412,5,5,1,0.349
54412,54410,5,5,1,0.171
54412,59147,5,5,1,0.353
54450,230324,5,5,1,0.299
55458,55484,5,5,1,0.213
55461,79267,5,5,1,0.274
55461,261863,5,5,4,2.235
55484,222618,5,5,1,0.174
58823,240059,5,5,1,0.26
58825,169548,5,5,2,1.724
58826,95952,5,5,2,1.857
58827,95953,5,5,1,0.337
58828,154799,5,5,1,0.689
58829,58828,5,5,2,2.626
59143,59147,5,5,2,0.843
59144,214268,5,5,1,0.34
59145,171814,5,5,8,1.783
59145,255483,5,5,1,0.492
59146,54409,5,5,1,0.331
59146,54410,5,5,1,0.301
59146,59144,5,5,2,0.831
59147,59148,5,5,1,0.215
59148,97975,5,5,1,0.356
59149,59146,5,5,1,0.27
59533,59536,5,5,1,0.244
59536,52836,5,5,1,0.307
59544,59533,5,5,1,0.249
59545,91915,5,5,1,0.291
59545,117815,5,5,2,0.826
60649,106321,5,5,1,0.296
60651,106324,5,5,1,0.347
60652,70194,5,5,1,0.311
60653,60652,5,5,1,0.199
62532,62539,5,5,1,0.207
62533,62534,5,5,1,0.186
62534,54450,5,5,1,0.171
62534,146602,5,5,1,0.276
62535,62532,5,5,1,0.193
62535,119124,5,5,1,0.274
62536,52843,5,5,2,0.769
62536,75413,5,5,1,0.136
62536,220679,5,5,1,0.194
62536,230324,5,5,2,0.229
62537,62538,5,5,1,0.36
62538,146600,5,5,1,0.299
62539,110775,5,5,1,0.476
64062,75411,5,5,1,0.315
64063,222864,5,5,1,0.312
64064,64063,5,5,1,0.239
64065,178469,5,5,1,0.203
