"node","layer","lat","lon","zone","atcocode","city"
2327,5,57.06136,-2.12662,910,"    910GPLTH","Aberdeen"
2327,2,57.06136,-2.12662,910,"    910GPLTH","Aberdeen"
25716,0,57.20086,-2.20273,920,"    920GABZ1","Aberdeen"
25716,5,57.20086,-2.20273,920,"    920GABZ1","Aberdeen"
33917,2,57.20564,-2.19233,910,"    910GDYCE","Aberdeen"
33917,5,57.20564,-2.19233,910,"    910GDYCE","Aberdeen"
44678,4,57.14369,-2.09869,910," 910GABRDEEN","Aberdeen"
44678,2,57.14369,-2.09869,910," 910GABRDEEN","Aberdeen"
44678,5,57.14369,-2.09869,910," 910GABRDEEN","Aberdeen"
44678,1,57.14369,-2.09869,910," 910GABRDEEN","Aberdeen"
51798,5,57.13323,-2.08079,639,"   639007181","Aberdeen"
52721,5,57.14996,-2.09472,639,"   639001691","Aberdeen"
52791,5,57.17999,-2.1095,639,"   639004921","Aberdeen"
52940,5,57.15639,-2.0995,639,"   639005522","Aberdeen"
52941,5,57.15595,-2.09932,639,"   639005521","Aberdeen"
53773,5,57.14112,-2.11752,639,"   639000011","Aberdeen"
54045,5,57.17526,-2.19136,639,"   639004532","Aberdeen"
54333,5,57.2053,-2.17652,639,"   639004811","Aberdeen"
54531,5,57.17991,-2.09907,639,"   639005232","Aberdeen"
54532,5,57.18028,-2.09935,639,"   639005231","Aberdeen"
54581,5,57.13596,-2.12347,639,"   639000311","Aberdeen"
54706,5,57.16201,-2.15459,639,"   639001242","Aberdeen"
54778,5,57.11589,-2.11498,639,"   639002572","Aberdeen"
54899,5,57.16622,-2.12969,639,"   639002041","Aberdeen"
54900,5,57.16592,-2.12932,639,"   639002042","Aberdeen"
54950,5,57.12447,-2.12117,639,"   639001762","Aberdeen"
55158,5,57.15553,-2.22776,639,"   639005672","Aberdeen"
55705,5,57.12313,-2.12524,639,"   639067012","Aberdeen"
55734,5,57.17295,-2.18488,639,"   639004571","Aberdeen"
55836,5,57.13677,-2.06764,639,"   639003801","Aberdeen"
55906,5,57.13457,-2.09415,639,"   639003982","Aberdeen"
56095,5,57.19558,-2.09987,639,"   639005221","Aberdeen"
56200,5,57.20206,-2.21114,639,"   639005302","Aberdeen"
56201,5,57.20226,-2.21088,639,"   639005301","Aberdeen"
56311,5,57.16615,-2.10657,639,"   639002691","Aberdeen"
56313,5,57.16599,-2.10634,639,"   639002692","Aberdeen"
56395,5,57.15121,-2.16038,639,"   639000971","Aberdeen"
56683,5,57.15392,-2.17647,639,"   639000811","Aberdeen"
56736,5,57.12695,-2.13056,639,"   639001901","Aberdeen"
56737,5,57.12669,-2.1306,639,"   639001902","Aberdeen"
57210,5,57.14939,-2.12176,639,"   639004172","Aberdeen"
57211,5,57.14951,-2.12087,639,"   639004171","Aberdeen"
57391,5,57.13413,-2.09052,639,"   639003931","Aberdeen"
57466,5,57.16703,-2.10055,639,"   639003161","Aberdeen"
57467,5,57.16701,-2.09834,639,"   639003163","Aberdeen"
57468,5,57.16714,-2.10085,639,"   639003162","Aberdeen"
57716,5,57.19273,-2.12467,639,"   639005012","Aberdeen"
57717,5,57.19236,-2.12437,639,"   639005011","Aberdeen"
58058,5,57.15393,-2.10477,639,"   639002661","Aberdeen"
58060,5,57.15408,-2.10435,639,"   639002662","Aberdeen"
58127,5,57.16744,-2.12521,639,"   639001581","Aberdeen"
58129,5,57.16741,-2.12498,639,"   639001582","Aberdeen"
58725,5,57.09891,-2.07956,639,"   639002831","Aberdeen"
58928,5,57.13669,-2.15326,639,"   639000121","Aberdeen"
59018,5,57.15697,-2.15101,639,"   639001082","Aberdeen"
59069,5,57.21303,-2.18717,639,"   639004752","Aberdeen"
59070,5,57.21229,-2.1874,639,"   639004751","Aberdeen"
59201,5,57.17966,-2.10939,639,"   639004922","Aberdeen"
59408,5,57.1373,-2.07405,639,"   639003781","Aberdeen"
59409,5,57.13726,-2.07366,639,"   639003782","Aberdeen"
59594,5,57.21371,-2.07798,639,"   639007512","Aberdeen"
59868,5,57.14524,-2.1038,639,"   639006373","Aberdeen"
59872,5,57.14461,-2.10548,639,"   639006376","Aberdeen"
60260,5,57.11916,-2.18991,639,"   639061352","Aberdeen"
60264,5,57.11928,-2.18975,639,"   639061351","Aberdeen"
60593,5,57.17278,-2.14383,639,"   639004351","Aberdeen"
60801,5,57.2006,-2.08961,639,"   639003092","Aberdeen"
60847,5,57.17574,-2.18721,639,"   639004622","Aberdeen"
60848,5,57.17699,-2.18708,639,"   639004621","Aberdeen"
62187,5,57.17044,-2.14229,639,"   639002131","Aberdeen"
62477,5,57.18229,-2.11212,639,"   639004932","Aberdeen"
62478,5,57.18188,-2.11171,639,"   639004931","Aberdeen"
62623,5,57.20065,-2.09872,639,"   639005511","Aberdeen"
62644,5,57.1459,-2.14403,639,"   639000701","Aberdeen"
62654,5,57.14004,-2.12269,639,"   639000032","Aberdeen"
62656,5,57.1397,-2.12366,639,"   639000031","Aberdeen"
63069,5,57.14989,-2.0893,639,"   639007442","Aberdeen"
63205,5,57.12257,-2.13553,639,"   639001152","Aberdeen"
63207,5,57.11306,-2.19381,639,"   639006791","Aberdeen"
63210,5,57.11309,-2.19447,639,"   639006792","Aberdeen"
63227,5,57.12152,-2.13549,639,"   639001151","Aberdeen"
63525,5,57.13657,-2.11301,639,"   639002381","Aberdeen"
63936,5,57.11534,-2.18456,639,"   639005992","Aberdeen"
