"node","layer","lat","lon","zone","atcocode","city"
63,5,51.4708,-0.27344,490,"490G00005409","Acton"
298,5,51.48615,-0.29824,490,"490G00006297","Acton"
507,5,51.49932,-0.31472,490," 940GZZLUNFD","Acton"
507,3,51.49932,-0.31472,490," 940GZZLUNFD","Acton"
1318,5,51.50671,-0.25198,490,"490G00004438","Acton"
1601,5,51.50328,-0.31714,490,"490G00007333","Acton"
1763,5,51.48697,-0.25248,490,"490G00008273","Acton"
1834,5,51.51988,-0.25234,490,"490G00004524","Acton"
1837,5,51.48611,-0.29965,490,"490G00003137","Acton"
2111,5,51.5121,-0.31201,490,"490G00012763","Acton"
2135,5,51.49948,-0.24044,490,"490G00015455","Acton"
2155,5,51.49285,-0.25327,490,"490G00013850","Acton"
2376,5,51.51382,-0.2494,490,"490G00014446","Acton"
2379,5,51.52888,-0.27227,490,"490G00014449","Acton"
2717,5,51.49187,-0.31765,490,"490G00013524","Acton"
2780,5,51.52826,-0.27715,490,"490G00011389","Acton"
2812,5,51.50147,-0.29454,490,"490G00008874","Acton"
3220,5,51.53456,-0.21996,490,"    910GKENR","Acton"
3220,2,51.53456,-0.21996,490,"    910GKENR","Acton"
3407,5,51.50259,-0.26114,490,"490G00012889","Acton"
3487,5,51.52367,-0.21758,490,"490G00003618","Acton"
3860,2,51.5407,-0.21013,910,"  910GBRBYPK","Acton"
3860,5,51.5407,-0.21013,910,"  910GBRBYPK","Acton"
4265,5,51.5168,-0.22829,490,"490G00014869","Acton"
4290,2,51.4997,-0.27016,910,"  910GSACTON","Acton"
4290,5,51.4997,-0.27016,910,"  910GSACTON","Acton"
4299,5,51.51015,-0.28827,490," 940GZZLUECM","Acton"
4299,3,51.51015,-0.28827,490," 940GZZLUECM","Acton"
4588,5,51.47084,-0.29348,490,"490G00008692","Acton"
4595,5,51.50885,-0.27148,490,"490G00015559","Acton"
4824,5,51.50667,-0.25423,490,"490G00008976","Acton"
5482,5,51.5367,-0.24029,490,"490G00014969","Acton"
5772,2,51.49168,-0.27529,490," 910GGNRSBRY","Acton"
5772,5,51.49168,-0.27529,490," 910GGNRSBRY","Acton"
5772,3,51.49168,-0.27529,490," 910GGNRSBRY","Acton"
5875,5,51.46863,-0.25954,490,"490G00006144","Acton"
5990,5,51.52767,-0.23555,490,"490G00008451","Acton"
6059,5,51.5156,-0.2427,490,"490G00014971","Acton"
6279,5,51.50201,-0.22671,490," 940GZZLUGHK","Acton"
6279,3,51.50201,-0.22671,490," 940GZZLUGHK","Acton"
6331,5,51.50941,-0.27289,490,"490G00012681","Acton"
6437,5,51.4935,-0.24034,490,"490G00012533","Acton"
6904,5,51.52843,-0.21604,490,"490G00007860","Acton"
7129,5,51.4652,-0.2502,490,"490G00011229","Acton"
7575,5,51.49622,-0.26461,490,"490G00003076","Acton"
7607,5,51.47391,-0.29239,490,"490G00013238","Acton"
7742,5,51.52702,-0.21183,490,"490G00006832","Acton"
8360,5,51.49492,-0.2457,490," 940GZZLUSFB","Acton"
8360,3,51.49492,-0.2457,490," 940GZZLUSFB","Acton"
8486,5,51.50797,-0.31939,490,"490G00015589","Acton"
8488,5,51.50924,-0.28118,490,"490G00013882","Acton"
8632,5,51.50101,-0.30742,490," 940GZZLUSEA","Acton"
8632,3,51.50101,-0.30742,490," 940GZZLUSEA","Acton"
9089,5,51.50438,-0.26705,490,"490G00010968","Acton"
9534,5,51.52346,-0.30282,490,"490G00008043","Acton"
9613,5,51.45153,-0.29587,490,"490G00011549","Acton"
9629,5,51.49502,-0.30553,490,"490G00005978","Acton"
9957,5,51.53493,-0.23709,490,"490G00007067","Acton"
10002,5,51.52444,-0.2922,490,"490G00008210","Acton"
10364,5,51.50281,-0.25211,490,"490G00018676","Acton"
10897,5,51.50838,-0.27735,490,"490G00003089","Acton"
10920,5,51.48883,-0.30137,490,"490G00010259","Acton"
11002,5,51.53278,-0.27451,490,"490G00014571","Acton"
