"node","layer","lat","lon","zone","atcocode","city"
64,5,51.24098,-0.73481,400,"400G4407063D","Aldershot"
248,5,51.2376,-0.79199,400,"400G4411388B","Aldershot"
1857,5,51.22524,-0.72487,400,"400G4407037A","Aldershot"
2328,5,51.24584,-0.72503,400,"400G4407076B","Aldershot"
2768,5,51.25506,-0.71626,400,"400G4407914A","Aldershot"
3101,5,51.25394,-0.72441,400,"400G4407059B","Aldershot"
3201,5,51.25662,-0.66837,400,"400G4407086A","Aldershot"
4090,5,51.2266,-0.68281,400,"400G4407040A","Aldershot"
5258,5,51.25839,-0.6762,400,"400G4407808A","Aldershot"
5906,5,51.22166,-0.69139,400,"400G4407812C","Aldershot"
5909,5,51.21718,-0.73394,400,"400G4407812G","Aldershot"
5910,5,51.2227,-0.72599,400,"400G4407812F","Aldershot"
5911,5,51.22189,-0.70464,400,"400G4407812D","Aldershot"
5914,5,51.22312,-0.71787,400,"400G4407812L","Aldershot"
7616,2,51.2496,-0.7128,400,"    910GASHH","Aldershot"
7616,5,51.2496,-0.7128,400,"    910GASHH","Aldershot"
8735,5,51.24281,-0.73447,400,"400G4407063B","Aldershot"
8965,5,51.23518,-0.78043,400,"400G4411802J","Aldershot"
10740,5,51.25371,-0.69674,400,"400G4407083B","Aldershot"
12781,5,51.22071,-0.75444,400,"400G4411370B","Aldershot"
13364,5,51.26674,-0.7209,400,"400G4407055B","Aldershot"
13567,5,51.22082,-0.74839,400,"400G4411371A","Aldershot"
14569,5,51.26005,-0.72267,400,"400G4407057A","Aldershot"
15387,5,51.23248,-0.77757,400,"400G4411379A","Aldershot"
16865,5,51.22687,-0.6942,400,"400G4407039A","Aldershot"
17914,5,51.23387,-0.77898,400,"400G4411385A","Aldershot"
18219,5,51.24058,-0.67195,400,"400G4407825D","Aldershot"
19206,5,51.24448,-0.67637,400,"400G4407810A","Aldershot"
19280,5,51.22705,-0.7676,400,"400G4411374A","Aldershot"
19883,5,51.23294,-0.73082,400,"400G4407066B","Aldershot"
21098,5,51.24142,-0.67418,400,"400G4407487A","Aldershot"
21526,5,51.24687,-0.72017,400,"400G4407077A","Aldershot"
22625,5,51.25631,-0.68502,400,"400G4407807A","Aldershot"
22858,5,51.23948,-0.73405,400,"400G4407064A","Aldershot"
25964,5,51.23025,-0.76289,400,"400G4411375A","Aldershot"
26808,5,51.23477,-0.77597,400,"400G4411380B","Aldershot"
27180,5,51.24287,-0.71003,400,"400G4407072A","Aldershot"
27650,5,51.2339,-0.72566,400,"400G4407067B","Aldershot"
29970,5,51.2533,-0.70072,400,"400G4407082B","Aldershot"
30500,5,51.24871,-0.72763,400,"400G4407061A","Aldershot"
31229,5,51.25601,-0.6729,400,"400G4407085A","Aldershot"
31341,5,51.23872,-0.78678,400,"400G4411387A","Aldershot"
34084,5,51.22184,-0.67645,400,"400G4407022A","Aldershot"
34185,5,51.22452,-0.73689,400,"400G4407035A","Aldershot"
35500,5,51.25646,-0.72123,400,"400G4407058A","Aldershot"
35501,5,51.25612,-0.71934,400,"400G4407058C","Aldershot"
36244,5,51.24293,-0.72947,400,"400G4407062A","Aldershot"
36245,5,51.24518,-0.72918,400,"400G4407062C","Aldershot"
36246,5,51.24474,-0.72823,400,"400G4407062D","Aldershot"
36336,5,51.2467,-0.72853,400,"400G4407438B","Aldershot"
38441,5,51.24367,-0.71201,400,"400G4407811H","Aldershot"
38443,5,51.2387,-0.70865,400,"400G4407811D","Aldershot"
38444,5,51.23436,-0.71622,400,"400G4407811E","Aldershot"
38445,5,51.2447,-0.71363,400,"400G4407811B","Aldershot"
39913,5,51.23662,-0.73252,400,"400G4407065A","Aldershot"
40497,5,51.23646,-0.73119,400,"400G4407074B","Aldershot"
40888,5,51.2285,-0.76501,400,"400G4411555A","Aldershot"
40992,5,51.237,-0.79547,400,"400G4411389B","Aldershot"
41176,5,51.23448,-0.7316,400,"400G4407021A","Aldershot"
41328,5,51.25512,-0.68218,400,"400G4407084B","Aldershot"
