"node","layer","lat","lon","zone","atcocode","city"
249,2,51.61412,-0.14303,490," 910GNEWSGAT","Archway"
249,5,51.61412,-0.14303,490," 910GNEWSGAT","Archway"
345,5,51.59966,-0.14736,490,"490G00014725","Archway"
501,5,51.56085,-0.1503,490,"490G00010852","Archway"
588,5,51.55207,-0.20678,490,"490G00009940","Archway"
1451,5,51.54927,-0.20617,490,"490G00008768","Archway"
1536,5,51.58991,-0.14596,490,"490G00010135","Archway"
1559,5,51.55126,-0.17589,490,"490G00012806","Archway"
2463,5,51.59074,-0.21294,490,"490G00007411","Archway"
2471,5,51.5957,-0.14477,490,"490G00005509","Archway"
2547,5,51.618,-0.17678,490,"490G00011442","Archway"
2716,5,51.61839,-0.15904,490,"490G00013525","Archway"
2951,5,51.60093,-0.19252,490," 940GZZLUFYC","Archway"
2951,3,51.60093,-0.19252,490," 940GZZLUFYC","Archway"
3221,5,51.60698,-0.10381,490,"490G00014810","Archway"
3369,5,51.57291,-0.1335,490,"490G00015708","Archway"
3401,5,51.59945,-0.10092,490,"490G00010954","Archway"
3447,5,51.62395,-0.17654,490,"490G00006060","Archway"
3893,5,51.59615,-0.14527,490,"490G00003212","Archway"
3894,5,51.58675,-0.13373,490,"490G00003213","Archway"
3896,5,51.58991,-0.21561,490,"490G00003218","Archway"
4170,5,51.59862,-0.06803,490,"490G00009360","Archway"
4540,5,51.59342,-0.20805,490,"490G00005803","Archway"
4566,5,51.59302,-0.08289,490,"490G00016821","Archway"
4567,5,51.58821,-0.09355,490,"490G00016820","Archway"
4731,5,51.61506,-0.19055,490,"490G00013049","Archway"
5215,5,51.61271,-0.17656,490,"490G00015443","Archway"
5238,5,51.59457,-0.1865,490,"490G00003670","Archway"
5281,5,51.61233,-0.15797,490,"490G00007029","Archway"
5348,5,51.55951,-0.19691,490,"490G00008061","Archway"
5504,5,51.58004,-0.08191,490,"490G00012001","Archway"
5633,5,51.59416,-0.1081,490,"490G00009469","Archway"
5695,5,51.60199,-0.1314,490,"490G00003158","Archway"
5740,5,51.55205,-0.19494,490,"490G00003186","Archway"
5986,5,51.61339,-0.1551,490,"490G00012733","Archway"
6612,2,51.57447,-0.07668,490," 910GSTMFDHL","Archway"
6612,5,51.57447,-0.07668,490," 910GSTMFDHL","Archway"
6941,5,51.59794,-0.0825,490,"490G00003521","Archway"
7007,5,51.57063,-0.13837,490,"490G00003362","Archway"
7009,5,51.59536,-0.20486,490,"490G00003366","Archway"
7089,5,51.58241,-0.09974,490,"490G00012434","Archway"
7197,5,51.59278,-0.05879,490,"490G00016331","Archway"
7525,5,51.56856,-0.11081,490,"490G00013693","Archway"
7541,5,51.56362,-0.11862,490,"490G00013692","Archway"
7583,5,51.57751,-0.20957,490,"490G00013329","Archway"
8096,5,51.55479,-0.19678,490,"490G00006951","Archway"
8245,5,51.60254,-0.14803,490,"490G00010896","Archway"
8342,5,51.58936,-0.22111,490,"490G00013512","Archway"
8430,5,51.61708,-0.1768,490,"490G00010372","Archway"
8449,5,51.60765,-0.17428,490,"490G00015327","Archway"
8597,5,51.57175,-0.15225,490,"490G00008158","Archway"
8760,5,51.55038,-0.20741,490,"490G00009909","Archway"
8811,5,51.56594,-0.17713,490,"490G00007717","Archway"
8972,5,51.60881,-0.11022,490,"490G00003875","Archway"
9025,5,51.58429,-0.17004,490,"490G00003881","Archway"
9204,5,51.58197,-0.09166,490,"490G00014862","Archway"
9703,5,51.61802,-0.18542,490," 940GZZLUWOP","Archway"
9703,3,51.61802,-0.18542,490," 940GZZLUWOP","Archway"
9844,5,51.59635,-0.19229,490,"490G00008311","Archway"
9862,5,51.54517,-0.20231,490,"    910GBRBY","Archway"
9862,2,51.54517,-0.20231,490,"    910GBRBY","Archway"
9862,3,51.54517,-0.20231,490,"    910GBRBY","Archway"
9997,5,51.55197,-0.19674,490,"490G00012218","Archway"
10110,5,51.59749,-0.10988,490," 940GZZLUWOG","Archway"
10110,3,51.59749,-0.10988,490," 940GZZLUWOG","Archway"
10270,5,51.58608,-0.20968,490,"490G00004323","Archway"
10409,5,51.59863,-0.06903,490,"490G00019082","Archway"
10419,5,51.57864,-0.13604,490,"490G00004499","Archway"
10667,5,51.59921,-0.09208,490,"490G00007377","Archway"
10925,5,51.60478,-0.09662,490,"490G00010250","Archway"
10940,5,51.59369,-0.186,490,"490G00006338","Archway"
11023,5,51.60275,-0.08841,490,"490G00005666","Archway"
12304,5,51.62066,-0.17666,490,"490G00013099","Archway"
12539,5,51.58711,-0.09771,490,"490G00012557","Archway"
13207,5,51.57741,-0.19351,490,"490G00007268","Archway"
13215,5,51.60416,-0.20772,490,"490G00008278","Archway"
13422,5,51.60469,-0.19922,490,"490G00016456","Archway"
13582,5,51.57513,-0.1503,490,"490G00008207","Archway"
13727,5,51.57763,-0.12473,490,"490G00006435","Archway"
14011,5,51.5863,-0.09022,490,"490G00004053","Archway"
14293,5,51.56494,-0.1409,490,"490G00011449","Archway"
14296,5,51.591,-0.15329,490,"490G00006947","Archway"
14326,5,51.58916,-0.16298,490,"490G00013254","Archway"
14689,5,51.60175,-0.15352,490,"490G00005590","Archway"
14875,5,51.58769,-0.07091,490,"490G00013739","Archway"
14876,5,51.5986,-0.06715,490,"490G00013731","Archway"
15077,5,51.609,-0.18241,490,"490G00007373","Archway"
15150,5,51.62078,-0.16286,490,"490G00007018","Archway"
15238,5,51.57533,-0.08549,490,"490G00014012","Archway"
15653,5,51.58606,-0.09309,490,"490G00014464","Archway"
15858,5,51.61622,-0.19661,490,"490G00005321","Archway"
15869,5,51.58714,-0.16501,490," 940GZZLUEFY","Archway"
15869,3,51.58714,-0.16501,490," 940GZZLUEFY","Archway"
16087,5,51.56862,-0.13085,490,"490G00005752","Archway"
16159,5,51.57947,-0.08074,490,"490G00012432","Archway"
16266,2,51.55522,-0.1657,910," 910GHMPSTDH","Archway"
16266,5,51.55522,-0.1657,910," 910GHMPSTDH","Archway"
16367,5,51.57192,-0.13967,490,"490G00008943","Archway"
16373,5,51.57008,-0.18723,490,"490G00014346","Archway"
16566,5,51.58524,-0.07993,490,"490G00009023","Archway"
16698,5,51.60607,-0.20789,490,"490G00007038","Archway"
17183,5,51.56147,-0.20338,490,"490G00005774","Archway"
17282,5,51.59711,-0.05718,490,"490G00016225","Archway"
17398,5,51.59787,-0.08744,490,"490G00014177","Archway"
17602,5,51.61266,-0.15911,490,"490G00007030","Archway"
17635,5,51.57074,-0.09611,490," 940GZZLUMRH","Archway"
17635,3,51.57074,-0.09611,490," 940GZZLUMRH","Archway"
17829,5,51.58386,-0.14684,490,"490G00010602","Archway"
18055,5,51.60035,-0.17344,490,"490G00012916","Archway"
18139,5,51.57754,-0.14585,490," 940GZZLUHGT","Archway"
18139,3,51.57754,-0.14585,490," 940GZZLUHGT","Archway"
18152,5,51.58439,-0.09999,490,"490G00003916","Archway"
18275,5,51.55534,-0.15077,910," 910GGOSPLOK","Archway"
18275,2,51.55534,-0.15077,910," 910GGOSPLOK","Archway"
18467,5,51.54797,-0.1915,490," 910GWHMDSTD","Archway"
18467,2,51.54797,-0.1915,490," 910GWHMDSTD","Archway"
18467,3,51.54797,-0.1915,490," 910GWHMDSTD","Archway"
18584,5,51.58024,-0.11745,490,"490G00014509","Archway"
18701,5,51.58955,-0.13789,490,"490G00007545","Archway"
18724,5,51.61353,-0.17648,490,"490G00013149","Archway"
18904,5,51.59368,-0.0978,490,"490G00008909","Archway"
18953,5,51.59075,-0.09113,490,"490G00006173","Archway"
19066,5,51.58647,-0.10067,490,"490G00006728","Archway"
19265,5,51.55144,-0.19985,490,"490G00008214","Archway"
19275,5,51.58793,-0.0999,490,"490G00014713","Archway"
19578,5,51.56881,-0.20257,490,"490G00006263","Archway"
19703,5,51.59773,-0.19848,490,"490G00007385","Archway"
19847,5,51.59774,-0.1787,490,"490G00009321","Archway"
19848,5,51.6045,-0.18893,490,"490G00009322","Archway"
19864,5,51.60756,-0.16954,490,"490G00012996","Archway"
19865,5,51.61068,-0.16282,490,"490G00012995","Archway"
20017,5,51.58824,-0.03023,490,"490G00006932","Archway"
20346,2,51.59793,-0.12023,490," 910GALEXNDP","Archway"
20346,5,51.59793,-0.12023,490," 910GALEXNDP","Archway"
20421,5,51.57417,-0.08659,490,"490G00003304","Archway"
20757,5,51.5652,-0.15314,490,"490G00010482","Archway"
20796,5,51.58128,-0.09466,490,"490G00004244","Archway"
21120,5,51.59192,-0.17917,490,"490G00010656","Archway"
21267,5,51.57421,-0.17134,490,"490G00015446","Archway"
21290,5,51.61134,-0.16753,490,"490G00008250","Archway"
21835,5,51.57993,-0.15478,490,"490G00010379","Archway"
22331,5,51.58832,-0.05992,490," 910GTTNHMHL","Archway"
22331,2,51.58832,-0.05992,490," 910GTTNHMHL","Archway"
22331,3,51.58832,-0.05992,490," 910GTTNHMHL","Archway"
22413,5,51.56875,-0.13654,490,"490G00014277","Archway"
22516,5,51.59743,-0.17196,490,"490G00010494","Archway"
22599,5,51.60268,-0.10432,490,"490G00014809","Archway"
22656,5,51.55262,-0.17587,490,"490G00012408","Archway"
23177,5,51.5983,-0.09597,490,"490G00007201","Archway"
23348,5,51.57728,-0.10164,490,"  910GHRGYGL","Archway"
23348,2,51.57728,-0.10164,490,"  910GHRGYGL","Archway"
23397,5,51.56323,-0.17914,490,"490G00008531","Archway"
23422,5,51.60914,-0.14276,490,"490G00003217","Archway"
23438,5,51.59228,-0.13412,490,"490G00003210","Archway"
23442,5,51.58743,-0.13273,490,"490G00003211","Archway"
23749,5,51.58686,-0.12789,490,"490G00008358","Archway"
24236,5,51.57606,-0.21849,490,"490G00016416","Archway"
24444,5,51.57168,-0.13587,490,"490G00015709","Archway"
24931,5,51.59189,-0.21054,490,"490G00007422","Archway"
25196,5,51.57274,-0.16517,490,"490G00005532","Archway"
25748,5,51.60032,-0.13461,490,"490G00014061","Archway"
25786,5,51.57153,-0.21043,490,"490G00014396","Archway"
25881,5,51.60702,-0.12058,910," 910GBOWESPK","Archway"
25881,2,51.60702,-0.12058,910," 910GBOWESPK","Archway"
25881,3,51.60702,-0.12058,910," 910GBOWESPK","Archway"
25993,5,51.56701,-0.21133,490,"490G00010916","Archway"
26016,5,51.5546,-0.2076,490,"490G00009804","Archway"
26074,5,51.59088,-0.17379,490,"490G00013799","Archway"
26215,5,51.6091,-0.12833,490,"490G00014255","Archway"
26346,5,51.60705,-0.18561,490,"490G00006642","Archway"
26777,5,51.58132,-0.07368,490," 910GSTOTNHM","Archway"
26777,2,51.58132,-0.07368,490," 910GSTOTNHM","Archway"
26777,3,51.58132,-0.07368,490," 910GSTOTNHM","Archway"
26836,5,51.58323,-0.16811,490,"490G00003529","Archway"
27004,5,51.59575,-0.21626,490,"490G00007412","Archway"
27327,5,51.57761,-0.15276,490,"490G00008159","Archway"
27519,5,51.58935,-0.07605,490,"490G00007529","Archway"
27579,5,51.59314,-0.13277,490,"490G00003199","Archway"
27580,5,51.59452,-0.1289,490,"490G00003198","Archway"
27731,5,51.59444,-0.19892,490,"490G00010079","Archway"
27997,5,51.58428,-0.09003,490,"490G00003042","Archway"
28443,5,51.57485,-0.12691,490,"490G00008360","Archway"
28524,5,51.58647,-0.11197,490,"   910GHRNSY","Archway"
28524,2,51.58647,-0.11197,490,"   910GHRNSY","Archway"
29102,5,51.55965,-0.13745,490,"490G00009985","Archway"
29563,5,51.60245,-0.18514,490,"490G00014094","Archway"
30116,5,51.56399,-0.21578,490,"490G00010914","Archway"
30906,5,51.59717,-0.19794,490,"490G00006337","Archway"
31168,5,51.60943,-0.18836,490," 940GZZLUWFN","Archway"
31168,3,51.60943,-0.18836,490," 940GZZLUWFN","Archway"
31294,5,51.61144,-0.15584,490,"490G00003443","Archway"
31295,5,51.59348,-0.21876,490,"490G00003441","Archway"
31469,5,51.60177,-0.09094,490,"490G00007323","Archway"
31471,5,51.56783,-0.19489,490,"490G00006262","Archway"
31901,5,51.59394,-0.07946,490,"490G00014686","Archway"
32044,5,51.60567,-0.17501,490,"490G00009082","Archway"
32754,5,51.58224,-0.12742,490,"490G00014802","Archway"
32887,5,51.58231,-0.11986,490,"490G00006799","Archway"
33147,5,51.61063,-0.17547,490,"490G00005229","Archway"
33181,5,51.58911,-0.14577,490,"490G00005250","Archway"
33836,5,51.60579,-0.16002,490,"490G00005589","Archway"
33913,5,51.60824,-0.20998,490," 940GZZLUMHL","Archway"
33913,3,51.60824,-0.20998,490," 940GZZLUMHL","Archway"
34184,5,51.58923,-0.07887,490,"490G00010090","Archway"
34345,5,51.60747,-0.15253,490,"490G00010327","Archway"
34416,5,51.58598,-0.07161,490,"490G00015083","Archway"
34441,5,51.61318,-0.18493,490,"490G00010182","Archway"
34867,5,51.56966,-0.14096,490,"490G00015707","Archway"
35104,5,51.56973,-0.17401,490,"490G00013555","Archway"
35229,5,51.5621,-0.20171,490,"490G00009463","Archway"
35230,5,51.55951,-0.19715,490,"490G00009462","Archway"
35231,5,51.59256,-0.1059,490,"490G00009461","Archway"
35463,5,51.61027,-0.13231,490,"490G00009852","Archway"
35464,5,51.58696,-0.12302,490,"490G00009850","Archway"
35512,5,51.56982,-0.18103,490,"490G00014974","Archway"
35784,5,51.57699,-0.0837,490,"490G00008123","Archway"
35977,5,51.59583,-0.18935,490,"490G00009594","Archway"
36512,5,51.55664,-0.17848,490," 940GZZLUHTD","Archway"
36512,3,51.55664,-0.17848,490," 940GZZLUHTD","Archway"
36540,5,51.58034,-0.21273,490,"490G00007269","Archway"
36607,5,51.58985,-0.02668,490,"490G00014169","Archway"
36634,2,51.59397,-0.06986,490," 910GBRUCGRV","Archway"
36634,5,51.59397,-0.06986,490," 910GBRUCGRV","Archway"
36721,5,51.59754,-0.20129,490,"490G00012787","Archway"
36732,5,51.58797,-0.20804,490,"490G00012257","Archway"
37164,5,51.56275,-0.14716,490,"490G00004454","Archway"
37183,5,51.59579,-0.17059,490,"490G00004980","Archway"
37394,5,51.57199,-0.17231,490,"490G00008675","Archway"
37414,5,51.58032,-0.2102,490,"490G00007270","Archway"
37627,5,51.59028,-0.10295,490," 940GZZLUTPN","Archway"
37627,3,51.59028,-0.10295,490," 940GZZLUTPN","Archway"
37648,5,51.58896,-0.03053,490,"490G00008133","Archway"
37776,5,51.60647,-0.11128,490,"490G00009709","Archway"
37977,5,51.5728,-0.16163,490,"490G00012863","Archway"
38040,5,51.58232,-0.19927,490,"490G00013192","Archway"
38186,5,51.57988,-0.19825,490,"490G00005421","Archway"
38266,5,51.60172,-0.10731,490,"490G00014598","Archway"
38515,5,51.58424,-0.21988,490,"490G00004295","Archway"
38834,5,51.59851,-0.10419,490,"490G00014853","Archway"
39151,5,51.56529,-0.19616,490,"490G00009232","Archway"
39158,5,51.56104,-0.17919,490,"490G00008547","Archway"
39219,5,51.56364,-0.12951,490," 910GUPRHLWY","Archway"
39219,2,51.56364,-0.12951,490," 910GUPRHLWY","Archway"
39219,3,51.56364,-0.12951,490," 910GUPRHLWY","Archway"
39423,5,51.58536,-0.17816,490,"490G00004093","Archway"
39473,5,51.57371,-0.2006,490,"490G00015322","Archway"
39537,5,51.59267,-0.18127,490,"490G00006353","Archway"
39567,5,51.61347,-0.18622,490,"490G00003373","Archway"
39869,5,51.58455,-0.13125,490,"490G00008357","Archway"
39893,5,51.56387,-0.20503,490,"490G00007131","Archway"
39932,2,51.58661,-0.04123,490," 910GBLCHSRD","Archway"
39932,5,51.58661,-0.04123,490," 910GBLCHSRD","Archway"
39932,3,51.58661,-0.04123,490," 910GBLCHSRD","Archway"
