"node","layer","lat","lon","zone","atcocode","city"
11096,2,51.06838,0.85452,240,"    910GHMST","Ashford"
11096,5,51.06838,0.85452,240,"    910GHMST","Ashford"
35577,4,51.13654,0.91589,240,"900GNX002174","Ashford"
35577,5,51.13654,0.91589,240,"900GNX002174","Ashford"
41883,2,51.18501,0.92932,240,"    910GWYEE","Ashford"
41883,5,51.18501,0.92932,240,"    910GWYEE","Ashford"
45019,2,51.1472,0.87385,240,"  910GASHFKY","Ashford"
45019,5,51.1472,0.87385,240,"  910GASHFKY","Ashford"
45019,4,51.1472,0.87385,240,"  910GASHFKY","Ashford"
52016,5,51.1382,0.88106,240,"2400A025980A","Ashford"
52052,5,51.14581,0.88884,240,"2400A025860A","Ashford"
52300,5,51.18976,0.89099,240,"2400A024690A","Ashford"
53379,5,51.08562,0.93776,240,"2400A037480A","Ashford"
54345,5,51.15184,0.8439,240,"2400A073580A","Ashford"
54508,5,51.16436,0.86939,240,"  2400101413","Ashford"
54509,5,51.16441,0.86922,240,"  2400101411","Ashford"
55192,5,51.21782,0.95699,240,"2400A039140A","Ashford"
55661,5,51.15294,0.84785,240,"2400A026050A","Ashford"
55729,5,51.06157,0.83229,240,"2400A037180A","Ashford"
57692,5,51.16036,0.8806,240,"2400A039180A","Ashford"
57804,5,51.14123,0.91404,240,"2400A025200A","Ashford"
58066,5,51.12407,0.97059,240,"2400A026840A","Ashford"
58083,5,51.14087,0.83905,240,"   240096294","Ashford"
58954,5,51.13784,0.89784,240,"2400A025730A","Ashford"
59098,5,51.1548,0.84431,240,"2400A073600A","Ashford"
59891,5,51.13054,0.9248,240,"   240099470","Ashford"
59892,5,51.13073,0.92493,240,"   240099472","Ashford"
60028,5,51.14636,0.88557,240,"2400A025870A","Ashford"
60327,5,51.17617,0.88067,240,"2400A024680A","Ashford"
60920,5,51.13194,0.84746,240,"2400A026360A","Ashford"
63174,5,51.21343,0.94989,240,"2400A039150A","Ashford"
65089,5,51.13316,0.86286,240,"2400A026300A","Ashford"
65311,5,51.13842,0.86489,240,"2400A073721A","Ashford"
66319,5,51.1279,0.84141,240,"  2400100479","Ashford"
66321,5,51.13398,0.84273,240,"  2400100475","Ashford"
66322,5,51.13385,0.84288,240,"  2400100473","Ashford"
66593,5,51.17124,0.88494,240,"  2400102366","Ashford"
66816,5,51.20649,0.79653,240,"2400A024860A","Ashford"
67363,5,51.0928,0.9428,240,"   240099444","Ashford"
67975,5,51.14385,0.89403,240,"2400A025840A","Ashford"
68497,5,51.14173,0.8282,240,"2400A024580A","Ashford"
69181,5,51.11089,0.854,240,"2400A037410A","Ashford"
69472,5,51.13097,0.92711,240,"   240099462","Ashford"
69473,5,51.12449,0.93761,240,"   240099460","Ashford"
69474,5,51.10867,0.92227,240,"   240099466","Ashford"
69475,5,51.13116,0.9265,240,"   240099464","Ashford"
69477,5,51.10884,0.9219,240,"   240099468","Ashford"
70459,5,51.12785,0.75071,240,"   240099972","Ashford"
70460,5,51.12731,0.75684,240,"   240099974","Ashford"
70461,5,51.12715,0.7569,240,"   240099976","Ashford"
70462,5,51.12583,0.76007,240,"   240099978","Ashford"
70507,5,51.08216,0.84552,240,"2400A072040A","Ashford"
