"node","layer","lat","lon","zone","atcocode","city"
2514,5,51.83175,-0.80429,40,"040G00002401","Aylesbury"
5739,2,51.73577,-0.82933,40," 910GMNKRISB","Aylesbury"
5739,5,51.73577,-0.82933,40," 910GMNKRISB","Aylesbury"
8438,5,51.83117,-0.86018,40," 910GAYLSPWY","Aylesbury"
8438,2,51.83117,-0.86018,40," 910GAYLSPWY","Aylesbury"
13156,2,51.75224,-0.80845,40," 910GLTLKMBL","Aylesbury"
13156,5,51.75224,-0.80845,40," 910GLTLKMBL","Aylesbury"
17123,5,51.83172,-0.69752,210,"    210G2408","Aylesbury"
17124,5,51.83474,-0.69331,210,"    210G2409","Aylesbury"
19015,2,51.8139,-0.81509,40," 910GAYLSBRY","Aylesbury"
19015,5,51.8139,-0.81509,40," 910GAYLSBRY","Aylesbury"
26813,5,51.79575,-0.80406,40,"040G00004601","Aylesbury"
28776,5,51.78978,-0.67649,210,"    210G2460","Aylesbury"
28777,5,51.79077,-0.68261,210,"    210G2461","Aylesbury"
31922,2,51.76176,-0.74737,40," 910GWENDOVR","Aylesbury"
31922,5,51.76176,-0.74737,40," 910GWENDOVR","Aylesbury"
34868,2,51.7878,-0.78408,40,"    910GSTKM","Aylesbury"
34868,5,51.7878,-0.78408,40,"    910GSTKM","Aylesbury"
40371,5,51.81513,-0.673,210,"    210G2416","Aylesbury"
49186,5,51.83309,-0.70166,210,"    210G9157","Aylesbury"
49552,5,51.81245,-0.67799,210,"    210G2417","Aylesbury"
49554,5,51.82764,-0.68903,210,"    210G2411","Aylesbury"
49555,5,51.81831,-0.68961,210,"    210G2413","Aylesbury"
52912,5,51.86779,-0.9244,40,"040000004637","Aylesbury"
52913,5,51.866,-0.92749,40,"040000004636","Aylesbury"
52914,5,51.86602,-0.92769,40,"040000004635","Aylesbury"
52915,5,51.84871,-0.9209,40,"040000004634","Aylesbury"
52916,5,51.84862,-0.92104,40,"040000004633","Aylesbury"
52917,5,51.84644,-0.92151,40,"040000004632","Aylesbury"
52918,5,51.84636,-0.92169,40,"040000004631","Aylesbury"
52920,5,51.8705,-0.91996,40,"040000004639","Aylesbury"
52921,5,51.86774,-0.92423,40,"040000004638","Aylesbury"
54888,5,51.81515,-0.8001,40,"040000004805","Aylesbury"
54894,5,51.81515,-0.79738,40,"040000004806","Aylesbury"
55348,5,51.83388,-0.70483,210,"210021426105","Aylesbury"
56175,5,51.78629,-0.83652,40,"040000004450","Aylesbury"
59876,5,51.77409,-0.72919,40,"040000004897","Aylesbury"
59877,5,51.77605,-0.72716,40,"040000004896","Aylesbury"
59878,5,51.77187,-0.73129,40,"040000004899","Aylesbury"
59879,5,51.77405,-0.72904,40,"040000004898","Aylesbury"
60975,5,51.82191,-0.82104,40,"040000004710","Aylesbury"
60976,5,51.82247,-0.82417,40,"040000004711","Aylesbury"
60977,5,51.82264,-0.8244,40,"040000004712","Aylesbury"
60978,5,51.8239,-0.82987,40,"040000004713","Aylesbury"
60979,5,51.82385,-0.83032,40,"040000004714","Aylesbury"
60980,5,51.82452,-0.83274,40,"040000004715","Aylesbury"
60981,5,51.82544,-0.83731,40,"040000004716","Aylesbury"
60982,5,51.82553,-0.83722,40,"040000004717","Aylesbury"
62597,5,51.82281,-0.79194,40,"040000004626","Aylesbury"
62598,5,51.82529,-0.79535,40,"040000004627","Aylesbury"
62600,5,51.82415,-0.79373,40,"040000004628","Aylesbury"
62601,5,51.82334,-0.79088,40,"040000004629","Aylesbury"
66156,5,51.80565,-0.74975,40,"040000004308","Aylesbury"
66170,5,51.81007,-0.76865,40,"040000004301","Aylesbury"
68496,5,51.77346,-0.91958,40,"040000002347","Aylesbury"
69457,5,51.79276,-0.75041,40,"040000004887","Aylesbury"
69458,5,51.76508,-0.74363,40,"040000004880","Aylesbury"
70433,5,51.81722,-0.83929,40,"040000003992","Aylesbury"
70508,5,51.8273,-0.8172,40,"040000004761","Aylesbury"
70509,5,51.8258,-0.82273,40,"040000004760","Aylesbury"
70510,5,51.8272,-0.81707,40,"040000004762","Aylesbury"
73818,5,51.89792,-0.87525,40,"040000004038","Aylesbury"
73819,5,51.89519,-0.87445,40,"040000004035","Aylesbury"
73820,5,51.88867,-0.85777,40,"040000004034","Aylesbury"
73821,5,51.89806,-0.8757,40,"040000004037","Aylesbury"
73822,5,51.895,-0.87406,40,"040000004036","Aylesbury"
73823,5,51.88492,-0.86031,40,"040000004031","Aylesbury"
73824,5,51.88286,-0.84711,40,"040000004030","Aylesbury"
73825,5,51.88818,-0.85783,40,"040000004033","Aylesbury"
73826,5,51.88488,-0.8601,40,"040000004032","Aylesbury"
77453,5,51.80804,-0.81184,40,"040000004989","Aylesbury"
77454,5,51.7996,-0.80668,40,"040000004988","Aylesbury"
77456,5,51.80247,-0.80337,40,"040000004985","Aylesbury"
77458,5,51.80212,-0.80801,40,"040000004987","Aylesbury"
77459,5,51.80231,-0.80792,40,"040000004986","Aylesbury"
77460,5,51.80342,-0.8053,40,"040000004981","Aylesbury"
77461,5,51.8031,-0.8071,40,"040000004980","Aylesbury"
77462,5,51.80375,-0.80315,40,"040000004983","Aylesbury"
77463,5,51.8035,-0.80471,40,"040000004982","Aylesbury"
79198,5,51.76611,-0.74434,40,"040000004879","Aylesbury"
79199,5,51.76819,-0.74526,40,"040000004878","Aylesbury"
79202,5,51.78351,-0.76122,40,"040000004873","Aylesbury"
79203,5,51.78398,-0.76135,40,"040000004872","Aylesbury"
79205,5,51.77442,-0.75472,40,"040000004874","Aylesbury"
79206,5,51.76765,-0.74513,40,"040000004877","Aylesbury"
79207,5,51.77146,-0.74801,40,"040000004876","Aylesbury"
79717,5,51.79342,-0.93185,40,"040000004456","Aylesbury"
79720,5,51.79343,-0.93123,40,"040000004455","Aylesbury"
79722,5,51.79258,-0.93021,40,"040000004453","Aylesbury"
80226,5,51.82071,-0.81524,40,"040000004772","Aylesbury"
80227,5,51.82495,-0.81454,40,"040000004773","Aylesbury"
80228,5,51.82318,-0.79703,40,"040000004770","Aylesbury"
80229,5,51.82075,-0.81542,40,"040000004771","Aylesbury"
80232,5,51.82619,-0.81477,40,"040000004774","Aylesbury"
80788,5,51.79591,-0.81992,40,"040000004957","Aylesbury"
80789,5,51.79923,-0.82161,40,"040000004954","Aylesbury"
80791,5,51.8018,-0.82417,40,"040000004952","Aylesbury"
80793,5,51.80103,-0.82241,40,"040000004953","Aylesbury"
83585,5,51.87674,-0.83191,40,"040000004022","Aylesbury"
83586,5,51.87949,-0.83624,40,"040000004023","Aylesbury"
83587,5,51.86639,-0.83334,40,"040000004020","Aylesbury"
83588,5,51.87726,-0.83338,40,"040000004021","Aylesbury"
83589,5,51.88065,-0.83689,40,"040000004026","Aylesbury"
83590,5,51.88161,-0.84056,40,"040000004027","Aylesbury"
83591,5,51.87946,-0.83599,40,"040000004024","Aylesbury"
83592,5,51.88073,-0.83714,40,"040000004025","Aylesbury"
83593,5,51.88176,-0.84095,40,"040000004028","Aylesbury"
83594,5,51.88268,-0.84777,40,"040000004029","Aylesbury"
