"node","layer","lat","lon","zone","atcocode","city"
473,5,51.55462,0.0594,490,"490G00009219","Barking"
531,5,51.58068,0.02145,490," 940GZZLUSNB","Barking"
531,3,51.58068,0.02145,490," 940GZZLUSNB","Barking"
1023,5,51.59349,0.00985,490,"490G00006926","Barking"
1116,5,51.56999,0.05717,490,"490G00012535","Barking"
1166,4,51.53361,0.05884,490,"490G00003280","Barking"
1166,5,51.53361,0.05884,490,"490G00003280","Barking"
1195,5,51.58298,0.00419,490,"490G00007647","Barking"
1337,5,51.57304,0.06406,490,"490G00003830","Barking"
1465,5,51.59946,0.01291,490,"490G00005061","Barking"
1600,5,51.54396,0.02614,490,"490G00007330","Barking"
1789,5,51.52527,0.06572,490,"490G00006885","Barking"
2051,5,51.53622,0.10284,490,"490G00011590","Barking"
2292,5,51.5191,0.05961,490,"490G00003747","Barking"
2548,5,51.52331,0.04222,490,"490G00009346","Barking"
2611,5,51.51686,0.03576,490,"490G00005505","Barking"
2894,5,51.53685,0.02209,490,"490G00013957","Barking"
2898,5,51.53026,0.038,490,"490G00013958","Barking"
3148,5,51.52591,0.02934,490,"490G00011040","Barking"
4185,5,51.53838,0.10154,490," 940GZZLUUPY","Barking"
4185,3,51.53838,0.10154,490," 940GZZLUUPY","Barking"
4366,5,51.5599,0.03948,490,"490G00009816","Barking"
4397,5,51.54602,0.03142,490,"490G00007504","Barking"
4694,5,51.54687,0.03038,490,"490G00007497","Barking"
4812,5,51.57025,0.0125,490,"490G00016503","Barking"
4923,5,51.53544,0.06712,490,"490G00004592","Barking"
5555,5,51.53685,0.02209,490,"490G00011054","Barking"
5675,5,51.53533,0.02225,490,"490G00005741","Barking"
5848,5,51.50848,0.06393,490," 940GZZDLCYP","Barking"
5848,3,51.50848,0.06393,490," 940GZZDLCYP","Barking"
5873,5,51.51644,0.04674,490,"490G00006142","Barking"
6491,5,51.59628,0.02168,490,"490G00007138","Barking"
6778,5,51.55738,0.01887,490,"490G00014201","Barking"
7069,5,51.58809,0.02836,490,"490G00005018","Barking"
7159,5,51.57058,0.02357,490,"490G00004653","Barking"
7203,5,51.5415,0.03268,490,"490G00010476","Barking"
7285,5,51.59992,0.03404,490,"490G00014200","Barking"
7286,5,51.57304,0.05436,490,"490G00014203","Barking"
7288,5,51.57813,0.02595,490,"490G00014206","Barking"
7394,5,51.55295,0.05367,490,"490G00009570","Barking"
7573,5,51.54121,0.05134,490,"490G00008190","Barking"
7946,5,51.58322,-0.00734,490,"490G00003107","Barking"
8020,5,51.55088,0.04539,490,"  910GMANRPK","Barking"
8020,2,51.55088,0.04539,490,"  910GMANRPK","Barking"
8293,5,51.54244,0.03713,490,"490G00012287","Barking"
8467,5,51.53566,0.05141,490,"490G00011001","Barking"
8480,5,51.52817,0.10459,490,"490G00013223","Barking"
8515,5,51.49777,0.06079,930,"     930GWWC","Barking"
8515,1,51.49777,0.06079,930,"     930GWWC","Barking"
8738,5,51.52389,0.11656,490,"490G00013218","Barking"
9029,5,51.58424,0.02039,490,"490G00012215","Barking"
9125,5,51.50402,0.11144,490,"490G00007923","Barking"
9156,5,51.50518,0.10497,490,"490G00014285","Barking"
9157,5,51.5939,0.00864,490,"490G00014287","Barking"
9159,5,51.59566,0.01107,490,"490G00014288","Barking"
9602,5,51.49819,0.08461,490,"490G00007091","Barking"
9670,5,51.56966,0.00353,490,"490G00005357","Barking"
9676,5,51.58973,0.02214,490,"490G00005358","Barking"
10037,5,51.53294,0.05361,490,"490G00006360","Barking"
10109,5,51.60691,0.03398,490," 940GZZLUWOF","Barking"
10109,3,51.60691,0.03398,490," 940GZZLUWOF","Barking"
10243,5,51.54461,0.03664,490,"490G00007673","Barking"
10383,5,51.51203,0.06621,490,"490G00008378","Barking"
10806,5,51.58098,0.0013,490,"490G00014570","Barking"
11552,5,51.54074,0.03858,490,"490G00006054","Barking"
11728,5,51.54877,0.08491,490,"490G00009437","Barking"
11902,5,51.57301,0.01982,490,"490G00004711","Barking"
12167,5,51.57713,-0.00799,490,"490G00009135","Barking"
12242,5,51.54334,0.05011,490,"490G00012058","Barking"
12298,5,51.53894,0.041,490,"490G00012949","Barking"
12388,5,51.52673,0.06126,490,"490G00014041","Barking"
12389,5,51.52576,0.05767,490,"490G00014040","Barking"
12448,5,51.52252,0.03309,490,"490G00015395","Barking"
12465,5,51.53509,0.10365,490,"490G00011591","Barking"
12667,5,51.52796,0.10846,490,"490G00007235","Barking"
12836,5,51.49517,0.06209,930,"     930GWWS","Barking"
12836,1,51.49517,0.06209,930,"     930GWWS","Barking"
13431,5,51.59544,0.03124,490,"490G00010116","Barking"
13436,5,51.54221,0.09651,490,"490G00011864","Barking"
13442,5,51.55738,0.00645,490,"490G00007849","Barking"
13587,5,51.53575,0.09921,490,"490G00013834","Barking"
13692,5,51.50045,0.0869,490,"490G00004119","Barking"
13839,5,51.5819,0.02836,490,"490G00006497","Barking"
13892,5,51.549,0.07548,490,"490G00014781","Barking"
14738,5,51.53424,0.08582,490,"490G00008741","Barking"
14826,5,51.53304,0.02192,490,"490G00013197","Barking"
14899,5,51.50049,0.06785,490,"490G00011773","Barking"
15397,5,51.59051,0.04947,490,"490G00005368","Barking"
15400,5,51.57527,0.00386,490,"490G00005363","Barking"
15871,5,51.55805,0.04359,490,"490G00005322","Barking"
15938,5,51.57625,0.04537,490," 940GZZLURBG","Barking"
15938,3,51.57625,0.04537,490," 940GZZLURBG","Barking"
16019,5,51.51667,0.03947,490,"490G00003753","Barking"
16020,5,51.52394,0.0693,490,"490G00003752","Barking"
16024,5,51.52564,0.07911,490,"490G00003754","Barking"
16219,5,51.55156,0.08573,490,"490G00013025","Barking"
16224,5,51.53175,0.09156,490,"490G00008638","Barking"
16532,5,51.58695,0.02129,490,"490G00003827","Barking"
16533,5,51.57655,0.06031,490,"490G00003829","Barking"
16534,5,51.5724,0.06485,490,"490G00003828","Barking"
16678,5,51.52816,0.03298,490,"490G00010201","Barking"
17170,5,51.53069,0.04051,490,"490G00013959","Barking"
17465,5,51.52142,0.05831,490,"490G00009348","Barking"
17466,5,51.52255,0.04809,490,"490G00009349","Barking"
17818,5,51.59061,0.03331,490,"490G00010601","Barking"
17910,5,51.50162,0.09535,490,"490G00016808","Barking"
17917,5,51.50181,0.08931,490,"490G00016806","Barking"
17922,5,51.54429,0.09498,490,"490G00009101","Barking"
18367,5,51.59191,0.02735,490," 940GZZLUSWF","Barking"
18367,3,51.59191,0.02735,490," 940GZZLUSWF","Barking"
18485,5,51.53418,0.10489,490,"490G00013224","Barking"
18486,5,51.52811,0.09898,490,"490G00013221","Barking"
18586,5,51.53252,0.05121,490,"490G00003659","Barking"
18595,5,51.52726,0.06644,490,"490G00009717","Barking"
18700,5,51.60612,0.02541,490,"490G00007546","Barking"
19272,5,51.51204,0.04534,490,"490G00014716","Barking"
19971,5,51.60451,0.02869,490,"490G00014031","Barking"
20015,5,51.54565,0.02001,490,"490G00006936","Barking"
20495,5,51.51601,0.05574,490,"490G00008776","Barking"
20569,5,51.51956,0.03223,490,"490G00003898","Barking"
20666,5,51.59236,0.04293,490,"490G00010418","Barking"
20840,5,51.54388,0.05495,490,"490G00015136","Barking"
20907,5,51.5664,0.06243,490,"490G00006063","Barking"
21042,5,51.5166,0.0604,490,"490G00013691","Barking"
21909,5,51.56395,0.02551,490,"490G00011372","Barking"
22504,5,51.51872,0.09819,490,"490G00013762","Barking"
22831,5,51.52104,0.06694,490,"490G00006318","Barking"
22947,5,51.51616,0.05291,490,"490G00013097","Barking"
22958,5,51.52824,0.09384,490,"490G00003223","Barking"
22988,5,51.50119,0.07036,490,"490G00003595","Barking"
23180,5,51.54159,0.0547,490,"490G00007202","Barking"
23504,5,51.51437,0.06146,490," 940GZZDLBEC","Barking"
23504,3,51.51437,0.06146,490," 940GZZDLBEC","Barking"
23687,5,51.52512,0.10344,490,"490G00005811","Barking"
24024,5,51.52235,0.03711,490,"490G00007236","Barking"
24351,5,51.54629,0.09478,490,"490G00003605","Barking"
25034,5,51.51215,0.08089,490,"490G00018760","Barking"
25038,5,51.54524,0.04959,490,"490G00011801","Barking"
25116,5,51.55053,0.09098,490,"490G00008449","Barking"
25210,5,51.57053,0.01443,490,"490G00007490","Barking"
25268,5,51.59793,0.03348,490,"490G00007310","Barking"
25290,5,51.56304,0.03212,490,"490G00010812","Barking"
25516,5,51.50836,0.04594,940," 940GZZDLRAL","Barking"
25516,3,51.50836,0.04594,940," 940GZZDLRAL","Barking"
25925,5,51.53558,0.09497,490,"490G00004086","Barking"
26113,5,51.52916,0.06429,490,"490G00018555","Barking"
26219,2,51.55057,0.02529,490," 910GWNSTDPK","Barking"
26219,5,51.55057,0.02529,490," 910GWNSTDPK","Barking"
26372,5,51.53535,0.03527,490," 940GZZLUUPK","Barking"
26372,3,51.53535,0.03527,490," 940GZZLUUPK","Barking"
26515,5,51.54539,0.09263,490,"490G00006700","Barking"
26752,5,51.5769,0.00331,490,"490G00014567","Barking"
26786,5,51.57627,0.05286,490,"490G00013332","Barking"
26900,5,51.51146,0.06202,490,"490G00011932","Barking"
27335,5,51.58466,0.0553,490,"490G00014846","Barking"
27364,5,51.53398,0.06421,490,"490G00012843","Barking"
27383,5,51.54758,0.03579,490,"490G00008603","Barking"
27425,5,51.50899,0.05971,490,"490G00011520","Barking"
27655,5,51.54648,0.0932,490,"490G00009293","Barking"
27688,5,51.5508,0.09265,490,"490G00009436","Barking"
27695,5,51.57092,0.00107,490,"490G00012642","Barking"
27703,5,51.51703,0.09943,490,"490G00005731","Barking"
27704,5,51.51698,0.10755,490,"490G00005730","Barking"
27805,5,51.58798,0.00711,490,"490G00013533","Barking"
28053,5,51.5798,-0.00386,490,"490G00006342","Barking"
28678,5,51.5549,0.00989,490,"490G00011983","Barking"
28735,5,51.53729,0.02659,490,"490G00012582","Barking"
28960,5,51.52705,0.11241,490,"490G00003177","Barking"
29474,5,51.60195,0.03877,490,"490G00010612","Barking"
30079,5,51.52349,0.11198,490,"490G00009651","Barking"
30085,5,51.52501,0.10782,490,"490G00007089","Barking"
30101,5,51.58444,0.02553,490,"490G00008100","Barking"
30179,5,51.50938,0.12009,490,"490G00010268","Barking"
30236,5,51.57974,0.00404,490,"490G00014566","Barking"
30241,5,51.5795,0.00194,490,"490G00014568","Barking"
30242,5,51.58102,-0.001,490,"490G00014569","Barking"
30553,5,51.53776,0.03402,490,"490G00011052","Barking"
30666,5,51.53834,0.04211,490,"490G00011050","Barking"
30798,5,51.50327,0.11722,490,"490G00013459","Barking"
30912,5,51.54339,0.08791,490,"490G00008419","Barking"
31592,5,51.59107,0.04674,490,"490G00011628","Barking"
31627,5,51.5329,0.1091,490,"490G00009246","Barking"
31899,5,51.53894,0.02293,490,"490G00014467","Barking"
31903,5,51.5068,0.12666,490,"490G00009206","Barking"
32102,5,51.50894,0.07156,490," 940GZZDLGAL","Barking"
32102,3,51.50894,0.07156,490," 940GZZDLGAL","Barking"
32182,5,51.60125,0.01939,490,"490G00014845","Barking"
32640,5,51.53019,0.09407,490,"490G00010105","Barking"
32757,5,51.55263,0.05982,490,"490G00014800","Barking"
33171,5,51.50183,0.1028,490,"490G00007382","Barking"
33174,5,51.58176,0.05806,490,"490G00007383","Barking"
33225,5,51.56356,0.00842,490," 910GLYTNSHR","Barking"
33225,2,51.56356,0.00842,490," 910GLYTNSHR","Barking"
33257,2,51.55912,0.06969,490,"  910GILFORD","Barking"
33257,5,51.55912,0.06969,490,"  910GILFORD","Barking"
33436,5,51.54151,0.04955,490,"490G00014942","Barking"
33849,5,51.58347,0.00998,490,"490G00013359","Barking"
34490,5,51.54841,0.09978,490,"490G00013653","Barking"
34780,5,51.59391,0.03685,490,"490G00005157","Barking"
35169,5,51.52637,0.06376,490,"490G00003745","Barking"
35171,5,51.51654,0.04419,490,"490G00003748","Barking"
35201,5,51.52626,0.02901,490,"490G00011041","Barking"
35444,5,51.59298,0.03658,490,"490G00012285","Barking"
35498,5,51.52139,0.07028,490,"490G00005335","Barking"
35665,5,51.5088,0.05494,490," 940GZZDLBPK","Barking"
35665,3,51.5088,0.05494,490," 940GZZDLBPK","Barking"
35864,5,51.57682,0.01174,490,"490G00012178","Barking"
35877,5,51.53312,0.05438,490,"490G00010218","Barking"
35884,5,51.52232,0.03115,490,"490G00010215","Barking"
36973,5,51.52592,0.06743,490,"490G00006320","Barking"
37096,5,51.56625,0.02485,490,"490G00004087","Barking"
37147,5,51.5677,0.05983,490,"490G00012013","Barking"
37334,5,51.59575,0.02069,490,"490G00007137","Barking"
37521,5,51.52916,0.08746,490,"490G00008742","Barking"
37630,5,51.54118,0.05062,490,"490G00007200","Barking"
37680,5,51.52494,0.09517,490,"490G00013219","Barking"
37682,5,51.52491,0.11078,490,"490G00013210","Barking"
37684,5,51.50671,0.10787,490,"490G00013214","Barking"
37734,5,51.5043,0.07101,490,"490G00003664","Barking"
38379,5,51.54752,0.01274,490,"490G00009760","Barking"
38471,5,51.54197,0.02624,490,"490G00012702","Barking"
38876,2,51.5395,0.08091,490," 910GBARKING","Barking"
