"node","layer","lat","lon","zone","atcocode","city"
229,5,53.56031,-1.47252,370,"  370G104224","Barnsley"
230,5,53.56352,-1.47093,370,"  370G104226","Barnsley"
231,5,53.56531,-1.47171,370,"  370G104227","Barnsley"
232,5,53.5832,-1.50837,370,"  370G104220","Barnsley"
236,5,53.56778,-1.47234,370,"  370G104228","Barnsley"
286,5,53.51919,-1.47418,370,"  370G102106","Barnsley"
529,5,53.61379,-1.47724,450,"    450G7240","Barnsley"
845,5,53.54171,-1.47997,370,"  370G104574","Barnsley"
859,5,53.54192,-1.47826,370,"  370G104575","Barnsley"
872,5,53.5417,-1.47571,370,"  370G104576","Barnsley"
884,5,53.56371,-1.45291,370,"  370G104529","Barnsley"
930,5,53.51506,-1.54878,370,"  370G104381","Barnsley"
932,5,53.53958,-1.52056,370,"  370G104386","Barnsley"
936,5,53.53709,-1.5198,370,"  370G104388","Barnsley"
996,5,53.57501,-1.41349,370,"  370G104430","Barnsley"
1029,5,53.58211,-1.41342,370,"  370G104432","Barnsley"
1044,5,53.56952,-1.40863,370,"  370G104435","Barnsley"
1068,5,53.56753,-1.40591,370,"  370G104437","Barnsley"
1332,5,53.52596,-1.40551,370,"  370G104636","Barnsley"
1462,5,53.56303,-1.4916,370,"  370G104173","Barnsley"
1487,5,53.56439,-1.4984,370,"  370G104175","Barnsley"
1777,5,53.59684,-1.38547,370,"  370G104478","Barnsley"
1784,5,53.5955,-1.38345,370,"  370G104474","Barnsley"
1797,5,53.59834,-1.41455,370,"  370G104472","Barnsley"
1879,5,53.50335,-1.4086,370,"  370G104777","Barnsley"
2020,5,53.53795,-1.46518,370,"  370G104299","Barnsley"
2021,5,53.53568,-1.47354,370,"  370G104298","Barnsley"
2034,5,53.53458,-1.47553,370,"  370G104295","Barnsley"
2039,5,53.54026,-1.46802,370,"  370G104297","Barnsley"
2063,5,53.50078,-1.44643,370,"  370G104809","Barnsley"
2064,5,53.5091,-1.44045,370,"  370G104802","Barnsley"
2065,5,53.50855,-1.442,370,"  370G104803","Barnsley"
2067,5,53.50879,-1.43966,370,"  370G104805","Barnsley"
2272,5,53.57861,-1.45925,370,"  370G100798","Barnsley"
2276,5,53.50901,-1.37967,370,"  370G100797","Barnsley"
2605,5,53.55961,-1.48677,370,"  370G104171","Barnsley"
2612,5,53.56362,-1.49389,370,"  370G104174","Barnsley"
2621,5,53.56563,-1.50249,370,"  370G104177","Barnsley"
2739,5,53.52712,-1.46882,370,"  370G104309","Barnsley"
2741,5,53.53204,-1.46763,370,"  370G104303","Barnsley"
2742,5,53.53288,-1.47336,370,"  370G104302","Barnsley"
2743,5,53.53505,-1.46456,370,"  370G104301","Barnsley"
2745,5,53.52647,-1.47038,370,"  370G104307","Barnsley"
2746,5,53.53149,-1.47208,370,"  370G104306","Barnsley"
2747,5,53.52879,-1.47108,370,"  370G104305","Barnsley"
2748,5,53.52982,-1.46931,370,"  370G104304","Barnsley"
3625,5,53.47163,-1.49817,370,"  370G100088","Barnsley"
3626,5,53.4701,-1.49437,370,"  370G100089","Barnsley"
3629,5,53.47335,-1.49699,370,"  370G100084","Barnsley"
3630,5,53.47224,-1.5023,370,"  370G100085","Barnsley"
3631,5,53.47158,-1.50199,370,"  370G100086","Barnsley"
3632,5,53.47127,-1.49969,370,"  370G100087","Barnsley"
3633,5,53.47375,-1.48514,370,"  370G100080","Barnsley"
3634,5,53.47429,-1.48855,370,"  370G100081","Barnsley"
3635,5,53.47518,-1.49318,370,"  370G100082","Barnsley"
3649,5,53.48472,-1.45212,370,"  370G102828","Barnsley"
3650,5,53.48058,-1.45059,370,"  370G102829","Barnsley"
3744,5,53.60048,-1.55175,370,"  370G104210","Barnsley"
4064,5,53.56701,-1.43202,370,"  370G104419","Barnsley"
4070,5,53.55424,-1.45465,370,"  370G104410","Barnsley"
4253,5,53.59574,-1.44538,370,"  370G104718","Barnsley"
4267,5,53.55004,-1.51135,370,"  370G104710","Barnsley"
4270,5,53.59294,-1.45199,370,"  370G104712","Barnsley"
4276,5,53.5954,-1.45031,370,"  370G104714","Barnsley"
4686,5,53.54104,-1.45974,370,"  370G104594","Barnsley"
4690,5,53.54584,-1.44315,370,"  370G104590","Barnsley"
5081,5,53.58443,-1.5175,370,"  370G101508","Barnsley"
5086,5,53.56814,-1.54592,370,"  370G101502","Barnsley"
5087,5,53.56816,-1.53417,370,"  370G101500","Barnsley"
5351,5,53.611,-1.50614,450,"    450G7194","Barnsley"
5900,5,53.51113,-1.37079,370,"  370G103069","Barnsley"
6322,5,53.53885,-1.60003,370,"  370G104964","Barnsley"
6323,5,53.53865,-1.60348,370,"  370G104963","Barnsley"
6324,5,53.53916,-1.60521,370,"  370G104962","Barnsley"
6492,5,53.58041,-1.4601,370,"  370G104519","Barnsley"
6494,5,53.58021,-1.46599,370,"  370G104517","Barnsley"
6496,5,53.58068,-1.47118,370,"  370G104512","Barnsley"
6872,5,53.59075,-1.50071,370,"  370G104276","Barnsley"
6901,5,53.5903,-1.49637,370,"  370G104260","Barnsley"
6902,5,53.6119,-1.40285,450,"    450G7328","Barnsley"
6908,5,53.61572,-1.4062,450,"    450G7326","Barnsley"
6910,5,53.61786,-1.41079,450,"    450G7325","Barnsley"
7155,5,53.55313,-1.45823,370,"  370G104409","Barnsley"
7166,5,53.49713,-1.46452,370,"  370G104845","Barnsley"
7227,5,53.58539,-1.44597,370,"  370G104706","Barnsley"
7230,5,53.57929,-1.45173,370,"  370G104702","Barnsley"
7387,5,53.53494,-1.56347,910,"  910GSKSCMN","Barnsley"
7387,2,53.53494,-1.56347,910,"  910GSKSCMN","Barnsley"
7484,5,53.56076,-1.50519,370,"  370G104166","Barnsley"
7522,5,53.55907,-1.49762,370,"  370G104162","Barnsley"
7548,5,53.55835,-1.49414,370,"  370G104160","Barnsley"
7621,5,53.58791,-1.52002,370,"  370G104275","Barnsley"
7622,5,53.58357,-1.51158,370,"  370G104274","Barnsley"
7623,5,53.58593,-1.52239,370,"  370G104273","Barnsley"
7624,5,53.58935,-1.49958,370,"  370G104270","Barnsley"
7646,5,53.56838,-1.464,370,"  370G104488","Barnsley"
7659,5,53.57042,-1.466,370,"  370G104489","Barnsley"
7672,5,53.49629,-1.45662,370,"  370G104853","Barnsley"
7673,5,53.49487,-1.45881,370,"  370G104857","Barnsley"
7674,5,53.49504,-1.43999,370,"  370G104856","Barnsley"
7675,5,53.49577,-1.44654,370,"  370G104855","Barnsley"
7676,5,53.496,-1.45204,370,"  370G104854","Barnsley"
7677,5,53.48918,-1.45549,370,"  370G104859","Barnsley"
7678,5,53.49467,-1.46221,370,"  370G104858","Barnsley"
7729,5,53.52298,-1.41339,370,"  370G104769","Barnsley"
7730,5,53.5785,-1.41412,370,"  370G104429","Barnsley"
7734,5,53.56679,-1.46249,370,"  370G104487","Barnsley"
7739,5,53.56913,-1.53242,370,"  370G102740","Barnsley"
7775,5,53.56116,-1.45618,370,"  370G104482","Barnsley"
7909,5,53.49554,-1.41962,370,"  370G102995","Barnsley"
8198,5,53.47938,-1.56534,370,"  370G101124","Barnsley"
8259,5,53.47835,-1.56992,370,"  370G101125","Barnsley"
8361,5,53.51629,-1.47601,370,"  370G104332","Barnsley"
8364,5,53.52062,-1.47222,370,"  370G104331","Barnsley"
8365,5,53.51713,-1.48205,370,"  370G104336","Barnsley"
8367,5,53.51329,-1.47938,370,"  370G104334","Barnsley"
8370,5,53.52006,-1.47943,370,"  370G104338","Barnsley"
8371,5,53.49611,-1.48226,370,"  370G104339","Barnsley"
8396,5,53.54416,-1.53093,910," 910GDODWRTH","Barnsley"
8396,2,53.54416,-1.53093,910," 910GDODWRTH","Barnsley"
8745,5,53.59837,-1.45969,370,"  370G104731","Barnsley"
9068,5,53.50839,-1.41052,370,"  370G104787","Barnsley"
9069,5,53.5049,-1.40527,370,"  370G104786","Barnsley"
9070,5,53.50615,-1.40584,370,"  370G104785","Barnsley"
9071,5,53.50881,-1.40688,370,"  370G104784","Barnsley"
9072,5,53.50877,-1.41,370,"  370G104783","Barnsley"
