"node","layer","lat","lon","zone","atcocode","city"
12630,0,51.39843,-3.33895,920,"    920GCWL1","Barry"
12630,5,51.39843,-3.33895,920,"    920GCWL1","Barry"
17200,2,51.43166,-3.21836,910,"  910GDINASP","Barry"
17200,5,51.43166,-3.21836,910,"  910GDINASP","Barry"
23159,2,51.39241,-3.27338,910," 910GBARRYIS","Barry"
23159,5,51.39241,-3.27338,910," 910GBARRYIS","Barry"
23802,5,51.39678,-3.285,910,"   910GBARRY","Barry"
23802,2,51.39678,-3.285,910,"   910GBARRY","Barry"
26774,2,51.38707,-3.3494,910,"  910GRHOOSE","Barry"
26774,5,51.38707,-3.3494,910,"  910GRHOOSE","Barry"
46278,2,51.40244,-3.26072,910," 910GBARRYDK","Barry"
46278,5,51.40244,-3.26072,910," 910GBARRYDK","Barry"
51640,5,51.39843,-3.41343,572,"5720AWA12059","Barry"
51641,5,51.39863,-3.41338,572,"5720AWA12058","Barry"
52176,5,51.42129,-3.41524,572,"5720AWA13177","Barry"
52283,5,51.41091,-3.25858,572,"5720AWA11903","Barry"
52284,5,51.41263,-3.26719,572,"5720AWA11901","Barry"
52354,5,51.39523,-3.38857,572,"5720AWA12050","Barry"
52355,5,51.39852,-3.38927,572,"5720AWA12053","Barry"
52358,5,51.40082,-3.39198,572,"5720AWA12055","Barry"
52360,5,51.40062,-3.39238,572,"5720AWA12054","Barry"
52361,5,51.39799,-3.40407,572,"5720AWA12057","Barry"
52962,5,51.40397,-3.29138,572,"5720AWA11792","Barry"
52965,5,51.40801,-3.28784,572,"5720AWA11797","Barry"
52966,5,51.40607,-3.28664,572,"5720AWA11796","Barry"
52967,5,51.40566,-3.2862,572,"5720AWA11795","Barry"
52968,5,51.40461,-3.28618,572,"5720AWA11794","Barry"
52991,5,51.40128,-3.24454,572,"5720AWA12028","Barry"
53030,5,51.39909,-3.27963,572,"5720WDB48386","Barry"
53432,5,51.41557,-3.25242,572,"5720AWA10011","Barry"
53433,5,51.41683,-3.24912,572,"5720AWA10010","Barry"
55830,5,51.41782,-3.26512,572,"5720AWA10425","Barry"
56337,5,51.41086,-3.2578,572,"5720AWA11904","Barry"
