"node","layer","lat","lon","zone","atcocode","city"
604,5,51.52065,0.4313,159," 159G0039701","Basildon"
1033,5,51.56876,0.43693,150,"150G00003374","Basildon"
1316,5,51.53307,0.47283,159," 159G0044701","Basildon"
1809,5,51.59339,0.42948,150,"150G00000398","Basildon"
1818,5,51.58906,0.43106,150,"150G00000397","Basildon"
2062,5,51.53474,0.45171,159," 159G0040901","Basildon"
2367,5,51.55014,0.46543,150,"150G00003248","Basildon"
2586,5,51.52109,0.43636,159," 159G0039501","Basildon"
2791,5,51.5251,0.46127,159," 159G0042201","Basildon"
3337,5,51.53607,0.4717,159," 159G0044501","Basildon"
4769,5,51.56569,0.4791,150,"150G00002014","Basildon"
4770,5,51.56604,0.48237,150,"150G00002015","Basildon"
4771,5,51.56492,0.48533,150,"150G00002016","Basildon"
4772,5,51.56311,0.48575,150,"150G00002017","Basildon"
4773,5,51.57368,0.4726,150,"150G00002010","Basildon"
4774,5,51.56911,0.48521,150,"150G00002011","Basildon"
4775,5,51.56726,0.4848,150,"150G00002012","Basildon"
4776,5,51.56504,0.4752,150,"150G00002013","Basildon"
4781,5,51.5682,0.48664,150,"150G00002018","Basildon"
4782,5,51.56814,0.49254,150,"150G00002019","Basildon"
4943,5,51.58114,0.49351,150,"150G00001972","Basildon"
4944,5,51.57958,0.49904,150,"150G00001973","Basildon"
4945,5,51.5818,0.48622,150,"150G00001970","Basildon"
4946,5,51.58206,0.49111,150,"150G00001971","Basildon"
4949,5,51.5794,0.50222,150,"150G00001974","Basildon"
6142,5,51.56398,0.40732,150,"150G00002034","Basildon"
6149,5,51.51209,0.41244,159," 159G0036001","Basildon"
6241,5,51.54859,0.36481,159," 159G0036501","Basildon"
7301,5,51.59845,0.44625,150,"150G00003158","Basildon"
7304,5,51.55686,0.45926,150,"150G00003157","Basildon"
7747,5,51.53097,0.47361,159," 159G0044901","Basildon"
8732,5,51.51562,0.43511,159," 159G0038101","Basildon"
10345,5,51.56811,0.4568,150," 910GBASILDN","Basildon"
10345,2,51.56811,0.4568,150," 910GBASILDN","Basildon"
10345,4,51.56811,0.4568,150," 910GBASILDN","Basildon"
10910,5,51.53019,0.45661,159," 159G0043001","Basildon"
11353,5,51.51437,0.42304,159," 910GSLEHOPE","Basildon"
11353,2,51.51437,0.42304,159," 910GSLEHOPE","Basildon"
12517,5,51.56194,0.42214,150,"150G00001921","Basildon"
12518,5,51.55896,0.42183,150,"150G00001922","Basildon"
12519,5,51.58318,0.42487,150,"150G00001925","Basildon"
12520,5,51.55668,0.42184,150,"150G00001924","Basildon"
12521,5,51.58769,0.44054,150,"150G00001927","Basildon"
12522,5,51.58601,0.43667,150,"150G00001926","Basildon"
12523,5,51.58845,0.44832,150,"150G00001929","Basildon"
12524,5,51.59109,0.45086,150,"150G00001928","Basildon"
12907,5,51.55353,0.36576,159,"159G07075119","Basildon"
14196,5,51.52352,0.44688,159," 159G0041401","Basildon"
14377,5,51.52194,0.44448,159," 159G0039101","Basildon"
15071,5,51.60191,0.4686,150,"150G00000379","Basildon"
15541,5,51.54333,0.45174,159," 159G0043401","Basildon"
16152,5,51.53713,0.45468,159," 159G0041101","Basildon"
17349,5,51.52481,0.40562,159," 159G0045501","Basildon"
18108,5,51.56561,0.43896,150,"150G00002036","Basildon"
18261,5,51.57435,0.42206,150,"150G00001911","Basildon"
18262,5,51.57366,0.40709,150,"150G00001912","Basildon"
18263,5,51.5737,0.40333,150,"150G00001913","Basildon"
18264,5,51.57168,0.40059,150,"150G00001914","Basildon"
18265,5,51.57051,0.40449,150,"150G00001915","Basildon"
