"node","layer","lat","lon","zone","atcocode","city"
69,5,53.73138,-1.65371,450,"    450G7852","Batley"
371,5,53.70189,-1.62681,450,"    450G6951","Batley"
567,5,53.73055,-1.65046,450,"    450G7143","Batley"
568,5,53.70783,-1.64537,450,"    450G7140","Batley"
569,5,53.71624,-1.61341,450,"    450G7149","Batley"
878,5,53.70173,-1.61483,450,"    450G5011","Batley"
882,5,53.70336,-1.61568,450,"    450G5015","Batley"
1209,5,53.71064,-1.68573,450,"    450G1925","Batley"
1656,5,53.69971,-1.69873,450,"    450G5232","Batley"
1704,5,53.70729,-1.69121,450,"    450G5236","Batley"
1951,5,53.73243,-1.66757,450,"    450G5370","Batley"
3051,5,53.70171,-1.63137,450,"   450G20337","Batley"
3532,5,53.70932,-1.68351,450,"    450G1926","Batley"
4079,5,53.71452,-1.67824,450,"    450G5160","Batley"
4083,5,53.7317,-1.66007,450,"    450G5168","Batley"
5276,5,53.70424,-1.61224,450,"    450G5017","Batley"
5959,5,53.73336,-1.67167,450,"    450G5989","Batley"
5962,5,53.73495,-1.67575,450,"    450G5987","Batley"
6117,5,53.72304,-1.66305,450,"    450G5206","Batley"
6118,5,53.71962,-1.66904,450,"    450G5204","Batley"
6119,5,53.71807,-1.67152,450,"    450G5203","Batley"
6122,5,53.71485,-1.68074,450,"    450G5200","Batley"
6224,5,53.69831,-1.65198,450,"    450G7113","Batley"
6225,5,53.7067,-1.65414,450,"    450G7112","Batley"
6226,5,53.69802,-1.64162,450,"    450G7115","Batley"
6227,5,53.69813,-1.64756,450,"    450G7114","Batley"
6882,5,53.71054,-1.67262,450,"    450G7096","Batley"
6888,5,53.71726,-1.66999,450,"    450G7099","Batley"
7618,5,53.70012,-1.70306,450,"    450G5228","Batley"
7763,5,53.71295,-1.67704,450,"    450G5159","Batley"
8006,5,53.69736,-1.62948,450,"    450G6952","Batley"
8716,5,53.7184,-1.63313,450,"    450G7010","Batley"
9645,5,53.70713,-1.67336,450,"    450G1935","Batley"
