"node","layer","lat","lon","zone","atcocode","city"
154,5,51.48817,-0.13813,490,"490G00011004","Battersea"
392,5,51.46193,-0.20581,490,"490G00012188","Battersea"
395,5,51.46138,-0.1586,490,"490G00012182","Battersea"
1115,5,51.44711,-0.19878,490,"490G00012532","Battersea"
1189,5,51.45016,-0.18172,490,"490G00012574","Battersea"
1406,5,51.48129,-0.13799,490,"490G00005777","Battersea"
2132,5,51.44981,-0.22278,490,"490G00015450","Battersea"
2355,5,51.45813,-0.19498,490,"490G00014190","Battersea"
2356,5,51.46679,-0.15061,490,"490G00014192","Battersea"
2989,5,51.483,-0.13367,490,"490G00006515","Battersea"
3028,5,51.45482,-0.20878,490,"490G00014475","Battersea"
4273,5,51.46946,-0.15446,490,"490G00014649","Battersea"
5237,5,51.45243,-0.17953,490,"490G00007998","Battersea"
7323,5,51.47634,-0.13055,490,"490G00008969","Battersea"
7598,5,51.45031,-0.1992,490,"490G00013493","Battersea"
7980,2,51.44619,-0.16338,490," 910GWANDCMN","Battersea"
7980,5,51.44619,-0.16338,490," 910GWANDCMN","Battersea"
8061,5,51.45865,-0.19832,490,"490G00007044","Battersea"
8415,5,51.46818,-0.18591,490,"490G00011917","Battersea"
8802,5,51.48328,-0.14955,490,"490G00005064","Battersea"
9726,5,51.45268,-0.14274,490,"490G00004889","Battersea"
9824,5,51.45424,-0.16102,490,"490G00018670","Battersea"
10421,5,51.45432,-0.19714,490,"490G00004492","Battersea"
10548,5,51.47597,-0.1471,490," 910GQTRDBAT","Battersea"
10548,2,51.47597,-0.1471,490," 910GQTRDBAT","Battersea"
12237,5,51.4747,-0.13217,490,"490G00008978","Battersea"
12553,5,51.46755,-0.16107,490,"490G00015971","Battersea"
12678,5,51.44323,-0.15242,490,"  910GBALHAM","Battersea"
12678,2,51.44323,-0.15242,490,"  910GBALHAM","Battersea"
12678,3,51.44323,-0.15242,490,"  910GBALHAM","Battersea"
13437,5,51.4576,-0.16582,490,"490G00011862","Battersea"
13452,5,51.46993,-0.17429,490,"490G00003543","Battersea"
13641,5,51.46105,-0.20227,490,"490G00006768","Battersea"
14762,5,51.46496,-0.18084,490,"490G00005045","Battersea"
15087,5,51.44991,-0.20152,490,"490G00007376","Battersea"
15418,5,51.46581,-0.17774,490,"490G00008280","Battersea"
17204,5,51.45661,-0.15419,490,"490G00015965","Battersea"
17207,5,51.45494,-0.15871,490,"490G00015969","Battersea"
17475,5,51.46728,-0.18995,490,"490G00008434","Battersea"
18446,5,51.47022,-0.13852,490," 910GWNDSWRD","Battersea"
18446,2,51.47022,-0.13852,490," 910GWNDSWRD","Battersea"
18520,5,51.45834,-0.19684,490,"490G00003383","Battersea"
18580,5,51.48685,-0.1453,490,"490G00014504","Battersea"
19506,5,51.46099,-0.1629,490,"490G00006403","Battersea"
21046,2,51.44234,-0.18771,490,"  910GERLFLD","Battersea"
21046,5,51.44234,-0.18771,490,"  910GERLFLD","Battersea"
21212,5,51.46398,-0.14978,490,"490G00005919","Battersea"
21397,5,51.44794,-0.20417,490,"490G00004880","Battersea"
21502,5,51.45736,-0.1961,490,"490G00014189","Battersea"
22118,5,51.45716,-0.14325,490,"490G00006520","Battersea"
23863,5,51.46469,-0.16071,490,"490G00010524","Battersea"
23985,5,51.46233,-0.14925,490,"490G00004912","Battersea"
24057,5,51.4613,-0.14906,490,"490G00004913","Battersea"
24837,5,51.46997,-0.17166,490,"490G00003687","Battersea"
25945,4,51.45686,-0.19311,490,"490G00014184","Battersea"
25945,5,51.45686,-0.19311,490,"490G00014184","Battersea"
26202,5,51.47367,-0.16,490,"490G00003685","Battersea"
26301,5,51.45844,-0.17454,490,"490G00012379","Battersea"
26804,5,51.45184,-0.19055,490,"490G00013484","Battersea"
26906,5,51.45524,-0.17628,490,"490G00014769","Battersea"
27200,2,51.46419,-0.17029,490," 910GCLPHMJC","Battersea"
27200,5,51.46419,-0.17029,490," 910GCLPHMJC","Battersea"
27971,5,51.45072,-0.15608,490,"490G00011411","Battersea"
28842,5,51.46127,-0.1447,490,"490G00011673","Battersea"
28861,5,51.45444,-0.16425,490,"490G00005964","Battersea"
28901,5,51.44173,-0.17155,490,"490G00009649","Battersea"
28963,5,51.44926,-0.14802,490,"490G00003175","Battersea"
29443,5,51.4491,-0.22773,490,"490G00013567","Battersea"
