"node","layer","lat","lon","zone","atcocode","city"
174,5,51.39274,-0.05207,490,"490G00013370","Beckenham"
179,5,51.36989,-0.03117,490,"490G00013378","Beckenham"
204,5,51.3895,0.01308,490,"490G00016470","Beckenham"
332,5,51.40286,-0.0642,490,"490G00009683","Beckenham"
383,5,51.3939,0.04522,490,"490G00004104","Beckenham"
911,5,51.44326,0.01504,490,"490G00007801","Beckenham"
992,5,51.38822,0.01748,490,"490G00010307","Beckenham"
1001,5,51.36271,0.03907,490,"490G00011651","Beckenham"
1088,5,51.4423,-0.01,490,"490G00012684","Beckenham"
1322,5,51.34353,0.03225,490,"490G00004073","Beckenham"
1387,5,51.4065,-0.06401,490,"490G00003318","Beckenham"
1489,5,51.38491,-0.00095,490,"490G00014527","Beckenham"
1902,5,51.42446,-0.08383,490,"  910GGIPSYH","Beckenham"
1902,2,51.42446,-0.08383,490,"  910GGIPSYH","Beckenham"
2024,5,51.40109,-0.00417,490,"490G00012119","Beckenham"
2093,5,51.43177,-0.04612,490,"490G00005920","Beckenham"
2118,5,51.40923,0.06442,490,"490G00004716","Beckenham"
2133,5,51.4451,-0.00951,490,"490G00015457","Beckenham"
2158,5,51.383,0.0399,490,"490G00013856","Beckenham"
2189,5,51.37171,-0.03116,490,"490G00012102","Beckenham"
2191,5,51.36825,0.02474,490,"490G00005859","Beckenham"
2239,5,51.34305,0.05095,490,"490G00006764","Beckenham"
2531,5,51.42443,0.00112,490,"490G00008605","Beckenham"
2708,2,51.40833,0.017,490," 910GBROMLYN","Beckenham"
2708,5,51.40833,0.017,490," 910GBROMLYN","Beckenham"
2737,5,51.41018,0.02991,490,"490G00011960","Beckenham"
2760,5,51.39998,0.01735,490," 910GBROMLYS","Beckenham"
2760,2,51.39998,0.01735,490," 910GBROMLYS","Beckenham"
2778,5,51.40492,-0.00536,490,"490G00003739","Beckenham"
2850,5,51.40087,0.00024,490,"490G00012791","Beckenham"
2893,5,51.43678,-0.03989,490,"490G00008716","Beckenham"
2990,5,51.43895,-0.03308,490,"490G00006510","Beckenham"
3111,5,51.41567,-0.02483,490,"490G00004226","Beckenham"
3290,5,51.43097,-0.06576,490,"490G00005576","Beckenham"
3405,5,51.40573,-0.01391,490,"490G00010952","Beckenham"
3895,5,51.36244,0.05906,490,"490G00008203","Beckenham"
3900,5,51.38122,-0.04242,490,"490G00014891","Beckenham"
4203,5,51.38584,0.04284,490,"490G00004336","Beckenham"
4237,5,51.41682,-0.02734,490,"490G00014948","Beckenham"
4698,5,51.42663,-0.06629,490,"490G00004998","Beckenham"
5235,5,51.43839,0.01739,490,"490G00007992","Beckenham"
5242,5,51.37483,0.01957,490,"490G00003676","Beckenham"
5277,5,51.37734,-0.02259,490,"490G00014528","Beckenham"
5278,5,51.37577,-0.01465,490,"490G00014529","Beckenham"
5486,5,51.38351,0.01257,490,"490G00006385","Beckenham"
5580,5,51.43647,-0.06474,490,"490G00008849","Beckenham"
5646,5,51.4454,-0.01339,490,"490G00008598","Beckenham"
5651,5,51.36082,0.08911,490,"490G00005748","Beckenham"
5666,5,51.44171,0.00415,490,"490G00014026","Beckenham"
5733,5,51.41982,0.01827,490,"490G00012325","Beckenham"
5836,5,51.41212,-0.01398,490,"490G00013417","Beckenham"
5892,2,51.44458,-0.02554,490," 910GCATFBDG","Beckenham"
5892,5,51.44458,-0.02554,490," 910GCATFBDG","Beckenham"
6422,5,51.39696,0.02331,490,"490G00003934","Beckenham"
6444,5,51.44215,-0.00204,490,"490G00012534","Beckenham"
7011,5,51.43229,-0.03751,490,"490G00003368","Beckenham"
7012,5,51.43736,-0.00174,490,"490G00003369","Beckenham"
7198,5,51.42296,-0.06331,490,"490G00013126","Beckenham"
7287,5,51.40663,0.029,490,"490G00014207","Beckenham"
7336,5,51.42472,-0.00252,490,"490G00011423","Beckenham"
7381,5,51.34499,0.04722,490,"490G00006160","Beckenham"
7509,5,51.43551,0.0199,490,"490G00015292","Beckenham"
7710,5,51.42582,0.00159,490,"490G00007221","Beckenham"
7809,5,51.39615,0.02759,490,"490G00007407","Beckenham"
7885,5,51.3602,0.06483,490,"490G00006754","Beckenham"
7886,5,51.35635,0.08913,490,"490G00006755","Beckenham"
7888,5,51.4266,-0.02282,490,"490G00006750","Beckenham"
8444,5,51.40972,0.03289,490,"490G00003700","Beckenham"
8859,2,51.42725,-0.05424,910," 910GSYDENHM","Beckenham"
8859,5,51.42725,-0.05424,910," 910GSYDENHM","Beckenham"
8961,5,51.3738,0.00147,490,"490G00005545","Beckenham"
9059,5,51.42491,-0.04394,490,"490G00016497","Beckenham"
9116,5,51.44866,-0.01733,490,"490G00011703","Beckenham"
9321,5,51.42878,-0.04672,490,"490G00004593","Beckenham"
10019,5,51.41113,-0.05554,490,"490G00003494","Beckenham"
10108,5,51.43069,-0.06267,490,"490G00005278","Beckenham"
10339,5,51.37365,0.0758,490,"490G00005788","Beckenham"
10368,2,51.42458,-0.01594,490," 910GBCKNHMH","Beckenham"
10368,5,51.42458,-0.01594,490," 910GBCKNHMH","Beckenham"
10483,5,51.43354,-0.0587,490,"490G00013131","Beckenham"
10573,5,51.43169,-0.07314,490,"490G00014370","Beckenham"
10917,5,51.42593,0.02157,490,"490G00013782","Beckenham"
10959,5,51.42908,0.03826,490,"490G00006215","Beckenham"
11426,5,51.42652,-0.075,490,"490G00006965","Beckenham"
11730,5,51.39009,-0.02635,490,"    910GEDPK","Beckenham"
11730,2,51.39009,-0.02635,490,"    910GEDPK","Beckenham"
11801,5,51.38862,0.07449,910,"  910GPETSWD","Beckenham"
11801,2,51.38862,0.07449,910,"  910GPETSWD","Beckenham"
12101,5,51.42468,0.00794,490,"490G00013993","Beckenham"
12268,5,51.41114,0.00214,490,"490G00004412","Beckenham"
12270,5,51.41735,0.00363,490,"490G00004418","Beckenham"
12277,2,51.41756,-0.06083,490,"   910GPENEW","Beckenham"
12277,5,51.41756,-0.06083,490,"   910GPENEW","Beckenham"
12357,5,51.37227,-0.03503,490,"490G00009891","Beckenham"
12682,5,51.42666,-0.04162,490,"490G00008147","Beckenham"
12690,5,51.40389,-0.05573,490," 910GBIRKBCK","Beckenham"
12690,2,51.40389,-0.05573,490," 910GBIRKBCK","Beckenham"
12690,3,51.40389,-0.05573,490," 910GBIRKBCK","Beckenham"
12763,2,51.43087,0.02173,490,"   910GGRVPK","Beckenham"
12763,5,51.43087,0.02173,490,"   910GGRVPK","Beckenham"
12775,2,51.42483,-0.03334,490," 910GLSYDNHM","Beckenham"
12775,5,51.42483,-0.03334,490," 910GLSYDNHM","Beckenham"
13104,5,51.41301,0.00793,490,"490G00014230","Beckenham"
13105,5,51.41187,2e-04,490,"490G00014232","Beckenham"
