"node","layer","lat","lon","zone","atcocode","city"
503,5,51.55089,0.12996,490,"490G00010856","Becontree"
1031,5,51.60499,0.07282,150,"150G00003376","Becontree"
1034,5,51.60727,0.06682,150,"150G00003375","Becontree"
1081,5,51.56338,0.14654,490,"490G00008536","Becontree"
1173,5,51.59784,0.08468,490,"490G00010189","Becontree"
1199,5,51.6062,0.10305,490,"490G00007648","Becontree"
1203,5,51.62636,0.06318,150,"150G00000942","Becontree"
1204,5,51.62243,0.06945,150,"150G00000943","Becontree"
1205,5,51.62132,0.07498,150,"150G00000944","Becontree"
1206,5,51.61403,0.06979,150,"150G00000946","Becontree"
1207,5,51.61142,0.06386,150,"150G00000947","Becontree"
1208,5,51.61219,0.0877,150,"150G00000949","Becontree"
1437,5,51.58464,0.13574,490,"490G00009014","Becontree"
1706,5,51.53985,0.14264,490,"490G00007315","Becontree"
2007,5,51.61571,0.03966,490,"490G00016165","Becontree"
2354,5,51.60199,0.07597,490,"490G00014197","Becontree"
2570,5,51.5872,0.06951,490,"490G00009341","Becontree"
3400,5,51.56885,0.08383,490,"490G00010955","Becontree"
4129,5,51.53959,0.13857,490,"490G00007898","Becontree"
4301,5,51.61721,0.04366,940," 940GZZLURVY","Becontree"
4301,3,51.61721,0.04366,940," 940GZZLURVY","Becontree"
5089,5,51.55541,0.1084,490,"490G00009100","Becontree"
5289,5,51.58951,0.08157,490,"490G00007012","Becontree"
5295,5,51.55419,0.11727,490,"490G00009733","Becontree"
5307,5,51.59176,0.05769,490,"490G00005636","Becontree"
5841,5,51.60367,0.09349,490," 940GZZLUHLT","Becontree"
5841,3,51.60367,0.09349,490," 940GZZLUHLT","Becontree"
5902,5,51.54329,0.12665,490,"490G00011811","Becontree"
5995,5,51.54869,0.11363,490,"490G00008457","Becontree"
7057,5,51.55076,0.13128,490,"490G00008792","Becontree"
7180,5,51.55371,0.09457,490,"490G00006656","Becontree"
7636,5,51.5513,0.12409,490,"490G00003535","Becontree"
8144,5,51.54156,0.11289,490,"490G00011123","Becontree"
8331,5,51.57474,0.14093,490,"490G00009883","Becontree"
8450,5,51.57994,0.10331,490,"490G00011412","Becontree"
8546,5,51.56173,0.1312,490,"490G00013985","Becontree"
8574,5,51.57156,0.14231,490,"490G00004948","Becontree"
9045,5,51.55957,0.09242,490,"490G00012330","Becontree"
9101,5,51.5958,0.0844,490,"490G00013704","Becontree"
9659,5,51.54848,0.1271,490,"490G00009676","Becontree"
9873,5,51.55805,0.12331,490,"490G00014121","Becontree"
9999,5,51.60442,0.04763,490,"490G00012214","Becontree"
10844,5,51.56132,0.14943,490,"490G00019017","Becontree"
10916,5,51.60302,0.08896,490,"490G00013783","Becontree"
11098,5,51.58122,0.08405,490,"490G00003194","Becontree"
11738,5,51.54418,0.11313,490,"490G00012644","Becontree"
12737,5,51.61232,0.10792,490,"490G00016629","Becontree"
12796,5,51.55113,0.14741,490,"490G00010703","Becontree"
14327,5,51.61065,0.0967,490,"490G00013253","Becontree"
14834,5,51.56842,0.11887,490,"490G00007578","Becontree"
15962,5,51.56171,0.12377,490,"490G00013542","Becontree"
16025,5,51.55884,0.13014,490,"490G00003759","Becontree"
16049,5,51.55126,0.11868,490,"490G00009182","Becontree"
16547,5,51.55572,0.12861,490,"490G00009179","Becontree"
16720,5,51.55633,0.09429,490,"490G00007033","Becontree"
17135,5,51.57145,0.08351,490,"490G00009478","Becontree"
17272,5,51.61338,0.09208,150," 940GZZLUGGH","Becontree"
17272,3,51.61338,0.09208,150," 940GZZLUGGH","Becontree"
17617,2,51.56804,0.12897,490," 910GCHDWLHT","Becontree"
17617,5,51.56804,0.12897,490," 910GCHDWLHT","Becontree"
19795,5,51.59136,0.06824,490,"490G00003919","Becontree"
19799,5,51.56694,0.08391,490,"490G00003912","Becontree"
20192,5,51.5856,0.11956,490,"490G00007652","Becontree"
20194,5,51.58662,0.12529,490,"490G00007651","Becontree"
20210,5,51.62134,0.04667,150,"150G00000939","Becontree"
20437,5,51.55873,0.10936,490,"490G00009793","Becontree"
20602,5,51.55852,0.09361,490,"490G00012329","Becontree"
21861,5,51.60227,0.04517,490,"490G00003728","Becontree"
21878,5,51.59104,0.07566,490,"490G00010055","Becontree"
22407,5,51.60539,0.09946,490,"490G00003813","Becontree"
22655,5,51.54664,0.13766,490,"490G00012409","Becontree"
22884,5,51.59694,0.06816,490,"490G00004857","Becontree"
23395,5,51.58164,0.12795,490,"490G00012232","Becontree"
23689,5,51.59489,0.07815,490,"490G00015391","Becontree"
24386,5,51.58104,0.13905,490,"490G00014551","Becontree"
24387,5,51.561,0.14645,490,"490G00014550","Becontree"
25198,5,51.53174,0.12935,490,"490G00007314","Becontree"
25529,5,51.6123,0.10256,490,"490G00018377","Becontree"
25530,5,51.60943,0.10962,490,"490G00018376","Becontree"
25531,5,51.61153,0.09729,490,"490G00018379","Becontree"
25533,5,51.52291,0.13804,490,"490G00018857","Becontree"
26363,5,51.54876,0.13384,490,"490G00013135","Becontree"
26805,5,51.60112,0.08439,490,"490G00013481","Becontree"
27493,5,51.53224,0.11918,490,"490G00011527","Becontree"
27656,5,51.55222,0.11467,490,"490G00009295","Becontree"
27702,5,51.54667,0.11338,490,"490G00008523","Becontree"
27806,5,51.57657,0.12225,490,"490G00004950","Becontree"
28241,5,51.58569,0.0886,490," 940GZZLUBKE","Becontree"
28241,3,51.58569,0.0886,490," 940GZZLUBKE","Becontree"
28950,5,51.57764,0.09872,490,"490G00003171","Becontree"
28996,5,51.53819,0.1183,490,"490G00004762","Becontree"
29107,5,51.58241,0.1159,490,"490G00003620","Becontree"
