"node","layer","lat","lon","zone","atcocode","city"
12818,5,52.1579,-0.35288,20,"  020GGTBRFD","Bedford"
16982,2,52.12949,-0.4675,20," 910GBESJOHN","Bedford"
16982,5,52.12949,-0.4675,20," 910GBESJOHN","Bedford"
18445,5,52.12554,-0.45765,20," 020GLDNBRFD","Bedford"
38644,2,52.06909,-0.52068,20," 910GSTWRTBY","Bedford"
38644,5,52.06909,-0.52068,20," 910GSTWRTBY","Bedford"
39227,2,52.1362,-0.47944,20,"  910GBEDFDM","Bedford"
39227,5,52.1362,-0.47944,20,"  910GBEDFDM","Bedford"
39227,4,52.1362,-0.47944,20,"  910GBEDFDM","Bedford"
51938,5,52.05642,-0.44085,21,"   021024071","Bedford"
51939,5,52.05443,-0.44058,21,"   021024070","Bedford"
53493,5,52.06363,-0.55067,21,"   021024100","Bedford"
54630,5,52.21483,-0.46359,20,"   020037050","Bedford"
55301,5,52.15357,-0.4268,20,"   020035479","Bedford"
58485,5,52.11236,-0.48987,20,"   020035698","Bedford"
58487,5,52.11322,-0.49587,20,"   020035692","Bedford"
58488,5,52.11101,-0.49042,20,"   020035697","Bedford"
58489,5,52.11079,-0.49355,20,"   020035694","Bedford"
59066,5,52.1515,-0.44276,20,"   020035212","Bedford"
61137,5,52.10813,-0.46556,20,"   020035723","Bedford"
61808,5,52.15,-0.42752,20,"   020035185","Bedford"
61872,5,52.14954,-0.42191,20,"   020035189","Bedford"
62966,5,52.06818,-0.51124,20,"   020036100","Bedford"
64269,5,52.21478,-0.46347,20,"   020037049","Bedford"
64270,5,52.21446,-0.4564,20,"   020037048","Bedford"
64272,5,52.21334,-0.50455,20,"   020037045","Bedford"
64273,5,52.21835,-0.51299,20,"   020037044","Bedford"
64274,5,52.21438,-0.45618,20,"   020037047","Bedford"
64275,5,52.21342,-0.50463,20,"   020037046","Bedford"
64276,5,52.21171,-0.5099,20,"   020037041","Bedford"
64277,5,52.1932,-0.51168,20,"   020037040","Bedford"
64278,5,52.211,-0.50988,20,"   020037042","Bedford"
64736,5,52.13016,-0.33882,21,"   021027101","Bedford"
66821,5,52.13743,-0.47113,20,"   020035048","Bedford"
68137,5,52.116,-0.49991,20,"   020035689","Bedford"
68138,5,52.11933,-0.49398,20,"   020035688","Bedford"
68140,5,52.12613,-0.49034,20,"   020035681","Bedford"
68141,5,52.12714,-0.49454,20,"   020035680","Bedford"
68142,5,52.12621,-0.4903,20,"   020035682","Bedford"
68143,5,52.123,-0.48606,20,"   020035685","Bedford"
68144,5,52.12438,-0.48592,20,"   020035684","Bedford"
68145,5,52.12071,-0.49012,20,"   020035687","Bedford"
68146,5,52.12135,-0.48915,20,"   020035686","Bedford"
71172,5,52.06455,-0.54659,21,"   021024017","Bedford"
71173,5,52.06257,-0.5474,21,"   021024016","Bedford"
71174,5,52.0625,-0.54746,21,"   021024015","Bedford"
71175,5,52.06126,-0.54558,21,"   021024014","Bedford"
71176,5,52.06093,-0.54534,21,"   021024013","Bedford"
71180,5,52.06456,-0.55202,21,"   021024019","Bedford"
71181,5,52.06547,-0.54627,21,"   021024018","Bedford"
72204,5,52.14228,-0.53997,20,"   020037144","Bedford"
72205,5,52.15231,-0.53339,20,"   020037142","Bedford"
72206,5,52.15243,-0.53309,20,"   020037143","Bedford"
72257,5,52.12131,-0.46713,20,"   020035613","Bedford"
73686,5,52.19409,-0.51519,20,"   020037038","Bedford"
73687,5,52.19335,-0.51172,20,"   020037039","Bedford"
