"node","layer","lat","lon","zone","atcocode","city"
351,5,51.44828,0.17895,490,"    910GCRFD","Bexley"
351,2,51.44828,0.17895,490,"    910GCRFD","Bexley"
352,5,51.36106,0.10894,490,"490G00009535","Bexley"
505,5,51.42595,0.13515,490,"490G00010858","Bexley"
979,5,51.36397,0.09241,490,"490G00010639","Bexley"
1196,5,51.36249,0.1004,490,"490G00007642","Bexley"
1480,5,51.45557,0.15136,490,"490G00003972","Bexley"
1540,5,51.4599,0.15303,490,"490G00003974","Bexley"
1752,5,51.39248,0.1146,490,"490G00004078","Bexley"
1900,5,51.44787,0.15311,490,"490G00004074","Bexley"
2103,5,51.45294,0.13315,490,"490G00003661","Bexley"
2754,5,51.38938,0.10379,490,"490G00003486","Bexley"
2777,5,51.41652,0.08952,490,"490G00003735","Bexley"
3055,5,51.40912,0.11268,490,"490G00009863","Bexley"
3408,5,51.40391,0.08981,490,"490G00012884","Bexley"
3473,5,51.36842,0.09737,490,"490G00005021","Bexley"
3725,5,51.4779,0.16286,490,"490G00019181","Bexley"
3745,5,51.43712,0.16178,490,"490G00012799","Bexley"
3786,5,51.36394,0.10716,490,"490G00005025","Bexley"
3808,5,51.36625,0.09849,490,"490G00005023","Bexley"
4178,5,51.40134,0.08852,490,"490G00004333","Bexley"
4743,5,51.39335,0.11931,490,"490G00010530","Bexley"
4988,5,51.41137,0.11265,490,"490G00016701","Bexley"
4998,5,51.44715,0.12849,490,"490G00015608","Bexley"
5727,5,51.42918,0.11836,490,"490G00005386","Bexley"
6035,5,51.40557,0.09253,490,"490G00004281","Bexley"
6439,5,51.40847,0.09929,490,"490G00004272","Bexley"
6833,5,51.37395,0.11574,490,"490G00006465","Bexley"
6887,5,51.39964,0.09371,490,"490G00009679","Bexley"
7053,5,51.41811,0.0933,490,"490G00009041","Bexley"
7179,5,51.36093,0.10415,490,"490G00006657","Bexley"
7217,5,51.4185,0.11797,490,"490G00011463","Bexley"
7281,5,51.47143,0.16487,490,"490G00008440","Bexley"
7708,5,51.45662,0.17267,490,"490G00009585","Bexley"
8225,5,51.39074,0.09562,490,"490G00005268","Bexley"
8477,5,51.42189,0.11069,490,"490G00008885","Bexley"
8489,5,51.38417,0.10937,490,"490G00009428","Bexley"
8492,5,51.45481,0.15499,490,"490G00011016","Bexley"
8510,5,51.43132,0.16636,490,"490G00012585","Bexley"
9871,5,51.3869,0.13159,490,"490G00014124","Bexley"
9874,5,51.38584,0.13789,490,"490G00014123","Bexley"
10313,5,51.40712,0.09615,490,"490G00003782","Bexley"
10346,5,51.44517,0.13329,490,"490G00004325","Bexley"
10571,5,51.43387,0.11601,490,"490G00009802","Bexley"
10950,5,51.45981,0.15999,490,"490G00003626","Bexley"
11065,5,51.41417,0.11334,490,"490G00005780","Bexley"
11390,5,51.45721,0.14742,490,"490G00007152","Bexley"
12414,5,51.37522,0.10047,490,"490G00010641","Bexley"
12446,5,51.44463,0.13543,490,"490G00011596","Bexley"
12638,5,51.38295,0.08725,490,"490G00012441","Bexley"
12965,5,51.39117,0.12079,490,"490G00013112","Bexley"
13005,5,51.37698,0.12058,490,"490G00011835","Bexley"
13100,5,51.44326,0.14033,490,"490G00005810","Bexley"
13579,5,51.3714,0.09697,490,"490G00008209","Bexley"
13800,5,51.39156,0.12252,490,"490G00009962","Bexley"
14115,5,51.38203,0.10699,490,"490G00004801","Bexley"
14680,2,51.35626,0.10908,490," 910GCHLSFLD","Bexley"
14680,5,51.35626,0.10908,490," 910GCHLSFLD","Bexley"
15269,5,51.38013,0.12203,490,"490G00016104","Bexley"
15927,2,51.3733,0.0891,490," 910GORPNGTN","Bexley"
15927,5,51.3733,0.0891,490," 910GORPNGTN","Bexley"
16093,5,51.38711,0.11368,490,"490G00011544","Bexley"
16215,5,51.39091,0.09262,490,"490G00005202","Bexley"
16523,5,51.47093,0.17374,490,"490G00005518","Bexley"
16530,5,51.44809,0.12344,490,"490G00003820","Bexley"
16571,5,51.42479,0.10631,490,"490G00005299","Bexley"
17874,5,51.41508,0.08183,490,"490G00003427","Bexley"
18909,5,51.36135,0.11237,490,"490G00014750","Bexley"
19796,5,51.38487,0.08208,490,"490G00003918","Bexley"
19802,5,51.45692,0.14824,490,"490G00019056","Bexley"
20420,5,51.39431,0.09658,490,"490G00003302","Bexley"
20478,5,51.45582,0.14397,490,"490G00019057","Bexley"
20578,5,51.40563,0.10422,490,"490G00015894","Bexley"
20663,5,51.47441,0.16274,490,"490G00010413","Bexley"
20665,5,51.47158,0.16952,490,"490G00010416","Bexley"
20808,5,51.45301,0.14281,490,"490G00008989","Bexley"
21423,5,51.41986,0.13268,490,"490G00006482","Bexley"
22493,5,51.38351,0.09451,490,"490G00010948","Bexley"
22606,5,51.39189,0.11549,490,"490G00006938","Bexley"
22811,5,51.36291,0.11433,490,"490G00013418","Bexley"
23220,5,51.36401,0.111,490,"490G00011881","Bexley"
23360,5,51.38992,0.10095,490,"490G00005729","Bexley"
23813,5,51.47048,0.16047,490,"490G00004477","Bexley"
24308,5,51.40192,0.11316,490,"490G00013276","Bexley"
24915,5,51.46369,0.17142,490,"490G00010828","Bexley"
25041,5,51.41407,0.13379,490,"490G00007212","Bexley"
25136,5,51.40878,0.10429,490,"490G00009864","Bexley"
25439,5,51.39362,0.12295,490,"490G00014955","Bexley"
26171,5,51.4474,0.13474,490,"490G00003357","Bexley"
26239,5,51.43937,0.11842,490,"490G00015607","Bexley"
27515,5,51.38105,0.12507,490,"490G00016777","Bexley"
28031,5,51.37762,0.11653,490,"490G00011410","Bexley"
28676,5,51.42655,0.11178,490,"490G00011981","Bexley"
28972,5,51.42643,0.10095,490,"490G00012140","Bexley"
29445,5,51.38891,0.11395,490,"490G00013568","Bexley"
29658,5,51.45159,0.15269,490,"490G00004489","Bexley"
30262,5,51.37163,0.108,490,"490G00005670","Bexley"
30374,5,51.42901,0.10909,490,"490G00008971","Bexley"
30851,5,51.40601,0.1132,490,"490G00014152","Bexley"
31192,5,51.38784,0.12297,490,"490G00005782","Bexley"
31533,5,51.45406,0.17411,490,"490G00010578","Bexley"
31768,5,51.47808,0.16395,490,"490G00004804","Bexley"
31859,5,51.45774,0.1363,490,"490G00009203","Bexley"
31956,2,51.46496,0.15966,490," 910GBRNHRST","Bexley"
31956,5,51.46496,0.15966,490," 910GBRNHRST","Bexley"
32020,5,51.45426,0.15822,490,"490G00010773","Bexley"
32639,5,51.38244,0.10031,490,"490G00010104","Bexley"
32686,5,51.4386,0.11883,490,"490G00006890","Bexley"
33128,5,51.44475,0.15207,490,"490G00007872","Bexley"
33159,5,51.44899,0.15664,490,"490G00007386","Bexley"
33165,5,51.45701,0.14136,490,"490G00003973","Bexley"
33169,5,51.45653,0.14691,490,"490G00003975","Bexley"
33348,5,51.40887,0.10716,490,"490G00005849","Bexley"
33539,5,51.42689,0.1058,490,"490G00007637","Bexley"
34309,5,51.45015,0.139,490,"490G00013754","Bexley"
34825,5,51.45249,0.16834,490,"490G00004000","Bexley"
35468,5,51.42025,0.11437,490,"490G00009854","Bexley"
35540,2,51.39475,0.10639,490,"  910GSTMRYC","Bexley"
35540,5,51.39475,0.10639,490,"  910GSTMRYC","Bexley"
35709,5,51.45125,0.13666,490,"490G00013963","Bexley"
35827,5,51.36794,0.09568,490,"490G00013749","Bexley"
37145,5,51.45181,0.17432,490,"490G00003980","Bexley"
37215,5,51.37805,0.10982,490,"490G00007184","Bexley"
37731,5,51.41664,0.129,490,"490G00003662","Bexley"
38283,5,51.37319,0.09756,490,"490G00015411","Bexley"
38386,5,51.38306,0.11885,490,"490G00011826","Bexley"
38476,5,51.46438,0.14905,490,"490G00014931","Bexley"
38889,5,51.40487,0.09899,490,"490G00005216","Bexley"
38925,5,51.41799,0.11949,490,"490G00012143","Bexley"
39313,5,51.45286,0.1519,490,"490G00007662","Bexley"
40463,2,51.43545,0.12575,910," 910GALBNYPK","Bexley"
40463,5,51.43545,0.12575,910," 910GALBNYPK","Bexley"
41521,5,51.39079,0.08413,490,"490G00010978","Bexley"
41658,5,51.37226,0.10459,490,"490G00012418","Bexley"
42685,5,51.38418,0.14533,490,"490G00005828","Bexley"
43239,5,51.38565,0.08736,490,"490G00014695","Bexley"
43432,5,51.45813,0.17111,490,"490G00014899","Bexley"
43918,5,51.36479,0.10276,490,"490G00019204","Bexley"
44380,5,51.38524,0.11411,490,"490G00006447","Bexley"
44699,5,51.38786,0.10927,490,"490G00008673","Bexley"
44898,5,51.37752,0.11264,490,"490G00006281","Bexley"
44966,5,51.45918,0.15587,490,"490G00015380","Bexley"
45027,2,51.44022,0.14791,490,"  910GBEXLEY","Bexley"
45027,5,51.44022,0.14791,490,"  910GBEXLEY","Bexley"
45145,5,51.45322,0.1642,490,"490G00010587","Bexley"
45296,5,51.40201,0.08673,490,"490G00009067","Bexley"
45464,5,51.46362,0.17663,490,"490G00006670","Bexley"
45734,5,51.39154,0.09705,490,"490G00018672","Bexley"
45983,5,51.45904,0.16612,490,"490G00009596","Bexley"
46599,5,51.43451,0.14621,490,"490G00010083","Bexley"
46650,5,51.38136,0.10831,490,"490G00015304","Bexley"
47195,5,51.40069,0.10329,490,"490G00011437","Bexley"
47495,5,51.43045,0.1399,490,"490G00004578","Bexley"
47812,5,51.39339,0.16924,240,"    910GSWLY","Bexley"
47812,2,51.39339,0.16924,240,"    910GSWLY","Bexley"
47838,5,51.3891,0.10575,490,"490G00009653","Bexley"
47902,5,51.41981,0.09999,490,"490G00012139","Bexley"
48063,5,51.42666,0.09684,490,"490G00005233","Bexley"
48227,5,51.40892,0.08015,490,"490G00009572","Bexley"
48730,5,51.45876,0.1528,490,"490G00006620","Bexley"
49535,5,51.41512,0.12663,490,"490G00019342","Bexley"
49848,5,51.37678,0.10004,490,"490G00014142","Bexley"
50024,5,51.46007,0.14636,490,"490G00010890","Bexley"
50177,5,51.43356,0.11219,490,"490G00004016","Bexley"
50547,5,51.41105,0.1414,490,"490G00010566","Bexley"
51009,5,51.39104,0.08933,490,"490G00008906","Bexley"
51100,5,51.47994,0.16742,490,"490G00009094","Bexley"
51101,5,51.4755,0.17028,490,"490G00009095","Bexley"
51748,5,51.42712,0.18024,240,"2400A020250A","Bexley"
53298,5,51.37493,0.12401,490,"  490012185S","Bexley"
53428,5,51.43505,0.17171,240,"2400A035760A","Bexley"
53849,5,51.40072,0.16393,240,"2400A021060A","Bexley"
54729,5,51.4031,0.16251,240,"2400A020750A","Bexley"
55329,5,51.36961,0.1209,490,"  490003490W","Bexley"
55895,5,51.403,0.18383,240,"2400A020350A","Bexley"
56179,5,51.4019,0.17414,240,"2400A020980A","Bexley"
57663,5,51.43166,0.12088,490,"  490003981S","Bexley"
58943,5,51.37569,0.11599,490,"  490011378S","Bexley"
59041,5,51.42421,0.1011,490,"  490013387S","Bexley"
59410,5,51.38321,0.16028,240,"2400A020620A","Bexley"
60453,5,51.38221,0.1057,490,"  490010634E","Bexley"
61989,5,51.39855,0.16287,240,"2400A021070A","Bexley"
64183,5,51.40033,0.17438,240,"2400A020990A","Bexley"
