"node","layer","lat","lon","zone","atcocode","city"
4271,2,53.38327,-3.01642,910,"    910GGNLN","Birkenhead"
4271,5,53.38327,-3.01642,910,"    910GGNLN","Birkenhead"
5826,4,53.38833,-3.02083,910," 910GBRKNHDC","Birkenhead"
5826,2,53.38833,-3.02083,910," 910GBRKNHDC","Birkenhead"
5826,5,53.38833,-3.02083,910," 910GBRKNHDC","Birkenhead"
12195,5,53.32973,-3.07371,910," 910GHESWALL","Birkenhead"
12195,2,53.32973,-3.07371,910," 910GHESWALL","Birkenhead"
12258,2,53.35767,-3.00364,910," 910GBEBNGTN","Birkenhead"
12258,5,53.35767,-3.00364,910," 910GBEBNGTN","Birkenhead"
15527,5,53.3282,-3.09767,280,"280G00000004","Birkenhead"
18415,2,53.37267,-3.01083,910," 910GROCKFRY","Birkenhead"
18415,5,53.37267,-3.01083,910," 910GROCKFRY","Birkenhead"
18761,5,53.40229,-3.02103,280," 2800F000001","Birkenhead"
22034,5,53.39742,-3.03911,910," 910GBRKNHDP","Birkenhead"
22034,2,53.39742,-3.03911,910," 910GBRKNHDP","Birkenhead"
22455,5,53.40978,-3.0163,930,"     930GSEA","Birkenhead"
22455,1,53.40978,-3.0163,930,"     930GSEA","Birkenhead"
23986,2,53.38326,-2.97608,910,"    910GBNWK","Birkenhead"
23986,5,53.38326,-2.97608,910,"    910GBNWK","Birkenhead"
24269,2,53.39338,-3.02268,910," 910GBRKNCPK","Birkenhead"
24269,5,53.39338,-3.02268,910," 910GBRKNCPK","Birkenhead"
35446,5,53.39471,-3.01369,910,"  910GHAMTSQ","Birkenhead"
35446,2,53.39471,-3.01369,910,"  910GHAMTSQ","Birkenhead"
35446,1,53.39471,-3.01369,910,"  910GHAMTSQ","Birkenhead"
41671,5,53.31195,-3.06437,61,"   061GEP163","Birkenhead"
42793,5,53.33995,-2.99391,910,"  910GSPITAL","Birkenhead"
42793,2,53.33995,-2.99391,910,"  910GSPITAL","Birkenhead"
45651,5,53.32992,-2.98948,910,"  910GBRMBRK","Birkenhead"
45651,2,53.32992,-2.98948,910,"  910GBRMBRK","Birkenhead"
53212,5,53.39791,-3.0231,280," 2800S22018B","Birkenhead"
53213,5,53.39782,-3.02447,280," 2800S22018A","Birkenhead"
54413,5,53.35668,-3.09748,280," 2800S26030A","Birkenhead"
55354,5,53.37226,-3.09489,280," 2800S26008B","Birkenhead"
55355,5,53.37256,-3.09526,280," 2800S26008A","Birkenhead"
56302,5,53.35093,-3.02192,280," 2800S27018B","Birkenhead"
56303,5,53.35121,-3.02232,280," 2800S27018A","Birkenhead"
56437,5,53.32602,-3.09363,280," 2800S29009B","Birkenhead"
56439,5,53.32612,-3.09352,280," 2800S29009A","Birkenhead"
57205,5,53.34704,-2.98453,280," 2800S27067A","Birkenhead"
57657,5,53.38551,-3.01392,280," 2800S20020A","Birkenhead"
57865,5,53.34676,-3.09851,280," 2800S30027A","Birkenhead"
57866,5,53.34656,-3.099,280," 2800S30027B","Birkenhead"
58929,5,53.32204,-3.0835,280," 2800S29007D","Birkenhead"
59087,5,53.37248,-3.00706,280," 2800S20046A","Birkenhead"
60559,5,53.36375,-3.0269,280," 2800S20034A","Birkenhead"
60615,5,53.33004,-3.08028,280," 2800S29005A","Birkenhead"
61043,5,53.39188,-3.06064,280," 2800S21094A","Birkenhead"
61044,5,53.39179,-3.06061,280," 2800S21094B","Birkenhead"
61072,5,53.39351,-3.01795,280," 2800S22071A","Birkenhead"
61092,5,53.37081,-3.03845,280," 2800S20024B","Birkenhead"
61094,5,53.37116,-3.03942,280," 2800S20024A","Birkenhead"
61312,5,53.33274,-3.10647,280," 2800S30009B","Birkenhead"
61313,5,53.33283,-3.1068,280," 2800S30009C","Birkenhead"
61314,5,53.33241,-3.10694,280," 2800S30009D","Birkenhead"
61571,5,53.33246,-2.97751,280," 2800S27038A","Birkenhead"
62695,5,53.36619,-3.02717,280," 2800S20033B","Birkenhead"
62696,5,53.36572,-3.02728,280," 2800S20033A","Birkenhead"
62963,5,53.32157,-3.08788,280," 2800S29046A","Birkenhead"
63474,5,53.39384,-2.99024,280," 2800S41194A","Birkenhead"
63475,5,53.39427,-2.99032,280," 2800S41194B","Birkenhead"
63796,5,53.37568,-3.03117,280," 2800S20090A","Birkenhead"
63798,5,53.3755,-3.03159,280," 2800S20090B","Birkenhead"
63799,5,53.37214,-3.07473,280," 2800S26083A","Birkenhead"
64981,5,53.36901,-3.05899,280," 2800S26009B","Birkenhead"
65882,5,53.34972,-3.0181,280," 2800S27019A","Birkenhead"
65883,5,53.34972,-3.01902,280," 2800S27019B","Birkenhead"
