"node","layer","lat","lon","zone","atcocode","city"
10918,2,52.48944,-1.91321,910," 910GBHAMJEW","Birmingham"
10918,5,52.48944,-1.91321,910," 910GBHAMJEW","Birmingham"
10918,3,52.48944,-1.91321,910," 910GBHAMJEW","Birmingham"
16388,5,52.47864,-1.89542,910," 910GBHAMMRS","Birmingham"
16388,2,52.47864,-1.89542,910," 910GBHAMMRS","Birmingham"
21586,5,52.4969,-1.93115,940,"  940GZZWMSH","Birmingham"
21586,3,52.4969,-1.93115,940,"  940GZZWMSH","Birmingham"
23450,5,52.45125,-1.93668,910," 910GUNVRSYB","Birmingham"
23450,2,52.45125,-1.93668,910," 910GUNVRSYB","Birmingham"
29627,2,52.46377,-1.85939,910,"  910GSMLHTH","Birmingham"
29627,5,52.46377,-1.85939,910,"  910GSMLHTH","Birmingham"
33053,4,52.4711,-1.91295,910," 910GFIVEWYS","Birmingham"
33053,2,52.4711,-1.91295,910," 910GFIVEWYS","Birmingham"
33053,5,52.4711,-1.91295,910," 910GFIVEWYS","Birmingham"
34498,4,52.47182,-1.96948,430,"900GNX002060","Birmingham"
34498,5,52.47182,-1.96948,430,"900GNX002060","Birmingham"
45340,5,52.47188,-1.87776,910,"    910GBRDS","Birmingham"
45340,2,52.47188,-1.87776,910,"    910GBRDS","Birmingham"
46321,5,52.49864,-1.93891,940,"  940GZZWMWI","Birmingham"
46321,3,52.49864,-1.93891,940,"  940GZZWMWI","Birmingham"
47422,2,52.44199,-1.93581,910," 910GSELYOAK","Birmingham"
47422,5,52.44199,-1.93581,910," 910GSELYOAK","Birmingham"
48101,5,52.48336,-1.89909,910," 910GBHAMSNH","Birmingham"
48101,2,52.48336,-1.89909,910," 910GBHAMSNH","Birmingham"
48101,3,52.48336,-1.89909,910," 910GBHAMSNH","Birmingham"
50159,2,52.42697,-1.92642,910," 910GBOURNVL","Birmingham"
50159,5,52.42697,-1.92642,910," 910GBOURNVL","Birmingham"
51598,5,52.48615,-1.93676,430," 43000288901","Birmingham"
51599,5,52.48554,-1.93678,430," 43000288902","Birmingham"
52398,5,52.48576,-1.88558,430," 43000243003","Birmingham"
52399,5,52.48582,-1.88538,430," 43000243002","Birmingham"
52520,5,52.43715,-1.91347,430," 43000372501","Birmingham"
53094,5,52.44306,-1.89213,430," 43000410201","Birmingham"
53095,5,52.44243,-1.8925,430," 43000410202","Birmingham"
53178,5,52.43613,-1.91742,430," 43000372402","Birmingham"
53363,5,52.4405,-1.94732,430," 43000351202","Birmingham"
53364,5,52.4402,-1.94826,430," 43000351201","Birmingham"
53675,5,52.44965,-1.92001,430," 43000345101","Birmingham"
53676,5,52.44923,-1.92004,430," 43000345103","Birmingham"
53831,5,52.43864,-1.95346,430," 43000316902","Birmingham"
53900,5,52.44784,-1.85759,430," 43000225202","Birmingham"
53901,5,52.44794,-1.85766,430," 43000225201","Birmingham"
54398,5,52.48126,-1.94942,430," 43000289701","Birmingham"
54399,5,52.48189,-1.94855,430," 43000289702","Birmingham"
54687,5,52.43291,-1.90738,430," 43000376201","Birmingham"
54810,5,52.46267,-1.88471,430," 43002100502","Birmingham"
54811,5,52.46275,-1.88431,430," 43002100503","Birmingham"
54844,5,52.45979,-1.9621,430," 43000314601","Birmingham"
55147,5,52.4636,-1.88345,430," 43000217901","Birmingham"
55148,5,52.46416,-1.88357,430," 43000217902","Birmingham"
55201,5,52.49264,-1.92232,430," 43000284101","Birmingham"
56015,5,52.4752,-1.97117,430," 43000939602","Birmingham"
56016,5,52.47536,-1.97011,430," 43000939601","Birmingham"
56495,5,52.44352,-1.96081,430," 43000331502","Birmingham"
56935,5,52.46368,-1.83307,430," 43000233601","Birmingham"
57476,5,52.4454,-1.93385,430," 43000346203","Birmingham"
57478,5,52.44614,-1.93223,430," 43000346206","Birmingham"
57979,5,52.49346,-1.95266,430," 43000948301","Birmingham"
58231,5,52.4816,-1.96269,430," 43000311401","Birmingham"
58233,5,52.48147,-1.96276,430," 43000311402","Birmingham"
58952,5,52.47785,-1.90237,430," 43000204001","Birmingham"
59065,5,52.45053,-1.86395,430," 43000222201","Birmingham"
59327,5,52.46485,-1.89302,430," 43000216103","Birmingham"
59328,5,52.4647,-1.89133,430," 43000216101","Birmingham"
59576,5,52.48388,-1.93568,430," 43000288802","Birmingham"
59577,5,52.48417,-1.93577,430," 43000288803","Birmingham"
59590,5,52.41674,-1.94474,430," 43000359101","Birmingham"
59591,5,52.41679,-1.94516,430," 43000359102","Birmingham"
59672,5,52.43151,-1.91868,430," 43000373402","Birmingham"
59686,5,52.44262,-1.91524,430," 43000371301","Birmingham"
59687,5,52.44234,-1.91547,430," 43000371302","Birmingham"
59980,5,52.45441,-1.88686,430," 43000218302","Birmingham"
61170,5,52.4403,-1.89268,430," 43000410301","Birmingham"
61171,5,52.44134,-1.89183,430," 43000410303","Birmingham"
61243,5,52.42993,-1.92108,430," 43000373305","Birmingham"
61501,5,52.44232,-1.94205,430," 43000351301","Birmingham"
61723,5,52.47492,-1.96119,430," 43000304301","Birmingham"
63145,5,52.46937,-1.87895,430," 43000217801","Birmingham"
63146,5,52.46945,-1.87929,430," 43000217802","Birmingham"
63505,5,52.47453,-1.96156,430," 43000304302","Birmingham"
63779,5,52.50302,-1.93341,430," 43000280404","Birmingham"
64005,5,52.47714,-1.9706,430," 43000939706","Birmingham"
64006,5,52.47691,-1.97023,430," 43000939704","Birmingham"
64007,5,52.47699,-1.97064,430," 43000939705","Birmingham"
64056,5,52.45275,-1.94592,430," 43000324001","Birmingham"
64057,5,52.45318,-1.94592,430," 43000324002","Birmingham"
64469,5,52.45298,-1.85439,430," 43000227301","Birmingham"
64610,5,52.49276,-1.91619,430," 43000283101","Birmingham"
64611,5,52.49273,-1.91646,430," 43000283102","Birmingham"
64760,5,52.49298,-1.91247,430," 43000276101","Birmingham"
64761,5,52.49293,-1.91242,430," 43000276102","Birmingham"
64762,5,52.49277,-1.91284,430," 43000276104","Birmingham"
64908,5,52.46595,-1.90192,430," 43000342101","Birmingham"
64909,5,52.46639,-1.90133,430," 43000342102","Birmingham"
64911,5,52.46339,-1.83628,430," 43000233102","Birmingham"
64912,5,52.46381,-1.83626,430," 43000233101","Birmingham"
65128,5,52.4497,-1.91913,430," 43000345102","Birmingham"
65508,5,52.44451,-1.93504,430," 43000346302","Birmingham"
66768,5,52.43881,-1.92727,430," 43000347203","Birmingham"
66933,5,52.47385,-1.89995,430," 43000204702","Birmingham"
66934,5,52.47409,-1.8994,430," 43000204701","Birmingham"
67052,5,52.48648,-1.94167,430," 43000289402","Birmingham"
67223,5,52.46256,-1.8942,430," 43000216201","Birmingham"
67342,5,52.48201,-1.88581,430," 43000241902","Birmingham"
67510,5,52.48334,-1.93494,430," 43000288702","Birmingham"
67511,5,52.48315,-1.93446,430," 43000288701","Birmingham"
69231,5,52.45424,-1.89764,430," 43003400103","Birmingham"
69232,5,52.45434,-1.89853,430," 43003400104","Birmingham"
69303,5,52.42891,-1.9238,430," 43003701002","Birmingham"
69431,5,52.474,-1.87044,430," 43000230203","Birmingham"
69518,5,52.47522,-1.91411,430," 43000215302","Birmingham"
69540,5,52.4751,-1.96459,430," 43000304402","Birmingham"
69541,5,52.47492,-1.96447,430," 43000304401","Birmingham"
69737,5,52.47176,-1.91675,430," 43003004501","Birmingham"
69890,5,52.45074,-1.85847,430," 43000225001","Birmingham"
70410,5,52.4866,-1.93506,430," 43000289102","Birmingham"
70411,5,52.48681,-1.93382,430," 43000289101","Birmingham"
70529,5,52.46696,-1.89874,430," 43000213502","Birmingham"
70677,5,52.46013,-1.97077,430," 43000315202","Birmingham"
71155,5,52.46202,-1.884,430," 43000217702","Birmingham"
71156,5,52.46224,-1.88375,430," 43000217701","Birmingham"
71398,5,52.43616,-1.93978,430," 43000358102","Birmingham"
71399,5,52.43595,-1.93953,430," 43000358101","Birmingham"
71710,5,52.45967,-1.96206,430," 43000314602","Birmingham"
71806,5,52.50279,-1.93166,430," 43000280301","Birmingham"
71979,5,52.47321,-1.97455,430," 43000939401","Birmingham"
71982,5,52.47262,-1.97452,430," 43000939402","Birmingham"
71990,5,52.43,-1.90963,430," 43003750001","Birmingham"
72152,5,52.48771,-1.88772,430," 43000242102","Birmingham"
72153,5,52.48817,-1.88673,430," 43000242101","Birmingham"
72472,5,52.48618,-1.91859,430," 43000283604","Birmingham"
72473,5,52.4858,-1.9184,430," 43000283603","Birmingham"
72849,5,52.46567,-1.87332,430," 43000220301","Birmingham"
72978,5,52.43077,-1.91297,430," 43000375101","Birmingham"
73271,5,52.47188,-1.86242,430," 43002230102","Birmingham"
73474,5,52.48778,-1.95931,430," 43000303605","Birmingham"
73475,5,52.48795,-1.95896,430," 43000303606","Birmingham"
73705,5,52.45569,-1.87351,430," 43000223102","Birmingham"
73831,5,52.42651,-1.94472,430," 43000357401","Birmingham"
73855,5,52.49138,-1.95123,430," 43000948101","Birmingham"
74691,5,52.4292,-1.94085,430," 43000357602","Birmingham"
74764,5,52.47669,-1.90019,430," 43000204601","Birmingham"
75091,5,52.46134,-1.89479,430," 43000216301","Birmingham"
75092,5,52.46097,-1.89493,430," 43000216302","Birmingham"
75312,5,52.48246,-1.93374,430," 43000288602","Birmingham"
75315,5,52.4819,-1.93276,430," 43000288601","Birmingham"
76413,5,52.45664,-1.86876,430," 43000221802","Birmingham"
77173,5,52.42979,-1.95107,430," 43000352302","Birmingham"
77477,5,52.43356,-1.90102,430," 43000413902","Birmingham"
77478,5,52.43392,-1.9012,430," 43000413901","Birmingham"
77568,5,52.47665,-1.96989,430," 43000304502","Birmingham"
77569,5,52.47662,-1.9697,430," 43000304503","Birmingham"
77570,5,52.47655,-1.96988,430," 43000304501","Birmingham"
77927,5,52.4478,-1.86073,430," 43000225102","Birmingham"
78127,5,52.47302,-1.96614,430," 43000310101","Birmingham"
78425,5,52.48893,-1.93798,430," 43000289201","Birmingham"
78426,5,52.48886,-1.93826,430," 43000289202","Birmingham"
78560,5,52.46816,-1.90061,430," 43000213401","Birmingham"
78561,5,52.46819,-1.90122,430," 43000213402","Birmingham"
79120,5,52.46998,-1.95035,430," 43003060002","Birmingham"
79241,5,52.4637,-1.88784,430," 43000217602","Birmingham"
79242,5,52.46368,-1.88924,430," 43000217601","Birmingham"
79889,5,52.50174,-1.92721,430," 43000280202","Birmingham"
79890,5,52.50205,-1.927,430," 43000280201","Birmingham"
80660,5,52.48856,-1.91922,430," 43000283702","Birmingham"
80661,5,52.48858,-1.91944,430," 43000283701","Birmingham"
80838,5,52.50162,-1.92647,430," 43000276701","Birmingham"
80869,5,52.45484,-1.93372,430," 43000309202","Birmingham"
81366,5,52.46327,-1.91588,430," 43003402002","Birmingham"
81367,5,52.46327,-1.91572,430," 43003402001","Birmingham"
81612,5,52.44735,-1.92776,430," 43000346103","Birmingham"
81740,5,52.47671,-1.95072,430," 43000303102","Birmingham"
81741,5,52.47663,-1.95018,430," 43000303101","Birmingham"
82069,5,52.42829,-1.94433,430," 43000357501","Birmingham"
83073,5,52.47399,-1.90295,430," 43000214102","Birmingham"
83099,5,52.50014,-1.92141,430," 43004841701","Birmingham"
83480,5,52.47983,-1.92996,430," 43000288501","Birmingham"
83481,5,52.48029,-1.93081,430," 43000288502","Birmingham"
84226,5,52.46171,-1.94235,430," 43003002001","Birmingham"
84779,5,52.42521,-1.94763,430," 43000357301","Birmingham"
84781,5,52.42544,-1.94731,430," 43000357302","Birmingham"
84942,5,52.49481,-1.90797,430," 43000271602","Birmingham"
85158,5,52.43177,-1.94905,430," 43000352202","Birmingham"
85159,5,52.43132,-1.94898,430," 43000352203","Birmingham"
85441,5,52.45269,-1.90899,430," 43000344701","Birmingham"
85442,5,52.45311,-1.90897,430," 43000344702","Birmingham"
85471,5,52.47311,-1.96021,430," 43000304601","Birmingham"
85472,5,52.4733,-1.96049,430," 43000304602","Birmingham"
85766,5,52.47831,-1.9279,430," 43002802503","Birmingham"
85767,5,52.47866,-1.92857,430," 43002802504","Birmingham"
85863,5,52.48883,-1.90635,430," 43002701504","Birmingham"
85864,5,52.48882,-1.90658,430," 43002701503","Birmingham"
85948,5,52.46502,-1.84693,430," 43002301702","Birmingham"
86048,5,52.44547,-1.93286,430," 43003401802","Birmingham"
86160,5,52.47259,-1.91689,430," 43000300201","Birmingham"
86161,5,52.47229,-1.91735,430," 43000300203","Birmingham"
86162,5,52.47257,-1.91681,430," 43000300202","Birmingham"
86234,5,52.47392,-1.96023,430," 43000304202","Birmingham"
86359,5,52.48658,-1.93899,430," 43000289304","Birmingham"
86360,5,52.4866,-1.9386,430," 43000289305","Birmingham"
86361,5,52.4864,-1.93913,430," 43000289301","Birmingham"
86362,5,52.48645,-1.93871,430," 43000289302","Birmingham"
86363,5,52.48646,-1.93837,430," 43000289303","Birmingham"
86497,5,52.46104,-1.87956,430," 43000221202","Birmingham"
86498,5,52.46176,-1.88187,430," 43000221201","Birmingham"
86925,5,52.46297,-1.83512,430," 43000400704","Birmingham"
86927,5,52.4628,-1.83556,430," 43000400703","Birmingham"
87178,5,52.46481,-1.88532,430," 43000217501","Birmingham"
87327,5,52.44935,-1.9588,430," 43000323501","Birmingham"
87328,5,52.44959,-1.95945,430," 43000323502","Birmingham"
87478,5,52.42973,-1.93605,430," 43000358303","Birmingham"
87480,5,52.43056,-1.93665,430," 43000358304","Birmingham"
87961,5,52.47286,-1.9534,430," 43000302501","Birmingham"
87962,5,52.47249,-1.95215,430," 43000302502","Birmingham"
88157,5,52.45002,-1.94537,430," 43000324701","Birmingham"
88766,5,52.48494,-1.91175,430," 43000283402","Birmingham"
88958,5,52.45781,-1.93535,430," 43000309101","Birmingham"
88960,5,52.45789,-1.93549,430," 43000309102","Birmingham"
89076,5,52.46291,-1.83079,430," 43000233202","Birmingham"
89085,5,52.43986,-1.9156,430," 43000372102","Birmingham"
89087,5,52.44003,-1.91578,430," 43000372104","Birmingham"
89174,5,52.47249,-1.93725,430," 43003001004","Birmingham"
89175,5,52.47259,-1.93802,430," 43003001005","Birmingham"
89240,5,52.49266,-1.92117,430," 43002850001","Birmingham"
89391,5,52.47588,-1.89803,430," 43000203501","Birmingham"
89395,5,52.4758,-1.89772,430," 43000203503","Birmingham"
89437,5,52.47172,-1.85587,430," 43000231502","Birmingham"
89537,5,52.46739,-1.93282,430," 43000305301","Birmingham"
89839,5,52.44598,-1.88365,430," 43000224102","Birmingham"
89840,5,52.44586,-1.88561,430," 43000224101","Birmingham"
90090,5,52.42938,-1.94036,430," 43000357601","Birmingham"
90124,5,52.47247,-1.91963,430," 43000300601","Birmingham"
90378,5,52.47766,-1.88018,430," 43000210402","Birmingham"
91125,5,52.45571,-1.95422,430," 43000320602","Birmingham"
91126,5,52.4555,-1.95472,430," 43000320601","Birmingham"
91652,5,52.451,-1.96064,430," 43000323701","Birmingham"
92279,5,52.46502,-1.96536,430," 43003101502","Birmingham"
92280,5,52.46513,-1.96563,430," 43003101503","Birmingham"
92377,5,52.47587,-1.89756,430," 43000203502","Birmingham"
92612,5,52.47575,-1.96927,430," 43000941601","Birmingham"
92834,5,52.45876,-1.87286,430," 43000221010","Birmingham"
93402,5,52.46107,-1.85182,430," 43002305002","Birmingham"
93581,5,52.47549,-1.9659,430," 43000304701","Birmingham"
93582,5,52.47597,-1.96659,430," 43000304702","Birmingham"
94723,5,52.45988,-1.96688,430," 43000315102","Birmingham"
95367,5,52.44828,-1.9623,430," 43000323401","Birmingham"
95410,5,52.45583,-1.91077,430," 43003401503","Birmingham"
95508,5,52.43339,-1.93894,430," 43000358201","Birmingham"
95509,5,52.43365,-1.93899,430," 43000358202","Birmingham"
95798,5,52.50461,-1.94226,430," 43000281402","Birmingham"
96054,5,52.48265,-1.90454,430," 43002810501","Birmingham"
96591,5,52.44786,-1.95175,430," 43000323101","Birmingham"
96596,5,52.44815,-1.95143,430," 43000323102","Birmingham"
96637,5,52.48572,-1.89394,430," 43000208101","Birmingham"
96638,5,52.48618,-1.8946,430," 43000208102","Birmingham"
97413,5,52.4691,-1.85718,430," 43000231402","Birmingham"
97414,5,52.46923,-1.85712,430," 43000231403","Birmingham"
97528,5,52.46762,-1.92828,430," 43000305201","Birmingham"
97762,5,52.4788,-1.95466,430," 43000303305","Birmingham"
97763,5,52.47872,-1.95484,430," 43000303304","Birmingham"
97764,5,52.47844,-1.95402,430," 43000303301","Birmingham"
98476,5,52.47904,-1.87766,430," 43000210501","Birmingham"
98477,5,52.47896,-1.87801,430," 43000210502","Birmingham"
98955,5,52.47902,-1.9042,430," 43000205102","Birmingham"
98956,5,52.47952,-1.90419,430," 43000205103","Birmingham"
98957,5,52.47947,-1.90413,430," 43000205101","Birmingham"
99217,5,52.45781,-1.95819,430," 43000320702","Birmingham"
99218,5,52.45782,-1.9581,430," 43000320701","Birmingham"
99302,5,52.47288,-1.89057,430," 43000211201","Birmingham"
99355,5,52.48249,-1.88332,430," 43000241802","Birmingham"
99357,5,52.4827,-1.88251,430," 43000241801","Birmingham"
99882,5,52.48604,-1.92501,430," 43000286601","Birmingham"
99883,5,52.48635,-1.92565,430," 43000286602","Birmingham"
101018,5,52.42235,-1.92041,430," 43000370004","Birmingham"
101019,5,52.42212,-1.92047,430," 43000370005","Birmingham"
101574,5,52.45015,-1.86339,430," 43000222202","Birmingham"
101575,5,52.45894,-1.90752,430," 43000344104","Birmingham"
101576,5,52.45859,-1.90781,430," 43000344102","Birmingham"
101578,5,52.45851,-1.90769,430," 43000344101","Birmingham"
101886,5,52.45965,-1.87705,430," 43000221301","Birmingham"
102345,5,52.48762,-1.89154,430," 43000252102","Birmingham"
102346,5,52.48709,-1.89112,430," 43000252103","Birmingham"
102411,5,52.43581,-1.94727,430," 43003520002","Birmingham"
102521,5,52.45884,-1.87255,430," 43000221009","Birmingham"
102536,5,52.46879,-1.90649,430," 43000213702","Birmingham"
102690,5,52.45973,-1.96802,430," 43000315101","Birmingham"
102704,5,52.49113,-1.89558,430," 43000260102","Birmingham"
103224,5,52.47468,-1.88803,430," 43002103506","Birmingham"
103440,5,52.42726,-1.93019,430," 43000358502","Birmingham"
103441,5,52.42708,-1.93045,430," 43000358501","Birmingham"
103704,5,52.50083,-1.93811,430," 43000281502","Birmingham"
105082,5,52.43475,-1.92089,430," 43000372301","Birmingham"
105083,5,52.43501,-1.92158,430," 43000372302","Birmingham"
105297,5,52.44777,-1.88794,430," 43000219201","Birmingham"
105428,5,52.46621,-1.85803,430," 43000231302","Birmingham"
105429,5,52.4661,-1.85813,430," 43000231301","Birmingham"
105559,5,52.4703,-1.92608,430," 43000305101","Birmingham"
105716,5,52.42085,-1.93067,430," 43000376902","Birmingham"
105717,5,52.42082,-1.93108,430," 43000376901","Birmingham"
105833,5,52.48036,-1.95135,430," 43000303201","Birmingham"
105834,5,52.48011,-1.95145,430," 43000303202","Birmingham"
105933,5,52.44332,-1.87637,430," 43000224301","Birmingham"
106042,5,52.47668,-1.89175,430," 43002104003","Birmingham"
106043,5,52.47661,-1.89161,430," 43002104004","Birmingham"
106518,5,52.45848,-1.87062,430," 43000220903","Birmingham"
106519,5,52.45861,-1.87074,430," 43000220902","Birmingham"
106520,5,52.458,-1.8705,430," 43000220901","Birmingham"
106564,5,52.44846,-1.96233,430," 43000323402","Birmingham"
106655,5,52.46817,-1.96723,430," 43000314102","Birmingham"
106656,5,52.46777,-1.9666,430," 43000314101","Birmingham"
107004,5,52.48169,-1.90454,430," 43000205202","Birmingham"
107005,5,52.48146,-1.90494,430," 43000205204","Birmingham"
107271,5,52.45812,-1.9547,430," 43000320401","Birmingham"
107274,5,52.45799,-1.95419,430," 43000320402","Birmingham"
107345,5,52.47391,-1.88184,430," 43000211504","Birmingham"
107346,5,52.47384,-1.8811,430," 43000211503","Birmingham"
107347,5,52.47391,-1.88123,430," 43000211502","Birmingham"
107348,5,52.47425,-1.88185,430," 43000211501","Birmingham"
108291,5,52.47101,-1.90013,430," 43000213301","Birmingham"
108507,5,52.48156,-1.895,430," 43000200301","Birmingham"
108612,5,52.45698,-1.96187,430," 43000321102","Birmingham"
109769,5,52.45534,-1.91039,430," 43000344204","Birmingham"
110443,5,52.45973,-1.86158,430," 43000226201","Birmingham"
110551,5,52.4895,-1.88969,430," 43000252201","Birmingham"
110553,5,52.48961,-1.89019,430," 43000252202","Birmingham"
110761,5,52.48019,-1.89229,430," 43000202112","Birmingham"
111180,5,52.49447,-1.93602,430," 43000285202","Birmingham"
111432,5,52.45301,-1.87874,430," 43000218501","Birmingham"
111433,5,52.45303,-1.87788,430," 43000218502","Birmingham"
111558,5,52.42638,-1.93528,430," 43000358403","Birmingham"
111559,5,52.42587,-1.93475,430," 43000358401","Birmingham"
111843,5,52.48186,-1.89407,430," 43000208401","Birmingham"
111847,5,52.482,-1.89355,430," 43000208402","Birmingham"
111858,5,52.48165,-1.8932,430," 43000208407","Birmingham"
111859,5,52.44886,-1.94854,430," 43000322402","Birmingham"
112137,5,52.47705,-1.85487,430," 43000238001","Birmingham"
112445,5,52.47677,-1.89889,430," 43000202602","Birmingham"
112446,5,52.47684,-1.89866,430," 43000202603","Birmingham"
112447,5,52.47693,-1.89833,430," 43000202604","Birmingham"
112992,5,52.46887,-1.91347,430," 43000341502","Birmingham"
112993,5,52.46225,-1.85348,430," 43000232101","Birmingham"
112994,5,52.46268,-1.85428,430," 43000232102","Birmingham"
113187,5,52.43636,-1.92368,430," 43000372201","Birmingham"
113327,5,52.49126,-1.89513,430," 43000260103","Birmingham"
113329,5,52.49065,-1.8954,430," 43000260101","Birmingham"
113801,5,52.42479,-1.92869,430," 43000376802","Birmingham"
113804,5,52.42456,-1.92894,430," 43000376801","Birmingham"
113833,5,52.45236,-1.85837,430," 43000225801","Birmingham"
114040,5,52.44401,-1.87977,430," 43000224201","Birmingham"
114041,5,52.44407,-1.88052,430," 43000224202","Birmingham"
114469,5,52.46955,-1.93816,430," 43000306202","Birmingham"
114709,5,52.46064,-1.87357,430," 43000220801","Birmingham"
114781,5,52.48695,-1.91285,430," 43000283501","Birmingham"
114783,5,52.48712,-1.91338,430," 43000283502","Birmingham"
114824,5,52.46837,-1.86347,430," 43000231801","Birmingham"
114825,5,52.46831,-1.86364,430," 43000231802","Birmingham"
115477,5,52.45816,-1.95826,430," 43000320503","Birmingham"
115550,5,52.47483,-1.88515,430," 43000211402","Birmingham"
115551,5,52.47455,-1.88507,430," 43000211401","Birmingham"
115972,5,52.47818,-1.90094,430," 43000204802","Birmingham"
116280,5,52.45585,-1.96458,430," 43000321202","Birmingham"
116604,5,52.48089,-1.89582,430," 43000200203","Birmingham"
116605,5,52.48044,-1.89629,430," 43000200201","Birmingham"
116770,5,52.47578,-1.89583,430," 43000203801","Birmingham"
117592,5,52.45439,-1.93315,430," 43003403501","Birmingham"
118008,5,52.47693,-1.91187,430," 43000215201","Birmingham"
118063,5,52.45231,-1.91402,430," 43000344302","Birmingham"
118064,5,52.48648,-1.92725,430," 43002870101","Birmingham"
118816,5,52.41504,-1.93584,430," 43003590101","Birmingham"
118880,5,52.48756,-1.89395,430," 43000252301","Birmingham"
118881,5,52.48796,-1.89345,430," 43000252302","Birmingham"
119537,5,52.47052,-1.9537,430," 43003060501","Birmingham"
119759,5,52.4573,-1.88581,430," 43000218202","Birmingham"
119760,5,52.45677,-1.88577,430," 43000218201","Birmingham"
119773,5,52.44527,-1.95701,430," 43000323901","Birmingham"
119774,5,52.44535,-1.95702,430," 43000323902","Birmingham"
120138,5,52.5009,-1.93247,430," 43000281701","Birmingham"
120139,5,52.50033,-1.93277,430," 43000281702","Birmingham"
120186,5,52.47445,-1.88985,430," 43002112501","Birmingham"
120346,5,52.42857,-1.92261,430," 43003704001","Birmingham"
120690,5,52.45531,-1.90618,430," 43003400501","Birmingham"
120713,5,52.49273,-1.91279,430," 43000276103","Birmingham"
121074,5,52.43043,-1.92174,430," 43003703001","Birmingham"
121193,5,52.45639,-1.91176,430," 43000341402","Birmingham"
121366,5,52.43688,-1.91411,430," 43000372502","Birmingham"
121903,5,52.44952,-1.85848,430," 43000225901","Birmingham"
122120,5,52.48093,-1.89057,430," 43002104201","Birmingham"
122749,5,52.46323,-1.96478,430," 43000314301","Birmingham"
122750,5,52.46376,-1.96485,430," 43000314302","Birmingham"
123329,5,52.46699,-1.89303,430," 43000212201","Birmingham"
123382,5,52.45829,-1.95115,430," 43000320204","Birmingham"
123383,5,52.45832,-1.95089,430," 43000320203","Birmingham"
123384,5,52.45857,-1.94993,430," 43000320202","Birmingham"
123436,5,52.47419,-1.88831,430," 43000211702","Birmingham"
123659,5,52.48636,-1.94189,430," 43000289403","Birmingham"
124083,5,52.4753,-1.91402,430," 43000215301","Birmingham"
124085,5,52.47545,-1.91408,430," 43000215303","Birmingham"
124266,5,52.45144,-1.96571,430," 43000321502","Birmingham"
124267,5,52.45097,-1.96582,430," 43000321501","Birmingham"
124623,5,52.4607,-1.94244,430," 43003002502","Birmingham"
124628,5,52.48003,-1.89678,430," 43000200107","Birmingham"
125706,5,52.47633,-1.8564,430," 43002304003","Birmingham"
125755,5,52.47721,-1.85371,430," 43000237701","Birmingham"
125756,5,52.47711,-1.85341,430," 43000237702","Birmingham"
126005,5,52.50296,-1.93211,430," 43000280403","Birmingham"
126008,5,52.42396,-1.91615,430," 43000374101","Birmingham"
126010,5,52.42419,-1.91553,430," 43000374102","Birmingham"
126361,5,52.46246,-1.82132,430," 43000233501","Birmingham"
126487,5,52.44207,-1.9447,430," 43000351801","Birmingham"
126628,5,52.47135,-1.85602,430," 43000231501","Birmingham"
126800,5,52.47669,-1.88208,430," 43000212601","Birmingham"
126807,5,52.45367,-1.86604,430," 43000222104","Birmingham"
