"node","layer","lat","lon","zone","atcocode","city"
334,2,53.73288,-2.51839,910,"    910GCHTR","Blackburn"
334,5,53.73288,-2.51839,910,"    910GCHTR","Blackburn"
24921,2,53.73547,-2.50174,910,"    910GMLHL","Blackburn"
24921,5,53.73547,-2.50174,910,"    910GMLHL","Blackburn"
26522,2,53.73097,-2.54413,910," 910GPLSNGTN","Blackburn"
26522,5,53.73097,-2.54413,910," 910GPLSNGTN","Blackburn"
35928,4,53.74653,-2.47913,910,"    910GBLKB","Blackburn"
35928,2,53.74653,-2.47913,910,"    910GBLKB","Blackburn"
35928,5,53.74653,-2.47913,910,"    910GBLKB","Blackburn"
41574,2,53.78005,-2.47875,910," 910GRMSWILP","Blackburn"
41574,5,53.78005,-2.47875,910," 910GRMSWILP","Blackburn"
46740,5,53.80498,-2.44791,910,"    910GLGHO","Blackburn"
46740,2,53.80498,-2.44791,910,"    910GLGHO","Blackburn"
53876,5,53.76067,-2.46445,258," 2580LHW0018","Blackburn"
53877,5,53.75895,-2.46609,258," 2580LHW0019","Blackburn"
53878,5,53.76242,-2.46285,258," 2580LHW0016","Blackburn"
53879,5,53.76224,-2.4637,258," 2580LHW0017","Blackburn"
53880,5,53.76141,-2.46147,258," 2580LHW0014","Blackburn"
53881,5,53.76236,-2.45913,258," 2580LHW0012","Blackburn"
53882,5,53.76238,-2.45944,258," 2580LHW0013","Blackburn"
53883,5,53.76092,-2.46019,258," 2580LHW0010","Blackburn"
53884,5,53.76089,-2.46042,258," 2580LHW0011","Blackburn"
54983,5,53.77452,-2.5238,250,"   250014063","Blackburn"
55144,5,53.726,-2.46663,258," 2580BLC0006","Blackburn"
55146,5,53.72627,-2.46717,258," 2580BLC0005","Blackburn"
55293,5,53.81507,-2.51424,250,"   250015279","Blackburn"
55775,5,53.75492,-2.47308,258," 2580BRK0014","Blackburn"
56085,5,53.73301,-2.45657,258," 2580GUI0014","Blackburn"
56086,5,53.73323,-2.45657,258," 2580GUI0015","Blackburn"
56087,5,53.72788,-2.44718,258," 2580GUI0010","Blackburn"
59448,5,53.74828,-2.5107,258," 2580WSF0014","Blackburn"
59452,5,53.74566,-2.504,258," 2580WSF0016","Blackburn"
62041,5,53.72427,-2.57752,250," 2500IMG1507","Blackburn"
62716,5,53.74329,-2.44863,258," 2580SHD0005","Blackburn"
62726,5,53.74315,-2.44864,258," 2580SHD0004","Blackburn"
62739,5,53.74042,-2.44719,258," 2580SHD0007","Blackburn"
62968,5,53.8185,-2.54522,250,"   250014121","Blackburn"
63496,5,53.7628,-2.46243,258," 2580LHW0008","Blackburn"
63497,5,53.76065,-2.46426,258," 2580LHW0001","Blackburn"
63498,5,53.7586,-2.45792,258," 2580LHW0005","Blackburn"
63499,5,53.75877,-2.45782,258," 2580LHW0004","Blackburn"
63500,5,53.75909,-2.46004,258," 2580LHW0007","Blackburn"
63501,5,53.75927,-2.45993,258," 2580LHW0006","Blackburn"
64236,5,53.72764,-2.51411,258," 2580GRL0009","Blackburn"
64237,5,53.72734,-2.51392,258," 2580GRL0005","Blackburn"
