"node","layer","lat","lon","zone","atcocode","city"
7421,5,53.83292,-3.05512,940," 940GZZBPGNS","Blackpool"
7421,3,53.83292,-3.05512,940," 940GZZBPGNS","Blackpool"
8827,4,53.82193,-3.04928,910," 910GBLCKPLN","Blackpool"
8827,2,53.82193,-3.04928,910," 910GBLCKPLN","Blackpool"
8827,3,53.82193,-3.04928,910," 910GBLCKPLN","Blackpool"
8827,5,53.82193,-3.04928,910," 910GBLCKPLN","Blackpool"
10977,5,53.81038,-3.05573,940," 940GZZBPFXS","Blackpool"
10977,3,53.81038,-3.05573,940," 940GZZBPFXS","Blackpool"
12708,5,53.84615,-3.05365,940," 940GZZBPMNH","Blackpool"
12708,3,53.84615,-3.05365,940," 940GZZBPMNH","Blackpool"
12976,5,53.80187,-3.05549,940," 940GZZBPALX","Blackpool"
12976,3,53.80187,-3.05549,940," 940GZZBPALX","Blackpool"
13547,5,53.7954,-3.05627,940," 940GZZBPSHP","Blackpool"
13547,3,53.7954,-3.05627,940," 940GZZBPSHP","Blackpool"
13725,5,53.8269,-3.0557,940," 940GZZBPIPH","Blackpool"
13725,3,53.8269,-3.0557,940," 940GZZBPIPH","Blackpool"
14649,5,53.81639,-3.05577,940," 940GZZBPVIC","Blackpool"
14649,3,53.81639,-3.05577,940," 940GZZBPVIC","Blackpool"
28978,0,53.77801,-3.04172,920,"    920GBLK1","Blackpool"
28978,5,53.77801,-3.04172,920,"    920GBLK1","Blackpool"
30200,5,53.79291,-3.05659,940," 940GZZBPPLB","Blackpool"
30200,3,53.79291,-3.05659,940," 940GZZBPPLB","Blackpool"
34492,5,53.83541,-3.05497,940," 940GZZBPCLH","Blackpool"
34492,3,53.83541,-3.05497,940," 940GZZBPCLH","Blackpool"
35059,2,53.83564,-3.03023,910,"  910GLAYTON","Blackpool"
35059,5,53.83564,-3.03023,910,"  910GLAYTON","Blackpool"
35449,5,53.84124,-3.05435,940," 940GZZBPLWR","Blackpool"
35449,3,53.84124,-3.05435,940," 940GZZBPLWR","Blackpool"
36382,5,53.8072,-3.05538,940," 940GZZBPMCS","Blackpool"
36382,3,53.8072,-3.05538,940," 940GZZBPMCS","Blackpool"
36482,2,53.78824,-3.05381,910,"  910GBLCKPB","Blackpool"
36482,5,53.78824,-3.05381,910,"  910GBLCKPB","Blackpool"
