"node","layer","lat","lon","zone","atcocode","city"
10464,4,50.79404,-0.63888,440,"900GNX000530","Bognor Regis"
10464,5,50.79404,-0.63888,440,"900GNX000530","Bognor Regis"
20151,2,50.78655,-0.67618,440," 910GBOGNORR","Bognor Regis"
20151,5,50.78655,-0.67618,440," 910GBOGNORR","Bognor Regis"
20151,4,50.78655,-0.67618,440," 910GBOGNORR","Bognor Regis"
21998,2,50.83089,-0.63968,440,"    910GBRHM","Bognor Regis"
21998,5,50.83089,-0.63968,440,"    910GBRHM","Bognor Regis"
51809,5,50.79379,-0.6519,440,"  4400LH0888","Bognor Regis"
51810,5,50.79357,-0.65204,440,"  4400LH0889","Bognor Regis"
51811,5,50.79668,-0.6513,440,"  4400LH0886","Bognor Regis"
51812,5,50.79527,-0.65164,440,"  4400LH0887","Bognor Regis"
51813,5,50.79776,-0.65411,440,"  4400LH0884","Bognor Regis"
51814,5,50.79804,-0.65237,440,"  4400LH0885","Bognor Regis"
51815,5,50.79481,-0.65355,440,"  4400LH0882","Bognor Regis"
51816,5,50.79632,-0.65416,440,"  4400LH0883","Bognor Regis"
51817,5,50.78324,-0.67335,440,"  4400LH0880","Bognor Regis"
51818,5,50.78356,-0.67287,440,"  4400LH0881","Bognor Regis"
52725,5,50.81926,-0.71556,440,"  4400CH0520","Bognor Regis"
52814,5,50.79749,-0.69047,440,"  4400LH0529","Bognor Regis"
52815,5,50.79741,-0.69066,440,"  4400LH0528","Bognor Regis"
52822,5,50.79344,-0.67793,440,"  4400LH0520","Bognor Regis"
52823,5,50.79479,-0.68201,440,"  4400LH0523","Bognor Regis"
52824,5,50.79455,-0.68133,440,"  4400LH0522","Bognor Regis"
52826,5,50.79527,-0.68541,440,"  4400LH0524","Bognor Regis"
52827,5,50.7961,-0.68774,440,"  4400LH0527","Bognor Regis"
55371,5,50.77086,-0.7449,440,"  4400LH0375","Bognor Regis"
55373,5,50.77079,-0.74432,440,"  4400LH0376","Bognor Regis"
55375,5,50.77588,-0.73924,440,"  4400LH0372","Bognor Regis"
55474,5,50.79061,-0.68458,440,"  4400LH0929","Bognor Regis"
55539,5,50.78187,-0.71887,440,"  4400LH0399","Bognor Regis"
55566,5,50.77857,-0.72059,440,"  4400LH0392","Bognor Regis"
58785,5,50.75853,-0.78624,440,"  4400CH0523","Bognor Regis"
59110,5,50.79613,-0.67375,440,"  4400LH0713","Bognor Regis"
59111,5,50.78495,-0.68352,440,"  4400LH0711","Bognor Regis"
59112,5,50.7982,-0.67816,440,"  4400LH0714","Bognor Regis"
59113,5,50.79727,-0.68541,440,"  4400LH0715","Bognor Regis"
59472,5,50.79599,-0.68776,440,"  4400LH0526","Bognor Regis"
62506,5,50.81074,-0.70532,440,"  4400LH0538","Bognor Regis"
62507,5,50.78291,-0.67715,440,"  4400LH0539","Bognor Regis"
62511,5,50.80119,-0.69505,440,"  4400LH0532","Bognor Regis"
62512,5,50.80318,-0.69879,440,"  4400LH0533","Bognor Regis"
62513,5,50.80022,-0.69306,440,"  4400LH0530","Bognor Regis"
62514,5,50.80111,-0.69517,440,"  4400LH0531","Bognor Regis"
62515,5,50.80722,-0.70189,440,"  4400LH0536","Bognor Regis"
62516,5,50.81068,-0.70552,440,"  4400LH0537","Bognor Regis"
62517,5,50.80336,-0.69877,440,"  4400LH0534","Bognor Regis"
62518,5,50.8069,-0.70134,440,"  4400LH0535","Bognor Regis"
64998,5,50.73545,-0.78191,440,"  4400CH0059","Bognor Regis"
65000,5,50.78134,-0.68525,440,"  4400LH0449","Bognor Regis"
67103,5,50.76347,-0.78793,440,"  4400CH0021","Bognor Regis"
67105,5,50.75677,-0.78324,440,"  4400CH0023","Bognor Regis"
67106,5,50.76269,-0.78748,440,"  4400CH0022","Bognor Regis"
67107,5,50.75113,-0.78203,440,"  4400CH0025","Bognor Regis"
67108,5,50.75142,-0.78217,440,"  4400CH0024","Bognor Regis"
