"node","layer","lat","lon","zone","atcocode","city"
2178,5,53.59744,-2.41311,910,"    910GHITW","Bolton"
2178,2,53.59744,-2.41311,910,"    910GHITW","Bolton"
17978,2,53.556,-2.40119,910,"    910GMSGT","Bolton"
17978,5,53.556,-2.40119,910,"    910GMSGT","Bolton"
19898,4,53.60158,-2.43259,180,"900GNX000072","Bolton"
19898,5,53.60158,-2.43259,180,"900GNX000072","Bolton"
20814,2,53.57294,-2.49427,910," 910GLOSTCKP","Bolton"
20814,5,53.57294,-2.49427,910," 910GLOSTCKP","Bolton"
22024,2,53.61406,-2.4109,910," 910GBRMCRSS","Bolton"
22024,5,53.61406,-2.4109,910," 910GBRMCRSS","Bolton"
26718,2,53.57416,-2.42583,910,"  910GBOLTON","Bolton"
26718,5,53.57416,-2.42583,910,"  910GBOLTON","Bolton"
51549,5,53.5693,-2.42306,180," 1800WA43111","Bolton"
51649,5,53.58215,-2.43697,180," 1800WA01811","Bolton"
51800,5,53.56697,-2.45458,180," 1800WA18011","Bolton"
52182,5,53.59563,-2.47431,180," 1800WA14991","Bolton"
52237,5,53.59499,-2.5425,180," 1800WA14741","Bolton"
52486,5,53.61724,-2.4379,180," 1800WA13751","Bolton"
52628,5,53.59055,-2.47712,180," 1800WA11521","Bolton"
52654,5,53.63146,-2.44265,180," 1800WA09361","Bolton"
53065,5,53.57463,-2.52708,180," 1800WA34771","Bolton"
53098,5,53.58141,-2.51352,180," 1800WA17351","Bolton"
53181,5,53.60387,-2.43621,180," 1800WA12401","Bolton"
53189,5,53.57133,-2.43007,180," 1800WA43061","Bolton"
53332,5,53.56468,-2.47031,180," 1800WA16721","Bolton"
53418,5,53.55336,-2.43006,180," 1800WA42271","Bolton"
53665,5,53.57945,-2.41622,180," 1800WA25821","Bolton"
54374,5,53.59552,-2.49905,180," 1800WA14231","Bolton"
54562,5,53.57832,-2.41468,180," 1800WA02841","Bolton"
54634,5,53.61874,-2.45772,180," 1800WA08501","Bolton"
54768,5,53.5985,-2.38422,180," 1800WA12711","Bolton"
54925,5,53.63782,-2.39855,258," 2580TBT0001","Bolton"
54926,5,53.63824,-2.39751,258," 2580TBT0003","Bolton"
54927,5,53.64064,-2.3962,258," 2580TBT0005","Bolton"
55002,5,53.56931,-2.4577,180," 1800WA16651","Bolton"
