"node","layer","lat","lon","zone","atcocode","city"
11200,2,53.46628,-3.00563,910," 910GSFRTHAL","Bootle"
11200,5,53.46628,-3.00563,910," 910GSFRTHAL","Bootle"
12255,2,53.457,-2.96403,910," 910GWALTONM","Bootle"
12255,5,53.457,-2.96403,910," 910GWALTONM","Bootle"
21731,2,53.47392,-2.95629,910," 910GAINTREE","Bootle"
21731,5,53.47392,-2.95629,910," 910GAINTREE","Bootle"
22605,5,53.4534,-2.99475,910," 910GBOOTLNS","Bootle"
22605,2,53.4534,-2.99475,910," 910GBOOTLNS","Bootle"
31444,5,53.44663,-2.99574,910," 910GBOOTLOR","Bootle"
31444,2,53.44663,-2.99574,910," 910GBOOTLOR","Bootle"
46217,5,53.46191,-2.96332,910," 910GORELPKH","Bootle"
46217,2,53.46191,-2.96332,910," 910GORELPKH","Bootle"
52356,5,53.46775,-2.97466,280," 2800S47109A","Bootle"
52357,5,53.46788,-2.97492,280," 2800S47109B","Bootle"
52770,5,53.47359,-2.97813,280," 2800S47048A","Bootle"
52771,5,53.47385,-2.97879,280," 2800S47048B","Bootle"
55944,5,53.45858,-3.00933,280," 2800S47002B","Bootle"
56744,5,53.44693,-2.9831,280," 2800S40106C","Bootle"
56745,5,53.44824,-2.98385,280," 2800S40106B","Bootle"
56746,5,53.44805,-2.98362,280," 2800S40106A","Bootle"
56749,5,53.44652,-2.98419,280," 2800S40106D","Bootle"
57460,5,53.46744,-3.00013,280," 2800S47033B","Bootle"
57461,5,53.46818,-3.00039,280," 2800S47033A","Bootle"
57795,5,53.48856,-2.99166,280," 2800S47178A","Bootle"
57998,5,53.4845,-3.00015,280," 2800S47181A","Bootle"
58000,5,53.48465,-3.0002,280," 2800S47181B","Bootle"
59350,5,53.4437,-2.977,280," 2800S40095A","Bootle"
59351,5,53.44486,-2.97694,280," 2800S40095B","Bootle"
59440,5,53.4688,-3.01229,280," 2800S47095B","Bootle"
59441,5,53.46983,-3.0131,280," 2800S47095A","Bootle"
61650,5,53.44735,-2.9654,280," 2800S40116A","Bootle"
63144,5,53.45533,-2.99176,280," 2800S47029B","Bootle"
65501,5,53.44641,-3.00033,280," 2800S47005B","Bootle"
65503,5,53.44646,-2.99998,280," 2800S47005A","Bootle"
65979,5,53.44527,-2.98884,280," 2800S40048E","Bootle"
66317,5,53.47731,-3.00478,280," 2800S47079B","Bootle"
66591,5,53.46612,-2.97015,280," 2800S47174B","Bootle"
67727,5,53.47296,-3.00666,280," 2800S47182A","Bootle"
67728,5,53.47283,-3.00661,280," 2800S47182B","Bootle"
69014,5,53.47012,-2.97083,280," 2800S47092A","Bootle"
70689,5,53.47314,-3.00358,280," 2800S47081B","Bootle"
70690,5,53.47371,-3.00459,280," 2800S47081A","Bootle"
74275,5,53.45025,-2.98455,280," 2800S47155B","Bootle"
74948,5,53.45065,-3.00296,280," 2800S47004B","Bootle"
76290,5,53.47623,-2.96157,280," 2800S53009B","Bootle"
77299,5,53.47146,-3.00419,280," 2800S47183B","Bootle"
77444,5,53.46352,-2.95903,280," 2800S46089A","Bootle"
78243,5,53.45826,-3.00812,280," 2800S47002A","Bootle"
80389,5,53.47513,-3.00623,280," 2800S47080A","Bootle"
80391,5,53.47458,-3.00572,280," 2800S47080B","Bootle"
81018,5,53.45664,-2.98388,280," 2800S47069D","Bootle"
81019,5,53.45667,-2.98409,280," 2800S47069E","Bootle"
81021,5,53.45617,-2.98453,280," 2800S47069A","Bootle"
81022,5,53.45629,-2.98303,280," 2800S47069B","Bootle"
82368,5,53.46716,-2.95609,280," 2800S46059B","Bootle"
82510,5,53.47237,-2.99838,280," 2800S47018A","Bootle"
82511,5,53.47235,-2.9986,280," 2800S47018B","Bootle"
82829,5,53.46341,-2.98389,280," 2800S47113B","Bootle"
82830,5,53.4632,-2.98357,280," 2800S47113A","Bootle"
83873,5,53.49015,-2.98636,280," 2800S53011A","Bootle"
83983,5,53.4447,-2.99354,280," 2800S40118B","Bootle"
85677,5,53.44879,-2.99129,280," 2800S47027F","Bootle"
85680,5,53.44881,-2.9896,280," 2800S47027E","Bootle"
86056,5,53.4699,-2.97522,280," 2800S47047A","Bootle"
86635,5,53.46137,-2.95108,280," 2800S46071A","Bootle"
86636,5,53.46168,-2.9516,280," 2800S46071B","Bootle"
87531,5,53.45099,-2.98348,280," 2800S47176A","Bootle"
87717,5,53.49524,-2.97097,280," 2800S53015A","Bootle"
88175,5,53.4541,-2.99117,280," 2800S47029A","Bootle"
88177,5,53.45547,-2.99179,280," 2800S47029C","Bootle"
88178,5,53.4547,-2.99088,280," 2800S47029D","Bootle"
89734,5,53.45181,-2.95665,280," 2800S46114A","Bootle"
90011,5,53.47071,-2.9946,280," 2800S47083A","Bootle"
90012,5,53.47026,-2.99406,280," 2800S47083B","Bootle"
90615,5,53.45694,-2.9799,280," 2800S47068D","Bootle"
90616,5,53.45674,-2.97965,280," 2800S47068C","Bootle"
90617,5,53.45632,-2.97922,280," 2800S47068B","Bootle"
90618,5,53.45615,-2.98051,280," 2800S47068A","Bootle"
92148,5,53.47018,-2.99903,280," 2800S47019B","Bootle"
92149,5,53.47048,-2.99942,280," 2800S47019A","Bootle"
92501,5,53.46573,-2.98185,280," 2800S47112A","Bootle"
92502,5,53.46566,-2.98207,280," 2800S47112B","Bootle"
94343,5,53.45474,-2.96161,280," 2800S46052B","Bootle"
94491,5,53.45256,-3.00428,280," 2800S47006A","Bootle"
96760,5,53.48813,-2.99362,280," 2800S47185A","Bootle"
97391,5,53.49477,-2.97433,280," 2800S53014A","Bootle"
98091,5,53.47395,-2.96308,280," 2800S47091B","Bootle"
98092,5,53.47419,-2.96291,280," 2800S47091A","Bootle"
98595,5,53.48497,-2.9959,280," 2800S47180B","Bootle"
98688,5,53.48029,-3.00275,280," 2800S47078B","Bootle"
98689,5,53.47994,-3.00314,280," 2800S47078A","Bootle"
99454,5,53.46765,-3.00193,280," 2800S47034A","Bootle"
99676,5,53.47133,-3.00087,280," 2800S47082B","Bootle"
99677,5,53.47133,-3.00114,280," 2800S47082A","Bootle"
101775,5,53.47608,-2.99593,280," 2800S47016B","Bootle"
101994,5,53.49202,-2.9864,280," 2800S53026B","Bootle"
101995,5,53.49169,-2.98627,280," 2800S53026A","Bootle"
103443,5,53.45769,-2.99213,280," 2800S47030A","Bootle"
104411,5,53.46949,-2.95579,280," 2800S46060A","Bootle"
105433,5,53.48465,-2.9721,280," 2800S53004B","Bootle"
105434,5,53.48427,-2.97133,280," 2800S53004A","Bootle"
105888,5,53.47564,-2.98289,280," 2800S47038B","Bootle"
105889,5,53.47564,-2.97994,280," 2800S47038C","Bootle"
106473,5,53.45349,-3.00052,280," 2800S47186A","Bootle"
106474,5,53.45384,-3.00022,280," 2800S47186B","Bootle"
107096,5,53.49545,-2.98,280," 2800S53013B","Bootle"
107097,5,53.49548,-2.97919,280," 2800S53013A","Bootle"
108463,5,53.47701,-3.00516,280," 2800S47079A","Bootle"
109408,5,53.45556,-3.00194,280," 2800S47085B","Bootle"
109410,5,53.45554,-3.00223,280," 2800S47085A","Bootle"
111652,5,53.47386,-2.9974,280," 2800S47017A","Bootle"
111653,5,53.47353,-2.99773,280," 2800S47017B","Bootle"
113283,5,53.48338,-2.97045,280," 2800S53067A","Bootle"
113284,5,53.48345,-2.97035,280," 2800S53067B","Bootle"
115244,5,53.48676,-2.9722,280," 2800S53005A","Bootle"
115316,5,53.45028,-2.98575,280," 2800S47156A","Bootle"
115317,5,53.45017,-2.98622,280," 2800S47156B","Bootle"
115700,5,53.47735,-2.97839,280," 2800S47039A","Bootle"
116924,5,53.46881,-2.98419,280," 2800S47122B","Bootle"
116926,5,53.4679,-2.9852,280," 2800S47122A","Bootle"
118851,5,53.49489,-2.97343,280," 2800S53014B","Bootle"
120297,5,53.46921,-2.99675,280," 2800S47100B","Bootle"
120299,5,53.46924,-2.99651,280," 2800S47100A","Bootle"
121478,5,53.48223,-2.99629,280," 2800S47014B","Bootle"
121487,5,53.45167,-2.99081,280," 2800S47028C","Bootle"
121488,5,53.45242,-2.9907,280," 2800S47028A","Bootle"
121489,5,53.45174,-2.99085,280," 2800S47028D","Bootle"
121675,5,53.49427,-2.96742,280," 2800S53024A","Bootle"
121676,5,53.49499,-2.96781,280," 2800S53024B","Bootle"
121776,5,53.45505,-2.97949,280," 2800S47117B","Bootle"
121777,5,53.45498,-2.97932,280," 2800S47117A","Bootle"
121945,5,53.44352,-2.98173,280," 2800S40141B","Bootle"
121947,5,53.44447,-2.98256,280," 2800S40141A","Bootle"
122860,5,53.45794,-2.99244,280," 2800S47030C","Bootle"
124992,5,53.46285,-2.97164,280," 2800S47060A","Bootle"
125007,5,53.45038,-2.98404,280," 2800S47155A","Bootle"
125983,5,53.47476,-3.00689,280," 2800S47188A","Bootle"
126581,5,53.4707,-2.98362,280," 2800S47123A","Bootle"
126582,5,53.47043,-2.98345,280," 2800S47123B","Bootle"
126624,5,53.49009,-2.98698,280," 2800S53011B","Bootle"
127017,5,53.46761,-2.98594,280," 2800S47105B","Bootle"
128798,5,53.48175,-2.96718,280," 2800S47042D","Bootle"
131262,5,53.47943,-2.9961,280," 2800S47015B","Bootle"
131263,5,53.4798,-2.99646,280," 2800S47015A","Bootle"
131425,5,53.49237,-2.96262,280," 2800S53025A","Bootle"
131572,5,53.4588,-2.98014,280," 2800S47116A","Bootle"
131573,5,53.45836,-2.98026,280," 2800S47116B","Bootle"
134018,5,53.44226,-2.98803,280," 2800S40047B","Bootle"
134019,5,53.44339,-2.98859,280," 2800S40047A","Bootle"
135792,5,53.44732,-2.9894,280," 2800S47189A","Bootle"
136109,5,53.46459,-2.97643,280," 2800S47045D","Bootle"
136449,5,53.47863,-2.96442,280," 2800S53010B","Bootle"
136450,5,53.479,-2.96467,280," 2800S53010A","Bootle"
136473,5,53.44951,-2.97836,280," 2800S47120A","Bootle"
