"node","layer","lat","lon","zone","atcocode","city"
43,5,51.42525,-0.70519,38,"038G00021000","Bracknell"
313,5,51.39793,-0.77543,38,"038G00132000","Bracknell"
637,5,51.41713,-0.735,38,"038G00006000","Bracknell"
970,5,51.46222,-0.74311,36,"036G00006844","Bracknell"
1490,5,51.45722,-0.74739,38,"038G00152000","Bracknell"
1549,5,51.40419,-0.77215,38,"038G00143000","Bracknell"
1605,5,51.4553,-0.79137,36,"036G00003110","Bracknell"
2016,5,51.42122,-0.77749,38,"038G00065000","Bracknell"
2184,5,51.41088,-0.67629,36,"036G00006640","Bracknell"
2954,5,51.43169,-0.72329,38,"038G00160000","Bracknell"
3358,5,51.42785,-0.73556,38,"038G00067000","Bracknell"
4255,5,51.41796,-0.71322,38,"038G00162000","Bracknell"
4260,5,51.35353,-0.67465,400,"400G4403052A","Bracknell"
4514,2,51.39194,-0.63304,36," 910GSUNNGDL","Bracknell"
4514,5,51.39194,-0.63304,36," 910GSUNNGDL","Bracknell"
5433,5,51.39199,-0.77011,38,"038G00098000","Bracknell"
6265,5,51.44623,-0.75168,38,"038G00009000","Bracknell"
6466,5,51.39501,-0.73877,38,"038G00072000","Bracknell"
7024,5,51.41031,-0.63866,36,"036G00000404","Bracknell"
7433,5,51.4154,-0.78335,38,"038GD689G204","Bracknell"
7732,5,51.41669,-0.7685,38,"038G00035000","Bracknell"
7804,5,51.39711,-0.64207,36,"036G00006618","Bracknell"
8766,5,51.41674,-0.76456,38,"038G00112000","Bracknell"
9001,5,51.41934,-0.6448,36,"036G00000309","Bracknell"
9002,5,51.404,-0.63854,36,"036G00000305","Bracknell"
9003,5,51.40714,-0.63752,36,"036G00000306","Bracknell"
9005,5,51.39772,-0.63498,36,"036G00000303","Bracknell"
9006,5,51.39863,-0.63039,36,"036G00000302","Bracknell"
9253,5,51.3998,-0.73454,38,"038G00055000","Bracknell"
10219,5,51.39469,-0.75827,38,"038G00033000","Bracknell"
10680,5,51.37352,-0.67371,400,"400G4403010A","Bracknell"
11171,5,51.41937,-0.73748,38,"038G00114000","Bracknell"
11444,5,51.43182,-0.77023,38,"038G00118000","Bracknell"
11494,5,51.39257,-0.76494,38,"038G00020000","Bracknell"
11747,5,51.39541,-0.77365,38,"038G00131000","Bracknell"
11906,5,51.37457,-0.66607,400,"400G4403802A","Bracknell"
12485,5,51.39975,-0.73758,38,"038G00086000","Bracknell"
12912,5,51.39903,-0.74421,38,"038G00048000","Bracknell"
13022,5,51.40866,-0.73345,38,"038G00140000","Bracknell"
13488,5,51.45226,-0.75166,38,"038G00064000","Bracknell"
13496,5,51.38897,-0.75223,38,"038G00071000","Bracknell"
13626,5,51.39928,-0.64577,36,"036G00006620","Bracknell"
13980,5,51.41766,-0.7377,38,"038G00083000","Bracknell"
14574,5,51.39294,-0.7438,38,"038G00104000","Bracknell"
14893,5,51.4245,-0.76311,38,"038G00066000","Bracknell"
15045,5,51.42187,-0.73418,38,"038G00061000","Bracknell"
15160,5,51.39379,-0.77265,38,"038G00127000","Bracknell"
15460,5,51.43211,-0.78421,38,"038G00146000","Bracknell"
15662,5,51.40118,-0.74454,38,"038G00018000","Bracknell"
15717,5,51.3716,-0.68305,400,"400G4403007A","Bracknell"
15834,5,51.41919,-0.78608,38,"038G00163000","Bracknell"
15984,5,51.39171,-0.75795,38,"038G00077000","Bracknell"
16688,5,51.42221,-0.68604,38,"038G00101000","Bracknell"
16918,5,51.42841,-0.67902,38,"038G00158000","Bracknell"
16985,5,51.43154,-0.79007,38,"038G00102000","Bracknell"
17159,5,51.43079,-0.71042,38,"038G00057000","Bracknell"
17571,5,51.43349,-0.67401,38,"038G00121000","Bracknell"
17848,5,51.40872,-0.77325,38,"038G00008000","Bracknell"
17865,5,51.40338,-0.73923,38,"038GG798I900","Bracknell"
17893,5,51.37501,-0.78979,38,"038G00015000","Bracknell"
18276,5,51.40335,-0.7566,38,"038G00111000","Bracknell"
18292,5,51.39033,-0.76598,38,"038G00094000","Bracknell"
18503,5,51.42051,-0.73627,38,"038G00089000","Bracknell"
18634,2,51.40625,-0.67583,36,"   910GASCOT","Bracknell"
18634,5,51.40625,-0.67583,36,"   910GASCOT","Bracknell"
18677,5,51.41195,-0.70185,38,"038G00043000","Bracknell"
18854,5,51.41807,-0.75896,38,"038G00136000","Bracknell"
19484,5,51.41529,-0.64133,36,"036G00006636","Bracknell"
19486,5,51.41676,-0.64767,36,"036G00006635","Bracknell"
19500,5,51.40005,-0.65673,36,"036G00006632","Bracknell"
19505,5,51.39651,-0.65947,36,"036G00006630","Bracknell"
20106,5,51.42553,-0.68068,38,"038GK844F497","Bracknell"
20754,5,51.42475,-0.75497,38,"038G00078000","Bracknell"
20868,5,51.35587,-0.69977,400,"400G4403058A","Bracknell"
21078,5,51.41699,-0.78928,38,"038G00027000","Bracknell"
22055,5,51.41581,-0.73767,38,"038G00081000","Bracknell"
23095,5,51.40186,-0.744,38,"038G00063000","Bracknell"
23319,5,51.40771,-0.74804,38,"038G00058000","Bracknell"
23952,5,51.39125,-0.75299,38,"038G00007000","Bracknell"
24053,5,51.43679,-0.78846,38,"038G00166000","Bracknell"
24218,2,51.36437,-0.68866,400," 910GBAGSHOT","Bracknell"
24218,5,51.36437,-0.68866,400," 910GBAGSHOT","Bracknell"
24270,2,51.41099,-0.7227,38,"  910GMHERON","Bracknell"
24270,5,51.41099,-0.7227,38,"  910GMHERON","Bracknell"
24336,5,51.42601,-0.78734,38,"038G00099000","Bracknell"
24414,5,51.42126,-0.74275,38,"038G00184000","Bracknell"
24672,5,51.40336,-0.77496,38,"038G00139000","Bracknell"
24905,5,51.42886,-0.69133,38,"038G00142000","Bracknell"
25032,5,51.43309,-0.77743,38,"038G00110000","Bracknell"
25346,5,51.40225,-0.65503,36,"036G00006634","Bracknell"
25626,5,51.42645,-0.70855,38,"038G00082000","Bracknell"
26679,5,51.41059,-0.75867,38,"038G00060000","Bracknell"
27326,5,51.41101,-0.73292,38,"038G00019000","Bracknell"
27343,5,51.35952,-0.68353,400,"400G4403054A","Bracknell"
27670,5,51.43383,-0.79038,38,"038G00165000","Bracknell"
28463,5,51.35813,-0.68329,400,"400G4403053A","Bracknell"
