"node","layer","lat","lon","zone","atcocode","city"
23,5,53.80258,-1.80051,450,"     450G478","Bradford"
24,5,53.80355,-1.80414,450,"     450G479","Bradford"
28,5,53.82915,-1.72419,450,"     450G470","Bradford"
29,5,53.82761,-1.7239,450,"     450G471","Bradford"
30,5,53.82598,-1.72263,450,"     450G472","Bradford"
32,5,53.82301,-1.72397,450,"     450G474","Bradford"
33,5,53.82139,-1.72377,450,"     450G475","Bradford"
34,5,53.81894,-1.72084,450,"     450G476","Bradford"
35,5,53.80096,-1.79615,450,"     450G477","Bradford"
75,5,53.82747,-1.73024,450,"    450G9383","Bradford"
148,5,53.76289,-1.77745,450,"    450G9298","Bradford"
215,5,53.82469,-1.7219,450,"     450G473","Bradford"
304,5,53.79823,-1.73062,450,"    450G1079","Bradford"
452,5,53.77182,-1.78673,450,"     450G676","Bradford"
453,5,53.77049,-1.78467,450,"     450G677","Bradford"
454,5,53.77543,-1.79254,450,"     450G674","Bradford"
455,5,53.77379,-1.78971,450,"     450G675","Bradford"
469,5,53.80534,-1.75065,450,"     450G784","Bradford"
483,5,53.84503,-1.77305,450,"    450G1456","Bradford"
485,5,53.84279,-1.77303,450,"    450G1457","Bradford"
627,5,53.74379,-1.71573,450,"    450G6230","Bradford"
629,5,53.75437,-1.70635,450,"    450G6235","Bradford"
763,5,53.81623,-1.72089,450,"    450G1148","Bradford"
1156,5,53.79703,-1.73623,450,"    450G1077","Bradford"
1263,5,53.77104,-1.78951,450,"    450G8368","Bradford"
1283,5,53.77164,-1.79066,450,"    450G8367","Bradford"
1285,5,53.77219,-1.79221,450,"    450G8366","Bradford"
2052,5,53.83688,-1.75055,450,"     450G828","Bradford"
2304,5,53.82205,-1.76138,450,"    450G1508","Bradford"
2427,5,53.79969,-1.71799,450,"    450G1767","Bradford"
2477,5,53.84086,-1.76719,450,"    450G1182","Bradford"
2506,5,53.7815,-1.7588,450,"     450G537","Bradford"
2507,5,53.7829,-1.757,450,"     450G536","Bradford"
2508,5,53.812,-1.79383,450,"     450G533","Bradford"
2509,5,53.79614,-1.76689,450,"     450G532","Bradford"
2510,5,53.77709,-1.76039,450,"     450G539","Bradford"
2511,5,53.77993,-1.76033,450,"     450G538","Bradford"
2685,5,53.75806,-1.79784,450,"     450G672","Bradford"
2692,5,53.7585,-1.79438,450,"     450G670","Bradford"
2703,5,53.76853,-1.78132,450,"     450G678","Bradford"
2706,5,53.76697,-1.77864,450,"     450G679","Bradford"
3130,5,53.7983,-1.71093,450,"    450G1124","Bradford"
3132,5,53.81215,-1.74789,450,"    450G1686","Bradford"
3136,5,53.83733,-1.75636,450,"     450G809","Bradford"
3138,5,53.81251,-1.74564,450,"    450G1689","Bradford"
3161,5,53.78699,-1.7265,450,"    450G1536","Bradford"
3312,5,53.80643,-1.72014,450,"    450G1773","Bradford"
3318,5,53.80526,-1.71852,450,"    450G1771","Bradford"
3544,5,53.78315,-1.76486,450,"     450G379","Bradford"
3553,5,53.77226,-1.76326,450,"     450G373","Bradford"
3567,5,53.77659,-1.76923,450,"     450G375","Bradford"
3570,5,53.77446,-1.76672,450,"     450G374","Bradford"
3699,5,53.7557,-1.70503,450,"    450G6238","Bradford"
3707,5,53.80706,-1.78078,450,"     450G298","Bradford"
3712,5,53.80828,-1.77699,450,"     450G297","Bradford"
3758,5,53.82872,-1.7511,450,"   450G10053","Bradford"
4029,5,53.83562,-1.78305,450,"     450G822","Bradford"
4040,5,53.83355,-1.78315,450,"     450G820","Bradford"
4043,5,53.83555,-1.7502,450,"     450G827","Bradford"
4337,5,53.81555,-1.81019,450,"     450G311","Bradford"
4338,5,53.81526,-1.80604,450,"     450G310","Bradford"
4339,5,53.81588,-1.81528,450,"     450G313","Bradford"
4364,5,53.84256,-1.78537,450,"    450G1474","Bradford"
4378,5,53.79828,-1.79259,450,"    450G4347","Bradford"
4450,5,53.79151,-1.82754,450,"      450G73","Bradford"
4452,5,53.79115,-1.8332,450,"      450G75","Bradford"
4458,5,53.79096,-1.83689,450,"      450G77","Bradford"
5199,5,53.82724,-1.72735,450,"    450G9382","Bradford"
5335,5,53.78342,-1.71449,450,"     450G423","Bradford"
5410,5,53.80069,-1.76981,450,"     450G163","Bradford"
5416,5,53.79969,-1.76696,450,"     450G165","Bradford"
5590,2,53.79109,-1.7496,910,"  910GBRADIN","Bradford"
5590,5,53.79109,-1.7496,910,"  910GBRADIN","Bradford"
5590,4,53.79109,-1.7496,910,"  910GBRADIN","Bradford"
5604,5,53.75315,-1.75821,450,"    450G1828","Bradford"
5667,5,53.8139,-1.73931,450,"     450G401","Bradford"
5668,5,53.8125,-1.74203,450,"     450G400","Bradford"
