"node","layer","lat","lon","zone","atcocode","city"
274,5,51.60256,0.2474,490,"490G00007826","Brentwood"
1272,5,51.62911,0.35098,150,"150G00002548","Brentwood"
1273,5,51.62923,0.35493,150,"150G00002549","Brentwood"
1274,5,51.62845,0.34471,150,"150G00002546","Brentwood"
1275,5,51.63012,0.34658,150,"150G00002547","Brentwood"
1276,5,51.6193,0.34041,150,"150G00002544","Brentwood"
1277,5,51.62258,0.34285,150,"150G00002545","Brentwood"
1278,5,51.61551,0.33526,150,"150G00002542","Brentwood"
1279,5,51.61927,0.33778,150,"150G00002543","Brentwood"
1280,5,51.60977,0.30477,150,"150G00002540","Brentwood"
1281,5,51.61388,0.33268,150,"150G00002541","Brentwood"
2207,5,51.60331,0.24443,490,"490G00006711","Brentwood"
5271,2,51.56795,0.34065,150," 910GWHORNDN","Brentwood"
5271,5,51.56795,0.34065,150," 910GWHORNDN","Brentwood"
6819,5,51.63519,0.33602,150,"150G00002515","Brentwood"
6820,5,51.63687,0.34081,150,"150G00002514","Brentwood"
6821,5,51.6449,0.34338,150,"150G00002517","Brentwood"
6822,5,51.63616,0.35432,150,"150G00002511","Brentwood"
6823,5,51.63443,0.35382,150,"150G00002510","Brentwood"
6824,5,51.63769,0.34641,150,"150G00002513","Brentwood"
6825,5,51.63712,0.35041,150,"150G00002512","Brentwood"
6828,5,51.63756,0.32729,150,"150G00002519","Brentwood"
6829,5,51.64261,0.33544,150,"150G00002518","Brentwood"
7588,2,51.63088,0.32985,150," 910GSHENFLD","Brentwood"
7588,5,51.63088,0.32985,150," 910GSHENFLD","Brentwood"
11220,5,51.61959,0.29897,150,"150G00002498","Brentwood"
11221,4,51.62091,0.30436,150,"150G00002499","Brentwood"
11221,5,51.62091,0.30436,150,"150G00002499","Brentwood"
11224,5,51.62634,0.29951,150,"150G00002490","Brentwood"
11225,5,51.62407,0.30243,150,"150G00002491","Brentwood"
11226,5,51.60974,0.2675,150,"150G00002492","Brentwood"
11227,5,51.6118,0.27432,150,"150G00002493","Brentwood"
11228,5,51.61353,0.27945,150,"150G00002494","Brentwood"
11229,5,51.61534,0.28514,150,"150G00002495","Brentwood"
11230,5,51.61711,0.29088,150,"150G00002496","Brentwood"
11231,5,51.61873,0.29541,150,"150G00002497","Brentwood"
12238,5,51.60712,0.24215,490,"490G00012054","Brentwood"
12639,5,51.61405,0.3296,150,"150G00002528","Brentwood"
12640,5,51.61217,0.32644,150,"150G00002529","Brentwood"
12643,5,51.61551,0.31507,150,"150G00002524","Brentwood"
12644,5,51.61356,0.31764,150,"150G00002525","Brentwood"
12645,5,51.61203,0.31992,150,"150G00002526","Brentwood"
12646,5,51.61059,0.32379,150,"150G00002527","Brentwood"
12647,5,51.63546,0.32515,150,"150G00002520","Brentwood"
12648,5,51.61855,0.30855,150,"150G00002522","Brentwood"
12649,5,51.61743,0.31176,150,"150G00002523","Brentwood"
13118,5,51.62382,0.31129,150,"150G00003101","Brentwood"
14590,5,51.56559,0.30035,150,"150G00000136","Brentwood"
16866,2,51.61361,0.29959,150," 910GBRTWOOD","Brentwood"
16866,5,51.61361,0.29959,150," 910GBRTWOOD","Brentwood"
18100,5,51.70659,0.28773,150,"150G00001568","Brentwood"
18892,5,51.69831,0.24385,150,"150G00003131","Brentwood"
20234,5,51.64381,0.27141,150,"150G00002573","Brentwood"
20235,5,51.63993,0.27657,150,"150G00002572","Brentwood"
20236,5,51.63917,0.27669,150,"150G00002571","Brentwood"
20237,5,51.63943,0.26733,150,"150G00002570","Brentwood"
20238,5,51.66403,0.27212,150,"150G00002577","Brentwood"
20239,5,51.65888,0.26994,150,"150G00002576","Brentwood"
20240,5,51.65236,0.26622,150,"150G00002575","Brentwood"
20241,5,51.64755,0.26654,150,"150G00002574","Brentwood"
