"node","layer","lat","lon","zone","atcocode","city"
1943,2,50.829,-0.14128,149,"  910GBRGHTN","Brighton"
1943,5,50.829,-0.14128,149,"  910GBRGHTN","Brighton"
1943,4,50.829,-0.14128,149,"  910GBRGHTN","Brighton"
5363,5,50.82386,-0.14547,149,"  149GCHUSQU","Brighton"
10999,4,50.80325,-0.05822,149,"900GNX001243","Brighton"
10999,5,50.80325,-0.05822,149,"900GNX001243","Brighton"
11186,2,50.83666,-0.1365,149," 910GBRGHLRD","Brighton"
11186,5,50.83666,-0.1365,149," 910GBRGHLRD","Brighton"
11186,4,50.83666,-0.1365,149," 910GBRGHLRD","Brighton"
12072,5,50.85875,-0.13295,149,"149G00006272","Brighton"
12074,5,50.85835,-0.131,149,"149G00006271","Brighton"
14573,5,50.8433,-0.1346,149,"149GFIVEWAYS","Brighton"
16456,5,50.82538,-0.1214,149,"149G00006790","Brighton"
18547,2,50.86212,-0.08738,149,"    910GFAMR","Brighton"
18547,5,50.86212,-0.08738,149,"    910GFAMR","Brighton"
18583,4,50.83917,-0.14839,149,"900GNX002189","Brighton"
18583,5,50.83917,-0.14839,149,"900GNX002189","Brighton"
22180,4,50.82087,-0.13716,149,"  149GSTEINE","Brighton"
22180,5,50.82087,-0.13716,149,"  149GSTEINE","Brighton"
22928,5,50.85765,-0.14158,149,"149G00006318","Brighton"
24389,5,50.83705,-0.07602,149,"149GDOWNSHTL","Brighton"
28204,2,50.84672,-0.11884,149," 910GMLSECMB","Brighton"
28204,5,50.84672,-0.11884,149," 910GMLSECMB","Brighton"
33682,4,50.80048,-0.03993,149,"900GNX001263","Brighton"
33682,5,50.80048,-0.03993,149,"900GNX001263","Brighton"
51912,5,50.83155,-0.14773,149,"149000006130","Brighton"
51913,5,50.83322,-0.14966,149,"149000006131","Brighton"
53467,5,50.81927,-0.1321,149,"149000006003","Brighton"
53468,5,50.81694,-0.12004,149,"149000006006","Brighton"
53469,5,50.81634,-0.11701,149,"149000006007","Brighton"
53470,5,50.8184,-0.12777,149,"149000006004","Brighton"
53471,5,50.81779,-0.12442,149,"149000006005","Brighton"
53474,5,50.81575,-0.11422,149,"149000006008","Brighton"
53541,5,50.84252,-0.09665,149,"149000006871","Brighton"
53693,5,50.86748,-0.14431,149,"149000007258","Brighton"
53694,5,50.86801,-0.14156,149,"149000007259","Brighton"
53698,5,50.83205,-0.14528,149,"149000007252","Brighton"
53700,5,50.86029,-0.14565,149,"149000007255","Brighton"
53701,5,50.86211,-0.14549,149,"149000007256","Brighton"
53702,5,50.86435,-0.14543,149,"149000007257","Brighton"
