"node","layer","lat","lon","zone","atcocode","city"
577,5,52.8692,-1.62706,100,"100G00021838","Burton upon Trent"
3020,5,52.82272,-1.60277,100,"100G00015720","Burton upon Trent"
5094,5,52.85311,-1.60235,100,"100GDE000047","Burton upon Trent"
5636,5,52.87292,-1.64548,100,"100G00014278","Burton upon Trent"
5637,5,52.8726,-1.64041,100,"100G00014279","Burton upon Trent"
5642,5,52.82806,-1.58226,100,"100G00014272","Burton upon Trent"
5645,5,52.82624,-1.59176,100,"100G00014271","Burton upon Trent"
6916,5,52.73965,-1.6565,100,"100G00021655","Burton upon Trent"
8440,5,52.76316,-1.63974,100,"100G00018996","Burton upon Trent"
11374,2,52.85366,-1.56336,100," 910GWLNTNON","Burton upon Trent"
11374,5,52.85366,-1.56336,100," 910GWLNTNON","Burton upon Trent"
11376,5,52.85975,-1.60361,100,"100G00013799","Burton upon Trent"
12244,5,52.87311,-1.63322,100,"   100G52028","Burton upon Trent"
13790,5,52.73811,-1.67864,100,"100G00021816","Burton upon Trent"
13793,5,52.73525,-1.69211,100,"100G00021815","Burton upon Trent"
19143,5,52.83728,-1.55527,100,"100GD0012125","Burton upon Trent"
20893,5,52.86438,-1.68209,100," 910GTUTBURY","Burton upon Trent"
20893,2,52.86438,-1.68209,100," 910GTUTBURY","Burton upon Trent"
21258,5,52.87396,-1.67891,100,"100GDHSB1362","Burton upon Trent"
24152,5,52.88151,-1.61466,100,"100G00011936","Burton upon Trent"
24443,5,52.86443,-1.61584,100,"   100G52492","Burton upon Trent"
25960,5,52.87521,-1.68898,100,"100G00015143","Burton upon Trent"
26056,5,52.82881,-1.57952,100,"100G00012262","Burton upon Trent"
32530,5,52.88428,-1.60164,100,"100GDE000630","Burton upon Trent"
32972,5,52.87695,-1.71369,100,"100G00021829","Burton upon Trent"
33424,5,52.82734,-1.58436,100,"100GDNS01836","Burton upon Trent"
35427,5,52.82607,-1.59899,100,"100G00015718","Burton upon Trent"
35428,5,52.81828,-1.60765,100,"100G00015719","Burton upon Trent"
36308,5,52.87338,-1.63546,100,"100GDH001558","Burton upon Trent"
36697,5,52.85274,-1.55207,100,"100G00011857","Burton upon Trent"
36699,5,52.85236,-1.55414,100,"100G00011856","Burton upon Trent"
36767,5,52.76096,-1.67951,100,"100GDWT01970","Burton upon Trent"
37277,5,52.8737,-1.65767,100,"   100G51943","Burton upon Trent"
38118,5,52.88212,-1.61136,100,"100G00014265","Burton upon Trent"
38120,5,52.88009,-1.60283,100,"100G00014267","Burton upon Trent"
38121,5,52.88222,-1.60467,100,"100G00014266","Burton upon Trent"
39224,5,52.7798,-1.6292,100,"100G00014383","Burton upon Trent"
41675,5,52.78237,-1.61026,100,"100G00014117","Burton upon Trent"
43274,5,52.86895,-1.71399,100,"100G00021828","Burton upon Trent"
45067,5,52.87235,-1.62958,100,"100G00011984","Burton upon Trent"
48267,5,52.8053,-1.58443,100,"100G00022267","Burton upon Trent"
48287,5,52.84005,-1.55073,100,"100GDR001562","Burton upon Trent"
49698,5,52.7584,-1.67587,100,"100GDWTR4877","Burton upon Trent"
50135,4,52.80309,-1.62951,380,"900GNX000257","Burton upon Trent"
50135,5,52.80309,-1.62951,380,"900GNX000257","Burton upon Trent"
50803,5,52.80583,-1.64246,910," 910GBURTNOT","Burton upon Trent"
