"node","layer","lat","lon","zone","atcocode","city"
3522,4,53.59098,-2.29711,940," 940GZZMABUR","Bury"
3522,5,53.59098,-2.29711,940," 940GZZMABUR","Bury"
3522,3,53.59098,-2.29711,940," 940GZZMABUR","Bury"
51766,5,53.5999,-2.32234,180," 1800NC20781","Bury"
51960,5,53.6021,-2.27381,180," 1800NC09581","Bury"
52094,5,53.5867,-2.2855,180," 1800NC20321","Bury"
52132,5,53.59539,-2.30968,180," 1800NC23001","Bury"
52748,5,53.60521,-2.33685,180," 1800NC22381","Bury"
53124,5,53.60189,-2.30465,180," 1800NC21591","Bury"
53453,5,53.58525,-2.29259,180," 1800NC20261","Bury"
53891,5,53.6391,-2.32713,180," 1800NC07151","Bury"
54777,5,53.62107,-2.29637,180," 1800NC08951","Bury"
55059,5,53.59229,-2.3225,180," 1800NC22071","Bury"
55674,5,53.60458,-2.29221,180," 1800NC21171","Bury"
55934,5,53.59265,-2.23646,180," 1800NE31901","Bury"
56780,5,53.59362,-2.31056,180," 1800NC00531","Bury"
57788,5,53.61184,-2.29118,180," 1800NCH0691","Bury"
57846,5,53.60771,-2.3123,180," 1800NC22911","Bury"
58691,5,53.5933,-2.23802,180," 1800NE34911","Bury"
59348,5,53.60061,-2.26176,180," 1800NC48121","Bury"
59524,5,53.59252,-2.27917,180," 1800NC33571","Bury"
59553,5,53.61556,-2.32046,180," 1800NC22821","Bury"
60224,5,53.6308,-2.36013,180," 1800NC34691","Bury"
60452,5,53.59886,-2.27845,180," 1800NC21631","Bury"
60656,5,53.61125,-2.36429,180," 1800WA11461","Bury"
60944,5,53.62392,-2.33535,180," 1800NC34801","Bury"
61100,5,53.59696,-2.23835,180," 1800NEH2491","Bury"
61816,5,53.58707,-2.28705,180," 1800NC20331","Bury"
62002,5,53.59721,-2.28285,180," 1800NC33641","Bury"
62415,5,53.5824,-2.29988,180," 1800NC05991","Bury"
62803,5,53.60111,-2.27761,180," 1800NC21661","Bury"
62805,5,53.60485,-2.30229,180," 1800NC21581","Bury"
63267,5,53.62996,-2.30967,180," 1800NC21411","Bury"
63294,5,53.59897,-2.22752,180," 1800NEH2541","Bury"
63523,5,53.63766,-2.32917,180," 1800NC07141","Bury"
64666,5,53.59223,-2.32197,180," 1800NC22061","Bury"
64778,5,53.58924,-2.30012,180," 1800NC20211","Bury"
64835,5,53.58239,-2.30018,180," 1800NC06001","Bury"
65244,5,53.60602,-2.29235,180," 1800NC21161","Bury"
65535,5,53.59258,-2.23704,180," 1800NE31911","Bury"
65788,5,53.61316,-2.33663,180," 1800NC01151","Bury"
65971,5,53.64134,-2.3027,180," 1800NC08811","Bury"
66145,5,53.59643,-2.31626,180," 1800NCH2491","Bury"
66595,5,53.62206,-2.3264,180," 1800NC22531","Bury"
67242,5,53.5897,-2.26159,180," 1800NE20871","Bury"
67486,5,53.60002,-2.30939,180," 1800NC22961","Bury"
68232,5,53.60477,-2.23225,180," 1800NE48251","Bury"
68346,5,53.59307,-2.23669,180," 1800NE34901","Bury"
68678,5,53.5889,-2.25883,180," 1800NE32001","Bury"
68972,5,53.60067,-2.26067,180," 1800NC48131","Bury"
69118,5,53.59286,-2.28212,180," 1800NC33581","Bury"
69471,5,53.59216,-2.31253,180," 1800NC35071","Bury"
69649,5,53.59304,-2.28515,180," 1800NC20411","Bury"
69995,5,53.59922,-2.27815,180," 1800NC21641","Bury"
70202,5,53.61457,-2.3676,180," 1800WA11471","Bury"
70485,5,53.62324,-2.33855,180," 1800NC34811","Bury"
70733,5,53.62692,-2.32529,180," 1800NC21481","Bury"
71319,5,53.584,-2.28731,180," 1800NC20301","Bury"
71474,5,53.585,-2.24769,180," 1800NEH3841","Bury"
71641,5,53.61047,-2.36837,180," 1800WA11451","Bury"
72395,5,53.60226,-2.29091,180," 1800NC21371","Bury"
72562,5,53.59114,-2.33372,180," 1800NC22121","Bury"
72779,5,53.60581,-2.32635,180," 1800NC22491","Bury"
73040,5,53.64015,-2.32579,180," 1800NC07171","Bury"
73737,5,53.59869,-2.26953,180," 1800NC48021","Bury"
73846,5,53.62493,-2.29799,180," 1800NC08931","Bury"
74621,5,53.64526,-2.32633,180," 1800NCH0911","Bury"
74949,5,53.59164,-2.24016,180," 1800NE31921","Bury"
75240,5,53.63319,-2.33419,180," 1800NCH0781","Bury"
75649,5,53.59871,-2.30842,180," 1800NCH3991","Bury"
75985,5,53.59911,-2.2274,180," 1800NE04891","Bury"
76601,5,53.59329,-2.23039,180," 1800NE32301","Bury"
76873,5,53.58881,-2.25931,180," 1800NE20861","Bury"
77114,5,53.59976,-2.30896,180," 1800NC22971","Bury"
77692,5,53.59096,-2.34227,180," 1800NC00421","Bury"
77879,5,53.60476,-2.23813,180," 1800NE48241","Bury"
78013,5,53.59365,-2.2422,180," 1800NE34931","Bury"
78660,5,53.60008,-2.26426,180," 1800NC48101","Bury"
78690,5,53.58963,-2.25161,180," 1800NE35661","Bury"
78709,5,53.577,-2.2751,180," 1800NC02191","Bury"
78831,5,53.59345,-2.28417,180," 1800NC33591","Bury"
78977,5,53.59905,-2.22731,180," 1800NE06711","Bury"
79220,5,53.59259,-2.31211,180," 1800NC35061","Bury"
79401,5,53.59254,-2.28525,180," 1800NC20401","Bury"
79429,5,53.59703,-2.28159,180," 1800NC33611","Bury"
79726,5,53.60102,-2.2777,180," 1800NC21651","Bury"
79948,5,53.61072,-2.37266,180," 1800WA11441","Bury"
79997,5,53.59807,-2.31439,180," 1800NC09621","Bury"
80205,5,53.6224,-2.33964,180," 1800NC34821","Bury"
80439,5,53.62691,-2.32487,180," 1800NC21491","Bury"
81011,5,53.58616,-2.28536,180," 1800NC20311","Bury"
82312,5,53.59079,-2.335,180," 1800NC22131","Bury"
82504,5,53.60669,-2.32858,180," 1800NC22481","Bury"
82513,5,53.59627,-2.22917,180," 1800NEH2521","Bury"
82781,5,53.63978,-2.32648,180," 1800NC07161","Bury"
82897,5,53.58976,-2.26115,180," 1800NE04111","Bury"
83615,5,53.62775,-2.29914,180," 1800NC08901","Bury"
