"node","layer","lat","lon","zone","atcocode","city"
108,5,52.21905,0.14602,50,"050GCC090136","Cambridge"
260,5,52.18698,0.01879,50,"050GCB004007","Cambridge"
277,5,52.18972,0.16165,50,"050GCC360361","Cambridge"
393,5,52.23127,0.14974,50,"050GCC345428","Cambridge"
840,5,52.18125,0.16388,50,"050GCC180322","Cambridge"
1181,5,52.26018,0.06817,50,"050GOA006009","Cambridge"
1360,5,52.17551,0.14196,50,"050GCC000004","Cambridge"
1477,5,52.22062,0.11954,50,"050GCC295386","Cambridge"
1561,5,52.22264,0.22462,50,"050GSQ005006","Cambridge"
1823,5,52.2586,0.06561,50,"050GOA013015","Cambridge"
2150,5,52.26399,0.18747,50,"050GWT014027","Cambridge"
2270,5,52.1541,0.14794,50,"050GGS003023","Cambridge"
2404,5,52.25807,0.1037,50,"050GHI010011","Cambridge"
2425,5,52.2474,0.10868,50,"050GHI005012","Cambridge"
2468,5,52.19311,0.18138,50,"050GCC007210","Cambridge"
2686,5,52.15775,0.17743,50,"050GST007013","Cambridge"
2698,5,52.19403,0.1876,50,"050GCC001014","Cambridge"
2776,5,52.14391,0.1233,50,"050GLS002004","Cambridge"
2953,5,52.18004,0.21836,50,"050GFU006010","Cambridge"
3129,5,52.25798,0.06561,50,"050GOA011012","Cambridge"
3248,5,52.186,0.15783,50,"050GCC284285","Cambridge"
3266,5,52.17474,0.14784,50,"050GCC080081","Cambridge"
3363,5,52.27146,0.18933,50,"050GWT003019","Cambridge"
3541,5,52.19646,0.16943,50,"050GCC041042","Cambridge"
3773,5,52.26605,0.1901,50,"050GWT023026","Cambridge"
4130,5,52.22676,0.12901,50,"050GCC242330","Cambridge"
4177,5,52.18508,0.15388,50,"050GCC457458","Cambridge"
4207,5,52.16194,0.1234,50,"050GGS005012","Cambridge"
4891,5,52.19757,0.12895,50,"050GCC222245","Cambridge"
5214,5,52.19605,0.19886,50,"050GTV003009","Cambridge"
5241,5,52.23419,0.13398,50,"050GCC324338","Cambridge"
5309,5,52.26387,0.17757,50,"050GLA007011","Cambridge"
5315,5,52.18307,0.0603,50,"050GBO002006","Cambridge"
5418,5,52.24186,0.08189,50,"050GGR014015","Cambridge"
5491,5,52.13933,0.204,50,"050GBB002004","Cambridge"
5610,5,52.21902,-0.01924,50,"050GCA003004","Cambridge"
5654,5,52.21557,0.13165,50,"050GCC027034","Cambridge"
5769,5,52.15189,0.04787,50,"050GHF013014","Cambridge"
5843,5,52.22261,0.14823,50,"050GCC224323","Cambridge"
5926,5,52.15431,0.13152,50,"050GGS006011","Cambridge"
6010,5,52.18525,0.20908,50,"050GFU020022","Cambridge"
6064,5,52.14777,0.10738,50,"050GHX001004","Cambridge"
6101,5,52.2456,0.11293,50,"050GIM020021","Cambridge"
6369,5,52.21658,0.02243,50,"050GHD008009","Cambridge"
6447,5,52.21076,0.15708,50,"050GCC150237","Cambridge"
6879,5,52.27612,0.11751,50,"050GCT010024","Cambridge"
6946,5,52.27111,0.195,50,"050GWT029032","Cambridge"
6947,5,52.1991,0.12143,50,"050GCC421422","Cambridge"
7127,5,52.18513,-0.01403,50,"050GTF001002","Cambridge"
7260,5,52.19722,0.14665,50,"050GCC249250","Cambridge"
7395,5,52.18666,-0.00822,50,"050GTF004006","Cambridge"
7737,5,52.18733,0.22793,50,"050GFU026027","Cambridge"
7812,5,52.18856,0.14123,50,"050GCC251375","Cambridge"
7955,5,52.12433,0.17061,50,"050GSA004005","Cambridge"
8017,5,52.20779,-0.02454,50,"050GCA005006","Cambridge"
8452,5,52.18543,0.16172,50,"050GCC262264","Cambridge"
8470,5,52.22757,0.11186,50,"050GAR381385","Cambridge"
8503,5,52.25637,0.06857,50,"050GOA007014","Cambridge"
8725,5,52.27785,0.0484,50,"050GLF005006","Cambridge"
8957,5,52.21549,0.12566,50,"050GCC387390","Cambridge"
9009,5,52.14764,0.1578,50,"050GST010011","Cambridge"
9222,5,52.226,0.14297,50,"050GCC140152","Cambridge"
9229,5,52.1883,0.15156,50,"050GCC465466","Cambridge"
9392,5,52.19729,0.10128,50,"050GCC163194","Cambridge"
9400,5,52.17426,0.13683,50,"050GCC431432","Cambridge"
9641,5,52.21073,0.10652,50,"050GCC437438","Cambridge"
9682,5,52.18251,0.08746,50,"050GGC001002","Cambridge"
10033,5,52.22846,0.1287,50,"050GCC336454","Cambridge"
10213,5,52.21676,0.13678,50,"050GCC023032","Cambridge"
10405,5,52.1782,0.22374,50,"050GFU005021","Cambridge"
10539,5,52.22592,0.08689,50,"050GGR002003","Cambridge"
10770,5,52.19655,0.12185,50,"050GCC196198","Cambridge"
10895,5,52.22914,0.14292,50,"050GCC299444","Cambridge"
10901,5,52.24019,0.08365,50,"050GGR013018","Cambridge"
11523,5,52.19968,0.13814,50,"050GCC404405","Cambridge"
11541,5,52.21489,0.00627,50,"050GHD012019","Cambridge"
11943,5,52.22083,0.14641,50,"050GCC218252","Cambridge"
12132,5,52.2626,0.10993,50,"050GHI008019","Cambridge"
12139,5,52.23101,0.11141,50,"050GAR006011","Cambridge"
12282,5,52.12907,0.04253,50,"050GBI007008","Cambridge"
12375,5,52.22388,0.042,50,"050GMD002003","Cambridge"
12631,5,52.21179,0.09135,50,"050GCC423424","Cambridge"
12730,5,52.19682,0.11005,50,"050GCC256273","Cambridge"
12749,5,52.28625,0.11315,50,"050GCT012037","Cambridge"
12773,5,52.15814,0.00235,50,"050GLE004005","Cambridge"
12929,5,52.2481,0.11578,50,"050GIM003005","Cambridge"
13390,5,52.14941,0.09271,50,"050GHX007010","Cambridge"
13438,5,52.18154,0.14079,50,"050GCC057059","Cambridge"
13572,5,52.2225,0.11961,50,"050GCC314339","Cambridge"
13694,5,52.21391,0.16274,50,"050GCC146155","Cambridge"
13701,5,52.15009,0.05548,50,"050GHF008018","Cambridge"
13945,5,52.18013,0.12374,50,"050GCC206207","Cambridge"
14220,5,52.18362,0.11883,50,"050GCC184192","Cambridge"
14486,5,52.21046,0.06383,50,"050GCO002003","Cambridge"
14733,5,52.21983,0.15333,50,"050GCC255326","Cambridge"
14794,5,52.17918,0.13676,50,"050GCC204205","Cambridge"
14841,5,52.23415,0.08613,50,"050GGR005011","Cambridge"
14978,5,52.1336,0.21397,50,"050GBB001003","Cambridge"
15512,5,52.23664,0.08538,50,"050GGR008019","Cambridge"
15623,5,52.18676,0.12071,50,"050GCC182269","Cambridge"
15702,5,52.20406,0.16282,50,"050GCC046047","Cambridge"
15775,5,52.18704,0.03824,50,"050GCB002008","Cambridge"
15949,5,52.2278,0.12452,50,"050GCC244293","Cambridge"
16005,5,52.22819,0.14656,50,"050GCC297307","Cambridge"
16063,5,52.27834,0.11921,50,"050GCT008009","Cambridge"
17126,5,52.20071,0.12605,50,"050GCC112320","Cambridge"
17223,5,52.18838,0.13648,50,"050GCC060063","Cambridge"
17692,5,52.1807,0.15251,50,"050GCC279287","Cambridge"
17710,5,52.18089,0.2137,50,"050GFU014015","Cambridge"
18105,5,52.14315,0.15178,50,"050GST004005","Cambridge"
18142,5,52.20753,0.12869,50,"050GCC104402","Cambridge"
18340,5,52.26278,0.17971,50,"050GLA012013","Cambridge"
18342,5,52.23981,0.01835,50,"050GDD007008","Cambridge"
18395,5,52.18379,0.21867,50,"050GFU011012","Cambridge"
18408,5,52.27183,0.18225,50,"050GWT009024","Cambridge"
18477,5,52.19807,0.11384,50,"050GCC397400","Cambridge"
18588,5,52.24005,0.0254,50,"050GDD002003","Cambridge"
18685,5,52.21898,0.15056,50,"050GCC212374","Cambridge"
18693,5,52.20866,0.11847,50,"050GCC099167","Cambridge"
18779,5,52.21336,0.12118,50,"050GCC106107","Cambridge"
18994,5,52.18692,-0.0115,50,"050GTF003007","Cambridge"
19155,5,52.20801,0.12558,50,"050GCC433516","Cambridge"
19300,5,52.16275,-0.00623,50,"050GGE002003","Cambridge"
19630,5,52.21727,0.10434,50,"050GCC175183","Cambridge"
19670,5,52.20962,0.1457,50,"050GCC000469","Cambridge"
19684,5,52.26025,0.10991,50,"050GHI016017","Cambridge"
19856,5,52.21554,0.16755,50,"050GCC157158","Cambridge"
19875,5,52.23916,0.18528,50,"050GHS001004","Cambridge"
20535,5,52.24472,0.1637,50,"050GMI005008","Cambridge"
20799,5,52.18336,0.17622,50,"050GCC325328","Cambridge"
20850,5,52.17877,0.14828,50,"050GCC079200","Cambridge"
20887,5,52.24261,0.02999,50,"050GDD001004","Cambridge"
20940,5,52.2307,0.08629,50,"050GGR001004","Cambridge"
21637,5,52.18658,0.16152,50,"050GCC356357","Cambridge"
21692,5,52.14881,0.09945,50,"050GHX005008","Cambridge"
21809,5,52.21195,0.09881,50,"050GCC113235","Cambridge"
22020,5,52.27214,0.18595,50,"050GWT007017","Cambridge"
22062,5,52.28586,0.12806,50,"050GCT025032","Cambridge"
22303,5,52.19207,0.13119,50,"050GCC470471","Cambridge"
22321,5,52.14611,0.13218,50,"050GGS008015","Cambridge"
22346,5,52.19155,0.12569,50,"050GCC013024","Cambridge"
22859,5,52.24468,0.08272,50,"050GGR007016","Cambridge"
22902,5,52.2214,0.09611,50,"050GCC003009","Cambridge"
22950,5,52.21004,0.16183,50,"050GCC128153","Cambridge"
23462,5,52.20151,0.11844,50,"050GCC419420","Cambridge"
23513,5,52.2332,0.13762,50,"050GCC505506","Cambridge"
23576,5,52.21224,0.11808,50,"050GCC108240","Cambridge"
23646,5,52.21543,0.11714,50,"050GCC029031","Cambridge"
23686,5,52.25286,0.07536,50,"050GOA001003","Cambridge"
23764,4,52.21467,0.08402,50,"050GCC434484","Cambridge"
23764,5,52.21467,0.08402,50,"050GCC434484","Cambridge"
23791,5,52.14393,0.06323,50,"050GHF005012","Cambridge"
