"node","layer","lat","lon","zone","atcocode","city"
291,5,51.51386,0.00822,490," 940GZZDLCGT","Canary Wharf"
291,3,51.51386,0.00822,490," 940GZZDLCGT","Canary Wharf"
394,5,51.49677,-0.02581,490,"490G00012181","Canary Wharf"
670,5,51.46836,0.00267,490,"490G00013983","Canary Wharf"
766,5,51.52316,0.01227,490,"490G00012666","Canary Wharf"
1003,5,51.53415,-0.02674,490,"490G00011654","Canary Wharf"
1048,5,51.47948,0.02624,490,"490G00014978","Canary Wharf"
1049,5,51.47941,0.00967,490,"490G00008568","Canary Wharf"
1391,5,51.51461,-0.00836,490,"490G00003315","Canary Wharf"
1426,5,51.50056,-0.01903,940," 940GZZDLSOQ","Canary Wharf"
1426,3,51.50056,-0.01903,940," 940GZZDLSOQ","Canary Wharf"
2193,5,51.47441,0.01669,490,"490G00012109","Canary Wharf"
2467,2,51.54609,0.00582,490," 910GMRYLAND","Canary Wharf"
2467,5,51.54609,0.00582,490," 910GMRYLAND","Canary Wharf"
2595,5,51.51104,-0.02089,490,"490G00013936","Canary Wharf"
2796,5,51.50613,-0.03511,490,"490G00010720","Canary Wharf"
2837,4,51.54336,-0.00608,910," 910GSTFODOM","Canary Wharf"
2837,2,51.54336,-0.00608,910," 910GSTFODOM","Canary Wharf"
2837,3,51.54336,-0.00608,910," 910GSTFODOM","Canary Wharf"
2837,5,51.54336,-0.00608,910," 910GSTFODOM","Canary Wharf"
3207,5,51.53398,0.01197,490,"490G00011043","Canary Wharf"
3717,5,51.50878,-0.01059,490,"490G00011111","Canary Wharf"
3986,5,51.50934,0.01851,940," 940GZZDLRVC","Canary Wharf"
3986,3,51.50934,0.01851,940," 940GZZDLRVC","Canary Wharf"
4005,5,51.53588,0.00718,490,"490G00005308","Canary Wharf"
4297,5,51.49022,-0.00624,490,"490G00007241","Canary Wharf"
4739,5,51.47538,0.03066,490,"490G00010537","Canary Wharf"
4960,5,51.47895,0.01755,490,"490G00016709","Canary Wharf"
5188,5,51.5027,0.03667,490,"490G00013206","Canary Wharf"
5899,5,51.50294,-0.03591,490,"490G00011817","Canary Wharf"
5985,5,51.49744,-0.00958,490,"490G00012736","Canary Wharf"
6054,5,51.49239,-0.03634,490,"490G00006258","Canary Wharf"
6576,5,51.51796,-0.03394,490,"490G00011545","Canary Wharf"
6636,5,51.47084,-0.00468,490,"490G00005972","Canary Wharf"
6997,5,51.48781,-0.01013,490," 940GZZDLISL","Canary Wharf"
6997,3,51.48781,-0.01013,490," 940GZZDLISL","Canary Wharf"
7274,5,51.50546,-0.04157,490,"490G00010964","Canary Wharf"
7282,5,51.506,-0.05859,490,"490G00014209","Canary Wharf"
7444,5,51.55469,0.00529,490,"490G00011421","Canary Wharf"
7617,5,51.47252,0.01411,490,"490G00012711","Canary Wharf"
7701,5,51.55902,-0.0075,490,"490G00009137","Canary Wharf"
7703,5,51.54752,-0.02846,490,"490G00013813","Canary Wharf"
7758,5,51.47527,0.02733,490,"490G00015427","Canary Wharf"
8116,2,51.4994,-0.05088,910,"   910GCNDAW","Canary Wharf"
8116,5,51.4994,-0.05088,910,"   910GCNDAW","Canary Wharf"
8116,3,51.4994,-0.05088,910,"   910GCNDAW","Canary Wharf"
8156,5,51.49071,-0.01473,490," 940GZZDLMUD","Canary Wharf"
8156,3,51.49071,-0.01473,490," 940GZZDLMUD","Canary Wharf"
8279,5,51.4716,0.03279,490,"490G00003833","Canary Wharf"
8340,5,51.52679,-0.05057,490,"490G00013516","Canary Wharf"
8343,5,51.49926,-0.00937,490,"490G00013513","Canary Wharf"
9056,5,51.50944,-0.02674,490," 940GZZDLWFE","Canary Wharf"
9056,3,51.50944,-0.02674,490," 940GZZDLWFE","Canary Wharf"
9225,5,51.51254,-0.0398,490,"  910GLIMHSE","Canary Wharf"
9225,2,51.51254,-0.0398,490,"  910GLIMHSE","Canary Wharf"
9225,3,51.51254,-0.0398,490,"  910GLIMHSE","Canary Wharf"
9425,5,51.51192,0.02519,490,"490G00010212","Canary Wharf"
9861,5,51.53135,0.01746,490," 940GZZLUPLW","Canary Wharf"
9861,3,51.53135,0.01746,490," 940GZZLUPLW","Canary Wharf"
9987,5,51.51421,-0.00591,490,"490G00003056","Canary Wharf"
10294,5,51.50339,-0.0081,490,"490G00004321","Canary Wharf"
10304,5,51.5491,-0.02875,490,"490G00005831","Canary Wharf"
10365,5,51.52091,-0.05085,490,"490G00015508","Canary Wharf"
10423,5,51.47458,0.02297,490,"490G00013014","Canary Wharf"
10445,5,51.52858,-0.01731,490,"490G00004206","Canary Wharf"
10788,5,51.50222,0.03212,490," 940GZZDLPDK","Canary Wharf"
10788,3,51.50222,0.03212,490," 940GZZDLPDK","Canary Wharf"
10804,2,51.4932,-0.04751,490," 910GSURREYQ","Canary Wharf"
10804,5,51.4932,-0.04751,490," 910GSURREYQ","Canary Wharf"
10915,5,51.51268,0.03209,490,"490G00013781","Canary Wharf"
10923,5,51.51476,-0.06182,490,"490G00010255","Canary Wharf"
11356,5,51.51894,-0.03879,490,"490G00006105","Canary Wharf"
11492,5,51.48807,-0.03792,490,"490G00006052","Canary Wharf"
11647,5,51.55413,-0.00525,490,"490G00006178","Canary Wharf"
11697,5,51.45706,0.00909,490,"490G00008924","Canary Wharf"
11702,5,51.53611,-0.02811,490,"490G00010552","Canary Wharf"
11737,5,51.51554,-0.02019,490,"490G00004491","Canary Wharf"
11739,5,51.48874,-0.03468,490,"490G00011605","Canary Wharf"
11751,5,51.52624,-0.02961,490,"490G00012648","Canary Wharf"
12205,4,51.4917,0.04255,490,"490G00014923","Canary Wharf"
12205,5,51.4917,0.04255,490,"490G00014923","Canary Wharf"
12407,5,51.51484,-0.06594,490,"490G00009276","Canary Wharf"
12579,5,51.5132,0.02509,490,"490G00011814","Canary Wharf"
13258,4,51.50541,-0.02001,490," 940GZZDLCAN","Canary Wharf"
13258,5,51.50541,-0.02001,490," 940GZZDLCAN","Canary Wharf"
13258,3,51.50541,-0.02001,490," 940GZZDLCAN","Canary Wharf"
13375,5,51.49009,0.01293,490,"490G00013356","Canary Wharf"
13394,5,51.51874,-0.02326,490,"490G00016350","Canary Wharf"
13450,5,51.52323,0.02261,490,"490G00003549","Canary Wharf"
13486,5,51.50687,-0.05214,490,"490G00011246","Canary Wharf"
13807,5,51.46674,0.02688,490,"490G00008702","Canary Wharf"
13999,5,51.48959,-0.04147,490,"490G00003944","Canary Wharf"
14619,5,51.47319,0.02202,490,"490G00003336","Canary Wharf"
14695,5,51.55659,-0.00551,490," 940GZZLULYN","Canary Wharf"
14695,3,51.55659,-0.00551,490," 940GZZLULYN","Canary Wharf"
14824,5,51.55177,-0.00441,490,"490G00013194","Canary Wharf"
15091,2,51.48421,0.0184,490," 910GWCOMBEP","Canary Wharf"
15091,5,51.48421,0.0184,490," 910GWCOMBEP","Canary Wharf"
15112,5,51.49245,-0.00646,490,"490G00010999","Canary Wharf"
15319,5,51.51814,0.01062,490,"490G00010627","Canary Wharf"
15792,5,51.47814,-0.01333,490,"    910GGNWH","Canary Wharf"
15792,2,51.47814,-0.01333,490,"    910GGNWH","Canary Wharf"
15792,3,51.47814,-0.01333,490,"    910GGNWH","Canary Wharf"
15800,5,51.51562,0.02523,490,"490G00016788","Canary Wharf"
15811,5,51.49448,-0.025,490,"490G00006092","Canary Wharf"
16022,5,51.51817,0.01348,490,"490G00003750","Canary Wharf"
16205,5,51.53494,-0.02185,490,"490G00003489","Canary Wharf"
16320,5,51.51383,-0.02043,490,"490G00003480","Canary Wharf"
16616,5,51.52976,-0.0138,490,"490G00004215","Canary Wharf"
16965,5,51.4709,0.02939,490,"490G00006323","Canary Wharf"
17098,5,51.50322,-0.06033,490,"490G00006246","Canary Wharf"
17226,5,51.55258,0.00556,490,"490G00008179","Canary Wharf"
17340,5,51.51854,-0.02311,490,"490G00004211","Canary Wharf"
17354,5,51.49944,-0.0135,490,"490G00007777","Canary Wharf"
17935,5,51.50612,-0.01063,490,"490G00004005","Canary Wharf"
18058,5,51.47696,0.02043,490,"490G00012911","Canary Wharf"
18073,5,51.52227,-0.04303,490,"490G00010513","Canary Wharf"
18572,5,51.48679,0.04218,490,"490G00011152","Canary Wharf"
19115,5,51.49082,-0.03423,490,"490G00007582","Canary Wharf"
19542,5,51.50041,0.00526,940," 940GZZLUNGW","Canary Wharf"
19542,3,51.50041,0.00526,940," 940GZZLUNGW","Canary Wharf"
19956,5,51.55709,-0.01181,490,"490G00010590","Canary Wharf"
20397,2,51.4658,0.00888,490,"  910GBLKHTH","Canary Wharf"
20397,5,51.4658,0.00888,490,"  910GBLKHTH","Canary Wharf"
20417,5,51.53717,0.01248,490,"490G00003309","Canary Wharf"
20568,5,51.51818,-0.03968,490,"490G00003897","Canary Wharf"
20618,5,51.51734,-0.02957,490,"490G00012881","Canary Wharf"
20620,4,51.52513,-0.03363,490," 940GZZLUMED","Canary Wharf"
20620,5,51.52513,-0.03363,490," 940GZZLUMED","Canary Wharf"
20620,3,51.52513,-0.03363,490," 940GZZLUMED","Canary Wharf"
20942,5,51.50033,-0.03374,490,"490G00004539","Canary Wharf"
21041,5,51.51594,0.03196,490,"490G00010220","Canary Wharf"
21060,5,51.53031,0.02194,490,"490G00008637","Canary Wharf"
21213,5,51.45866,0.0058,490,"490G00005918","Canary Wharf"
21436,5,51.48913,0.04668,490,"490G00012951","Canary Wharf"
22096,5,51.52186,-0.04659,490," 940GZZLUSGN","Canary Wharf"
22096,3,51.52186,-0.04659,490," 940GZZLUSGN","Canary Wharf"
22119,5,51.50927,0.03417,940," 940GZZDLPRE","Canary Wharf"
22119,3,51.50927,0.03417,940," 940GZZDLPRE","Canary Wharf"
22279,2,51.48263,0.00292,910,"   910GMAZEH","Canary Wharf"
22279,5,51.48263,0.00292,910,"   910GMAZEH","Canary Wharf"
22429,5,51.56973,-0.00804,490," 910GLEYTNMR","Canary Wharf"
22429,2,51.56973,-0.00804,490," 910GLEYTNMR","Canary Wharf"
22479,5,51.54342,-0.02491,490," 910GHACKNYW","Canary Wharf"
22479,2,51.54342,-0.02491,490," 910GHACKNYW","Canary Wharf"
22548,5,51.50936,-0.00232,940," 940GZZDLEIN","Canary Wharf"
22548,3,51.50936,-0.00232,940," 940GZZDLEIN","Canary Wharf"
23388,5,51.51689,-0.04886,490,"490G00008535","Canary Wharf"
23649,5,51.523,-0.03998,490,"490G00011315","Canary Wharf"
23680,5,51.51189,-0.02811,490,"490G00009158","Canary Wharf"
24447,5,51.53198,-0.02583,490,"490G00015683","Canary Wharf"
24506,5,51.48169,-0.00851,490,"490G00007515","Canary Wharf"
24508,5,51.47243,0.00224,490,"490G00007512","Canary Wharf"
24535,5,51.48682,0.03127,490,"    910GCRLN","Canary Wharf"
24535,2,51.48682,0.03127,490,"    910GCRLN","Canary Wharf"
24814,5,51.49045,0.00868,490,"490G00013840","Canary Wharf"
25133,5,51.49544,0.00762,490,"490G00004146","Canary Wharf"
25135,5,51.52926,-0.04643,490,"490G00004144","Canary Wharf"
25315,5,51.47319,-0.01784,490,"490G00006455","Canary Wharf"
25410,5,51.51129,-0.05693,910," 910GSHADWEL","Canary Wharf"
25410,2,51.51129,-0.05693,910," 910GSHADWEL","Canary Wharf"
25410,3,51.51129,-0.05693,910," 910GSHADWEL","Canary Wharf"
26100,5,51.50509,-0.0648,490,"490G00008089","Canary Wharf"
26175,5,51.52889,-0.03837,490,"490G00003352","Canary Wharf"
26298,5,51.47148,-0.01483,490,"490G00012371","Canary Wharf"
26474,5,51.50377,-0.0635,490,"490G00014210","Canary Wharf"
26475,5,51.51991,-0.02039,490,"490G00016351","Canary Wharf"
26479,5,51.52331,-0.0053,490,"490G00016352","Canary Wharf"
26721,5,51.55544,-0.01628,490,"490G00012390","Canary Wharf"
27698,5,51.49961,-0.01107,490,"490G00008529","Canary Wharf"
27701,5,51.48122,-0.01874,490,"490G00005736","Canary Wharf"
27867,5,51.48633,0.00935,490,"490G00015332","Canary Wharf"
28769,5,51.45903,0.01008,490,"490G00009599","Canary Wharf"
28902,5,51.47874,0.01136,490,"490G00014005","Canary Wharf"
29105,5,51.47691,0.01428,490,"490G00003708","Canary Wharf"
29173,2,51.52169,-0.05965,910," 910GBTHNLGR","Canary Wharf"
29173,5,51.52169,-0.05965,910," 910GBTHNLGR","Canary Wharf"
29173,3,51.52169,-0.05965,910," 910GBTHNLGR","Canary Wharf"
29796,5,51.47272,-0.00742,490,"490G00014311","Canary Wharf"
30115,5,51.48999,0.02298,490,"490G00010912","Canary Wharf"
30390,5,51.52105,0.00145,490,"490G00016354","Canary Wharf"
30738,4,51.52484,-0.01153,490," 940GZZLUBBB","Canary Wharf"
30738,5,51.52484,-0.01153,490," 940GZZLUBBB","Canary Wharf"
30738,3,51.52484,-0.01153,490," 940GZZLUBBB","Canary Wharf"
31337,5,51.52267,-0.01761,490," 940GZZDLDEV","Canary Wharf"
31337,3,51.52267,-0.01761,490," 940GZZDLDEV","Canary Wharf"
31461,5,51.55061,-0.03246,490,"490G00008803","Canary Wharf"
31511,5,51.511,-0.01313,940," 940GZZDLALL","Canary Wharf"
31511,3,51.511,-0.01313,940," 940GZZDLALL","Canary Wharf"
31594,5,51.55199,-0.00026,490,"490G00006438","Canary Wharf"
31791,5,51.47605,0.02591,490,"490G00004360","Canary Wharf"
32205,5,51.52131,-0.03269,490,"490G00006614","Canary Wharf"
32305,5,51.48225,0.03508,490,"490G00014245","Canary Wharf"
32306,5,51.49247,0.04741,490,"490G00014247","Canary Wharf"
32439,5,51.5333,-0.00806,490,"490G00003025","Canary Wharf"
32573,5,51.50972,0.02671,940," 940GZZDLCUS","Canary Wharf"
32573,3,51.50972,0.02671,940," 940GZZDLCUS","Canary Wharf"
