"node","layer","lat","lon","zone","atcocode","city"
17939,5,52.68618,-2.02215,910,"    910GCNCK","Cannock"
17939,2,52.68618,-2.02215,910,"    910GCNCK","Cannock"
18975,2,52.65714,-2.02065,910,"   910GLNDYW","Cannock"
18975,5,52.65714,-2.02065,910,"   910GLNDYW","Cannock"
36509,4,52.72352,-2.1193,910,"  910GPNKRDG","Cannock"
36509,2,52.72352,-2.1193,910,"  910GPNKRDG","Cannock"
36509,5,52.72352,-2.1193,910,"  910GPNKRDG","Cannock"
39373,2,52.75439,-1.93684,910," 910GRUGLTWN","Cannock"
39373,5,52.75439,-1.93684,910," 910GRUGLTWN","Cannock"
49250,5,52.70973,-2.00232,910,"    910GHDNS","Cannock"
49250,2,52.70973,-2.00232,910,"    910GHDNS","Cannock"
52538,5,52.70776,-1.93917,380," 3800C255401","Cannock"
52585,5,52.69972,-2.03572,380," 3800C215102","Cannock"
52586,5,52.69889,-2.03503,380," 3800C215101","Cannock"
53408,5,52.75147,-1.94197,380," 3800C205000","Cannock"
53409,5,52.75183,-1.94182,380," 3800C205001","Cannock"
53487,5,52.72559,-2.04119,380," 3800C617301","Cannock"
54876,5,52.682,-1.9358,380," 3800C404701","Cannock"
54877,5,52.68185,-1.93558,380," 3800C404702","Cannock"
56076,5,52.68984,-1.98945,380," 3800C202300","Cannock"
56077,5,52.68937,-1.99075,380," 3800C202301","Cannock"
56308,5,52.66592,-1.95894,380," 3800C214801","Cannock"
57232,5,52.71204,-2.00582,380," 3800C256201","Cannock"
57233,5,52.71213,-2.00571,380," 3800C256202","Cannock"
57569,5,52.70757,-1.93859,380," 3800C255402","Cannock"
58915,5,52.76466,-1.94908,380," 3800C229602","Cannock"
58916,5,52.76479,-1.94936,380," 3800C229601","Cannock"
58944,5,52.71469,-2.00372,380," 3800C235801","Cannock"
59096,5,52.69136,-1.93354,380," 3800C418201","Cannock"
59097,5,52.69198,-1.93369,380," 3800C418202","Cannock"
59647,5,52.69387,-2.03002,380," 3800C209900","Cannock"
60215,5,52.68971,-2.03514,380," 3800C219401","Cannock"
60564,5,52.70379,-1.93324,380," 3800C255501","Cannock"
60603,5,52.68257,-2.02922,380," 3800C215201","Cannock"
61089,5,52.69784,-1.99424,380," 3800C226101","Cannock"
61245,5,52.69484,-2.0414,380," 3800C211001","Cannock"
61560,5,52.75327,-1.95844,380," 3800C205300","Cannock"
63006,5,52.69526,-2.02163,380," 3800C235401","Cannock"
63180,5,52.67667,-2.02946,380," 3800C202701","Cannock"
63795,5,52.67884,-1.934,380," 3800C494602","Cannock"
63963,5,52.72558,-2.0417,380," 3800C617302","Cannock"
64043,5,52.69224,-1.99535,380," 3800C202401","Cannock"
64225,5,52.71517,-1.99745,380," 3800C239202","Cannock"
64226,5,52.71539,-1.9971,380," 3800C239201","Cannock"
64229,5,52.68965,-1.99482,380," 3800C295602","Cannock"
64659,5,52.70306,-2.01373,380," 3800C206201","Cannock"
64660,5,52.70326,-2.01382,380," 3800C206200","Cannock"
64799,5,52.70799,-2.01835,380," 3800C291402","Cannock"
64800,5,52.70815,-2.01846,380," 3800C291401","Cannock"
65112,5,52.69936,-2.02159,380," 3800C217202","Cannock"
65113,5,52.69917,-2.02217,380," 3800C217201","Cannock"
66885,5,52.76394,-1.95397,380," 3800C229502","Cannock"
67118,5,52.68992,-1.93376,380," 3800C431201","Cannock"
67120,5,52.69001,-1.93356,380," 3800C431202","Cannock"
69079,5,52.6727,-1.97342,380," 3800C211102","Cannock"
69406,5,52.71788,-2.00773,380," 3800C237601","Cannock"
69407,5,52.71793,-2.00798,380," 3800C237602","Cannock"
69420,5,52.69292,-2.04391,380," 3800C205200","Cannock"
69421,5,52.69292,-2.04362,380," 3800C205201","Cannock"
69503,5,52.66735,-2.13187,380," 3800C617101","Cannock"
71022,5,52.71121,-2.02029,380," 3800C200901","Cannock"
71694,5,52.68179,-2.03356,380," 3800C240801","Cannock"
71695,5,52.68185,-2.03315,380," 3800C240802","Cannock"
72044,5,52.68916,-1.9814,380," 3800C202500","Cannock"
72045,5,52.68951,-1.98182,380," 3800C202501","Cannock"
72157,5,52.69003,-1.99657,380," 3800C295701","Cannock"
72158,5,52.68982,-1.99689,380," 3800C295702","Cannock"
72216,5,52.66181,-2.0312,380," 3800C615102","Cannock"
72533,5,52.70297,-2.01499,380," 3800C206300","Cannock"
72534,5,52.70256,-2.01598,380," 3800C206301","Cannock"
73017,5,52.69803,-2.02674,380," 3800C217302","Cannock"
73019,5,52.69807,-2.02699,380," 3800C217301","Cannock"
74010,5,52.75206,-1.9301,380," 3800C234601","Cannock"
74011,5,52.75244,-1.93102,380," 3800C234602","Cannock"
75113,5,52.72447,-2.10806,380," 3800C607800","Cannock"
75114,5,52.72451,-2.10827,380," 3800C607801","Cannock"
75556,5,52.67591,-2.05011,380," 3800C649701","Cannock"
75776,5,52.68309,-1.94445,380," 3800C493802","Cannock"
75777,5,52.68337,-1.94538,380," 3800C493801","Cannock"
76401,5,52.70709,-1.99705,380," 3800C207600","Cannock"
76402,5,52.70676,-1.99722,380," 3800C207601","Cannock"
77374,5,52.71711,-2.00684,380," 3800C237701","Cannock"
78055,5,52.66167,-2.03469,380," 3800C650701","Cannock"
78356,5,52.71143,-2.04071,380," 3800C616902","Cannock"
78357,5,52.71167,-2.04106,380," 3800C616901","Cannock"
78510,5,52.76167,-1.94204,380," 3800C208100","Cannock"
78511,5,52.76174,-1.94189,380," 3800C208101","Cannock"
78688,5,52.71002,-2.12308,380," 3800C638901","Cannock"
79787,5,52.68107,-2.03571,380," 3800C240901","Cannock"
79788,5,52.68105,-2.0355,380," 3800C240902","Cannock"
80178,5,52.68739,-1.97846,380," 3800C202601","Cannock"
80292,5,52.71778,-1.99771,380," 3800C239001","Cannock"
80294,5,52.71748,-1.99685,380," 3800C239002","Cannock"
80836,5,52.66584,-1.95857,380," 3800C214802","Cannock"
81634,5,52.66664,-2.03022,380," 3800C615002","Cannock"
81635,5,52.66685,-2.03095,380," 3800C615001","Cannock"
81660,5,52.66221,-2.0115,380," 3800C610302","Cannock"
81661,5,52.66198,-2.01159,380," 3800C610301","Cannock"
81831,5,52.69331,-1.98688,380," 3800C213202","Cannock"
81832,5,52.69318,-1.98732,380," 3800C213201","Cannock"
81914,5,52.67401,-2.03292,380," 3800C290902","Cannock"
82503,5,52.69952,-2.01499,380," 3800C236002","Cannock"
82850,5,52.65768,-2.06113,380," 3800C692402","Cannock"
82852,5,52.65766,-2.06078,380," 3800C692401","Cannock"
82884,5,52.76631,-1.95234,380," 3800C229301","Cannock"
83965,5,52.69357,-1.99111,380," 3800C294101","Cannock"
83966,5,52.69345,-1.99093,380," 3800C294102","Cannock"
83967,5,52.71832,-2.00098,380," 3800C238902","Cannock"
83968,5,52.71845,-2.0012,380," 3800C238901","Cannock"
84373,5,52.68151,-1.93326,380," 3800C402301","Cannock"
84453,5,52.69033,-1.98284,380," 3800C207501","Cannock"
84861,5,52.7221,-2.11059,380," 3800C619601","Cannock"
85322,5,52.71568,-2.00489,380," 3800C237801","Cannock"
85430,5,52.7239,-2.10659,380," 3800C617701","Cannock"
85824,5,52.67655,-1.96848,380," 3800C210801","Cannock"
85825,5,52.67664,-1.96864,380," 3800C210802","Cannock"
85975,5,52.7517,-1.93764,380," 3800C233601","Cannock"
85976,5,52.66136,-2.03852,380," 3800C650601","Cannock"
86280,5,52.66097,-2.04177,380," 3800C616802","Cannock"
86282,5,52.6598,-2.04326,380," 3800C616801","Cannock"
87631,5,52.68944,-2.03534,380," 3800C219402","Cannock"
87843,5,52.67845,-1.93835,380," 3800C416701","Cannock"
88184,5,52.67691,-2.03008,380," 3800C202702","Cannock"
88357,5,52.72308,-2.01953,380," 3800C215802","Cannock"
88358,5,52.72313,-2.01938,380," 3800C215801","Cannock"
88628,5,52.68442,-2.04618,380," 3800C241102","Cannock"
88629,5,52.68451,-2.04633,380," 3800C241101","Cannock"
88950,5,52.6868,-1.94082,380," 3800C410801","Cannock"
89303,5,52.7103,-2.01667,380," 3800C217101","Cannock"
89304,5,52.7103,-2.01701,380," 3800C217102","Cannock"
89622,5,52.70048,-2.12786,380," 3800C639001","Cannock"
89624,5,52.70056,-2.1281,380," 3800C639002","Cannock"
91875,5,52.75561,-1.93306,380," 3800C234401","Cannock"
92300,5,52.68709,-1.94105,380," 3800C410802","Cannock"
92441,5,52.74706,-1.94813,380," 3800C207400","Cannock"
92442,5,52.74697,-1.94845,380," 3800C207401","Cannock"
92891,5,52.70534,-2.01928,380," 3800C216002","Cannock"
92893,5,52.70544,-2.01912,380," 3800C216001","Cannock"
93101,5,52.70676,-2.02642,380," 3800C218802","Cannock"
93291,5,52.71165,-2.02423,380," 3800C204100","Cannock"
93292,5,52.71197,-2.02435,380," 3800C204101","Cannock"
93369,5,52.65486,-2.01642,380," 3800C614801","Cannock"
93370,5,52.65496,-2.01632,380," 3800C614802","Cannock"
93401,5,52.68571,-2.02651,380," 3800C221901","Cannock"
94069,5,52.65895,-2.04449,380," 3800C650501","Cannock"
94071,5,52.6587,-2.045,380," 3800C650502","Cannock"
95683,5,52.68755,-2.03761,380," 3800C219502","Cannock"
95684,5,52.68739,-2.03815,380," 3800C219501","Cannock"
96186,5,52.67058,-1.97865,380," 3800C203500","Cannock"
96614,5,52.68557,-2.04879,380," 3800C241002","Cannock"
96615,5,52.68559,-2.04864,380," 3800C241001","Cannock"
96712,5,52.71448,-2.02311,380," 3800C209501","Cannock"
97595,5,52.67231,-2.12976,380," 3800C639100","Cannock"
97596,5,52.67285,-2.13069,380," 3800C639101","Cannock"
97597,5,52.67169,-2.1307,380," 3800C639102","Cannock"
97598,5,52.67271,-2.13133,380," 3800C639103","Cannock"
97674,5,52.70933,-2.01428,380," 3800C220100","Cannock"
97675,5,52.70922,-2.01422,380," 3800C220101","Cannock"
97679,5,52.66002,-2.03297,380," 3800C615201","Cannock"
98299,5,52.66055,-2.13604,380," 3800C619002","Cannock"
98300,5,52.66051,-2.1359,380," 3800C619001","Cannock"
99672,5,52.66982,-1.93406,380," 3800C415901","Cannock"
99673,5,52.67002,-1.93427,380," 3800C415902","Cannock"
99957,5,52.70292,-2.00333,380," 3800C203101","Cannock"
99958,5,52.70294,-2.00281,380," 3800C203100","Cannock"
100081,5,52.69456,-1.98267,380," 3800C294702","Cannock"
100082,5,52.69447,-1.9827,380," 3800C294701","Cannock"
100253,5,52.69216,-2.13137,380," 3800C604001","Cannock"
100254,5,52.69421,-2.13135,380," 3800C604000","Cannock"
100855,5,52.66015,-2.03634,380," 3800C610500","Cannock"
100986,5,52.70015,-2.02038,380," 3800C216301","Cannock"
101328,5,52.74874,-1.93871,380," 3800C204600","Cannock"
101414,5,52.68277,-2.02592,380," 3800C221801","Cannock"
101415,5,52.68371,-2.02556,380," 3800C221802","Cannock"
101577,5,52.68036,-1.96129,380," 3800C212901","Cannock"
102009,5,52.65478,-2.05184,380," 3800C650401","Cannock"
102010,5,52.65488,-2.0519,380," 3800C650402","Cannock"
102326,5,52.71375,-1.96755,380," 3800C223901","Cannock"
104497,5,52.6895,-2.00966,380," 3800C211202","Cannock"
104545,5,52.75013,-1.92666,380," 3800C253801","Cannock"
104546,5,52.75005,-1.92705,380," 3800C253802","Cannock"
104563,5,52.68141,-2.03665,380," 3800C241301","Cannock"
104564,5,52.68155,-2.03708,380," 3800C241302","Cannock"
104811,5,52.66195,-2.03129,380," 3800C615101","Cannock"
105037,5,52.67666,-2.08889,380," 3800C603800","Cannock"
105038,5,52.67672,-2.08899,380," 3800C603801","Cannock"
105723,5,52.70835,-2.01653,380," 3800C220201","Cannock"
105724,5,52.70853,-2.01625,380," 3800C220200","Cannock"
106361,5,52.66427,-2.13587,380," 3800C619102","Cannock"
106362,5,52.66427,-2.13578,380," 3800C619101","Cannock"
108024,5,52.6854,-1.93384,380," 3800C494802","Cannock"
108025,5,52.68511,-1.93371,380," 3800C494801","Cannock"
108248,5,52.6946,-1.98349,380," 3800C294602","Cannock"
108251,5,52.69458,-1.98366,380," 3800C294601","Cannock"
108320,5,52.70326,-1.9334,380," 3800C255502","Cannock"
108706,5,52.69801,-1.99464,380," 3800C226102","Cannock"
108722,5,52.71396,-1.96847,380," 3800C207200","Cannock"
108723,5,52.71371,-1.97068,380," 3800C207201","Cannock"
108775,5,52.68784,-1.93782,380," 3800C413902","Cannock"
108776,5,52.68791,-1.938,380," 3800C413901","Cannock"
109207,5,52.71275,-1.9999,380," 3800C256502","Cannock"
109208,5,52.71317,-1.99963,380," 3800C256501","Cannock"
109507,5,52.7497,-1.93015,380," 3800C204700","Cannock"
109603,5,52.68022,-2.02671,380," 3800C221702","Cannock"
109758,5,52.66039,-2.13831,380," 3800C629701","Cannock"
109770,5,52.67699,-1.96245,380," 3800C212802","Cannock"
110182,5,52.6603,-2.0386,380," 3800C650301","Cannock"
110906,5,52.66837,-2.03553,380," 3800C694001","Cannock"
110908,5,52.66854,-2.03559,380," 3800C694002","Cannock"
112196,5,52.66036,-2.01054,380," 3800C605000","Cannock"
112197,5,52.66072,-2.01063,380," 3800C605001","Cannock"
112364,5,52.72078,-2.11729,380," 3800C608000","Cannock"
112681,5,52.68437,-2.04271,380," 3800C241201","Cannock"
112682,5,52.68427,-2.04265,380," 3800C241202","Cannock"
113227,5,52.68753,-1.97773,380," 3800C214001","Cannock"
113334,5,52.67501,-1.97063,380," 3800C257501","Cannock"
113335,5,52.67497,-1.97051,380," 3800C257502","Cannock"
113350,5,52.6919,-2.02972,380," 3800C235001","Cannock"
114518,5,52.72109,-2.10251,380," 3800C619201","Cannock"
114520,5,52.72101,-2.10271,380," 3800C619202","Cannock"
