"node","layer","lat","lon","zone","atcocode","city"
4250,2,51.25727,1.01806,240," 910GCHARTHM","Canterbury"
4250,5,51.25727,1.01806,240," 910GCHARTHM","Canterbury"
5749,5,51.28427,1.07531,240,"   910GCNTBW","Canterbury"
5749,2,51.28427,1.07531,240,"   910GCNTBW","Canterbury"
5749,4,51.28427,1.07531,240,"   910GCNTBW","Canterbury"
25237,5,51.26273,1.10134,240," 240G039660A","Canterbury"
27857,5,51.30107,1.12227,240,"  910GSTURRY","Canterbury"
27857,2,51.30107,1.12227,240,"  910GSTURRY","Canterbury"
32072,2,51.26136,1.13672,240," 910GBEKSBRN","Canterbury"
32072,5,51.26136,1.13672,240," 910GBEKSBRN","Canterbury"
47337,5,51.2412,1.1991,240," 910GADISHAM","Canterbury"
47337,2,51.2412,1.1991,240," 910GADISHAM","Canterbury"
52419,5,51.27643,1.08166,240,"   240098943","Canterbury"
53097,5,51.27745,1.0904,240,"2400A050000A","Canterbury"
53583,5,51.29966,1.07017,240,"2400A040360A","Canterbury"
53925,5,51.26511,1.09978,240,"   240096963","Canterbury"
53926,5,51.26523,1.09935,240,"   240096961","Canterbury"
54089,5,51.29256,0.95695,240,"   240097514","Canterbury"
54310,5,51.32003,1.11824,240,"   240092218","Canterbury"
54967,5,51.32209,1.0277,240,"2400A048390A","Canterbury"
55527,5,51.2763,1.08135,240,"   240098906","Canterbury"
55529,5,51.27625,1.08121,240,"   240098902","Canterbury"
55530,5,51.27627,1.08116,240,"   240098900","Canterbury"
56582,5,51.28327,1.05012,240,"2400A050440A","Canterbury"
58040,5,51.25454,1.08531,240,"  2400100063","Canterbury"
58325,5,51.27114,1.06652,240,"2400A039410A","Canterbury"
58762,5,51.30733,1.13764,240,"2400A040210A","Canterbury"
58853,5,51.2743,1.08334,240,"2400A049720A","Canterbury"
58951,5,51.26381,1.03376,240,"2400A039050A","Canterbury"
59206,5,51.29223,1.05775,240,"   240092147","Canterbury"
59273,5,51.27403,1.10157,240,"   240075441","Canterbury"
60111,5,51.29216,1.06618,240,"2400A050280A","Canterbury"
60164,5,51.28521,1.03134,240,"   240097391","Canterbury"
60205,5,51.27861,1.0854,240,"2400A049510A","Canterbury"
60488,5,51.27437,1.09944,240,"2400A049860A","Canterbury"
61091,5,51.24906,1.02273,240,"2400A070650A","Canterbury"
61196,5,51.27674,1.08823,240,"2400A050010A","Canterbury"
61240,5,51.30875,0.96183,240,"2400A038640A","Canterbury"
61592,5,51.27623,1.08734,240,"2400A050020A","Canterbury"
61736,5,51.26812,1.09347,240,"2400A039700A","Canterbury"
61793,5,51.29892,1.06886,240,"2400A040370A","Canterbury"
61854,5,51.25229,1.00892,240,"2400A025390A","Canterbury"
62156,5,51.2718,1.21313,240,"2400A033810A","Canterbury"
62787,5,51.22189,1.15444,240,"2400A043410A","Canterbury"
62788,5,51.27849,1.12281,240,"   240096784","Canterbury"
62800,5,51.27849,1.13172,240,"   240096788","Canterbury"
63312,5,51.29839,0.94299,240,"2400A038850A","Canterbury"
63445,5,51.34308,1.00072,240,"2400A011950A","Canterbury"
65101,5,51.27638,1.08151,240,"   240098939","Canterbury"
66194,5,51.22625,0.96924,240,"2400A025460A","Canterbury"
66902,5,51.26368,1.03365,240,"2400A039040A","Canterbury"
67117,5,51.28097,1.07594,240,"2400A049540A","Canterbury"
68059,4,51.29447,1.06624,240,"2400A050290A","Canterbury"
68059,5,51.29447,1.06624,240,"2400A050290A","Canterbury"
69067,5,51.30307,0.95291,240,"2400A038650A","Canterbury"
69559,5,51.26976,1.09042,240,"2400A039710A","Canterbury"
69618,5,51.2826,1.06648,240,"2400A040380A","Canterbury"
69623,5,51.28278,1.04564,240,"2400A050420A","Canterbury"
70022,5,51.27168,1.21308,240,"2400A033800A","Canterbury"
70249,5,51.23975,1.13308,240,"2400A045170A","Canterbury"
70958,2,51.27736,0.94089,910," 9100SELLING","Canterbury"
71159,5,51.26075,1.0877,240,"2400A073410A","Canterbury"
71448,5,51.34385,0.99613,240,"2400A011960A","Canterbury"
71733,5,51.29251,1.0579,240,"2400A048200A","Canterbury"
72289,5,51.24959,1.01632,240,"   240097782","Canterbury"
72290,5,51.24793,1.03046,240,"   240097784","Canterbury"
72292,5,51.25585,1.014,240,"   240097786","Canterbury"
72293,5,51.26341,1.03495,240,"   240097788","Canterbury"
73132,5,51.32823,0.99969,240,"2400A038590A","Canterbury"
74155,5,51.26977,1.06009,240,"2400A039430A","Canterbury"
74581,5,51.28514,1.08561,240,"2400A040270A","Canterbury"
74766,5,51.25375,1.00813,240,"2400A039070A","Canterbury"
75144,5,51.34624,1.00252,240,"2400A011940A","Canterbury"
75745,5,51.27426,1.09809,240,"  2400100696","Canterbury"
77042,5,51.31486,0.98416,240,"2400A038620A","Canterbury"
77589,5,51.2738,1.08914,240,"2400A039720A","Canterbury"
77649,5,51.27864,1.0546,240,"2400A040390A","Canterbury"
77653,5,51.28308,1.05137,240,"2400A050430A","Canterbury"
78247,5,51.24193,1.13075,240,"2400A045160A","Canterbury"
79398,5,51.2966,0.95064,240,"2400A038870A","Canterbury"
79830,5,51.30407,1.04464,240,"2400A048270A","Canterbury"
80460,5,51.29401,1.10834,240,"2400A039990A","Canterbury"
80953,5,51.29635,1.07725,240,"2400A050100A","Canterbury"
82025,5,51.25497,0.99318,240,"   240097798","Canterbury"
82026,5,51.25491,0.99248,240,"   240097796","Canterbury"
