"node","layer","lat","lon","zone","atcocode","city"
8,5,54.9311,-2.7958,90,"090GG33G8315","Carlisle"
360,5,54.84779,-3.06475,90,"090GG02G7235","Carlisle"
362,5,54.85022,-3.02789,90,"090GG02G7231","Carlisle"
575,5,54.92234,-3.05015,90,"090GG33G9162","Carlisle"
1150,5,54.85991,-3.03035,90,"090GG33G8221","Carlisle"
1668,5,54.89647,-2.93617,90,"090GG33G8406","Carlisle"
1745,5,54.86276,-3.00027,90,"090GG33G9434","Carlisle"
1751,5,54.89919,-3.06684,90,"090GG33G9433","Carlisle"
2294,5,54.89521,-2.89894,90,"090GG33G9250","Carlisle"
3804,5,54.90967,-2.80616,90,"090GG33G7568","Carlisle"
3805,5,54.90615,-2.81337,90,"090GG33G7569","Carlisle"
5913,5,54.95305,-2.94366,90,"090GG33G7614","Carlisle"
8041,5,54.87817,-2.96896,90,"090GG33G7483","Carlisle"
8042,5,54.88445,-2.94801,90,"090GG33G7482","Carlisle"
8529,5,54.8772,-2.91127,90,"090GG33G8272","Carlisle"
9507,5,54.84165,-2.98421,90,"090GG33G7539","Carlisle"
9512,5,54.87002,-2.98485,90,"090GG33G7530","Carlisle"
9822,5,54.89438,-2.92312,90,"090GG33G9201","Carlisle"
12019,5,54.88756,-2.9008,90,"090GG33G7478","Carlisle"
15586,5,54.87923,-2.99466,90,"090GG33G9188","Carlisle"
15591,5,54.88775,-2.92437,90,"090GG33G9181","Carlisle"
17016,5,54.83407,-2.9836,90,"090GG33G7548","Carlisle"
17017,5,54.85838,-3.00994,90,"090GG33G7546","Carlisle"
17018,5,54.83801,-2.98421,90,"090GG33G7547","Carlisle"
17020,5,54.86642,-2.9922,90,"090GG33G7541","Carlisle"
17397,5,54.84316,-3.04657,90,"090GG02G8214","Carlisle"
17400,5,54.84571,-3.05827,90,"090GG02G8211","Carlisle"
19998,5,54.90409,-2.81767,90,"090GG33G7629","Carlisle"
20005,5,54.88726,-2.87268,90,"090GG33G7620","Carlisle"
20007,5,54.89579,-2.88249,90,"090GG33G7626","Carlisle"
20711,5,54.93148,-2.82449,90,"090GG33G9349","Carlisle"
20768,5,54.90333,-2.82466,90,"090GG33G8437","Carlisle"
20769,5,54.90115,-2.83557,90,"090GG33G8436","Carlisle"
20770,5,54.87296,-2.84421,90,"090GG33G8434","Carlisle"
20772,5,54.87685,-2.88737,90,"090GG33G8431","Carlisle"
20923,5,54.86782,-2.85511,90,"090GG33G8398","Carlisle"
20924,5,54.89982,-2.86299,90,"090GG33G8399","Carlisle"
21075,5,54.82374,-2.84744,90,"090GG74G8346","Carlisle"
21234,5,54.84281,-3.05076,90,"090GG02G7240","Carlisle"
22627,5,54.97153,-2.94968,90,"090GG33G9441","Carlisle"
22628,5,54.92242,-2.89697,90,"090GG33G9440","Carlisle"
22874,5,54.8926,-2.97489,90,"090GG33G7510","Carlisle"
22875,5,54.87442,-2.89694,90,"090GG33G7513","Carlisle"
24728,5,54.87061,-2.93277,90,"090GG33G7595","Carlisle"
24731,5,54.84986,-2.92851,90,"090GG33G7592","Carlisle"
27226,5,54.87627,-2.92481,90,"090GG33G7493","Carlisle"
28361,5,54.9308,-2.84077,90,"090GG33G8440","Carlisle"
28726,5,54.8774,-2.97382,90,"090GG33G7528","Carlisle"
28730,5,54.8774,-2.90702,90,"090GG33G7522","Carlisle"
29066,5,54.89443,-2.91696,90,"090GG33G9214","Carlisle"
29067,5,54.88364,-2.89538,90,"090GG33G9215","Carlisle"
29475,5,54.8944,-2.91307,90,"090GG33G9554","Carlisle"
30304,5,54.89562,-2.92901,90,"090GG33G8348","Carlisle"
30382,5,54.84596,-3.04088,90,"090GG02G8969","Carlisle"
31000,5,54.91738,-2.91151,90,"090GG33G9261","Carlisle"
31184,5,54.9211,-3.06176,90,"090GG33G7442","Carlisle"
31185,5,54.92074,-3.06546,90,"090GG33G7441","Carlisle"
31186,5,54.92145,-3.05754,90,"090GG33G7440","Carlisle"
31481,5,54.89065,-2.93381,910," 910GCARLILE","Carlisle"
31481,2,54.89065,-2.93381,910," 910GCARLILE","Carlisle"
31481,4,54.89065,-2.93381,910," 910GCARLILE","Carlisle"
33365,5,54.91396,-2.91875,90,"090GG33G7607","Carlisle"
34025,5,54.87931,-2.96185,90,"090GG33G8419","Carlisle"
34026,5,54.88228,-2.94849,90,"090GG33G8418","Carlisle"
34029,5,54.87287,-2.89749,90,"090GG33G8415","Carlisle"
34030,5,54.88934,-2.92304,90,"090GG33G8414","Carlisle"
34031,5,54.88087,-2.93082,90,"090GG33G8417","Carlisle"
34032,5,54.87288,-2.92199,90,"090GG33G8416","Carlisle"
34033,5,54.89085,-2.91841,90,"090GG33G8413","Carlisle"
34034,5,54.89451,-2.90563,90,"090GG33G8412","Carlisle"
34709,5,54.89397,-2.94864,90,"090GG33G9242","Carlisle"
34714,5,54.89147,-2.95344,90,"090GG33G9248","Carlisle"
35158,5,54.91119,-2.95071,90,"090GG33G8427","Carlisle"
37180,5,54.8934,-2.89365,90,"090GG33G8894","Carlisle"
38679,5,54.92364,-3.0188,90,"090GG33G9149","Carlisle"
39128,5,54.8904,-2.87799,90,"090GG33G7630","Carlisle"
39260,5,54.94331,-2.99922,90,"090GG33G8204","Carlisle"
39782,5,54.92747,-2.92446,90,"090GG33G9371","Carlisle"
39783,5,54.92576,-2.92425,90,"090GG33G9370","Carlisle"
