"node","layer","lat","lon","zone","atcocode","city"
247,2,53.70053,-1.42341,910," 910GNORMNTN","Castleford"
247,5,53.70053,-1.42341,910," 910GNORMNTN","Castleford"
1989,5,53.69923,-1.4056,450,"    450G7256","Castleford"
1990,5,53.7001,-1.40763,450,"    450G7257","Castleford"
1991,5,53.69631,-1.40814,450,"    450G7254","Castleford"
1992,5,53.69753,-1.40536,450,"    450G7255","Castleford"
2949,5,53.72867,-1.30892,450,"    450G7019","Castleford"
3089,5,53.72937,-1.4139,450,"    450G6376","Castleford"
3092,5,53.72771,-1.42495,450,"    450G6373","Castleford"
3093,5,53.73718,-1.41043,450,"    450G6378","Castleford"
3094,5,53.73829,-1.40394,450,"    450G6379","Castleford"
3262,5,53.75673,-1.451,450,"   450G20062","Castleford"
3854,5,53.71916,-1.35902,450,"    450G6129","Castleford"
3892,5,53.73048,-1.40738,450,"    450G6377","Castleford"
4202,5,53.80063,-1.36707,450,"    450G8996","Castleford"
4236,5,53.76084,-1.39144,450,"    450G6931","Castleford"
4239,5,53.68786,-1.39326,450,"    450G6458","Castleford"
4240,5,53.6869,-1.39102,450,"    450G6457","Castleford"
4241,5,53.68663,-1.38836,450,"    450G6456","Castleford"
4244,5,53.69013,-1.37656,450,"    450G6452","Castleford"
4245,5,53.69109,-1.3773,450,"    450G6451","Castleford"
4246,5,53.69251,-1.37549,450,"    450G6450","Castleford"
4399,5,53.7178,-1.36374,450,"    450G7191","Castleford"
4401,5,53.71949,-1.36361,450,"    450G7192","Castleford"
5259,5,53.75367,-1.39344,450,"    450G7881","Castleford"
5998,5,53.74734,-1.35765,450,"    450G6989","Castleford"
6001,5,53.74972,-1.37818,450,"    450G6984","Castleford"
6002,5,53.7466,-1.36841,450,"    450G6987","Castleford"
6004,5,53.75404,-1.38486,450,"    450G6981","Castleford"
6005,5,53.75598,-1.38716,450,"    450G6980","Castleford"
6006,5,53.75121,-1.38154,450,"    450G6983","Castleford"
6124,5,53.77407,-1.42287,450,"    450G3010","Castleford"
6132,5,53.76883,-1.41801,450,"    450G3014","Castleford"
6137,5,53.76834,-1.41796,450,"    450G3015","Castleford"
6883,5,53.74377,-1.36532,450,"    450G7097","Castleford"
7764,5,53.79217,-1.39651,450,"    450G6917","Castleford"
7795,5,53.7681,-1.4265,450,"    450G6908","Castleford"
7905,5,53.79216,-1.38664,450,"    450G5428","Castleford"
8029,5,53.77295,-1.37565,450,"    450G6950","Castleford"
8712,5,53.73003,-1.31015,450,"    450G7018","Castleford"
8717,5,53.72491,-1.31071,450,"    450G7011","Castleford"
8718,5,53.72625,-1.30958,450,"    450G7012","Castleford"
8719,5,53.72807,-1.30956,450,"    450G7013","Castleford"
9191,5,53.69277,-1.40628,450,"    450G7168","Castleford"
9486,5,53.7571,-1.45144,450,"    450G7208","Castleford"
9964,5,53.76421,-1.3779,450,"    450G6423","Castleford"
9965,5,53.7669,-1.37093,450,"    450G6420","Castleford"
9966,5,53.76476,-1.37412,450,"    450G6421","Castleford"
9967,5,53.77372,-1.37886,450,"    450G6429","Castleford"
10617,5,53.72426,-1.37842,450,"    450G6583","Castleford"
10620,5,53.71839,-1.37499,450,"    450G6587","Castleford"
10622,5,53.71616,-1.3676,450,"    450G6588","Castleford"
10647,5,53.75594,-1.45957,450,"    450G7989","Castleford"
11997,5,53.77019,-1.36357,450,"    450G7126","Castleford"
11998,5,53.77154,-1.36793,450,"    450G7127","Castleford"
11999,5,53.79068,-1.39703,450,"    450G7128","Castleford"
12000,5,53.79059,-1.39957,450,"    450G7129","Castleford"
12502,5,53.76275,-1.31031,450,"    450G6507","Castleford"
12725,5,53.68809,-1.4122,450,"    450G7375","Castleford"
12726,5,53.71093,-1.39146,450,"    450G7377","Castleford"
12727,5,53.71384,-1.38586,450,"    450G7378","Castleford"
13092,5,53.72918,-1.31427,450,"    450G7391","Castleford"
13095,5,53.73195,-1.3155,450,"    450G7390","Castleford"
13597,5,53.76853,-1.37072,450,"    450G6938","Castleford"
13602,5,53.71343,-1.36582,450,"    450G6935","Castleford"
13603,5,53.70697,-1.36792,450,"    450G6936","Castleford"
13604,5,53.76344,-1.38013,450,"    450G6937","Castleford"
13605,5,53.71657,-1.34723,450,"    450G6930","Castleford"
14144,5,53.74047,-1.39652,450,"    450G9593","Castleford"
14145,5,53.7396,-1.40196,450,"    450G9592","Castleford"
14146,5,53.73883,-1.40307,450,"    450G9591","Castleford"
14147,5,53.7525,-1.44986,450,"    450G9590","Castleford"
14561,5,53.73043,-1.35166,450,"    450G6397","Castleford"
14567,5,53.74607,-1.35529,450,"    450G6399","Castleford"
15253,5,53.70484,-1.40385,450,"    450G7234","Castleford"
15254,5,53.70342,-1.40684,450,"    450G7235","Castleford"
15255,5,53.7024,-1.40893,450,"    450G7236","Castleford"
15256,5,53.70136,-1.41134,450,"    450G7237","Castleford"
15259,5,53.70657,-1.40037,450,"    450G7233","Castleford"
15619,5,53.75037,-1.44995,450,"    450G3616","Castleford"
16314,5,53.79122,-1.38874,450,"    450G3094","Castleford"
16364,5,53.75312,-1.4477,450,"    450G6310","Castleford"
16366,5,53.75508,-1.45026,450,"    450G6312","Castleford"
16410,5,53.77842,-1.38316,450,"    450G7959","Castleford"
17381,5,53.75169,-1.46008,450,"    450G3625","Castleford"
17515,5,53.6948,-1.41472,450,"    450G6475","Castleford"
17516,5,53.69807,-1.41294,450,"    450G6477","Castleford"
17517,5,53.69593,-1.41079,450,"    450G6476","Castleford"
17518,5,53.69339,-1.41772,450,"    450G6471","Castleford"
17519,5,53.69186,-1.4162,450,"    450G6470","Castleford"
17520,5,53.69404,-1.41773,450,"    450G6472","Castleford"
17524,5,53.69922,-1.41508,450,"    450G6478","Castleford"
17708,5,53.70906,-1.34201,910," 910GGLASHTN","Castleford"
17708,2,53.70906,-1.34201,910," 910GGLASHTN","Castleford"
18111,5,53.76598,-1.4225,450,"    450G3018","Castleford"
18686,5,53.73648,-1.45631,450,"    450G6370","Castleford"
19353,5,53.71853,-1.34859,450,"    450G6927","Castleford"
19357,5,53.77007,-1.40264,450,"    450G6926","Castleford"
19547,5,53.71508,-1.39627,450,"    450G7179","Castleford"
19548,5,53.71334,-1.39858,450,"    450G7178","Castleford"
19549,5,53.71533,-1.41098,450,"    450G7177","Castleford"
19550,5,53.71499,-1.41383,450,"    450G7176","Castleford"
19551,5,53.7109,-1.42572,450,"    450G7175","Castleford"
19552,5,53.7125,-1.42188,450,"    450G7174","Castleford"
19553,5,53.7096,-1.42912,450,"    450G7173","Castleford"
19556,5,53.69553,-1.41919,450,"    450G7170","Castleford"
19791,5,53.7568,-1.44289,910," 910GWDLESFD","Castleford"
19791,2,53.7568,-1.44289,910," 910GWDLESFD","Castleford"
21011,5,53.76752,-1.3645,450,"    450G7125","Castleford"
21416,5,53.78577,-1.38991,450,"    450G5409","Castleford"
21567,5,53.72905,-1.3058,450,"    450G7020","Castleford"
21688,5,53.71474,-1.35228,450,"    450G8165","Castleford"
22157,5,53.7238,-1.33014,450,"    450G7034","Castleford"
22159,5,53.72298,-1.33921,450,"    450G7038","Castleford"
22160,5,53.72477,-1.34405,450,"    450G7039","Castleford"
22216,5,53.73399,-1.40693,450,"    450G6343","Castleford"
22218,5,53.73668,-1.41186,450,"    450G6341","Castleford"
22219,5,53.73915,-1.41551,450,"    450G6340","Castleford"
22220,5,53.73481,-1.39347,450,"    450G6347","Castleford"
22221,5,53.73056,-1.3931,450,"    450G6346","Castleford"
22222,5,53.73002,-1.39934,450,"    450G6345","Castleford"
22225,5,53.73743,-1.39411,450,"    450G6348","Castleford"
22298,5,53.78885,-1.3268,910," 910GMCKLFLD","Castleford"
22298,2,53.78885,-1.3268,910," 910GMCKLFLD","Castleford"
22915,5,53.71447,-1.35617,450,"    450G6134","Castleford"
22916,5,53.71543,-1.34836,450,"    450G6135","Castleford"
22917,5,53.71575,-1.34521,450,"    450G6136","Castleford"
22918,5,53.71642,-1.35799,450,"    450G6131","Castleford"
22919,5,53.71611,-1.35614,450,"    450G6132","Castleford"
22920,5,53.71543,-1.3543,450,"    450G6133","Castleford"
22921,5,53.71602,-1.34276,450,"    450G6138","Castleford"
23349,5,53.79251,-1.38945,450,"    450G6448","Castleford"
23354,5,53.79028,-1.39784,450,"    450G6443","Castleford"
23434,5,53.76246,-1.43022,450,"    450G3023","Castleford"
23441,5,53.76061,-1.43499,450,"    450G3025","Castleford"
23552,5,53.7212,-1.36649,450,"    450G7188","Castleford"
23554,5,53.72012,-1.37171,450,"    450G7186","Castleford"
23555,5,53.72068,-1.36857,450,"    450G7187","Castleford"
23556,5,53.71912,-1.37519,450,"    450G7184","Castleford"
23558,5,53.71411,-1.38695,450,"    450G7182","Castleford"
23925,5,53.72409,-1.35466,910," 910GCASTLFD","Castleford"
23925,2,53.72409,-1.35466,910," 910GCASTLFD","Castleford"
24155,5,53.74214,-1.42636,450,"    450G6337","Castleford"
24165,5,53.7438,-1.44043,450,"    450G6335","Castleford"
24171,5,53.74133,-1.42274,450,"    450G6338","Castleford"
24174,5,53.74043,-1.41869,450,"    450G6339","Castleford"
25123,5,53.71587,-1.33048,450,"    450G6993","Castleford"
25124,5,53.71509,-1.3336,450,"    450G6990","Castleford"
25125,5,53.71711,-1.32456,450,"    450G6997","Castleford"
25126,5,53.71644,-1.32785,450,"    450G6994","Castleford"
25498,5,53.79839,-1.36993,450,"    450G8995","Castleford"
25871,5,53.79604,-1.33359,450,"    450G6569","Castleford"
26525,5,53.76649,-1.41688,450,"    450G7884","Castleford"
26526,5,53.76463,-1.41658,450,"    450G7883","Castleford"
26527,5,53.75313,-1.38705,450,"    450G7882","Castleford"
26987,5,53.79239,-1.39372,450,"    450G6919","Castleford"
27260,5,53.70459,-1.42982,450,"    450G6494","Castleford"
27792,5,53.78681,-1.41907,450,"    450G8118","Castleford"
27945,5,53.72436,-1.32429,450,"    450G7064","Castleford"
27975,5,53.71807,-1.32097,450,"    450G7394","Castleford"
27976,5,53.71957,-1.3219,450,"    450G7393","Castleford"
27977,5,53.72726,-1.31334,450,"    450G7392","Castleford"
29206,5,53.76659,-1.36804,450,"    450G6415","Castleford"
29207,5,53.76609,-1.36621,450,"    450G6414","Castleford"
29208,5,53.79575,-1.32869,450,"    450G6419","Castleford"
29824,5,53.74743,-1.45417,450,"    450G6330","Castleford"
29826,5,53.74356,-1.43478,450,"    450G6336","Castleford"
29891,5,53.71555,-1.36458,450,"    450G6590","Castleford"
30321,5,53.73501,-1.40937,450,"    450G6342","Castleford"
30333,5,53.73062,-1.40309,450,"    450G6344","Castleford"
30496,5,53.80031,-1.389,450,"    450G7879","Castleford"
30595,5,53.792,-1.37054,910," 910GEGRFRTH","Castleford"
30595,2,53.792,-1.37054,910," 910GEGRFRTH","Castleford"
30997,5,53.77173,-1.37197,450,"    450G6939","Castleford"
31171,5,53.71387,-1.33436,450,"    450G6071","Castleford"
31285,5,53.75185,-1.34378,450,"    450G6401","Castleford"
31737,5,53.78884,-1.37708,450,"    450G6516","Castleford"
31738,5,53.78627,-1.37781,450,"    450G6514","Castleford"
31743,5,53.7817,-1.36895,450,"    450G6511","Castleford"
32039,5,53.75328,-1.34343,450,"    450G6403","Castleford"
32793,5,53.77439,-1.37504,450,"    450G6942","Castleford"
33349,5,53.74272,-1.45312,450,"    450G6331","Castleford"
33642,5,53.72582,-1.30423,450,"    450G7051","Castleford"
33645,5,53.72227,-1.31057,450,"    450G7054","Castleford"
33646,5,53.72474,-1.31892,450,"    450G7055","Castleford"
33647,5,53.72596,-1.3191,450,"    450G7056","Castleford"
33648,5,53.7273,-1.31966,450,"    450G7057","Castleford"
33649,5,53.72777,-1.32218,450,"    450G7058","Castleford"
33650,5,53.72841,-1.32484,450,"    450G7059","Castleford"
34208,5,53.74504,-1.45099,450,"    450G6334","Castleford"
35515,5,53.73055,-1.38581,450,"    450G6361","Castleford"
35517,5,53.72537,-1.37235,450,"    450G6363","Castleford"
35518,5,53.72506,-1.37728,450,"    450G6362","Castleford"
35647,2,53.78234,-1.25053,910,"  910GSMILFD","Castleford"
35647,5,53.78234,-1.25053,910,"  910GSMILFD","Castleford"
36707,5,53.68888,-1.39822,450,"    450G6463","Castleford"
36710,5,53.68995,-1.41207,450,"    450G6466","Castleford"
36712,5,53.69203,-1.40502,450,"    450G6464","Castleford"
36713,5,53.69092,-1.40989,450,"    450G6465","Castleford"
36716,5,53.69003,-1.41484,450,"    450G6469","Castleford"
