"node","layer","lat","lon","zone","atcocode","city"
410,5,51.72566,0.46226,150,"150G00002060","Chelmsford"
1032,5,51.75746,0.49232,150,"150G00003377","Chelmsford"
1036,5,51.7308,0.5779,150,"150G00003371","Chelmsford"
1213,5,51.71372,0.53921,150,"150G00001099","Chelmsford"
1214,5,51.71111,0.55026,150,"150G00001098","Chelmsford"
1217,5,51.71288,0.5579,150,"150G00001097","Chelmsford"
1218,5,51.71292,0.57387,150,"150G00001096","Chelmsford"
2309,5,51.7194,0.49787,150,"150G00002119","Chelmsford"
2310,5,51.72074,0.49373,150,"150G00002118","Chelmsford"
2312,5,51.71776,0.50182,150,"150G00002111","Chelmsford"
2313,5,51.71262,0.48796,150,"150G00002110","Chelmsford"
2314,5,51.71591,0.48433,150,"150G00002113","Chelmsford"
2315,5,51.71455,0.48601,150,"150G00002112","Chelmsford"
2316,5,51.72011,0.48193,150,"150G00002115","Chelmsford"
2317,5,51.72199,0.48855,150,"150G00002114","Chelmsford"
2318,5,51.71888,0.47695,150,"150G00002117","Chelmsford"
2319,5,51.7246,0.48378,150,"150G00002116","Chelmsford"
2554,5,51.75432,0.48645,150,"150G00002876","Chelmsford"
2555,5,51.73715,0.57674,150,"150G00002877","Chelmsford"
3038,5,51.75518,0.46178,150,"150G00002098","Chelmsford"
3039,5,51.75698,0.46231,150,"150G00002099","Chelmsford"
3041,5,51.74426,0.46336,150,"150G00002094","Chelmsford"
3042,5,51.74266,0.46578,150,"150G00002095","Chelmsford"
3043,5,51.74265,0.46155,150,"150G00002096","Chelmsford"
3044,5,51.74361,0.45691,150,"150G00002097","Chelmsford"
3045,5,51.74543,0.45995,150,"150G00002090","Chelmsford"
3046,5,51.74698,0.45267,150,"150G00002091","Chelmsford"
3047,5,51.74591,0.45547,150,"150G00002092","Chelmsford"
3048,5,51.74457,0.45793,150,"150G00002093","Chelmsford"
3062,5,51.73876,0.49897,150,"150G00002328","Chelmsford"
3063,5,51.73418,0.48507,150,"150G00002329","Chelmsford"
3064,5,51.72736,0.44658,150,"150G00002322","Chelmsford"
3065,5,51.74035,0.45209,150,"150G00002323","Chelmsford"
3066,5,51.72932,0.4685,150,"150G00002320","Chelmsford"
3067,5,51.72624,0.45669,150,"150G00002321","Chelmsford"
3068,5,51.71511,0.49949,150,"150G00002327","Chelmsford"
3069,5,51.7408,0.44766,150,"150G00002324","Chelmsford"
3070,5,51.72092,0.52208,150,"150G00002325","Chelmsford"
5028,5,51.77998,0.40501,150,"150G00001024","Chelmsford"
5029,5,51.7753,0.41208,150,"150G00001025","Chelmsford"
5030,5,51.77857,0.41623,150,"150G00001026","Chelmsford"
6810,5,51.75512,0.44274,150,"150G00002083","Chelmsford"
7460,5,51.74246,0.42213,150,"150G00001005","Chelmsford"
7962,5,51.71819,0.50454,150,"150G00002120","Chelmsford"
7963,5,51.72344,0.49508,150,"150G00002121","Chelmsford"
7964,5,51.72408,0.49073,150,"150G00002122","Chelmsford"
7965,5,51.72518,0.48572,150,"150G00002123","Chelmsford"
7966,5,51.72006,0.51069,150,"150G00002124","Chelmsford"
7967,5,51.7203,0.51568,150,"150G00002125","Chelmsford"
