"node","layer","lat","lon","zone","atcocode","city"
1464,5,51.48866,-0.15432,490,"490G00005063","Chelsea"
1470,5,51.48018,-0.18964,490,"490G00005069","Chelsea"
1831,5,51.49762,-0.1674,490,"490G00004437","Chelsea"
2003,5,51.48098,-0.20161,490,"490G00012117","Chelsea"
2157,5,51.48922,-0.14675,490,"490G00013855","Chelsea"
2676,2,51.47495,-0.18282,490,"   910GCSEAH","Chelsea"
2676,5,51.47495,-0.18282,490,"   910GCSEAH","Chelsea"
2676,1,51.47495,-0.18282,490,"   910GCSEAH","Chelsea"
2811,5,51.5138,-0.18811,490,"490G00014602","Chelsea"
2988,5,51.48891,-0.17632,490,"490G00006514","Chelsea"
3475,5,51.47561,-0.19263,490,"490G00010225","Chelsea"
4251,5,51.52327,-0.18378,490," 940GZZLUWKA","Chelsea"
4251,3,51.52327,-0.18378,490," 940GZZLUWKA","Chelsea"
4679,5,51.53052,-0.19432,490,"490G00004444","Chelsea"
4701,5,51.48695,-0.22126,490,"490G00004991","Chelsea"
5523,5,51.51131,-0.18755,490," 940GZZLUBWT","Chelsea"
5523,3,51.51131,-0.18755,490," 940GZZLUBWT","Chelsea"
6376,5,51.51173,-0.17549,490," 940GZZLULGT","Chelsea"
6376,3,51.51173,-0.17549,490," 940GZZLULGT","Chelsea"
6464,5,51.45309,-0.24405,490,"490G00011322","Chelsea"
7095,5,51.48909,-0.15666,490,"490G00011765","Chelsea"
7204,5,51.47026,-0.19111,490,"490G00010474","Chelsea"
7916,5,51.50106,-0.19279,490," 940GZZLUHSK","Chelsea"
7916,3,51.50106,-0.19279,490," 940GZZLUHSK","Chelsea"
7920,4,51.49301,-0.22445,490," 940GZZLUHSC","Chelsea"
7920,5,51.49301,-0.22445,490," 940GZZLUHSC","Chelsea"
7920,3,51.49301,-0.22445,490," 940GZZLUHSC","Chelsea"
8032,5,51.50715,-0.20568,490," 940GZZLUHPK","Chelsea"
8032,3,51.50715,-0.20568,490," 940GZZLUHPK","Chelsea"
8414,5,51.47207,-0.19152,490,"490G00011916","Chelsea"
8517,5,51.46807,-0.22822,490,"490G00011281","Chelsea"
8678,5,51.4728,-0.19911,490,"490G00015575","Chelsea"
8781,5,51.485,-0.18265,490,"490G00005062","Chelsea"
9046,5,51.48823,-0.204,490,"490G00014485","Chelsea"
10314,5,51.51563,-0.18973,490,"490G00011365","Chelsea"
10934,5,51.47839,-0.1888,490,"490G00011788","Chelsea"
12052,5,51.48707,-0.19559,910," 910GWBRMPTN","Chelsea"
12052,2,51.48707,-0.19559,910," 910GWBRMPTN","Chelsea"
12052,3,51.48707,-0.19559,910," 910GWBRMPTN","Chelsea"
12052,4,51.48707,-0.19559,910," 910GWBRMPTN","Chelsea"
12239,5,51.5065,-0.19451,490,"490G00012055","Chelsea"
12297,5,51.51827,-0.1961,490,"490G00012948","Chelsea"
12447,5,51.47186,-0.20463,490,"490G00015393","Chelsea"
13053,5,51.45824,-0.24298,490,"490G00006083","Chelsea"
13430,5,51.48448,-0.20497,490,"490G00010117","Chelsea"
13446,4,51.49943,-0.16397,490,"490G00007841","Chelsea"
13446,5,51.49943,-0.16397,490,"490G00007841","Chelsea"
13699,5,51.45695,-0.22604,490,"490G00018693","Chelsea"
13729,5,51.48409,-0.18427,490,"490G00006437","Chelsea"
14572,5,51.52254,-0.2049,490,"490G00006407","Chelsea"
14575,5,51.48305,-0.16575,930,"     930GBSE","Chelsea"
14575,1,51.48305,-0.16575,930,"     930GBSE","Chelsea"
14984,5,51.49833,-0.19817,490,"490G00005529","Chelsea"
15264,5,51.51296,-0.19744,490,"490G00005085","Chelsea"
15852,5,51.52087,-0.19186,490,"490G00005320","Chelsea"
16089,5,51.49085,-0.1839,490,"490G00005754","Chelsea"
16293,5,51.49079,-0.14976,490,"490G00006399","Chelsea"
16524,5,51.51421,-0.20121,490,"490G00005513","Chelsea"
16980,5,51.47375,-0.19663,490,"490G00005156","Chelsea"
17148,5,51.5258,-0.2079,490,"490G00004171","Chelsea"
17153,5,51.47612,-0.20497,490,"490G00011385","Chelsea"
17476,5,51.46909,-0.19634,490,"490G00008433","Chelsea"
17958,5,51.51975,-0.21142,490,"490G00005139","Chelsea"
18222,5,51.49112,-0.18069,490,"490G00015071","Chelsea"
18569,5,51.51754,-0.20259,490,"490G00011158","Chelsea"
19184,5,51.47379,-0.20753,490,"490G00010123","Chelsea"
19340,5,51.46814,-0.22302,490,"490G00006825","Chelsea"
19413,5,51.48651,-0.17126,490,"490G00004809","Chelsea"
20521,5,51.48793,-0.16754,490,"490G00005073","Chelsea"
20524,5,51.48191,-0.18044,490,"490G00005076","Chelsea"
21141,5,51.49161,-0.16419,490,"490G00016311","Chelsea"
21143,5,51.49163,-0.16223,490,"490G00016310","Chelsea"
21144,5,51.49343,-0.16864,490,"490G00016312","Chelsea"
21191,3,51.49032,-0.21343,940," 940GZZLUBSC","Chelsea"
21263,5,51.47995,-0.22118,490,"490G00011337","Chelsea"
21509,5,51.47568,-0.19388,490,"490G00014186","Chelsea"
21726,5,51.52453,-0.20064,490,"490G00018987","Chelsea"
21864,5,51.48749,-0.17849,490,"490G00003726","Chelsea"
22581,5,51.49464,-0.19551,490,"490G00006305","Chelsea"
23017,5,51.49207,-0.19338,490," 940GZZLUECT","Chelsea"
23017,3,51.49207,-0.19338,490," 940GZZLUECT","Chelsea"
23612,5,51.45625,-0.22672,490,"490G00018694","Chelsea"
23674,5,51.48553,-0.20252,490,"490G00009156","Chelsea"
23675,5,51.4827,-0.21886,490,"490G00009155","Chelsea"
24730,5,51.51007,-0.20471,490,"490G00018844","Chelsea"
25014,5,51.45162,-0.23431,490,"490G00006150","Chelsea"
25066,5,51.47742,-0.21645,490,"490G00006845","Chelsea"
