"node","layer","lat","lon","zone","atcocode","city"
36378,5,51.8974,-2.09963,910," 910GCHLTNHM","Cheltenham"
36378,2,51.8974,-2.09963,910," 910GCHLTNHM","Cheltenham"
52127,5,51.8852,-2.11671,160,"  1600GL2400","Cheltenham"
52315,5,51.91194,-2.1014,160,"1600GLA36538","Cheltenham"
52903,5,51.95773,-2.0672,160,"  1600GL1971","Cheltenham"
52905,5,51.95746,-2.06699,160,"  1600GL1972","Cheltenham"
53135,5,51.85869,-2.12508,160,"  1600GLA662","Cheltenham"
53711,5,51.93345,-2.14855,160,"1600GLA06379","Cheltenham"
53712,5,51.90311,-2.07388,160,"1600GLA06378","Cheltenham"
53714,5,51.83858,-2.04623,160,"1600GLA06375","Cheltenham"
55983,5,51.95236,-2.12198,160,"  1600GL4460","Cheltenham"
56255,4,51.89497,-2.12784,160,"  1600GL2139","Cheltenham"
56255,5,51.89497,-2.12784,160,"  1600GL2139","Cheltenham"
56456,5,51.91351,-2.04895,160,"  1600GLA410","Cheltenham"
56580,5,51.90815,-2.05393,160,"  1600GL3148","Cheltenham"
57269,5,51.92802,-2.04154,160,"  1600GL3385","Cheltenham"
57270,5,51.92813,-2.04113,160,"  1600GL3386","Cheltenham"
57731,5,51.87207,-1.97098,160,"  1600GLC557","Cheltenham"
57736,5,51.87006,-1.97743,160,"  1600GLC559","Cheltenham"
57737,5,51.87223,-1.9708,160,"  1600GLC558","Cheltenham"
57857,5,51.97958,-2.07161,160,"  1600GL5784","Cheltenham"
57858,5,51.98011,-2.0718,160,"  1600GL5783","Cheltenham"
57859,5,51.90832,-2.10705,160,"  1600GL5780","Cheltenham"
58378,5,51.85103,-2.04978,160,"  1600GLS948","Cheltenham"
59135,5,51.97255,-2.00173,160,"  1600GLA789","Cheltenham"
59209,5,51.86388,-2.11984,160,"  1600GL4248","Cheltenham"
59210,5,51.86298,-2.11921,160,"  1600GL4244","Cheltenham"
59211,5,51.86169,-2.12163,160,"  1600GL4245","Cheltenham"
59212,5,51.86165,-2.12147,160,"  1600GL4246","Cheltenham"
59213,5,51.86395,-2.1199,160,"  1600GL4247","Cheltenham"
59214,5,51.88429,-2.08683,160,"  1600GL4240","Cheltenham"
59215,5,51.86673,-2.11649,160,"  1600GL4241","Cheltenham"
59216,5,51.86669,-2.11643,160,"  1600GL4242","Cheltenham"
59217,5,51.86289,-2.11968,160,"  1600GL4243","Cheltenham"
59232,5,51.88262,-2.04529,160,"  1600GL1744","Cheltenham"
59233,5,51.88259,-2.04489,160,"  1600GL1743","Cheltenham"
59234,5,51.94305,-2.07099,160,"  1600GL1740","Cheltenham"
59894,5,51.94536,-2.05569,160,"  1600GL3766","Cheltenham"
60206,5,51.89952,-2.10603,160,"  1600GLA468","Cheltenham"
60207,5,51.89964,-2.10636,160,"  1600GLA467","Cheltenham"
60208,5,51.87943,-2.07092,160,"  1600GLA465","Cheltenham"
60209,5,51.87493,-2.07633,160,"  1600GLA464","Cheltenham"
60210,5,51.87478,-2.07617,160,"  1600GLA463","Cheltenham"
60211,5,51.87827,-2.07726,160,"  1600GLA462","Cheltenham"
60212,5,51.87709,-2.0768,160,"  1600GLA461","Cheltenham"
60213,5,51.89368,-2.07608,160,"  1600GLA460","Cheltenham"
61242,5,51.90687,-2.15859,160,"  1600GLA799","Cheltenham"
61244,5,51.94668,-2.06151,160,"  1600GLA796","Cheltenham"
61968,5,51.92643,-2.15562,160,"   1600GL529","Cheltenham"
62861,5,51.90205,-2.07408,160,"1600GLA57087","Cheltenham"
64759,5,51.87751,-2.04435,160,"  1600GLA503","Cheltenham"
64803,5,51.91686,-2.04017,160,"1600GLA26351","Cheltenham"
64976,5,51.91415,-2.11711,160,"  1600GL4336","Cheltenham"
65050,5,51.88394,-2.04394,160,"  1600GLA699","Cheltenham"
65055,5,51.88344,-2.04059,160,"  1600GLA697","Cheltenham"
65350,5,51.90214,-2.074,160,"  1600GL1068","Cheltenham"
65353,5,51.88693,-2.08044,160,"  1600GL1064","Cheltenham"
65591,5,51.95233,-2.12184,160,"  1600GL4459","Cheltenham"
65876,5,51.87992,-2.10698,160,"  1600GL5682","Cheltenham"
65877,5,51.8801,-2.10703,160,"  1600GL5681","Cheltenham"
66479,5,51.91582,-2.07619,160,"  1600GLA531","Cheltenham"
67337,5,51.90816,-2.06018,160,"  1600GLA732","Cheltenham"
67426,5,51.89129,-2.10967,160,"  1600GLA562","Cheltenham"
67427,5,51.89106,-2.10294,160,"  1600GLA563","Cheltenham"
67428,5,51.88155,-2.14223,160,"  1600GLA560","Cheltenham"
67429,5,51.8913,-2.10861,160,"  1600GLA561","Cheltenham"
67430,5,51.89056,-2.09913,160,"  1600GLA566","Cheltenham"
67431,5,51.89245,-2.0946,160,"  1600GLA567","Cheltenham"
67432,5,51.89084,-2.10535,160,"  1600GLA564","Cheltenham"
67433,5,51.89049,-2.09948,160,"  1600GLA565","Cheltenham"
67434,5,51.8926,-2.09357,160,"  1600GLA568","Cheltenham"
68633,5,51.89956,-2.16399,160,"1600GLA06138","Cheltenham"
69202,5,51.89474,-2.06083,160,"  1600GLA457","Cheltenham"
69204,5,51.91066,-2.03533,160,"  1600GLA452","Cheltenham"
69210,5,51.91093,-2.03531,160,"  1600GLA451","Cheltenham"
69757,5,51.89677,-2.06979,160,"  1600GLA478","Cheltenham"
69758,5,51.89528,-2.06649,160,"  1600GLA479","Cheltenham"
69760,5,51.89357,-2.11403,160,"  1600GLA473","Cheltenham"
69761,5,51.89858,-2.07941,160,"  1600GLA476","Cheltenham"
69762,5,51.89635,-2.06851,160,"  1600GLA477","Cheltenham"
70783,5,51.96512,-2.04675,160,"  1600GLA783","Cheltenham"
70784,5,51.96494,-2.05404,160,"  1600GLA780","Cheltenham"
70785,5,51.96443,-2.04941,160,"  1600GLA781","Cheltenham"
70786,5,51.97175,-2.01278,160,"  1600GLA787","Cheltenham"
70787,5,51.96596,-2.02207,160,"  1600GLA785","Cheltenham"
71480,5,51.92636,-2.15549,160,"   1600GL530","Cheltenham"
71958,5,51.90122,-2.07368,160,"1600GLA36712","Cheltenham"
72016,5,51.87267,-2.07499,160,"  1600GL2862","Cheltenham"
72151,5,51.91293,-2.09792,160,"1600GLA26327","Cheltenham"
74769,5,51.8977,-2.07874,160,"  1600GL1074","Cheltenham"
74770,5,51.89931,-2.07688,160,"  1600GL1076","Cheltenham"
74771,5,51.90093,-2.07398,160,"  1600GL1070","Cheltenham"
74773,5,51.91574,-2.06736,160,"  1600GL1078","Cheltenham"
75313,5,51.89016,-2.09243,160,"  1600GL5691","Cheltenham"
75314,5,51.88995,-2.09191,160,"  1600GL5692","Cheltenham"
76226,5,51.85882,-2.08217,160,"  1600GLS583","Cheltenham"
76229,5,51.85926,-2.08238,160,"  1600GLS584","Cheltenham"
76440,5,51.95331,-2.15851,160,"  1600GLT014","Cheltenham"
76635,5,51.86627,-1.94605,160,"  1600GL4222","Cheltenham"
77011,5,51.94563,-2.07113,160,"  1600GLA599","Cheltenham"
77012,5,51.94548,-2.06917,160,"  1600GLA597","Cheltenham"
77013,5,51.93792,-2.06831,160,"  1600GLA596","Cheltenham"
77014,5,51.93793,-2.06888,160,"  1600GLA595","Cheltenham"
77015,5,51.93831,-2.06552,160,"  1600GLA594","Cheltenham"
77016,5,51.93849,-2.06568,160,"  1600GLA593","Cheltenham"
77017,5,51.93237,-2.06619,160,"  1600GLA592","Cheltenham"
77018,5,51.93369,-2.06602,160,"  1600GLA591","Cheltenham"
77019,5,51.91547,-2.06992,160,"  1600GLA590","Cheltenham"
78491,5,51.88253,-2.04983,160,"   1600GL999","Cheltenham"
78770,5,51.89001,-2.0718,160,"  1600GLA682","Cheltenham"
78771,5,51.88995,-2.07167,160,"  1600GLA681","Cheltenham"
78772,5,51.88115,-2.07027,160,"  1600GLA680","Cheltenham"
78773,5,51.88305,-2.04799,160,"  1600GLA687","Cheltenham"
78774,5,51.8824,-2.05111,160,"  1600GLA685","Cheltenham"
78775,5,51.88296,-2.04796,160,"  1600GLA688","Cheltenham"
78966,5,51.96659,-2.15733,160,"  1600GLT088","Cheltenham"
78967,5,51.96653,-2.14975,160,"  1600GLT089","Cheltenham"
79532,5,51.91105,-2.12046,160,"  1600GLA445","Cheltenham"
79533,5,51.90894,-2.12377,160,"  1600GLA444","Cheltenham"
79534,5,51.90994,-2.1172,160,"  1600GLA441","Cheltenham"
79535,5,51.9071,-2.12571,160,"  1600GLA440","Cheltenham"
79536,5,51.90631,-2.1266,160,"  1600GLA448","Cheltenham"
82720,5,51.94479,-2.13343,160,"1600GLA26352","Cheltenham"
83125,5,51.87795,-2.10412,160,"1600GLA90850","Cheltenham"
84140,5,51.89263,-2.08777,160,"   1600GL117","Cheltenham"
84144,5,51.89254,-2.08805,160,"   1600GL118","Cheltenham"
84328,5,51.91154,-2.07887,160,"  1600GL3972","Cheltenham"
84329,5,51.91091,-2.07949,160,"  1600GL3971","Cheltenham"
85026,5,51.86369,-1.96088,160,"  1600GLC458","Cheltenham"
85035,5,51.86374,-1.96327,160,"  1600GLC457","Cheltenham"
86714,5,51.90521,-2.07038,160,"  1600GLA588","Cheltenham"
86715,5,51.91538,-2.07009,160,"  1600GLA589","Cheltenham"
86723,5,51.90609,-2.07008,160,"  1600GLA587","Cheltenham"
87331,5,51.8521,-2.08463,160,"  1600GLS949","Cheltenham"
87335,5,51.85107,-2.0499,160,"  1600GLS947","Cheltenham"
87589,5,51.9483,-2.06208,160,"  1600GL5517","Cheltenham"
87590,5,51.82789,-2.10931,160,"  1600GL5514","Cheltenham"
87591,5,51.94834,-2.06192,160,"  1600GL5518","Cheltenham"
88526,5,51.88334,-2.04061,160,"  1600GLA698","Cheltenham"
88529,5,51.88233,-2.04219,160,"  1600GLA694","Cheltenham"
88530,5,51.88234,-2.03946,160,"  1600GLA695","Cheltenham"
88531,5,51.88226,-2.03944,160,"  1600GLA696","Cheltenham"
88533,5,51.87994,-2.05403,160,"  1600GLA691","Cheltenham"
88534,5,51.87989,-2.05364,160,"  1600GLA692","Cheltenham"
88535,5,51.88239,-2.04252,160,"  1600GLA693","Cheltenham"
88706,5,51.93196,-2.1793,160,"  1600GLT070","Cheltenham"
89209,5,51.89873,-2.06671,160,"  1600GLA456","Cheltenham"
89210,5,51.90296,-2.07217,160,"  1600GLA454","Cheltenham"
89211,5,51.89925,-2.06625,160,"  1600GLA455","Cheltenham"
89213,5,51.90247,-2.07945,160,"  1600GLA450","Cheltenham"
89215,5,51.8946,-2.06079,160,"  1600GLA458","Cheltenham"
91426,5,51.89101,-2.05688,160,"  1600GL1930","Cheltenham"
92303,5,51.91441,-2.06422,160,"  1600GL3818","Cheltenham"
92311,5,51.91471,-2.06422,160,"  1600GL3817","Cheltenham"
92460,5,51.90602,-2.08591,160,"  1600GLA419","Cheltenham"
92472,5,51.91238,-2.038,160,"  1600GLA414","Cheltenham"
92763,5,51.89041,-2.12495,160,"1600GLA90847","Cheltenham"
92771,5,51.89028,-2.12514,160,"1600GLA90848","Cheltenham"
92772,5,51.87798,-2.1049,160,"1600GLA90849","Cheltenham"
93860,5,51.87663,-1.96763,160,"   1600GL124","Cheltenham"
93861,5,51.87668,-1.96745,160,"   1600GL123","Cheltenham"
94320,5,51.90412,-2.0701,160,"  1600GL1053","Cheltenham"
94321,5,51.90282,-2.11554,160,"  1600GL1056","Cheltenham"
94322,5,51.9038,-2.06993,160,"  1600GL1054","Cheltenham"
94803,5,51.8738,-1.98983,160,"  1600GLC464","Cheltenham"
94806,5,51.87194,-1.98906,160,"  1600GLC461","Cheltenham"
94807,5,51.87156,-1.98899,160,"  1600GLC462","Cheltenham"
95876,5,51.8836,-1.9823,160,"  1600GL5181","Cheltenham"
95877,5,51.88353,-1.98255,160,"  1600GL5182","Cheltenham"
96100,5,51.94109,-2.02297,160,"  1600GLA843","Cheltenham"
96768,5,51.93364,-2.1178,160,"  1600GL1842","Cheltenham"
97215,5,51.87908,-2.07534,160,"  1600GLA338","Cheltenham"
97216,5,51.87998,-2.0778,160,"  1600GLA336","Cheltenham"
97218,5,51.88333,-2.07939,160,"  1600GLA334","Cheltenham"
97219,5,51.88272,-2.07899,160,"  1600GLA333","Cheltenham"
97220,5,51.88467,-2.07978,160,"  1600GLA332","Cheltenham"
97221,5,51.88457,-2.07958,160,"  1600GLA331","Cheltenham"
97222,5,51.88931,-2.07926,160,"  1600GLA330","Cheltenham"
98322,5,51.92836,-2.18429,160,"  1600GLT068","Cheltenham"
98323,5,51.9321,-2.17914,160,"  1600GLT069","Cheltenham"
98326,5,51.90244,-1.95487,160,"  1600GLT060","Cheltenham"
98328,5,51.95962,-2.17046,160,"  1600GLT062","Cheltenham"
98329,5,51.95764,-2.1604,160,"  1600GLT063","Cheltenham"
98330,5,51.95758,-2.16055,160,"  1600GLT064","Cheltenham"
98331,5,51.93943,-2.16631,160,"  1600GLT065","Cheltenham"
98332,5,51.9393,-2.16627,160,"  1600GLT066","Cheltenham"
98333,5,51.92837,-2.1846,160,"  1600GLT067","Cheltenham"
98587,5,51.91432,-2.05946,160,"  1600GLA406","Cheltenham"
98832,5,51.90979,-2.09257,160,"  1600GLA423","Cheltenham"
98833,5,51.90769,-2.08838,160,"  1600GLA422","Cheltenham"
98834,5,51.9079,-2.08907,160,"  1600GLA421","Cheltenham"
98835,5,51.90629,-2.08595,160,"  1600GLA420","Cheltenham"
98836,5,51.91444,-2.10072,160,"  1600GLA427","Cheltenham"
98837,5,51.91176,-2.09608,160,"  1600GLA426","Cheltenham"
98838,5,51.91173,-2.09646,160,"  1600GLA425","Cheltenham"
98839,5,51.90924,-2.09081,160,"  1600GLA424","Cheltenham"
98840,5,51.91727,-2.10687,160,"  1600GLA429","Cheltenham"
98871,5,51.81317,-2.0894,160,"   1600GL676","Cheltenham"
98874,5,51.81327,-2.08943,160,"   1600GL675","Cheltenham"
99502,5,51.81331,-2.05118,160,"  1600GL1812","Cheltenham"
99756,5,51.90532,-2.06843,160,"  1600GLA050","Cheltenham"
99763,5,51.9014,-2.09237,160,"  1600GLA055","Cheltenham"
101510,5,51.9081,-2.10685,160,"  1600GL5779","Cheltenham"
103004,5,51.87383,-1.98956,160,"  1600GLC463","Cheltenham"
103499,5,51.91431,-2.09034,160,"  1600GLA140","Cheltenham"
103500,5,51.90383,-2.07563,160,"  1600GLA145","Cheltenham"
103502,5,51.89329,-2.13186,160,"   1600GL134","Cheltenham"
103696,5,51.90334,-2.11609,160,"1600GLA36586","Cheltenham"
105262,5,51.91448,-2.0909,160,"  1600GL5402","Cheltenham"
105784,5,51.906,-2.11408,160,"  1600GLA001","Cheltenham"
106723,5,51.82792,-2.10991,160,"1600GLA36763","Cheltenham"
106894,5,51.89089,-2.07779,160,"  1600GLA328","Cheltenham"
106895,5,51.88911,-2.07925,160,"  1600GLA329","Cheltenham"
106898,5,51.89084,-2.07763,160,"  1600GLA327","Cheltenham"
108603,5,51.91225,-2.1195,160,"  1600GLA435","Cheltenham"
108604,5,51.91234,-2.11918,160,"  1600GLA436","Cheltenham"
108605,5,51.9042,-2.08199,160,"  1600GLA437","Cheltenham"
108606,5,51.91741,-2.10669,160,"  1600GLA430","Cheltenham"
108607,5,51.91213,-2.10738,160,"  1600GLA431","Cheltenham"
108608,5,51.91197,-2.10771,160,"  1600GLA432","Cheltenham"
109266,5,51.89881,-2.07746,160,"1600GLA36694","Cheltenham"
111039,5,51.88411,-2.06869,160,"  1600GLA678","Cheltenham"
111043,5,51.9237,-2.09062,160,"  1600GLA672","Cheltenham"
111046,5,51.8889,-2.07031,160,"  1600GLA673","Cheltenham"
111366,5,51.96314,-2.13926,160,"  1600GL4865","Cheltenham"
111367,5,51.96312,-2.13907,160,"  1600GL4866","Cheltenham"
111368,5,51.95834,-2.13336,160,"  1600GL4867","Cheltenham"
111369,5,51.95841,-2.13331,160,"  1600GL4868","Cheltenham"
112670,5,51.94409,-2.05303,160,"  1600GLA308","Cheltenham"
113506,5,51.91837,-2.08528,160,"1600GLA36599","Cheltenham"
113512,5,51.88436,-2.11838,160,"1600GLA36593","Cheltenham"
113603,5,51.86452,-2.12911,160,"1600GLA26366","Cheltenham"
113604,5,51.88658,-2.11701,160,"1600GLA26367","Cheltenham"
113605,5,51.88607,-2.11316,160,"1600GLA26364","Cheltenham"
113606,5,51.88527,-2.12357,160,"1600GLA26365","Cheltenham"
113607,5,51.9098,-2.11229,160,"1600GLA26362","Cheltenham"
113608,5,51.91615,-2.07081,160,"1600GLA26360","Cheltenham"
113609,5,51.91119,-2.12122,160,"1600GLA26361","Cheltenham"
115537,5,51.87933,-2.15937,160,"  1600GL1184","Cheltenham"
116715,5,51.94904,-2.06613,160,"  1600GLA315","Cheltenham"
116717,5,51.94369,-2.06286,160,"  1600GLA311","Cheltenham"
116719,5,51.94354,-2.06279,160,"  1600GLA312","Cheltenham"
116959,5,51.94227,-2.07252,160,"  1600GLA885","Cheltenham"
117377,5,51.90895,-2.03538,160,"  1600GL3584","Cheltenham"
117681,5,51.87978,-2.07752,160,"  1600GLA335","Cheltenham"
118467,5,51.91343,-2.04883,160,"  1600GLA409","Cheltenham"
118468,5,51.91425,-2.0551,160,"  1600GLA408","Cheltenham"
118474,5,51.9103,-2.06549,160,"  1600GLA401","Cheltenham"
118475,5,51.90862,-2.06561,160,"  1600GLA400","Cheltenham"
118476,5,51.91475,-2.06343,160,"  1600GLA403","Cheltenham"
