"node","layer","lat","lon","zone","atcocode","city"
134,5,53.14969,-2.94533,61,"   061GCH458","Chester"
135,5,53.16954,-2.90886,61,"   061GCH457","Chester"
136,5,53.17378,-2.90365,61,"   061GCH456","Chester"
137,5,53.17467,-2.90174,61,"   061GCH455","Chester"
138,5,53.17533,-2.90268,61,"   061GCH454","Chester"
842,5,53.18948,-2.75723,61,"   061GCH453","Chester"
1344,5,53.15921,-2.91085,61,"   061GCH361","Chester"
2089,5,53.19671,-2.8796,910,"    910GCHST","Chester"
2089,2,53.19671,-2.8796,910,"    910GCHST","Chester"
2636,5,53.2038,-2.86685,61,"   061GCH246","Chester"
2637,5,53.2108,-2.86484,61,"   061GCH244","Chester"
2638,5,53.20552,-2.86365,61,"   061GCH245","Chester"
2639,5,53.20761,-2.85643,61,"   061GCH242","Chester"
2640,5,53.20924,-2.86168,61,"   061GCH243","Chester"
2641,5,53.20251,-2.88342,61,"   061GCH240","Chester"
2642,5,53.20506,-2.88082,61,"   061GCH241","Chester"
2645,5,53.20245,-2.87046,61,"   061GCH248","Chester"
2646,5,53.20153,-2.85803,61,"   061GCH249","Chester"
3862,5,53.16895,-2.91785,61,"   061GCH138","Chester"
3863,5,53.1685,-2.91989,61,"   061GCH139","Chester"
3866,5,53.1807,-2.89388,61,"   061GCH131","Chester"
3867,5,53.17987,-2.89851,61,"   061GCH132","Chester"
3868,5,53.17944,-2.90223,61,"   061GCH133","Chester"
3869,5,53.17882,-2.90825,61,"   061GCH134","Chester"
3870,5,53.17768,-2.91288,61,"   061GCH135","Chester"
3871,5,53.17592,-2.91435,61,"   061GCH136","Chester"
3872,5,53.17129,-2.91784,61,"   061GCH137","Chester"
4426,5,53.19262,-2.8633,61,"   061GCH277","Chester"
5108,5,53.18609,-2.89408,61,"   061GCH523","Chester"
5112,5,53.12263,-2.79466,61,"   061GCH525","Chester"
6254,5,53.19338,-2.85593,61,"   061GCH102","Chester"
7377,5,53.19744,-2.85454,61,"    061GCH43","Chester"
7378,5,53.20888,-2.83053,61,"    061GCH42","Chester"
7527,5,53.19661,-2.76288,61,"   061GCH408","Chester"
