"node","layer","lat","lon","zone","atcocode","city"
1439,5,51.50536,-0.09834,490,"490G00009011","City of Westminster"
1655,5,51.49797,-0.1257,490,"490G00003059","City of Westminster"
2075,5,51.49905,-0.13081,490,"490G00014495","City of Westminster"
2618,5,51.50842,-0.10445,490,"490G00013934","City of Westminster"
5217,5,51.50318,-0.07897,490,"490G00016580","City of Westminster"
5397,4,51.51139,-0.09029,490," 910GCANONST","City of Westminster"
5397,2,51.51139,-0.09029,490," 910GCANONST","City of Westminster"
5397,3,51.51139,-0.09029,490," 910GCANONST","City of Westminster"
5397,5,51.51139,-0.09029,490," 910GCANONST","City of Westminster"
7351,4,51.49212,-0.12523,930,"     930GMBK","City of Westminster"
7351,5,51.49212,-0.12523,930,"     930GMBK","City of Westminster"
7351,1,51.49212,-0.12523,930,"     930GMBK","City of Westminster"
7458,2,51.50369,-0.111,910,"    910GWLOE","City of Westminster"
7458,5,51.50369,-0.111,910,"    910GWLOE","City of Westminster"
7458,3,51.50369,-0.111,910,"    910GWLOE","City of Westminster"
7697,5,51.48768,-0.11126,490,"490G00014773","City of Westminster"
8262,5,51.49063,-0.13875,490,"490G00003837","City of Westminster"
8308,5,51.49482,-0.12622,490,"490G00009881","City of Westminster"
9032,4,51.4891,-0.13376,490," 940GZZLUPCO","City of Westminster"
9032,5,51.4891,-0.13376,490," 940GZZLUPCO","City of Westminster"
9032,3,51.4891,-0.13376,490," 940GZZLUPCO","City of Westminster"
9778,5,51.49006,-0.11464,490,"490G00016270","City of Westminster"
9779,5,51.49132,-0.11781,490,"490G00016271","City of Westminster"
10380,5,51.49562,-0.12924,490,"490G00008374","City of Westminster"
12506,5,51.49539,-0.08367,490,"490G00019012","City of Westminster"
13844,5,51.50065,-0.07479,490,"490G00013154","City of Westminster"
18521,5,51.49733,-0.13702,490,"490G00003384","City of Westminster"
18585,5,51.49419,-0.08866,490,"490G00003658","City of Westminster"
19072,5,51.49543,-0.12523,490,"490G00006007","City of Westminster"
19261,5,51.49491,-0.13055,490,"490G00009694","City of Westminster"
19264,5,51.5027,-0.09708,490,"490G00009693","City of Westminster"
20083,5,51.49874,-0.10476,490,"490G00012693","City of Westminster"
20110,5,51.5063,-0.10446,490,"490G00012526","City of Westminster"
21491,5,51.49876,-0.11714,490,"490G00012954","City of Westminster"
21507,5,51.48773,-0.09636,490,"490G00014180","City of Westminster"
22405,5,51.5012,-0.09336,490," 940GZZLUBOR","City of Westminster"
22405,3,51.5012,-0.09336,490," 940GZZLUBOR","City of Westminster"
22886,5,51.49625,-0.13358,490,"490G00012941","City of Westminster"
25313,5,51.4848,-0.0998,490,"490G00006457","City of Westminster"
25717,5,51.50863,-0.09635,930,"     930GSWK","City of Westminster"
25717,1,51.50863,-0.09635,930,"     930GSWK","City of Westminster"
25731,5,51.49281,-0.1381,490,"490G00011617","City of Westminster"
26152,5,51.49399,-0.12905,490,"490G00010723","City of Westminster"
26178,5,51.48322,-0.11617,490,"490G00003359","City of Westminster"
26627,5,51.49672,-0.08182,490,"490G00007362","City of Westminster"
27006,5,51.50083,-0.0988,490,"490G00007416","City of Westminster"
27197,5,51.50155,-0.12342,930,"     930GWMR","City of Westminster"
27197,3,51.50155,-0.12342,930,"     930GWMR","City of Westminster"
27197,1,51.50155,-0.12342,930,"     930GWMR","City of Westminster"
27371,5,51.4908,-0.10597,490,"490G00011521","City of Westminster"
29817,5,51.49351,-0.08458,490,"490G00004315","City of Westminster"
30260,5,51.4826,-0.12734,490,"490G00005678","City of Westminster"
30363,2,51.49403,-0.09872,490," 910GELPHNAC","City of Westminster"
30363,5,51.49403,-0.09872,490," 910GELPHNAC","City of Westminster"
30363,3,51.49403,-0.09872,490," 910GELPHNAC","City of Westminster"
30363,4,51.49403,-0.09872,490," 910GELPHNAC","City of Westminster"
31364,5,51.48501,-0.10935,490,"490G00008656","City of Westminster"
32179,5,51.49041,-0.10387,490,"490G00010925","City of Westminster"
33376,5,51.48768,-0.09544,490,"490G00006380","City of Westminster"
33435,5,51.50837,-0.07174,490,"490G00014944","City of Westminster"
35082,2,51.50502,-0.08609,490," 910GLNDNBDC","City of Westminster"
35082,5,51.50502,-0.08609,490," 910GLNDNBDC","City of Westminster"
35082,3,51.50502,-0.08609,490," 910GLNDNBDC","City of Westminster"
35082,1,51.50502,-0.08609,490," 910GLNDNBDC","City of Westminster"
35831,5,51.50197,-0.07688,490,"490G00013745","City of Westminster"
35832,5,51.50356,-0.07662,490,"490G00013744","City of Westminster"
35834,5,51.50228,-0.07865,490,"490G00013746","City of Westminster"
35957,5,51.49873,-0.09106,490,"490G00013809","City of Westminster"
36628,5,51.48689,-0.11443,490,"490G00009375","City of Westminster"
37760,5,51.49524,-0.11664,490,"490G00011169","City of Westminster"
38063,5,51.49313,-0.12142,490,"490G00008916","City of Westminster"
