"node","layer","lat","lon","zone","atcocode","city"
3897,5,51.81105,1.15152,150,"150G00000458","Clacton-on-Sea"
3898,5,51.80791,1.15109,150,"150G00000459","Clacton-on-Sea"
3901,5,51.81595,1.16826,150,"150G00000452","Clacton-on-Sea"
3902,5,51.81501,1.17032,150,"150G00000453","Clacton-on-Sea"
3903,5,51.81026,1.16847,150,"150G00000450","Clacton-on-Sea"
3904,5,51.81643,1.1642,150,"150G00000451","Clacton-on-Sea"
3906,5,51.80522,1.16264,150,"150G00000455","Clacton-on-Sea"
4282,5,51.80185,1.13853,150,"150G00000126","Clacton-on-Sea"
4561,5,51.85909,1.11201,150,"150G00002656","Clacton-on-Sea"
5450,5,51.80083,1.08376,150,"150G00002939","Clacton-on-Sea"
5451,5,51.85525,1.05785,150,"150G00002938","Clacton-on-Sea"
5453,5,51.81097,1.02539,150,"150G00002933","Clacton-on-Sea"
5454,5,51.81033,1.03024,150,"150G00002932","Clacton-on-Sea"
5455,5,51.81087,1.03221,150,"150G00002931","Clacton-on-Sea"
5456,5,51.81392,1.03257,150,"150G00002930","Clacton-on-Sea"
5457,5,51.81718,1.02266,150,"150G00002937","Clacton-on-Sea"
5458,5,51.81438,1.02201,150,"150G00002936","Clacton-on-Sea"
5459,5,51.81288,1.01998,150,"150G00002935","Clacton-on-Sea"
5460,5,51.80949,1.02101,150,"150G00002934","Clacton-on-Sea"
7280,5,51.8554,1.16576,150,"150G00003485","Clacton-on-Sea"
8865,5,51.80609,1.14175,150,"150G00000526","Clacton-on-Sea"
8867,5,51.80662,1.12749,150,"150G00000524","Clacton-on-Sea"
8868,5,51.80726,1.12997,150,"150G00000525","Clacton-on-Sea"
8869,5,51.80082,1.12571,150,"150G00000522","Clacton-on-Sea"
8870,5,51.80052,1.13071,150,"150G00000523","Clacton-on-Sea"
8871,5,51.79437,1.13263,150,"150G00000520","Clacton-on-Sea"
8872,5,51.79284,1.13521,150,"150G00000521","Clacton-on-Sea"
9192,4,51.79401,1.15411,150," 910GCLACTON","Clacton-on-Sea"
9192,2,51.79401,1.15411,150," 910GCLACTON","Clacton-on-Sea"
9192,5,51.79401,1.15411,150," 910GCLACTON","Clacton-on-Sea"
9815,5,51.84265,1.12739,150,"150G00002652","Clacton-on-Sea"
9816,5,51.84406,1.12447,150,"150G00002653","Clacton-on-Sea"
9817,5,51.83669,1.13424,150,"150G00002650","Clacton-on-Sea"
9818,5,51.83957,1.13037,150,"150G00002651","Clacton-on-Sea"
9820,5,51.8588,1.11581,150,"150G00002657","Clacton-on-Sea"
9821,5,51.84587,1.12138,150,"150G00002654","Clacton-on-Sea"
9823,5,51.86065,1.09924,150,"150G00002659","Clacton-on-Sea"
11188,5,51.79809,1.06844,150,"150G00002942","Clacton-on-Sea"
11189,5,51.79387,1.0638,150,"150G00002943","Clacton-on-Sea"
11190,5,51.79947,1.07909,150,"150G00002940","Clacton-on-Sea"
11191,5,51.79871,1.07597,150,"150G00002941","Clacton-on-Sea"
11192,5,51.79446,1.05116,150,"150G00002946","Clacton-on-Sea"
11193,5,51.79386,1.0447,150,"150G00002947","Clacton-on-Sea"
11194,5,51.79331,1.05967,150,"150G00002944","Clacton-on-Sea"
11195,5,51.79355,1.05622,150,"150G00002945","Clacton-on-Sea"
11198,5,51.79376,1.03977,150,"150G00002948","Clacton-on-Sea"
11199,5,51.79373,1.03588,150,"150G00002949","Clacton-on-Sea"
11294,5,51.80392,1.12887,150,"150G00000490","Clacton-on-Sea"
11922,5,51.81324,1.17365,150,"150G00000448","Clacton-on-Sea"
13174,5,51.80477,1.15011,150,"150G00000481","Clacton-on-Sea"
13175,5,51.80215,1.15367,150,"150G00000483","Clacton-on-Sea"
13176,4,51.80383,1.15642,150,"150G00000482","Clacton-on-Sea"
13176,5,51.80383,1.15642,150,"150G00000482","Clacton-on-Sea"
13177,5,51.8046,1.1275,150,"150G00000485","Clacton-on-Sea"
13178,5,51.80708,1.13826,150,"150G00000487","Clacton-on-Sea"
13179,5,51.80667,1.13462,150,"150G00000486","Clacton-on-Sea"
13180,5,51.80431,1.13415,150,"150G00000489","Clacton-on-Sea"
13181,5,51.8044,1.14267,150,"150G00000488","Clacton-on-Sea"
14921,5,51.85979,1.15839,150,"150G00002720","Clacton-on-Sea"
15004,5,51.81335,1.1572,150,"150G00003189","Clacton-on-Sea"
15005,5,51.81648,1.15697,150,"150G00003188","Clacton-on-Sea"
15008,5,51.81675,1.16054,150,"150G00003187","Clacton-on-Sea"
15009,5,51.86318,1.09128,150,"150G00003186","Clacton-on-Sea"
15010,5,51.78261,1.12054,150,"150G00003181","Clacton-on-Sea"
15634,5,51.79944,1.15781,150,"150G00003222","Clacton-on-Sea"
15637,5,51.79526,1.12847,150,"150G00003227","Clacton-on-Sea"
