"node","layer","lat","lon","zone","atcocode","city"
745,5,52.49239,-0.70575,300," 300G106AAZ2","Corby"
2033,5,52.49013,-0.72289,300,"   300G106CS","Corby"
2371,5,52.51015,-0.82952,300,"     300G049","Corby"
3938,5,52.49949,-0.68973,300,"   300G106KA","Corby"
4671,5,52.50409,-0.66278,300,"    300G106Y","Corby"
4674,5,52.50328,-0.6662,300,"    300G106X","Corby"
4828,5,52.47249,-0.65479,300,"     300G364","Corby"
6864,5,52.49802,-0.67913,300,"  300G106CR1","Corby"
9274,5,52.50183,-0.67246,300,"    300G106W","Corby"
9275,5,52.49102,-0.67386,300,"    300G106V","Corby"
9276,5,52.48915,-0.67808,300,"    300G106U","Corby"
9279,5,52.49524,-0.6865,300,"    300G106P","Corby"
9280,5,52.49514,-0.68565,300,"    300G106O","Corby"
9281,5,52.49717,-0.68398,300,"    300G106N","Corby"
9282,5,52.5002,-0.68283,300,"    300G106M","Corby"
9283,5,52.49804,-0.68875,300,"    300G106J","Corby"
9284,5,52.49077,-0.69527,300,"    300G106D","Corby"
9285,5,52.4899,-0.69837,300,"    300G106C","Corby"
9286,5,52.48954,-0.70457,300,"    300G106B","Corby"
9287,4,52.48749,-0.70354,300,"    300G106A","Corby"
9287,5,52.48749,-0.70354,300,"    300G106A","Corby"
9585,5,52.50234,-0.71795,300,"   300G106NC","Corby"
9586,5,52.48624,-0.7197,300,"   300G106ND","Corby"
10688,5,52.48249,-0.81313,300,"    300G384A","Corby"
12412,5,52.50257,-0.75653,300,"     300G111","Corby"
12483,5,52.50253,-0.76041,300,"    300G111A","Corby"
12583,5,52.48242,-0.70903,300,"  300G106SUT","Corby"
14956,5,52.48179,-0.81288,300,"     300G384","Corby"
15351,5,52.50257,-0.69772,300,"   300G106AK","Corby"
15353,5,52.48534,-0.69476,300,"   300G106AI","Corby"
15354,5,52.50613,-0.68933,300,"   300G106AO","Corby"
15355,5,52.50501,-0.69508,300,"   300G106AN","Corby"
15356,5,52.50419,-0.69779,300,"   300G106AM","Corby"
15358,5,52.5009,-0.64759,300,"   300G106AB","Corby"
15359,5,52.50516,-0.65482,300,"   300G106AA","Corby"
15360,5,52.51292,-0.69398,300,"   300G106AZ","Corby"
15361,5,52.5076,-0.70062,300,"   300G106AY","Corby"
15362,5,52.50848,-0.69773,300,"   300G106AX","Corby"
15364,5,52.50594,-0.68618,300,"   300G106AP","Corby"
15365,5,52.50921,-0.69534,300,"   300G106AW","Corby"
15366,5,52.50943,-0.69374,300,"   300G106AV","Corby"
15367,5,52.50916,-0.69026,300,"   300G106AU","Corby"
15368,5,52.50892,-0.68623,300,"   300G106AT","Corby"
15479,5,52.48921,-0.68721,300,"   910GCORBY","Corby"
15479,2,52.48921,-0.68721,300,"   910GCORBY","Corby"
17448,5,52.48366,-0.71894,300,"   300G106TC","Corby"
18196,5,52.56422,-0.7106,268," 268GRUT0007","Corby"
18781,5,52.49334,-0.5659,300,"    300G388M","Corby"
21190,5,52.47486,-0.6998,300,"   300G106DR","Corby"
21198,5,52.47183,-0.71189,300,"   300G106DC","Corby"
22952,5,52.46406,-0.72757,300,"   300G106LR","Corby"
22953,5,52.46993,-0.71246,300,"   300G106LW","Corby"
22954,5,52.47113,-0.69881,300,"   300G106LN","Corby"
23268,5,52.52805,-0.7493,260," 260GCC09501","Corby"
23862,5,52.5007,-0.76491,300,"    300G111B","Corby"
24449,5,52.52918,-0.82302,260," 260GCC11701","Corby"
24451,5,52.52799,-0.82331,260," 260GCC11702","Corby"
25260,5,52.48638,-0.80329,300,"    300G398B","Corby"
25261,5,52.48673,-0.79841,300,"    300G398C","Corby"
25263,5,52.48328,-0.7035,300,"  300G106BRA","Corby"
25627,5,52.47193,-0.72293,300,"  300G106ACH","Corby"
25633,5,52.47904,-0.71264,300,"  300G106ACA","Corby"
25635,5,52.47856,-0.7076,300,"  300G106ACC","Corby"
25636,5,52.47757,-0.71227,300,"  300G106ACB","Corby"
25638,5,52.48172,-0.71839,300,"  300G106ACD","Corby"
25641,5,52.46944,-0.72873,300,"  300G106ACQ","Corby"
25642,5,52.46932,-0.73182,300,"  300G106ACP","Corby"
25644,5,52.46484,-0.73821,300,"  300G106ACU","Corby"
25645,5,52.46765,-0.7396,300,"  300G106ACT","Corby"
25788,5,52.4922,-0.77459,300,"     300G136","Corby"
28862,5,52.47536,-0.70811,300,"   300G106OR","Corby"
30896,5,52.47357,-0.69726,300,"   300G106RR","Corby"
30897,5,52.50892,-0.68178,300,"   300G106RS","Corby"
31495,5,52.47111,-0.65623,300,"    300G364C","Corby"
31501,5,52.48064,-0.70408,300,"  300G106TRI","Corby"
32799,5,52.4957,-0.6482,300,"    300G395Q","Corby"
32800,5,52.49322,-0.6285,300,"    300G395P","Corby"
32806,5,52.49523,-0.64031,300,"    300G395M","Corby"
32807,5,52.4983,-0.64952,300,"    300G395L","Corby"
32809,5,52.49559,-0.63666,300,"    300G395N","Corby"
33832,5,52.47224,-0.73,300,"  300G106ACK","Corby"
33841,5,52.47128,-0.72576,300,"  300G106ACJ","Corby"
34090,5,52.46852,-0.722,300,"  300G106ACS","Corby"
34347,5,52.47429,-0.65569,300,"    300G364A","Corby"
34358,5,52.47046,-0.65803,300,"    300G364D","Corby"
34460,5,52.48717,-0.71827,300,"   300G106BW","Corby"
34463,5,52.46978,-0.70291,300,"   300G106BR","Corby"
34464,5,52.48936,-0.7208,300,"   300G106BS","Corby"
34465,5,52.48836,-0.71871,300,"   300G106BP","Corby"
34470,5,52.47491,-0.704,300,"   300G106BN","Corby"
36641,5,52.48915,-0.67636,300,"   300G106U2","Corby"
37400,5,52.52146,-0.76095,260," 260GCC07302","Corby"
37402,5,52.52402,-0.75973,260," 260GCC07301","Corby"
37469,5,52.49364,-0.76919,300,"    300G136A","Corby"
37959,5,52.49549,-0.6436,300,"   300G395N2","Corby"
38967,5,52.50304,-0.69951,300,"  300G106AAC","Corby"
38968,5,52.51104,-0.70332,300,"  300G106AAB","Corby"
38969,5,52.50924,-0.70533,300,"  300G106AAA","Corby"
38971,5,52.50218,-0.70875,300,"  300G106AAF","Corby"
38972,5,52.50177,-0.70421,300,"  300G106AAE","Corby"
