"node","layer","lat","lon","zone","atcocode","city"
9566,2,52.39512,-1.59685,910,"   910GTILEH","Coventry"
9566,5,52.39512,-1.59685,910,"   910GTILEH","Coventry"
10441,5,52.40083,-1.51346,910," 910GCOVNTRY","Coventry"
10441,2,52.40083,-1.51346,910," 910GCOVNTRY","Coventry"
34035,5,52.39926,-1.54758,910,"  910GCANLEY","Coventry"
34035,2,52.39926,-1.54758,910,"  910GCANLEY","Coventry"
34360,4,52.37918,-1.56177,430,"900GNX001675","Coventry"
34360,5,52.37918,-1.56177,430,"900GNX001675","Coventry"
52278,5,52.38092,-1.46931,430," 43000056101","Coventry"
52279,5,52.38116,-1.46954,430," 43000056102","Coventry"
52559,5,52.41266,-1.54845,430," 43001053003","Coventry"
52560,5,52.41307,-1.54832,430," 43001053004","Coventry"
52804,5,52.38408,-1.46635,430," 43000055201","Coventry"
52979,5,52.38651,-1.54599,430," 43000029301","Coventry"
52980,5,52.38636,-1.54597,430," 43000029302","Coventry"
53085,5,52.41612,-1.53724,430," 43000081202","Coventry"
53086,5,52.41609,-1.53783,430," 43000081201","Coventry"
53111,5,52.42035,-1.48337,430," 43000030703","Coventry"
53112,5,52.42013,-1.48428,430," 43000030701","Coventry"
53132,5,52.40606,-1.47787,430," 43000041802","Coventry"
53816,5,52.4153,-1.45189,430," 43000035001","Coventry"
53818,5,52.39507,-1.46523,430," 43000044803","Coventry"
53819,5,52.39508,-1.46591,430," 43000044801","Coventry"
54193,5,52.38795,-1.53917,430," 43000061601","Coventry"
54194,5,52.38694,-1.5369,430," 43000061602","Coventry"
54296,5,52.41566,-1.57205,430," 43000073401","Coventry"
54315,5,52.41077,-1.56382,430," 43000179401","Coventry"
54711,5,52.41658,-1.64184,430," 43000101301","Coventry"
54842,5,52.38836,-1.57439,430," 43000065402","Coventry"
54843,5,52.3884,-1.57452,430," 43000065401","Coventry"
55031,5,52.40797,-1.51537,430," 43000003901","Coventry"
55317,5,52.44,-1.5086,430," 43000016001","Coventry"
55979,5,52.39288,-1.58901,430," 43000067402","Coventry"
56102,5,52.39322,-1.41958,430," 43009852501","Coventry"
56246,5,52.4196,-1.55096,430," 43000084102","Coventry"
56247,5,52.4197,-1.55175,430," 43000084101","Coventry"
56354,5,52.44969,-1.47443,430," 43001032102","Coventry"
56355,5,52.44917,-1.47268,430," 43001032101","Coventry"
56416,5,52.44599,-1.41727,420," 4200F002100","Coventry"
56417,5,52.44551,-1.41791,420," 4200F002101","Coventry"
56418,5,52.44589,-1.41755,420," 4200F002102","Coventry"
56449,5,52.40604,-1.45565,430," 43000043401","Coventry"
57371,5,52.39247,-1.45977,430," 43000008705","Coventry"
57439,5,52.38584,-1.47689,430," 43000053502","Coventry"
57524,5,52.40134,-1.58254,430," 43000180002","Coventry"
57612,5,52.39171,-1.55281,430," 43000062402","Coventry"
57613,5,52.39141,-1.55314,430," 43000062401","Coventry"
57758,5,52.42988,-1.44643,430," 43000038501","Coventry"
57909,5,52.38723,-1.53403,430," 43000061103","Coventry"
57959,5,52.39406,-1.52548,430," 43000060302","Coventry"
57960,5,52.39453,-1.52405,430," 43000060301","Coventry"
58095,5,52.44646,-1.51846,430," 43000015801","Coventry"
58620,5,52.45961,-1.53524,430," 43000014502","Coventry"
58621,5,52.45969,-1.53512,430," 43000014501","Coventry"
58653,5,52.45308,-1.48841,430," 43000024801","Coventry"
58913,5,52.42956,-1.49863,430," 43000022502","Coventry"
58914,5,52.4292,-1.49871,430," 43000022501","Coventry"
59225,5,52.41097,-1.51098,430," 43000004201","Coventry"
59226,5,52.41135,-1.51143,430," 43000004203","Coventry"
59309,5,52.38412,-1.46674,430," 43000055202","Coventry"
59721,5,52.39273,-1.58972,430," 43000067401","Coventry"
59760,5,52.41428,-1.50442,430," 43000005303","Coventry"
59883,5,52.37394,-1.55348,430," 43000119601","Coventry"
61204,5,52.41548,-1.49176,430," 43000030401","Coventry"
61212,5,52.41098,-1.47023,430," 43000041902","Coventry"
61323,5,52.40935,-1.49364,430," 43000040502","Coventry"
61324,5,52.40927,-1.49354,430," 43000040501","Coventry"
61666,5,52.43072,-1.48429,430," 43000025001","Coventry"
61853,5,52.4306,-1.46268,430," 43000034801","Coventry"
61862,5,52.44371,-1.49085,430," 43001060102","Coventry"
61863,5,52.44343,-1.49011,430," 43001060104","Coventry"
61865,5,52.44329,-1.49014,430," 43001060105","Coventry"
62259,5,52.42108,-1.49672,430," 43000021401","Coventry"
62312,5,52.37974,-1.53411,430," 43000061701","Coventry"
62402,5,52.41123,-1.57149,430," 43000073302","Coventry"
62403,5,52.41098,-1.57168,430," 43000073301","Coventry"
62426,5,52.40908,-1.56648,430," 43000179501","Coventry"
62482,5,52.39506,-1.47111,430," 43000042401","Coventry"
62483,5,52.45736,-1.55462,420," 4200F124110","Coventry"
62485,5,52.46418,-1.57136,420," 4200F124112","Coventry"
62486,5,52.46442,-1.57245,420," 4200F124113","Coventry"
62603,5,52.41815,-1.59129,430," 43001549402","Coventry"
62604,5,52.41822,-1.59123,430," 43001549401","Coventry"
62806,5,52.42225,-1.64168,430," 43000101201","Coventry"
62807,5,52.4223,-1.64191,430," 43000101202","Coventry"
62872,5,52.38787,-1.57892,430," 43000065501","Coventry"
63177,5,52.41422,-1.53212,430," 43000081102","Coventry"
63290,5,52.44253,-1.50901,430," 43000016101","Coventry"
63291,5,52.44278,-1.50929,430," 43000016102","Coventry"
63386,5,52.45687,-1.52485,430," 43009201301","Coventry"
63387,5,52.45688,-1.5246,430," 43009201302","Coventry"
63576,5,52.42841,-1.48885,430," 43000023302","Coventry"
64233,5,52.41608,-1.57458,430," 43001073401","Coventry"
64266,5,52.42739,-1.52901,430," 43000084001","Coventry"
64416,5,52.45362,-1.46261,430," 43001032002","Coventry"
