"node","layer","lat","lon","zone","atcocode","city"
221,4,53.06879,-2.52011,60,"   060GCR195","Crewe"
221,5,53.06879,-2.52011,60,"   060GCR195","Crewe"
222,4,53.09841,-2.44361,60,"   060GCR194","Crewe"
222,5,53.09841,-2.44361,60,"   060GCR194","Crewe"
223,5,53.09618,-2.48371,60,"   060GCR197","Crewe"
224,5,53.10442,-2.4616,60,"   060GCR196","Crewe"
227,5,53.15005,-2.43206,60,"   060GCR193","Crewe"
228,5,53.14661,-2.43694,60,"   060GCR192","Crewe"
1510,5,53.08574,-2.35354,60,"    060GCR82","Crewe"
1511,5,53.08904,-2.38939,60,"    060GCR83","Crewe"
1512,5,53.11809,-2.44462,60,"    060GCR80","Crewe"
1513,5,53.0846,-2.37916,60,"    060GCR81","Crewe"
1514,5,53.08118,-2.55458,60,"    060GCR86","Crewe"
1515,5,53.10777,-2.5787,60,"    060GCR87","Crewe"
1516,5,53.08527,-2.34592,60,"    060GCR84","Crewe"
1517,5,53.09119,-2.47246,60,"    060GCR85","Crewe"
1519,5,53.07416,-2.55044,60,"    060GCR88","Crewe"
1520,5,53.07815,-2.55239,60,"    060GCR89","Crewe"
1732,5,53.09959,-2.47154,60,"   060GCR165","Crewe"
1743,5,53.10138,-2.46885,60,"   060GCR169","Crewe"
3377,5,53.10251,-2.31808,60,"    060GCO50","Crewe"
3381,5,53.15399,-2.34535,60,"    060GCO54","Crewe"
3382,5,53.14899,-2.3612,60,"    060GCO55","Crewe"
3383,5,53.09563,-2.31252,60,"    060GCO56","Crewe"
3384,5,53.09336,-2.32249,60,"    060GCO57","Crewe"
3385,5,53.09581,-2.30782,60,"    060GCO58","Crewe"
3386,5,53.09052,-2.3284,60,"    060GCO59","Crewe"
3821,5,53.05974,-2.47382,60,"   060GCR222","Crewe"
3824,5,53.0463,-2.45833,60,"   060GCR227","Crewe"
3825,5,53.04602,-2.45538,60,"   060GCR226","Crewe"
3826,5,53.04451,-2.44883,60,"   060GCR225","Crewe"
3829,5,53.08035,-2.47616,60,"   060GCR229","Crewe"
3830,5,53.08012,-2.47707,60,"   060GCR228","Crewe"
4051,5,53.0634,-2.49809,60,"   060GCR148","Crewe"
4052,5,53.11277,-2.44515,60,"   060GCR149","Crewe"
4055,5,53.08739,-2.44577,60,"   060GCR142","Crewe"
4058,5,53.08424,-2.4549,60,"   060GCR141","Crewe"
4059,5,53.11632,-2.46878,60,"   060GCR146","Crewe"
4061,5,53.11035,-2.58304,60,"   060GCR145","Crewe"
5264,5,53.1037,-2.57505,60,"     060GCR2","Crewe"
5265,5,53.11079,-2.44142,60,"     060GCR5","Crewe"
5266,5,53.10533,-2.46767,60,"     060GCR4","Crewe"
5267,5,53.08117,-2.44175,60,"     060GCR7","Crewe"
5268,5,53.08224,-2.4361,60,"     060GCR6","Crewe"
5269,5,53.11399,-2.44404,60,"     060GCR9","Crewe"
5270,5,53.08039,-2.44429,60,"     060GCR8","Crewe"
5402,5,53.07052,-2.45877,60,"    060GCR51","Crewe"
5403,5,53.08742,-2.46715,60,"    060GCR52","Crewe"
5405,5,53.05829,-2.45473,60,"    060GCR57","Crewe"
5406,5,53.06744,-2.44225,60,"    060GCR56","Crewe"
5407,5,53.09392,-2.44863,60,"    060GCR59","Crewe"
6018,5,53.07101,-2.4846,60,"   060GCR271","Crewe"
6022,5,53.09132,-2.4895,60,"   060GCR272","Crewe"
6023,5,53.12076,-2.44406,60,"   060GCR273","Crewe"
6247,5,53.07104,-2.48688,60,"   060GCR306","Crewe"
6248,5,53.11021,-2.46526,60,"   060GCR307","Crewe"
6249,5,53.05386,-2.43253,60,"   060GCR300","Crewe"
6250,5,53.05426,-2.42824,60,"   060GCR302","Crewe"
6683,5,53.09577,-2.30416,60,"   060GCO116","Crewe"
6685,5,53.09619,-2.30397,60,"   060GCO115","Crewe"
7000,5,53.08466,-2.43945,60,"   060GCR128","Crewe"
7398,2,53.08964,-2.43298,910,"   910GCREWE","Crewe"
7398,5,53.08964,-2.43298,910,"   910GCREWE","Crewe"
8569,2,53.06323,-2.51925,910," 910GNANTWCH","Crewe"
8569,5,53.06323,-2.51925,910," 910GNANTWCH","Crewe"
9017,5,53.15826,-2.40171,60,"    060GCO84","Crewe"
9018,5,53.16708,-2.41048,60,"    060GCO83","Crewe"
9019,5,53.16257,-2.4045,60,"    060GCO82","Crewe"
10981,5,53.1028,-2.31707,60,"     060GCO8","Crewe"
10990,5,53.1273,-2.31936,60,"     060GCO6","Crewe"
11130,5,53.07178,-2.51122,60,"    060GCR68","Crewe"
11131,5,53.11677,-2.46557,60,"    060GCR69","Crewe"
11132,5,53.09504,-2.45902,60,"    060GCR60","Crewe"
11133,5,53.08675,-2.37276,60,"    060GCR61","Crewe"
11134,5,53.08746,-2.36381,60,"    060GCR62","Crewe"
11135,5,53.07372,-2.46048,60,"    060GCR63","Crewe"
11136,5,53.07124,-2.51573,60,"    060GCR64","Crewe"
11137,5,53.06781,-2.52318,60,"    060GCR65","Crewe"
11138,5,53.07096,-2.50889,60,"    060GCR66","Crewe"
11139,5,53.07013,-2.50627,60,"    060GCR67","Crewe"
11579,5,53.1027,-2.46757,60,"   060GCR133","Crewe"
11580,5,53.09253,-2.43952,60,"   060GCR131","Crewe"
11581,5,53.08202,-2.50323,60,"   060GCR130","Crewe"
11585,5,53.10851,-2.46853,60,"   060GCR134","Crewe"
12034,5,53.09765,-2.45176,60,"   060GCR338","Crewe"
12036,5,53.09629,-2.4465,60,"   060GCR334","Crewe"
