"node","layer","lat","lon","zone","atcocode","city"
2187,2,53.52512,-3.05708,910,"    910GHITN","Crosby"
2187,5,53.52512,-3.05708,910,"    910GHITN","Crosby"
4829,2,53.55349,-3.07092,910,"  910GFORMBY","Crosby"
4829,5,53.55349,-3.07092,910,"  910GFORMBY","Crosby"
24175,5,53.47497,-3.02554,910,"    910GWLOO","Crosby"
24175,2,53.47497,-3.02554,910,"    910GWLOO","Crosby"
31744,2,53.4877,-3.03987,910," 910GBLNDLAC","Crosby"
31744,5,53.4877,-3.03987,910," 910GBLNDLAC","Crosby"
39813,2,53.4975,-3.04964,910,"  910GHALLRD","Crosby"
39813,5,53.4975,-3.04964,910,"  910GHALLRD","Crosby"
51804,5,53.49593,-3.05285,280," 2800S54077A","Crosby"
52668,5,53.55511,-3.05308,280," 2800S64044A","Crosby"
53386,5,53.48435,-3.03034,280," 2800S54060A","Crosby"
54457,5,53.55635,-3.06101,280," 2800S64026A","Crosby"
54458,5,53.55641,-3.06112,280," 2800S64026B","Crosby"
54993,5,53.47927,-3.03493,280," 2800S54014A","Crosby"
54994,5,53.47945,-3.03545,280," 2800S54014B","Crosby"
56113,5,53.5511,-3.08587,280," 2800S64031A","Crosby"
58171,5,53.49535,-3.01269,280," 2800S54036A","Crosby"
59042,5,53.49046,-3.05359,280," 2800S54048A","Crosby"
59777,5,53.49084,-3.02511,280," 2800S54041B","Crosby"
59778,5,53.49065,-3.02475,280," 2800S54041A","Crosby"
60824,5,53.47729,-3.02317,280," 2800S47058C","Crosby"
62333,5,53.55753,-3.05545,280," 2800S64045B","Crosby"
62334,5,53.5576,-3.05549,280," 2800S64045A","Crosby"
63276,5,53.48395,-3.03,280," 2800S54060B","Crosby"
64147,5,53.55475,-3.06142,280," 2800S64027A","Crosby"
64630,5,53.48058,-3.03707,280," 2800S54015B","Crosby"
64631,5,53.48041,-3.03654,280," 2800S54015A","Crosby"
64730,5,53.55631,-3.06341,280," 2800S64075A","Crosby"
65528,5,53.55309,-3.07886,280," 2800S64067A","Crosby"
65761,5,53.55285,-3.08501,280," 2800S64030A","Crosby"
66804,5,53.5526,-3.04751,280," 2800S64042A","Crosby"
67857,5,53.49441,-3.01519,280," 2800S54037A","Crosby"
69403,5,53.48901,-3.02309,280," 2800S54040A","Crosby"
69404,5,53.48838,-3.02373,280," 2800S54040C","Crosby"
69405,5,53.48909,-3.02409,280," 2800S54040B","Crosby"
72098,5,53.54594,-3.05411,280," 2800S64011A","Crosby"
73339,5,53.55896,-3.06115,280," 2800S64059B","Crosby"
73341,5,53.55814,-3.06035,280," 2800S64059A","Crosby"
74549,5,53.4955,-2.99797,280," 2800S53038A","Crosby"
74550,5,53.49563,-2.99793,280," 2800S53038B","Crosby"
79112,5,53.50562,-3.00661,280," 2800S54043A","Crosby"
79113,5,53.50569,-3.00697,280," 2800S54043B","Crosby"
81606,5,53.55305,-3.08227,280," 2800S64029A","Crosby"
81688,5,53.47959,-3.02335,280," 2800S54001A","Crosby"
81819,5,53.52349,-3.06017,280," 2800S65003A","Crosby"
83071,5,53.56102,-3.06232,280," 2800S64058B","Crosby"
83296,5,53.55123,-3.06536,280," 2800S64021A","Crosby"
87030,5,53.48992,-2.99299,280," 2800S47184A","Crosby"
87799,5,53.54997,-3.01789,250,"    25001591","Crosby"
88852,5,53.50194,-3.00375,280," 2800S54042B","Crosby"
91146,5,53.5609,-3.05057,280," 2800S64048A","Crosby"
91147,5,53.56089,-3.05089,280," 2800S64048B","Crosby"
92900,5,53.551,-3.06092,280," 2800S64022A","Crosby"
93319,5,53.55743,-2.97479,250,"   250011891","Crosby"
93470,5,53.52202,-3.0579,280," 2800S65009B","Crosby"
93474,5,53.48755,-3.0323,280," 2800S54018E","Crosby"
93475,5,53.48727,-3.03282,280," 2800S54018A","Crosby"
93476,5,53.4871,-3.03482,280," 2800S54018B","Crosby"
93477,5,53.48691,-3.03365,280," 2800S54018C","Crosby"
100864,5,53.56102,-3.04844,280," 2800S64049B","Crosby"
100865,5,53.56116,-3.0486,280," 2800S64049A","Crosby"
102626,5,53.55084,-3.05716,280," 2800S64023A","Crosby"
107688,5,53.52969,-3.05349,280," 2800S65002A","Crosby"
107860,5,53.49323,-3.0258,280," 2800S54092A","Crosby"
108175,5,53.4849,-3.04122,280," 2800S54044A","Crosby"
111860,5,53.49748,-3.00082,280," 2800S54032A","Crosby"
111868,5,53.49763,-3.00135,280," 2800S54032B","Crosby"
113238,5,53.55208,-3.05672,280," 2800S64008A","Crosby"
113239,5,53.55199,-3.05648,280," 2800S64008B","Crosby"
114008,5,53.49478,-3.01039,280," 2800S54029A","Crosby"
115701,5,53.50362,-3.02634,280," 2800S54058A","Crosby"
115702,5,53.50341,-3.02606,280," 2800S54058B","Crosby"
116894,5,53.49372,-2.98536,280," 2800S53012A","Crosby"
116895,5,53.49412,-2.98513,280," 2800S53012C","Crosby"
116896,5,53.4932,-2.98605,280," 2800S53012B","Crosby"
117729,5,53.48908,-3.04598,280," 2800S54046A","Crosby"
118058,5,53.48906,-3.04809,280," 2800S54047B","Crosby"
122867,5,53.54926,-3.05483,280," 2800S64009B","Crosby"
122868,5,53.54929,-3.05502,280," 2800S64009A","Crosby"
123593,5,53.49201,-3.0069,280," 2800S54028B","Crosby"
123594,5,53.4924,-3.00754,280," 2800S54028A","Crosby"
125419,5,53.50663,-3.02941,280," 2800S54059B","Crosby"
125420,5,53.50671,-3.0296,280," 2800S54059A","Crosby"
130469,5,53.55605,-3.07632,280," 2800S64017A","Crosby"
130470,5,53.55638,-3.0759,280," 2800S64017B","Crosby"
131811,5,53.49416,-3.01862,280," 2800S54038B","Crosby"
131813,5,53.494,-3.01924,280," 2800S54038A","Crosby"
