"node","layer","lat","lon","zone","atcocode","city"
173,5,51.38606,-0.09705,490,"490G00013376","Croydon"
175,5,51.39555,-0.06815,490,"490G00013371","Croydon"
180,5,51.40203,-0.07097,490,"490G00013379","Croydon"
336,2,51.39878,-0.1003,490,"    910GTHTH","Croydon"
336,5,51.39878,-0.1003,490,"    910GTHTH","Croydon"
993,5,51.41369,-0.11383,490,"490G00010300","Croydon"
2008,5,51.37669,-0.12768,490,"490G00009680","Croydon"
2131,5,51.38256,-0.09761,490,"490G00015451","Croydon"
2188,5,51.38308,-0.0663,490,"490G00012100","Croydon"
3100,5,51.40394,-0.11947,490,"490G00006414","Croydon"
4073,5,51.39955,-0.12116,490,"490G00007277","Croydon"
4480,2,51.39702,-0.07522,490,"  910GNORWDJ","Croydon"
4480,5,51.39702,-0.07522,490,"  910GNORWDJ","Croydon"
5296,5,51.38949,-0.11193,490,"490G00009732","Croydon"
5544,5,51.39745,-0.11583,490,"490G00008939","Croydon"
5649,5,51.3821,-0.12357,490," 940GZZCRAMP","Croydon"
5649,3,51.3821,-0.12357,490," 940GZZCRAMP","Croydon"
7670,5,51.38309,-0.11665,490,"490G00011239","Croydon"
7695,5,51.38597,-0.09924,490,"490G00014771","Croydon"
7759,5,51.40202,-0.10638,490,"490G00015424","Croydon"
7883,5,51.37931,-0.08165,490,"490G00003102","Croydon"
7889,5,51.38181,-0.06976,490,"490G00003103","Croydon"
8346,5,51.38848,-0.12854,490,"490G00013519","Croydon"
8446,5,51.38183,-0.12975,490,"490G00003703","Croydon"
10202,5,51.3752,-0.085,490," 940GZZCRLEB","Croydon"
10202,3,51.3752,-0.085,490," 940GZZCRLEB","Croydon"
10286,5,51.37357,-0.13171,490,"490G00003777","Croydon"
10306,5,51.42186,-0.10612,490,"490G00005839","Croydon"
11950,5,51.4009,-0.11808,490,"490G00007099","Croydon"
12751,5,51.39497,-0.11008,490,"490G00004342","Croydon"
13008,5,51.42315,-0.11015,490,"490G00011837","Croydon"
13231,5,51.40808,-0.08086,490,"490G00005914","Croydon"
13265,5,51.37981,-0.07324,490," 940GZZCRADD","Croydon"
13265,3,51.37981,-0.07324,490," 940GZZCRADD","Croydon"
13628,5,51.40928,-0.10661,490,"490G00007474","Croydon"
13695,5,51.38902,-0.12099,490,"490G00010872","Croydon"
14892,5,51.38423,-0.07603,490,"490G00010422","Croydon"
16766,2,51.39193,-0.0883,490," 910GSELHRST","Croydon"
16766,5,51.39193,-0.0883,490," 910GSELHRST","Croydon"
17095,5,51.40774,-0.11483,490,"490G00006240","Croydon"
17875,5,51.38269,-0.06431,490,"490G00003421","Croydon"
17995,5,51.41886,-0.10429,490,"490G00003992","Croydon"
18763,5,51.40193,-0.08372,490,"490G00014621","Croydon"
18954,5,51.38207,-0.08247,490,"490G00007305","Croydon"
20019,5,51.42003,-0.08837,490,"490G00015346","Croydon"
20459,5,51.38375,-0.09861,490,"490G00008271","Croydon"
20464,5,51.38476,-0.07056,490," 940GZZCRBLA","Croydon"
20464,3,51.38476,-0.07056,490," 940GZZCRBLA","Croydon"
20621,5,51.39277,-0.06668,490,"490G00012321","Croydon"
21420,5,51.41429,-0.09153,490,"490G00006488","Croydon"
22483,5,51.40575,-0.10372,490,"490G00010790","Croydon"
22506,5,51.38923,-0.07921,490,"490G00013760","Croydon"
23426,5,51.3817,-0.0883,490,"490G00003214","Croydon"
23673,5,51.38467,-0.06409,490,"490G00003419","Croydon"
23759,5,51.41231,-0.08831,490,"490G00013929","Croydon"
23821,5,51.39216,-0.07578,490,"490G00013071","Croydon"
23827,5,51.39893,-0.1283,490,"490G00015020","Croydon"
24040,5,51.37708,-0.11801,490," 940GZZCRWAD","Croydon"
24040,3,51.37708,-0.11801,490," 940GZZCRWAD","Croydon"
24044,5,51.3734,-0.11328,940," 940GZZCRWAN","Croydon"
24044,3,51.3734,-0.11328,940," 940GZZCRWAN","Croydon"
24907,5,51.38778,-0.09561,490,"490G00010343","Croydon"
25287,5,51.39981,-0.08571,490,"490G00010818","Croydon"
25380,2,51.37545,-0.09278,490," 910GECROYDN","Croydon"
25380,5,51.37545,-0.09278,490," 910GECROYDN","Croydon"
25380,3,51.37545,-0.09278,490," 910GECROYDN","Croydon"
25495,5,51.4208,-0.09323,490,"490G00005876","Croydon"
26360,5,51.41067,-0.07725,490,"490G00013138","Croydon"
26361,5,51.41388,-0.0839,490,"490G00013136","Croydon"
26366,5,51.42372,-0.09767,490,"490G00010449","Croydon"
26904,5,51.38606,-0.10099,490,"490G00014760","Croydon"
27645,5,51.41665,-0.0974,490,"490G00015337","Croydon"
27652,5,51.42169,-0.09125,490,"490G00015338","Croydon"
27694,5,51.40193,-0.07868,490,"490G00006512","Croydon"
28272,5,51.40423,-0.10951,490,"490G00004232","Croydon"
28722,5,51.39286,-0.11396,490,"490G00013632","Croydon"
29077,5,51.38738,-0.12587,490,"490G00004230","Croydon"
29163,5,51.38824,-0.09319,490,"490G00003706","Croydon"
29269,5,51.3873,-0.08186,490,"490G00004247","Croydon"
29271,5,51.37843,-0.10258,490," 910GWCROYDN","Croydon"
29271,2,51.37843,-0.10258,490," 910GWCROYDN","Croydon"
29271,3,51.37843,-0.10258,490," 910GWCROYDN","Croydon"
29450,5,51.38071,-0.08859,490,"490G00010035","Croydon"
29665,5,51.3812,-0.1135,490,"490G00013002","Croydon"
30911,5,51.40418,-0.08129,490,"490G00008410","Croydon"
31596,5,51.41788,-0.09101,490,"490G00011622","Croydon"
31785,5,51.38512,-0.10961,490,"490G00004368","Croydon"
31786,5,51.3832,-0.10766,490,"490G00004367","Croydon"
32981,5,51.39018,-0.13255,490,"490G00009951","Croydon"
33134,5,51.40817,-0.09951,490,"490G00012400","Croydon"
33617,5,51.41153,-0.10938,490,"490G00008650","Croydon"
33742,5,51.3871,-0.06536,940," 940GZZCRWOD","Croydon"
33742,3,51.3871,-0.06536,940," 940GZZCRWOD","Croydon"
33772,5,51.37852,-0.05143,490,"490G00003326","Croydon"
33874,5,51.38691,-0.13427,490,"490G00018886","Croydon"
33875,5,51.38652,-0.13905,490,"490G00018885","Croydon"
33959,5,51.40805,-0.0862,490,"490G00007344","Croydon"
34004,5,51.38075,-0.05124,490,"490G00007968","Croydon"
34483,5,51.41064,-0.09427,490,"490G00005934","Croydon"
34637,5,51.39135,-0.10574,490,"490G00006712","Croydon"
34877,5,51.38069,-0.06297,490,"490G00004007","Croydon"
35284,5,51.37673,-0.0615,490,"490G00012099","Croydon"
35710,5,51.3953,-0.11484,490,"490G00005501","Croydon"
