"node","layer","lat","lon","zone","atcocode","city"
177,5,55.9721,-4.09282,616,"   616G15144","Cumbernauld"
391,5,55.98537,-3.92936,669," 669G3400038","Cumbernauld"
547,5,55.94005,-4.1456,611,"   611G09085","Cumbernauld"
723,5,55.95872,-3.94716,616,"   616G15056","Cumbernauld"
729,5,55.95714,-3.95019,616,"   616G15057","Cumbernauld"
757,5,55.98632,-3.92439,669," 669G3400006","Cumbernauld"
1162,5,55.99138,-3.94654,669," 669G3500013","Cumbernauld"
1286,5,55.94952,-3.9708,616,"   616G15038","Cumbernauld"
1287,5,55.95194,-3.97813,616,"   616G15034","Cumbernauld"
1289,5,55.95598,-3.96844,616,"   616G15036","Cumbernauld"
1867,5,55.91835,-4.07739,616,"   616G09282","Cumbernauld"
1868,5,55.91916,-4.07255,616,"   616G09283","Cumbernauld"
1869,5,55.9155,-4.09108,616,"   616G09280","Cumbernauld"
1875,5,55.93468,-4.13906,611,"   611G09109","Cumbernauld"
1878,5,55.93515,-4.1493,611,"   611G09104","Cumbernauld"
3722,5,55.95056,-4.07242,611,"   611G09181","Cumbernauld"
3723,5,55.95286,-4.08284,611,"   611G09186","Cumbernauld"
3724,5,55.95603,-4.08297,611,"   611G09187","Cumbernauld"
3726,5,55.95839,-4.08426,611,"   611G09188","Cumbernauld"
3772,4,55.94677,-3.99035,616,"   616G15170","Cumbernauld"
3772,5,55.94677,-3.99035,616,"   616G15170","Cumbernauld"
4363,5,55.9819,-4.05739,616,"   616G24797","Cumbernauld"
4745,5,55.98308,-4.06464,616,"   616G24749","Cumbernauld"
5101,5,55.92806,-4.05707,616,"   616G15081","Cumbernauld"
5102,5,55.93447,-4.03975,616,"   616G15080","Cumbernauld"
5103,5,55.94804,-4.03194,616,"   616G15082","Cumbernauld"
5104,5,55.93014,-4.04825,616,"   616G15085","Cumbernauld"
5105,5,55.92966,-4.05318,616,"   616G15084","Cumbernauld"
5417,5,55.94624,-4.12604,611,"   611G09173","Cumbernauld"
5419,5,55.94449,-4.12732,611,"   611G09172","Cumbernauld"
5424,5,55.93572,-4.13699,611,"   611G09453","Cumbernauld"
5898,5,55.92089,-4.0543,616,"   616G09285","Cumbernauld"
6196,5,55.94552,-4.04384,616,"   616G15236","Cumbernauld"
6197,5,55.94422,-4.04622,616,"   616G15237","Cumbernauld"
6885,5,55.93702,-4.02568,616,"   616G15006","Cumbernauld"
6886,5,55.9345,-4.01533,616,"   616G15009","Cumbernauld"
7486,5,55.95265,-3.96697,616,"   616G15037","Cumbernauld"
8753,5,55.9412,-4.14687,611,"   611G09084","Cumbernauld"
9407,5,55.94341,-4.13105,611,"   611G09171","Cumbernauld"
9408,5,55.94727,-4.12071,611,"   611G09176","Cumbernauld"
9409,5,55.94701,-4.12329,611,"   611G09175","Cumbernauld"
9463,5,55.97921,-4.04874,616,"   616G15123","Cumbernauld"
9465,5,55.97865,-4.06916,616,"   616G15126","Cumbernauld"
9466,5,55.98029,-4.07342,616,"   616G15127","Cumbernauld"
9467,5,55.97725,-4.06872,616,"   616G15125","Cumbernauld"
9468,5,55.98127,-4.07339,616,"   616G15128","Cumbernauld"
9469,5,55.98187,-4.07426,616,"   616G15129","Cumbernauld"
10588,5,55.99098,-3.95564,669," 669G3500009","Cumbernauld"
11340,5,55.91722,-4.08397,616,"   616G09281","Cumbernauld"
12946,5,55.94157,-4.03284,616,"   616G15076","Cumbernauld"
12971,5,55.93634,-4.03506,616,"   616G15079","Cumbernauld"
14522,5,55.96045,-3.95577,616,"   616G15052","Cumbernauld"
14523,5,55.96307,-3.94956,616,"   616G15053","Cumbernauld"
14524,5,55.95258,-3.95593,616,"   616G15050","Cumbernauld"
14996,5,55.98098,-4.06863,616,"   616G15132","Cumbernauld"
15031,5,55.9912,-3.93727,669," 669G3570016","Cumbernauld"
15079,5,55.94497,-4.14344,611,"   611G09072","Cumbernauld"
15146,5,55.94585,-4.1411,611,"   611G09073","Cumbernauld"
16983,5,55.9756,-4.05236,616,"   616G15153","Cumbernauld"
18611,5,55.98967,-3.95535,669," 669G3510023","Cumbernauld"
19037,5,55.94675,-3.99938,616,"   616G15027","Cumbernauld"
19041,5,55.94513,-4.00018,616,"   616G15026","Cumbernauld"
19043,5,55.9486,-3.9821,616,"   616G15024","Cumbernauld"
19052,5,55.95109,-4.04173,616,"   616G24609","Cumbernauld"
19360,5,55.98705,-3.9208,669," 669G3400008","Cumbernauld"
19580,5,55.93237,-4.01642,616,"   616G15010","Cumbernauld"
19644,5,55.93067,-4.02117,616,"   616G15011","Cumbernauld"
