"node","layer","lat","lon","zone","atcocode","city"
347,5,51.54501,0.19581,490,"490G00003185","Dagenham"
396,5,51.53856,0.16044,490,"490G00012183","Dagenham"
691,5,51.55782,0.17594,490,"490G00013989","Dagenham"
995,5,51.54282,0.14912,490,"490G00018864","Dagenham"
2080,5,51.52285,0.18202,490,"490G00009600","Dagenham"
2092,5,51.56207,0.15658,490,"490G00005923","Dagenham"
3415,5,51.52133,0.16922,490,"490G00016500","Dagenham"
4509,5,51.54978,0.19865,490," 940GZZLUEPK","Dagenham"
4509,3,51.54978,0.19865,490," 940GZZLUEPK","Dagenham"
5485,5,51.51217,0.20539,490,"490G00006386","Dagenham"
5730,5,51.56371,0.16535,490,"490G00005381","Dagenham"
6796,5,51.50704,0.21295,490,"490G00007671","Dagenham"
8984,5,51.53153,0.14653,490,"490G00005090","Dagenham"
8990,5,51.52862,0.19022,490,"490G00005098","Dagenham"
10922,5,51.52044,0.20492,490,"490G00010254","Dagenham"
11815,5,51.52568,0.16834,490,"490G00012338","Dagenham"
12048,5,51.54273,0.15233,490,"490G00011501","Dagenham"
12740,5,51.53021,0.16027,490,"490G00016625","Dagenham"
12747,5,51.51989,0.20129,490,"490G00004341","Dagenham"
13377,5,51.55324,0.17294,490,"490G00013354","Dagenham"
14215,5,51.5276,0.15897,490,"490G00006906","Dagenham"
14217,5,51.53391,0.19216,490,"490G00006902","Dagenham"
14900,5,51.53979,0.15769,490,"490G00011770","Dagenham"
15325,5,51.53479,0.15895,490,"490G00011579","Dagenham"
15763,5,51.54384,0.1947,490,"490G00014872","Dagenham"
16377,5,51.53932,0.16589,490,"490G00003566","Dagenham"
16963,5,51.55235,0.16342,490,"490G00006324","Dagenham"
16966,5,51.55524,0.17415,490,"490G00006322","Dagenham"
16981,5,51.50171,0.1635,490,"490G00016255","Dagenham"
17005,5,51.53485,0.17873,490,"490G00013640","Dagenham"
18523,5,51.53557,0.14802,490,"490G00003388","Dagenham"
19111,5,51.54066,0.20255,490,"490G00013382","Dagenham"
19519,5,51.51673,0.19065,490,"  910GRNHAME","Dagenham"
19519,2,51.51673,0.19065,490,"  910GRNHAME","Dagenham"
20084,5,51.54754,0.21681,490,"490G00012695","Dagenham"
21870,5,51.52856,0.18885,490,"490G00011393","Dagenham"
22732,5,51.55221,0.20251,490,"490G00004307","Dagenham"
23419,5,51.53032,0.19075,490,"490G00003216","Dagenham"
23670,5,51.55477,0.15979,490,"490G00003410","Dagenham"
24224,5,51.54503,0.16039,490,"490G00018863","Dagenham"
25009,5,51.5386,0.20195,490,"490G00006156","Dagenham"
