"node","layer","lat","lon","zone","atcocode","city"
574,5,52.89585,-1.55653,100,"100G00021831","Derby"
1129,5,52.93497,-1.45388,109,"   109G52203","Derby"
1132,5,52.91134,-1.4892,109,"   109G51235","Derby"
1537,5,52.91351,-1.5083,109,"109G00011904","Derby"
1552,5,52.92621,-1.48696,109,"109G00011902","Derby"
1553,5,52.90365,-1.46204,109,"109G00011903","Derby"
1566,5,52.89368,-1.49522,109,"109G00015629","Derby"
1567,5,52.8903,-1.49724,109,"109G00015628","Derby"
1735,5,52.96894,-1.41432,100,"100G00013406","Derby"
1769,5,53.00002,-1.4587,100,"100GDH006032","Derby"
2072,5,52.86995,-1.4403,109,"109G00022250","Derby"
2195,5,52.90303,-1.4609,109,"109G00015180","Derby"
2197,5,52.89754,-1.45736,109,"109G00015182","Derby"
2198,5,52.90013,-1.45838,109,"109G00015183","Derby"
2199,5,52.89238,-1.45339,109,"109G00015184","Derby"
2200,5,52.8952,-1.45589,109,"109G00015185","Derby"
2201,5,52.88368,-1.44939,109,"109G00015186","Derby"
2202,5,52.88287,-1.4525,109,"109G00015187","Derby"
2203,5,52.87681,-1.44915,109,"109G00015188","Derby"
2204,5,52.87813,-1.45423,109,"109G00015189","Derby"
2282,5,52.91074,-1.55422,109,"109G00015458","Derby"
2283,5,52.91535,-1.55055,109,"109G00015459","Derby"
2284,5,52.9018,-1.53946,109,"109G00015456","Derby"
2285,5,52.90404,-1.54595,109,"109G00015454","Derby"
2286,5,52.91488,-1.54032,109,"109G00015452","Derby"
2287,5,52.90328,-1.54875,109,"109G00015453","Derby"
2288,5,52.91271,-1.53619,109,"109G00015450","Derby"
2289,5,52.9107,-1.53672,109,"109G00015451","Derby"
2295,5,52.99887,-1.45922,100,"100G00015681","Derby"
2343,5,52.93372,-1.45722,109,"109G00012249","Derby"
2464,5,52.92729,-1.53412,109,"109G00015442","Derby"
2466,5,52.91215,-1.53276,109,"109G00015444","Derby"
2527,5,52.95249,-1.58137,100,"100G00015691","Derby"
2597,5,52.90865,-1.43072,109,"109GDSWS1328","Derby"
2902,5,52.96869,-1.46043,100,"100GDLE01861","Derby"
3198,5,52.93957,-1.46787,109,"109G00014254","Derby"
3366,5,52.90719,-1.45325,109,"109G00015634","Derby"
