"node","layer","lat","lon","zone","atcocode","city"
511,5,53.69009,-1.58425,450,"    450G5750","Dewsbury"
527,5,53.69278,-1.58613,450,"    450G5754","Dewsbury"
626,5,53.65652,-1.66696,450,"    450G6232","Dewsbury"
628,5,53.65522,-1.67028,450,"    450G6236","Dewsbury"
630,5,53.65586,-1.66854,450,"    450G6234","Dewsbury"
738,5,53.69076,-1.58915,450,"    450G6075","Dewsbury"
816,5,53.67142,-1.69254,910," 910GMIRFILD","Dewsbury"
816,2,53.67142,-1.69254,910," 910GMIRFILD","Dewsbury"
816,4,53.67142,-1.69254,910," 910GMIRFILD","Dewsbury"
1358,5,53.67268,-1.63706,450,"    450G6008","Dewsbury"
1773,5,53.69292,-1.60915,450,"    450G5108","Dewsbury"
2234,5,53.67721,-1.57396,450,"    450G8140","Dewsbury"
2616,5,53.65892,-1.56831,450,"    450G5929","Dewsbury"
3058,5,53.69149,-1.61133,450,"    450G5109","Dewsbury"
3099,5,53.6954,-1.61157,450,"    450G5105","Dewsbury"
3193,5,53.6809,-1.63078,450,"    450G7116","Dewsbury"
3568,5,53.67767,-1.66788,450,"    450G4972","Dewsbury"
3569,5,53.67658,-1.67051,450,"    450G4970","Dewsbury"
3571,5,53.67975,-1.6601,450,"    450G4977","Dewsbury"
3572,5,53.67915,-1.66312,450,"    450G4974","Dewsbury"
3853,5,53.68424,-1.63225,450,"    450G6124","Dewsbury"
4132,5,53.68751,-1.5804,450,"    450G5749","Dewsbury"
4179,5,53.62999,-1.63987,450,"    450G7463","Dewsbury"
4221,5,53.68688,-1.61143,450,"    450G5904","Dewsbury"
4222,5,53.68732,-1.58452,450,"    450G5905","Dewsbury"
4223,5,53.68726,-1.60221,450,"    450G5900","Dewsbury"
4224,5,53.68988,-1.60338,450,"    450G5901","Dewsbury"
4225,5,53.69027,-1.60754,450,"    450G5902","Dewsbury"
4226,5,53.68845,-1.60874,450,"    450G5903","Dewsbury"
4708,5,53.68821,-1.61683,450,"    450G5737","Dewsbury"
5665,5,53.68503,-1.57637,450,"    450G5745","Dewsbury"
5793,5,53.68175,-1.63459,450,"    450G6013","Dewsbury"
5961,5,53.67085,-1.63571,450,"    450G5985","Dewsbury"
5963,5,53.6718,-1.62585,450,"    450G5980","Dewsbury"
6106,5,53.68603,-1.58873,450,"    450G5716","Dewsbury"
