"node","layer","lat","lon","zone","atcocode","city"
9458,2,52.46966,-2.09049,910," 910GCRADLYH","Dudley"
9458,5,52.46966,-2.09049,910," 910GCRADLYH","Dudley"
51844,5,52.47265,-2.08115,430," 43000900603","Dudley"
51845,5,52.47221,-2.0819,430," 43000900602","Dudley"
51846,5,52.47301,-2.08052,430," 43000900601","Dudley"
51966,5,52.49037,-2.03722,430," 43009390201","Dudley"
52410,5,52.4849,-2.0822,430," 43000888102","Dudley"
52411,5,52.48505,-2.0818,430," 43000888101","Dudley"
53060,5,52.50042,-2.15368,430," 43000848802","Dudley"
53064,5,52.50039,-2.15452,430," 43000848801","Dudley"
53279,5,52.49433,-2.04121,430," 43009640103","Dudley"
54274,5,52.49448,-2.06133,430," 43000914101","Dudley"
54275,5,52.49449,-2.06105,430," 43000914102","Dudley"
54575,5,52.5179,-2.17505,380," 3800C624701","Dudley"
54576,5,52.51958,-2.17545,380," 3800C624702","Dudley"
54655,5,52.49678,-2.03223,430," 43000922501","Dudley"
54712,5,52.49032,-2.09139,430," 43000885101","Dudley"
54713,5,52.49003,-2.09152,430," 43000885102","Dudley"
55270,5,52.50089,-2.12869,430," 43000849401","Dudley"
55271,5,52.50078,-2.128,430," 43000849402","Dudley"
56268,5,52.50886,-2.08141,430," 43008752001","Dudley"
57477,5,52.48784,-2.05,430," 43000913801","Dudley"
57942,5,52.48559,-2.06307,430," 43000908501","Dudley"
57943,5,52.4845,-2.06415,430," 43000908502","Dudley"
58490,5,52.49164,-2.08696,430," 43000884802","Dudley"
58491,5,52.49232,-2.08719,430," 43000884801","Dudley"
58881,5,52.51122,-2.09632,430," 43000873501","Dudley"
59825,5,52.47434,-2.07821,430," 43000900702","Dudley"
59826,5,52.47432,-2.07793,430," 43000900701","Dudley"
60351,5,52.48168,-2.04178,430," 43009160502","Dudley"
60450,5,52.4814,-2.08461,430," 43000888002","Dudley"
60999,5,52.47664,-2.07298,430," 43000905202","Dudley"
61523,5,52.52841,-2.14621,430," 43000853502","Dudley"
61870,5,52.4809,-2.04197,430," 43000910601","Dudley"
62253,5,52.51669,-2.08985,430," 43000869502","Dudley"
64924,5,52.52423,-2.1295,430," 43000855302","Dudley"
65911,5,52.50478,-2.15166,430," 43008440102","Dudley"
65912,5,52.50464,-2.15153,430," 43008440101","Dudley"
66142,5,52.51941,-2.13774,430," 43000856902","Dudley"
66427,5,52.50046,-2.15746,430," 43000844601","Dudley"
68365,5,52.48059,-2.08506,430," 43000888304","Dudley"
68366,5,52.48041,-2.08531,430," 43000888303","Dudley"
70447,5,52.50076,-2.13264,430," 43000849302","Dudley"
70944,5,52.50943,-2.08175,430," 43000875202","Dudley"
70945,5,52.50932,-2.08242,430," 43000875203","Dudley"
70946,5,52.50994,-2.08035,430," 43000875205","Dudley"
71325,5,52.502,-2.07572,430," 43000881302","Dudley"
71326,5,52.50154,-2.07609,430," 43000881301","Dudley"
71442,5,52.51083,-2.08783,430," 43000874304","Dudley"
71444,5,52.51069,-2.08755,430," 43000874302","Dudley"
71445,5,52.5107,-2.08769,430," 43000874303","Dudley"
71959,5,52.48452,-2.11444,430," 43008300602","Dudley"
71999,5,52.48804,-2.05168,430," 43000913401","Dudley"
72539,5,52.50578,-2.04377,430," 43000919102","Dudley"
72541,5,52.50551,-2.04413,430," 43000919101","Dudley"
72658,5,52.50222,-2.03829,430," 43000922001","Dudley"
73028,5,52.50034,-2.13339,430," 43008121503","Dudley"
73326,5,52.49134,-2.0581,430," 43000913602","Dudley"
73502,5,52.48866,-2.05605,430," 43000913302","Dudley"
73735,5,52.47982,-2.05647,430," 43000911302","Dudley"
74638,5,52.50369,-2.07263,430," 43008711003","Dudley"
75178,5,52.51288,-2.0842,430," 43000874501","Dudley"
76323,5,52.48113,-2.08134,430," 43000888201","Dudley"
76855,5,52.5178,-2.1092,430," 43000854002","Dudley"
78046,5,52.51688,-2.11871,430," 43000857301","Dudley"
