"node","layer","lat","lon","zone","atcocode","city"
87,5,56.47687,-2.92255,640,"    640GS268","Dundee"
163,5,56.4738,-2.99416,640,"  640GPT1112","Dundee"
205,5,56.47568,-2.96613,640,"  640GPT1800","Dundee"
278,5,56.4775,-2.96698,640,"  640GPT1806","Dundee"
324,5,56.4917,-2.98398,640,"  640GPT1060","Dundee"
709,5,56.47224,-2.9009,640,"  640GPT1464","Dundee"
821,5,56.51478,-2.85174,649,"    649G1866","Dundee"
852,5,56.43255,-2.95671,650,"   650GN0064","Dundee"
1030,5,56.49377,-3.01498,640,"  640GPT1459","Dundee"
1293,5,56.49481,-3.06084,649,"  649GIM1461","Dundee"
1433,5,56.46848,-2.93497,640,"  640GPT1614","Dundee"
1455,5,56.4722,-3.04959,640,"  640GPT1376","Dundee"
1556,5,56.47174,-3.04339,640,"    640GA111","Dundee"
1712,5,56.44598,-2.88055,650,"   650GN0090","Dundee"
1714,5,56.44367,-2.8829,650,"   650GN0092","Dundee"
1819,5,56.46748,-3.04583,640,"  640GPT1638","Dundee"
1839,5,56.47756,-3.00119,640,"  640GPT1315","Dundee"
1978,2,56.4801,-2.81824,910," 910GMONIFTH","Dundee"
1978,5,56.4801,-2.81824,910," 910GMONIFTH","Dundee"
2030,5,56.4808,-2.96564,640,"    640G1832","Dundee"
2104,5,56.46702,-2.94794,640,"  640GPT1795","Dundee"
2385,5,56.47206,-3.0296,640,"    640GS116","Dundee"
2450,5,56.4432,-2.93799,650,"   650GN9597","Dundee"
2485,5,56.4875,-2.93063,640,"  640GPT1887","Dundee"
2569,5,56.48679,-2.92087,640,"    640GS239","Dundee"
2797,5,56.46911,-2.92244,640,"  640GPT1181","Dundee"
3149,5,56.48403,-2.82375,649,"   649GIM835","Dundee"
3370,5,56.49119,-2.9726,640,"  640GPT1389","Dundee"
3396,5,56.47246,-2.87089,640,"  640GPT1384","Dundee"
3399,5,56.46638,-2.98141,640,"  640GPT1825","Dundee"
3471,5,56.45743,-2.99653,640,"    640GA114","Dundee"
3519,5,56.48914,-2.93616,640,"  640GPT1251","Dundee"
3546,5,56.4887,-2.93221,640,"  640GPT1252","Dundee"
3941,5,56.47165,-3.01594,640,"  640GPT1711","Dundee"
3942,5,56.4717,-3.01843,640,"  640GPT1712","Dundee"
3943,5,56.47178,-3.02529,640,"  640GPT1713","Dundee"
3944,5,56.472,-3.03524,640,"  640GPT1716","Dundee"
3952,5,56.45135,-3.07376,648,"  648G221658","Dundee"
4186,5,56.48027,-2.85929,640,"  640GPT1755","Dundee"
4313,5,56.47026,-2.91221,640,"    640GS303","Dundee"
4314,5,56.46944,-2.91838,640,"    640GS301","Dundee"
4322,5,56.47767,-3.01789,640,"  640GL00139","Dundee"
4343,5,56.48347,-3.08421,649,"  649GIM1269","Dundee"
4354,5,56.47378,-2.86626,640,"  640GPT1658","Dundee"
4508,5,56.50562,-3.01376,649,"  649GIM2210","Dundee"
4569,5,56.45968,-3.02247,640,"  640GPT1102","Dundee"
4572,5,56.46054,-3.00021,640,"  640GPT1107","Dundee"
4574,5,56.46474,-2.96251,640,"  640GPT1108","Dundee"
4990,5,56.45355,-2.99462,640,"  640GL00074","Dundee"
5045,5,56.47558,-3.0291,640,"  640GPT1122","Dundee"
5133,5,56.45646,-3.0574,910," 910GINVGWRE","Dundee"
5133,2,56.45646,-3.0574,910," 910GINVGWRE","Dundee"
5159,5,56.47098,-2.98109,640,"  640GPT1845","Dundee"
5228,5,56.49127,-2.97416,640,"  640GPT1802","Dundee"
5229,5,56.491,-2.97655,640,"  640GPT1803","Dundee"
5741,5,56.46878,-2.9798,640,"  640GPT1130","Dundee"
6061,5,56.4855,-3.08508,649,"   649GIM140","Dundee"
6634,5,56.47307,-2.8914,640,"  640GPT1467","Dundee"
6638,5,56.48469,-3.00606,640,"  640GPT1461","Dundee"
6707,5,56.47028,-3.03072,640,"  640GPT1740","Dundee"
