"node","layer","lat","lon","zone","atcocode","city"
3534,5,51.91061,-0.50105,21,"   021G13722","Dunstable"
4545,5,51.80502,-0.58156,210,"    210G8448","Dunstable"
5497,5,51.88571,-0.52061,21,"021GDUNSTCEN","Dunstable"
7358,5,51.80947,-0.57972,210,"    210G4073","Dunstable"
13467,5,51.9033,-0.4982,29,"    029G3556","Dunstable"
29579,5,51.8943,-0.47527,29,"    029G1202","Dunstable"
32723,5,51.96207,-0.49568,21,"    910GHRLG","Dunstable"
32723,2,51.96207,-0.49568,21,"    910GHRLG","Dunstable"
37674,5,51.80801,-0.54363,210,"    210G2104","Dunstable"
37676,5,51.81017,-0.5617,210,"    210G2102","Dunstable"
37677,5,51.8129,-0.56245,210,"    210G2101","Dunstable"
37678,5,51.81871,-0.57274,210,"    210G2100","Dunstable"
48384,5,51.84919,-0.47594,210,"    210G2048","Dunstable"
51725,5,51.90449,-0.48065,29,"    02903545","Dunstable"
51726,5,51.90432,-0.48014,29,"    02903544","Dunstable"
51727,5,51.9065,-0.48258,29,"    02903546","Dunstable"
51728,5,51.90168,-0.48463,29,"    02903541","Dunstable"
51729,5,51.90233,-0.48446,29,"    02903540","Dunstable"
51730,5,51.90273,-0.48154,29,"    02903543","Dunstable"
51731,5,51.90261,-0.48191,29,"    02903542","Dunstable"
51732,5,51.90651,-0.48582,29,"    02903549","Dunstable"
51733,5,51.90626,-0.48599,29,"    02903548","Dunstable"
57775,5,51.90534,-0.47096,29,"    02904522","Dunstable"
57776,5,51.90572,-0.47128,29,"    02904523","Dunstable"
59819,5,51.89135,-0.484,29,"    02903040","Dunstable"
59820,5,51.89151,-0.48446,29,"    02903041","Dunstable"
60017,5,51.93804,-0.47542,21,"   021015058","Dunstable"
60018,5,51.93793,-0.47512,21,"   021015057","Dunstable"
60019,5,51.94003,-0.47759,21,"   021015056","Dunstable"
60020,5,51.94022,-0.47734,21,"   021015055","Dunstable"
60021,5,51.93888,-0.48022,21,"   021015054","Dunstable"
60022,5,51.93857,-0.48051,21,"   021015053","Dunstable"
60023,5,51.93719,-0.48125,21,"   021015052","Dunstable"
60024,5,51.93679,-0.48083,21,"   021015051","Dunstable"
60025,5,51.9307,-0.47705,21,"   021015050","Dunstable"
61459,5,51.90444,-0.49242,29,"    02903552","Dunstable"
61460,5,51.90427,-0.49277,29,"    02903553","Dunstable"
61461,5,51.90537,-0.48863,29,"    02903550","Dunstable"
