"node","layer","lat","lon","zone","atcocode","city"
451,5,55.77367,-4.28053,612,"   612G03118","East Kilbride"
680,5,55.75651,-4.17207,615,"   615G10117","East Kilbride"
681,5,55.74538,-4.19819,615,"   615G10116","East Kilbride"
682,5,55.74795,-4.19293,615,"   615G10115","East Kilbride"
683,5,55.75018,-4.18295,615,"   615G10114","East Kilbride"
684,5,55.74918,-4.17726,615,"   615G10113","East Kilbride"
685,5,55.74916,-4.17023,615,"   615G10112","East Kilbride"
686,5,55.74999,-4.165,615,"   615G10111","East Kilbride"
687,5,55.75116,-4.16051,615,"   615G10110","East Kilbride"
692,5,55.75384,-4.175,615,"   615G10118","East Kilbride"
1708,5,55.75282,-4.18026,615,"   615G10119","East Kilbride"
2346,5,55.74217,-4.196,615,"   615G24585","East Kilbride"
3142,5,55.76041,-4.15952,615,"   615G10252","East Kilbride"
3145,5,55.74467,-4.20769,615,"   615G10256","East Kilbride"
3778,5,55.76677,-4.31624,612,"   612G03219","East Kilbride"
5624,5,55.77373,-4.15592,615,"   615G10060","East Kilbride"
6371,5,55.76445,-4.20213,615,"   615G10213","East Kilbride"
6926,5,55.78715,-4.10688,615,"   615G10688","East Kilbride"
7354,5,55.77146,-4.14101,615,"   615G10059","East Kilbride"
7609,5,55.74349,-4.19894,615,"   615G10388","East Kilbride"
7908,5,55.76964,-4.29279,612,"   612G24252","East Kilbride"
8101,5,55.74933,-4.22447,615,"   615G10140","East Kilbride"
8102,5,55.74675,-4.21802,615,"   615G10141","East Kilbride"
8103,5,55.74812,-4.21942,615,"   615G10142","East Kilbride"
8106,5,55.74385,-4.21225,615,"   615G10148","East Kilbride"
8411,5,55.73884,-4.21276,615,"   615G10467","East Kilbride"
8412,5,55.73814,-4.20924,615,"   615G10465","East Kilbride"
8857,5,55.75078,-4.1532,615,"   615G10267","East Kilbride"
9165,5,55.77131,-4.31902,612,"   612G03092","East Kilbride"
9852,5,55.73932,-4.27158,612,"   612G03128","East Kilbride"
10401,5,55.75673,-4.27971,612,"   612G03122","East Kilbride"
11443,5,55.78667,-4.23522,609,"   609G05765","East Kilbride"
12279,5,55.79097,-4.10822,615,"   615G10711","East Kilbride"
12658,5,55.74803,-4.21257,615,"   615G10145","East Kilbride"
12706,5,55.76196,-4.22,910," 910GHARMYRS","East Kilbride"
12706,2,55.76196,-4.22,910," 910GHARMYRS","East Kilbride"
13886,5,55.75491,-4.2287,615,"   615G10179","East Kilbride"
13888,5,55.75333,-4.16635,615,"   615G10177","East Kilbride"
13889,5,55.75209,-4.1601,615,"   615G10176","East Kilbride"
13890,5,55.75235,-4.20419,615,"   615G10171","East Kilbride"
14034,5,55.73941,-4.20381,615,"   615G10428","East Kilbride"
14188,5,55.74346,-4.27668,612,"   612G03125","East Kilbride"
14189,5,55.74103,-4.27396,612,"   612G03127","East Kilbride"
14510,5,55.75967,-4.22716,615,"   615G24136","East Kilbride"
17427,5,55.76325,-4.28128,612,"   612G03231","East Kilbride"
18448,5,55.76897,-4.30648,612,"   612G03165","East Kilbride"
19679,5,55.75392,-4.19076,615,"   615G10121","East Kilbride"
19680,5,55.75784,-4.20587,615,"   615G10126","East Kilbride"
19682,5,55.75764,-4.19701,615,"   615G10124","East Kilbride"
19683,4,55.75767,-4.20183,615,"   615G10125","East Kilbride"
19683,5,55.75767,-4.20183,615,"   615G10125","East Kilbride"
19842,5,55.7954,-4.10681,615,"   615G10971","East Kilbride"
22257,5,55.77676,-4.27891,612,"   612G03106","East Kilbride"
22265,5,55.78008,-4.2772,612,"   612G03105","East Kilbride"
22747,5,55.75851,-4.18868,615,"   615G10191","East Kilbride"
23817,5,55.75665,-4.15628,615,"   615G10470","East Kilbride"
24789,5,55.77552,-4.14117,615,"   615G10058","East Kilbride"
24791,5,55.77651,-4.14721,615,"   615G10056","East Kilbride"
24792,5,55.77645,-4.15109,615,"   615G10055","East Kilbride"
24793,5,55.77129,-4.15448,615,"   615G10052","East Kilbride"
24794,5,55.76907,-4.15577,615,"   615G10053","East Kilbride"
24795,4,55.77249,-4.15622,615,"   615G10051","East Kilbride"
24795,5,55.77249,-4.15622,615,"   615G10051","East Kilbride"
27281,5,55.7455,-4.18671,615,"   615G10153","East Kilbride"
27282,5,55.74826,-4.18753,615,"   615G10152","East Kilbride"
27283,5,55.74195,-4.19293,615,"   615G10151","East Kilbride"
27284,5,55.74322,-4.20307,615,"   615G10150","East Kilbride"
27285,5,55.74239,-4.17204,615,"   615G10157","East Kilbride"
27286,5,55.74392,-4.17599,615,"   615G10156","East Kilbride"
27287,5,55.74329,-4.18012,615,"   615G10155","East Kilbride"
27288,5,55.74414,-4.18376,615,"   615G10154","East Kilbride"
27289,5,55.74248,-4.16049,615,"   615G10159","East Kilbride"
27584,5,55.75546,-4.23674,615,"   615G10450","East Kilbride"
29073,5,55.77463,-4.16697,615,"   615G10027","East Kilbride"
29086,5,55.7683,-4.19476,615,"   615G10022","East Kilbride"
29921,5,55.76593,-4.20513,615,"   615G10214","East Kilbride"
29923,5,55.76387,-4.19284,615,"   615G10210","East Kilbride"
29924,5,55.76409,-4.19572,615,"   615G10211","East Kilbride"
29925,5,55.76473,-4.19864,615,"   615G10212","East Kilbride"
30574,5,55.77053,-4.19555,615,"   615G10021","East Kilbride"
30575,5,55.77084,-4.18892,615,"   615G10020","East Kilbride"
30578,5,55.77097,-4.17246,615,"   615G10029","East Kilbride"
30579,5,55.77287,-4.17201,615,"   615G10028","East Kilbride"
31835,5,55.80695,-4.13066,615,"   615G05855","East Kilbride"
31847,5,55.80595,-4.12802,615,"   615G05856","East Kilbride"
31861,5,55.80461,-4.12461,615,"   615G05857","East Kilbride"
31865,5,55.80207,-4.1137,615,"   615G05858","East Kilbride"
32475,2,55.78033,-4.26219,910,"   910GBUSBY","East Kilbride"
32475,5,55.78033,-4.26219,910,"   910GBUSBY","East Kilbride"
32506,5,55.76341,-4.16951,615,"   615G10204","East Kilbride"
32551,5,55.75028,-4.20583,615,"   615G10170","East Kilbride"
33054,5,55.76507,-4.15004,615,"   615G10101","East Kilbride"
33055,5,55.76698,-4.14552,615,"   615G10103","East Kilbride"
33056,5,55.76899,-4.143,615,"   615G10104","East Kilbride"
33057,5,55.76386,-4.15118,615,"   615G10105","East Kilbride"
33208,5,55.75567,-4.22103,615,"   615G10182","East Kilbride"
33210,5,55.75575,-4.21637,615,"   615G10183","East Kilbride"
34318,5,55.7655,-4.28187,612,"   612G03120","East Kilbride"
34319,5,55.75062,-4.27834,612,"   612G03123","East Kilbride"
34326,5,55.73739,-4.26892,612,"   612G03129","East Kilbride"
34606,2,55.76599,-4.18022,910," 910GEKILBRD","East Kilbride"
34606,5,55.76599,-4.18022,910," 910GEKILBRD","East Kilbride"
35112,5,55.74116,-4.20026,615,"   615G10427","East Kilbride"
35672,5,55.76722,-4.1928,615,"   615G10197","East Kilbride"
35734,5,55.76491,-4.15861,615,"   615G10099","East Kilbride"
36636,5,55.7682,-4.32652,612,"   612G03087","East Kilbride"
36770,5,55.76768,-4.32401,612,"   612G03088","East Kilbride"
38262,5,55.77385,-4.19879,615,"   615G10479","East Kilbride"
38781,5,55.76367,-4.2074,615,"   615G10130","East Kilbride"
38783,5,55.75606,-4.23098,615,"   615G10137","East Kilbride"
38784,5,55.75111,-4.22756,615,"   615G10139","East Kilbride"
38785,5,55.75349,-4.22982,615,"   615G10138","East Kilbride"
38902,5,55.75446,-4.17119,615,"   615G10178","East Kilbride"
39644,5,55.75863,-4.1595,615,"   615G10472","East Kilbride"
40494,5,55.77306,-4.1847,615,"   615G10019","East Kilbride"
40845,5,55.76227,-4.15672,615,"   615G10473","East Kilbride"
43203,5,55.78584,-4.10668,615,"   615G10689","East Kilbride"
44784,5,55.76719,-4.19769,615,"   615G10195","East Kilbride"
44796,5,55.76635,-4.20879,615,"   615G10192","East Kilbride"
46317,4,55.74492,-4.20495,615,"   615G10168","East Kilbride"
46317,5,55.74492,-4.20495,615,"   615G10168","East Kilbride"
46318,5,55.74812,-4.20398,615,"   615G10169","East Kilbride"
47772,5,55.76782,-4.15893,615,"   615G10098","East Kilbride"
47778,5,55.76403,-4.16174,615,"   615G10096","East Kilbride"
