"node","layer","lat","lon","zone","atcocode","city"
7356,4,50.80333,0.25007,140,"900GNX000914","Eastbourne"
7356,5,50.80333,0.25007,140,"900GNX000914","Eastbourne"
12779,5,50.7964,0.27937,140," 910GHMPDNPK","Eastbourne"
12779,2,50.7964,0.27937,140," 910GHMPDNPK","Eastbourne"
13518,4,50.79926,0.25575,140,"900GNX001625","Eastbourne"
13518,5,50.79926,0.25575,140,"900GNX001625","Eastbourne"
18601,2,50.81745,0.34292,140," 910GPVNSYBY","Eastbourne"
18601,5,50.81745,0.34292,140," 910GPVNSYBY","Eastbourne"
18601,4,50.81745,0.34292,140," 910GPVNSYBY","Eastbourne"
20945,2,50.76937,0.28126,140," 910GEBOURNE","Eastbourne"
20945,5,50.76937,0.28126,140," 910GEBOURNE","Eastbourne"
20945,4,50.76937,0.28126,140," 910GEBOURNE","Eastbourne"
24461,5,50.81579,0.32482,140," 910GPVNSYAW","Eastbourne"
24461,2,50.81579,0.32482,140," 910GPVNSYAW","Eastbourne"
38938,5,50.82124,0.24515,140," 910GPOLGATE","Eastbourne"
38938,2,50.82124,0.24515,140," 910GPOLGATE","Eastbourne"
38938,4,50.82124,0.24515,140," 910GPOLGATE","Eastbourne"
40162,4,50.81331,0.35241,140,"900GNX002508","Eastbourne"
40162,5,50.81331,0.35241,140,"900GNX002508","Eastbourne"
51714,5,50.82055,0.23737,140,"  1400WE0178","Eastbourne"
51715,5,50.81798,0.24068,140,"  1400WE0171","Eastbourne"
51716,5,50.81818,0.24066,140,"  1400WE0170","Eastbourne"
51717,5,50.81115,0.23562,140,"  1400WE0173","Eastbourne"
51718,5,50.81521,0.23712,140,"  1400WE0172","Eastbourne"
51719,5,50.8095,0.23525,140,"  1400WE0174","Eastbourne"
51720,5,50.82077,0.2373,140,"  1400WE0177","Eastbourne"
51721,5,50.81095,0.24077,140,"  1400WE0176","Eastbourne"
52328,5,50.77496,0.15304,140," 1400WE80649","Eastbourne"
52716,5,50.75431,0.26435,140," 1400EB75171","Eastbourne"
52722,5,50.7758,0.27922,140," 1400EB75177","Eastbourne"
52886,5,50.82124,0.23443,140,"  1400WE0179","Eastbourne"
53223,5,50.81951,0.31916,140,"  1400EB0336","Eastbourne"
53562,5,50.81724,0.30726,140,"  1400EB0346","Eastbourne"
53563,5,50.81731,0.30887,140,"  1400EB0345","Eastbourne"
53564,5,50.81811,0.31349,140,"  1400EB0344","Eastbourne"
