"node","layer","lat","lon","zone","atcocode","city"
1236,2,50.96924,-1.35009,190,"    910GELGH","Eastleigh"
1236,5,50.96924,-1.35009,190,"    910GELGH","Eastleigh"
11927,0,50.95022,-1.36006,920,"    920GSOU1","Eastleigh"
11927,5,50.95022,-1.36006,920,"    920GSOU1","Eastleigh"
11927,2,50.95022,-1.36006,920,"    920GSOU1","Eastleigh"
19967,2,50.983,-1.3844,190,"    910GCSFD","Eastleigh"
19967,5,50.983,-1.3844,190,"    910GCSFD","Eastleigh"
21036,5,50.93231,-1.29451,190," 910GHEDGEND","Eastleigh"
21036,2,50.93231,-1.29451,190," 910GHEDGEND","Eastleigh"
27487,5,50.94114,-1.37641,910," 910GSWYTHLN","Eastleigh"
27487,2,50.94114,-1.37641,910," 910GSWYTHLN","Eastleigh"
27511,2,50.9168,-1.25881,190,"  910GBOTLEY","Eastleigh"
27511,5,50.9168,-1.25881,190,"  910GBOTLEY","Eastleigh"
54091,5,50.93736,-1.37665,198,"1980SNA19780","Eastleigh"
54551,5,50.98602,-1.3792,190,"1900HAA19662","Eastleigh"
55541,5,50.92718,-1.32318,190,"1900HA030564","Eastleigh"
55542,5,50.9646,-1.30363,190,"1900HA030563","Eastleigh"
55543,5,50.96471,-1.30359,190,"1900HA030562","Eastleigh"
55544,5,50.97268,-1.38165,190,"1900HA030560","Eastleigh"
56999,5,50.97053,-1.35432,190,"1900HA030213","Eastleigh"
57000,5,50.97003,-1.36093,190,"1900HA030215","Eastleigh"
57001,5,50.97002,-1.3603,190,"1900HA030214","Eastleigh"
57002,5,50.97107,-1.36573,190,"1900HA030217","Eastleigh"
57003,5,50.97101,-1.36525,190,"1900HA030216","Eastleigh"
57004,5,50.96485,-1.36831,190,"1900HA030219","Eastleigh"
57005,5,50.96491,-1.36943,190,"1900HA030218","Eastleigh"
57444,5,51.00426,-1.4726,190,"1900HAA40510","Eastleigh"
57445,5,51.00855,-1.47271,190,"1900HAA40511","Eastleigh"
57685,5,50.99066,-1.40265,190,"1900HA100017","Eastleigh"
57686,5,50.98463,-1.39726,190,"1900HA100016","Eastleigh"
57687,5,50.98447,-1.39683,190,"1900HA100015","Eastleigh"
57688,5,50.98295,-1.39422,190,"1900HA100013","Eastleigh"
57689,5,50.98219,-1.39581,190,"1900HA100012","Eastleigh"
57690,5,50.98189,-1.39699,190,"1900HA100011","Eastleigh"
57693,5,50.99979,-1.39207,190,"1900HA100019","Eastleigh"
57904,5,50.99579,-1.36985,190,"1900HA030075","Eastleigh"
57906,5,50.99573,-1.36988,190,"1900HA030074","Eastleigh"
57907,5,50.99635,-1.37506,190,"1900HA030077","Eastleigh"
57912,5,50.99627,-1.37496,190,"1900HA030076","Eastleigh"
58616,5,50.98278,-1.37822,190,"1900HA030100","Eastleigh"
59314,5,50.96371,-1.41213,190,"1900HA100772","Eastleigh"
59315,5,50.96365,-1.41113,190,"1900HA100773","Eastleigh"
59316,5,50.96449,-1.41679,190,"1900HA100770","Eastleigh"
59317,5,50.96448,-1.4162,190,"1900HA100771","Eastleigh"
59318,5,50.95834,-1.40509,190,"1900HA100776","Eastleigh"
59319,5,50.95837,-1.405,190,"1900HA100777","Eastleigh"
59320,5,50.96107,-1.40715,190,"1900HA100774","Eastleigh"
59321,5,50.96095,-1.40693,190,"1900HA100775","Eastleigh"
59323,5,50.9563,-1.40174,190,"1900HA100779","Eastleigh"
60135,5,50.96389,-1.38228,190,"1900HA030134","Eastleigh"
60136,5,50.97241,-1.37013,190,"1900HA030135","Eastleigh"
60137,5,50.97216,-1.37002,190,"1900HA030136","Eastleigh"
60138,5,50.97962,-1.36235,190,"1900HA030137","Eastleigh"
60142,5,50.96474,-1.37919,190,"1900HA030131","Eastleigh"
60143,5,50.96485,-1.37971,190,"1900HA030132","Eastleigh"
60716,5,50.96504,-1.23978,190,"1900HA110508","Eastleigh"
60717,5,50.96047,-1.23299,190,"1900HA110509","Eastleigh"
60720,5,50.97997,-1.2672,190,"1900HA110500","Eastleigh"
60721,5,50.97544,-1.26186,190,"1900HA110501","Eastleigh"
60722,5,50.97551,-1.26177,190,"1900HA110502","Eastleigh"
60723,5,50.97254,-1.2557,190,"1900HA110503","Eastleigh"
60724,5,50.97219,-1.25493,190,"1900HA110504","Eastleigh"
60725,5,50.9699,-1.25078,190,"1900HA110505","Eastleigh"
60726,5,50.96961,-1.24988,190,"1900HA110506","Eastleigh"
60727,5,50.96496,-1.23983,190,"1900HA110507","Eastleigh"
61142,5,50.9304,-1.35901,198,"1980SN120320","Eastleigh"
62258,5,51.01212,-1.34109,190,"1900HA110427","Eastleigh"
62381,5,50.93381,-1.34953,190,"1900HA030450","Eastleigh"
62926,5,50.96676,-1.42093,190,"1900HA100856","Eastleigh"
62927,5,50.96678,-1.42126,190,"1900HA100855","Eastleigh"
62975,5,50.94257,-1.38051,198,"1980SN121049","Eastleigh"
62976,5,50.94257,-1.38035,198,"1980SN121048","Eastleigh"
65604,5,50.94993,-1.29551,190,"1900HA030459","Eastleigh"
65611,5,50.95501,-1.35943,190,"1900HAA09426","Eastleigh"
66621,5,50.96477,-1.35153,190,"1900HA030204","Eastleigh"
66622,5,50.96474,-1.35143,190,"1900HA030205","Eastleigh"
66623,5,50.96226,-1.35305,190,"1900HA030202","Eastleigh"
66624,5,50.9625,-1.35297,190,"1900HA030203","Eastleigh"
67047,5,50.92427,-1.30228,190,"1900HAA40521","Eastleigh"
67327,5,50.97605,-1.40503,190,"1900HA100005","Eastleigh"
67328,5,50.97579,-1.40498,190,"1900HA100006","Eastleigh"
