"node","layer","lat","lon","zone","atcocode","city"
1456,2,55.91881,-3.26496,910,"    910GKNGW","Edinburgh"
1456,5,55.91881,-3.26496,910,"    910GKNGW","Edinburgh"
6741,5,55.95157,-3.21179,620,"  620G205200","Edinburgh"
7549,5,55.86587,-3.20007,628,"  628G325570","Edinburgh"
9784,5,55.95283,-3.19693,620,"  620G206300","Edinburgh"
10415,5,55.88092,-3.1282,628,"  628G301360","Edinburgh"
12536,4,55.9458,-3.21844,910," 910GHAYMRKT","Edinburgh"
12536,2,55.9458,-3.21844,910," 910GHAYMRKT","Edinburgh"
12536,5,55.9458,-3.21844,910," 910GHAYMRKT","Edinburgh"
16402,5,55.95406,-3.17371,620,"  620G207400","Edinburgh"
17037,5,55.92668,-3.24345,910," 910GSLATEFD","Edinburgh"
17037,2,55.92668,-3.24345,910," 910GSLATEFD","Edinburgh"
19294,5,55.93358,-3.07319,910," 910GMSELBGH","Edinburgh"
19294,2,55.93358,-3.07319,910," 910GMSELBGH","Edinburgh"
19990,4,55.95318,-3.19951,620,"  620G206240","Edinburgh"
19990,5,55.95318,-3.19951,620,"  620G206240","Edinburgh"
23849,5,55.95446,-3.19777,620,"  620G206280","Edinburgh"
24693,5,55.91431,-3.28434,910," 910GWHAILES","Edinburgh"
24693,2,55.91431,-3.28434,910," 910GWHAILES","Edinburgh"
25656,4,55.94955,-3.20958,620,"  620G202960","Edinburgh"
25656,5,55.94955,-3.20958,620,"  620G202960","Edinburgh"
28373,5,55.95248,-3.20009,620,"  620G206230","Edinburgh"
30981,2,55.92754,-3.30766,910," 910GEDINPRK","Edinburgh"
30981,5,55.92754,-3.30766,910," 910GEDINPRK","Edinburgh"
37047,2,55.95239,-3.18822,910," 910GEDINBUR","Edinburgh"
37047,5,55.95239,-3.18822,910," 910GEDINBUR","Edinburgh"
37047,4,55.95239,-3.18822,910," 910GEDINBUR","Edinburgh"
41467,5,55.94947,-3.20682,620,"  620G206100","Edinburgh"
43282,2,55.9425,-3.10098,910," 910GBRUSTAN","Edinburgh"
43282,5,55.9425,-3.10098,910," 910GBRUSTAN","Edinburgh"
44638,5,55.95219,-3.20522,620,"  620G205230","Edinburgh"
45387,4,55.95074,-3.20926,620,"  620G244750","Edinburgh"
45387,5,55.95074,-3.20926,620,"  620G244750","Edinburgh"
47620,2,55.93485,-3.09276,910," 910GNCRAGHA","Edinburgh"
47620,5,55.93485,-3.09276,910," 910GNCRAGHA","Edinburgh"
51877,5,55.89111,-3.20077,628,"  6280302095","Edinburgh"
51928,5,55.93713,-3.14384,620,"  6200239620","Edinburgh"
52125,5,55.94436,-3.10942,620,"  6200210100","Edinburgh"
52306,5,55.96072,-3.20001,620,"  6200244840","Edinburgh"
52473,5,55.94327,-3.1833,620,"  6200240060","Edinburgh"
52519,5,55.97182,-3.30611,620,"  6200203710","Edinburgh"
52568,5,55.93273,-3.1347,620,"  6200209620","Edinburgh"
52642,4,55.94589,-3.23622,620,"  6200246970","Edinburgh"
52642,5,55.94589,-3.23622,620,"  6200246970","Edinburgh"
52680,5,55.94965,-3.21919,620,"  6200245613","Edinburgh"
52681,5,55.94978,-3.21617,620,"  6200245610","Edinburgh"
52682,5,55.94939,-3.2175,620,"  6200245611","Edinburgh"
52749,5,55.87508,-3.16522,628,"  6280301950","Edinburgh"
52792,5,55.90635,-3.13379,620,"  6200209390","Edinburgh"
52794,5,55.94798,-3.20746,620,"  6200206095","Edinburgh"
52800,5,55.94648,-3.20594,620,"  6200206090","Edinburgh"
52808,5,55.91491,-3.32288,620,"  6200249752","Edinburgh"
52810,5,55.91292,-3.32333,620,"  6200249755","Edinburgh"
52930,5,55.95165,-3.11612,620,"  6200238720","Edinburgh"
52969,5,55.93888,-3.22847,620,"  6200201360","Edinburgh"
52977,5,55.95797,-3.19908,620,"  6200205180","Edinburgh"
52983,5,55.94322,-3.25167,620,"  6200202860","Edinburgh"
52998,5,55.95772,-3.2111,620,"  6200204770","Edinburgh"
53287,5,55.94796,-3.12667,620,"  6200241210","Edinburgh"
53306,5,55.9516,-3.17907,620,"  6200207340","Edinburgh"
53319,5,55.9407,-3.07273,627,"627001030480","Edinburgh"
53335,5,55.93189,-3.25049,620,"  6200201250","Edinburgh"
53608,5,55.9409,-3.20961,620,"  6200206060","Edinburgh"
53727,5,55.87753,-3.14588,628,"  6280326110","Edinburgh"
53870,4,55.94084,-3.3117,620,"  6200202570","Edinburgh"
53870,5,55.94084,-3.3117,620,"  6200202570","Edinburgh"
53955,5,55.94524,-3.12415,620,"  6200238880","Edinburgh"
53972,5,55.96646,-3.1755,620,"  6200207270","Edinburgh"
53986,5,55.94907,-3.18716,620,"  6200240125","Edinburgh"
54028,5,55.92345,-3.17141,620,"  6200239780","Edinburgh"
54096,5,55.97806,-3.23581,620,"  6200204870","Edinburgh"
54120,5,55.9339,-3.11525,620,"  6200209710","Edinburgh"
54152,5,55.90413,-3.14712,620,"  6200239220","Edinburgh"
54202,5,55.94593,-3.20135,620,"  6200246800","Edinburgh"
54248,5,55.95715,-3.24891,620,"  6200245720","Edinburgh"
54566,5,55.9244,-3.21057,620,"  6200205690","Edinburgh"
54689,5,55.96206,-3.26415,620,"  6200245810","Edinburgh"
54947,5,55.94151,-3.19962,620,"  6200206110","Edinburgh"
55113,5,55.9208,-3.29828,620,"  6200249680","Edinburgh"
55121,5,55.91056,-3.22022,620,"  6200244330","Edinburgh"
55193,5,55.93332,-3.20449,620,"  6200205800","Edinburgh"
55421,5,55.92941,-3.17651,620,"  6200239835","Edinburgh"
55423,5,55.92841,-3.17963,620,"  6200239836","Edinburgh"
55504,5,55.89869,-3.31355,620,"  6200200220","Edinburgh"
55514,5,55.96036,-3.12788,620,"  6200208050","Edinburgh"
55528,5,55.93362,-3.06204,627,"627001010520","Edinburgh"
56056,5,55.8938,-3.16137,620,"  6200209170","Edinburgh"
56164,5,55.97729,-3.23851,620,"  6200245140","Edinburgh"
56293,5,55.88745,-3.16422,628,"  6280339440","Edinburgh"
56348,5,55.94458,-3.2524,620,"  6200247030","Edinburgh"
56634,5,55.9281,-3.2095,620,"  6200205760","Edinburgh"
56687,5,55.91667,-3.22372,620,"  6200244240","Edinburgh"
56767,5,55.9354,-3.23094,620,"  6200201940","Edinburgh"
56771,5,55.95449,-3.29374,620,"  6200202680","Edinburgh"
56797,5,55.93702,-3.20736,620,"  6200205970","Edinburgh"
56805,5,55.94514,-3.18646,620,"  6200206440","Edinburgh"
56863,5,55.86894,-3.17899,628,"  6280325690","Edinburgh"
56900,5,55.9271,-3.24947,620,"  6200290100","Edinburgh"
57117,5,55.91755,-3.28643,620,"  6200200530","Edinburgh"
57118,5,55.91974,-3.29084,620,"  6200200531","Edinburgh"
57119,5,55.91984,-3.29662,620,"  6200200532","Edinburgh"
57120,5,55.9209,-3.29481,620,"  6200200533","Edinburgh"
57363,5,55.90591,-3.22393,620,"  6200248360","Edinburgh"
57488,5,55.95721,-3.23293,620,"  6200245540","Edinburgh"
57549,5,55.95485,-3.11786,620,"  6200241320","Edinburgh"
57694,5,55.9677,-3.18733,620,"  6200206990","Edinburgh"
57714,5,55.96938,-3.18368,620,"  6200207140","Edinburgh"
57755,5,55.8952,-3.09321,628,"  6280301118","Edinburgh"
57756,5,55.89679,-3.10034,628,"  6280301119","Edinburgh"
57971,5,55.94241,-3.27958,620,"  6200247100","Edinburgh"
58128,5,55.96798,-3.32264,620,"  6200203520","Edinburgh"
58179,5,55.96259,-3.1536,620,"  6200241820","Edinburgh"
58206,5,55.94558,-3.24054,620,"  6200246975","Edinburgh"
58377,5,55.93756,-3.18077,620,"  6200208570","Edinburgh"
58389,5,55.8926,-3.20151,628,"  6280302098","Edinburgh"
58392,5,55.90207,-3.2084,620,"  6200244580","Edinburgh"
58393,5,55.86238,-3.20327,628,"  6280302093","Edinburgh"
58394,5,55.8688,-3.1893,628,"  6280302090","Edinburgh"
58395,5,55.86817,-3.19413,628,"  6280302091","Edinburgh"
58396,5,55.88731,-3.19754,628,"  6280302096","Edinburgh"
58397,5,55.8794,-3.19245,628,"  6280302094","Edinburgh"
58471,5,55.86846,-3.19397,628,"  6280325581","Edinburgh"
58472,5,55.8694,-3.19045,628,"  6280325580","Edinburgh"
58475,5,55.87808,-3.19278,628,"  6280325585","Edinburgh"
58531,5,55.95057,-3.22301,620,"  6200245615","Edinburgh"
58587,5,55.89436,-3.31534,620,"  6200200180","Edinburgh"
58652,5,55.8969,-3.20378,620,"  6200205350","Edinburgh"
58719,5,55.92707,-3.29433,620,"  6200200400","Edinburgh"
58846,5,55.90989,-3.10544,628,"  6280000049","Edinburgh"
58850,5,55.86508,-3.17224,628,"  6280000043","Edinburgh"
58868,5,55.93578,-3.11486,620,"  6200209850","Edinburgh"
58869,5,55.93825,-3.11523,620,"  6200209855","Edinburgh"
58917,5,55.95647,-3.22347,620,"  6200204720","Edinburgh"
59780,5,55.91673,-3.22774,620,"  6200205620","Edinburgh"
60040,5,55.92746,-3.18242,620,"  6200239838","Edinburgh"
60077,5,55.92814,-3.17472,620,"  6200239830","Edinburgh"
60391,5,55.91353,-3.16425,620,"  6200239540","Edinburgh"
60418,5,55.94161,-3.20009,620,"  6200205930","Edinburgh"
60434,5,55.90255,-3.28745,620,"  6200200710","Edinburgh"
60668,5,55.96761,-3.23539,620,"  6200204650","Edinburgh"
60678,5,55.92837,-3.16362,620,"  6200208890","Edinburgh"
60679,5,55.93024,-3.15886,620,"  6200208895","Edinburgh"
60690,5,55.92388,-3.25205,620,"  6200201130","Edinburgh"
60793,5,55.92519,-3.26335,620,"  6200201110","Edinburgh"
61381,5,55.96614,-3.26503,620,"  6200245980","Edinburgh"
61385,5,55.9664,-3.25514,620,"  6200203910","Edinburgh"
61466,5,55.90554,-3.24158,620,"  6200201530","Edinburgh"
61584,5,55.95669,-3.16393,620,"  6200241660","Edinburgh"
61609,5,55.94263,-3.12572,620,"  6200238890","Edinburgh"
61687,5,55.94849,-3.08813,620,"  6200238660","Edinburgh"
61876,5,55.94579,-3.03878,627,"627001010220","Edinburgh"
61999,5,55.95604,-3.21596,620,"  6200204750","Edinburgh"
62047,5,55.96349,-3.20122,620,"  6200244870","Edinburgh"
62076,5,55.91787,-3.28967,620,"  6200200522","Edinburgh"
62220,5,55.91421,-3.27649,620,"  6200200575","Edinburgh"
62245,5,55.93247,-3.13312,620,"  6200209630","Edinburgh"
62337,5,55.95602,-3.17254,620,"  6200242105","Edinburgh"
62424,5,55.86794,-3.21201,628,"  6280000037","Edinburgh"
62425,5,55.86326,-3.21343,628,"  6280000036","Edinburgh"
62479,5,55.90871,-3.13686,620,"  6200209380","Edinburgh"
62609,5,55.9487,-3.11968,620,"  6200238750","Edinburgh"
62645,5,55.9398,-3.2253,620,"  6200247970","Edinburgh"
62655,5,55.94187,-3.25178,620,"  6200202850","Edinburgh"
62659,5,55.93986,-3.1858,620,"  6200206130","Edinburgh"
62931,5,55.95075,-3.13668,620,"  6200241260","Edinburgh"
62990,5,55.8755,-3.16393,628,"  6280325750","Edinburgh"
63068,5,55.95234,-3.19421,620,"  6200243420","Edinburgh"
63292,5,55.94801,-3.21291,620,"  6200246920","Edinburgh"
63297,5,55.9399,-3.21181,620,"  6200206050","Edinburgh"
63346,5,55.86252,-3.20353,628,"  6280325566","Edinburgh"
63399,5,55.87775,-3.14225,628,"  6280326100","Edinburgh"
63735,5,55.96448,-3.26761,620,"  6200204060","Edinburgh"
63761,5,55.97855,-3.23278,620,"  6200204880","Edinburgh"
63767,5,55.93404,-3.11819,620,"  6200209700","Edinburgh"
63800,5,55.90405,-3.14356,620,"  6200239210","Edinburgh"
63843,5,55.96305,-3.26439,620,"  6200204070","Edinburgh"
64013,5,55.91376,-3.16024,620,"  6200209095","Edinburgh"
64014,5,55.915,-3.16189,620,"  6200209090","Edinburgh"
64015,5,55.9132,-3.0948,628,"  6280327285","Edinburgh"
64151,5,55.97854,-3.23036,620,"  6200245047","Edinburgh"
64152,5,55.97878,-3.22788,620,"  6200245045","Edinburgh"
64153,5,55.97856,-3.22395,620,"  6200245043","Edinburgh"
64175,5,55.95585,-3.13954,620,"  6200208020","Edinburgh"
64264,5,55.97318,-3.17622,620,"  6200242380","Edinburgh"
64359,5,55.9115,-3.2193,620,"  6200205530","Edinburgh"
64397,5,55.94857,-3.27914,620,"  6200247270","Edinburgh"
64414,5,55.93803,-3.19465,620,"  6200243990","Edinburgh"
64554,5,55.94742,-3.19164,620,"  6200243520","Edinburgh"
64729,5,55.91733,-3.31365,620,"  6200249695","Edinburgh"
64734,5,55.90893,-3.22274,620,"  6200244340","Edinburgh"
64797,5,55.93379,-3.20019,620,"  6200205810","Edinburgh"
65082,5,55.89774,-3.31386,620,"  6200200210","Edinburgh"
65098,5,55.92289,-3.21089,620,"  6200205590","Edinburgh"
65130,5,55.95819,-3.17205,620,"  6200207530","Edinburgh"
65131,5,55.9478,-3.08274,620,"  6200210080","Edinburgh"
65431,5,55.92418,-3.21095,620,"  6200244180","Edinburgh"
65485,5,55.91801,-3.29827,620,"  6200249433","Edinburgh"
65490,5,55.91747,-3.28234,620,"  6200249430","Edinburgh"
65506,5,55.91949,-3.29123,620,"  6200249436","Edinburgh"
65529,5,55.91779,-3.29501,620,"  6200249434","Edinburgh"
65572,5,55.91928,-3.29906,620,"  6200249439","Edinburgh"
65645,5,55.89619,-3.16119,620,"  6200209160","Edinburgh"
65698,5,55.94001,-3.29151,620,"  6200249010","Edinburgh"
65764,5,55.97781,-3.23615,620,"  6200245130","Edinburgh"
65798,5,55.96068,-3.13146,620,"  6200241390","Edinburgh"
65830,5,55.95533,-3.28898,620,"  6200202675","Edinburgh"
65831,5,55.9556,-3.28679,620,"  6200202670","Edinburgh"
65840,5,55.93683,-3.24972,620,"  6200248760","Edinburgh"
65861,5,55.96151,-3.28257,620,"  6200203620","Edinburgh"
65972,5,55.94458,-3.25091,620,"  6200247000","Edinburgh"
66042,5,55.93435,-3.19367,620,"  6200244115","Edinburgh"
66082,5,55.97907,-3.22512,620,"  6200204956","Edinburgh"
