"node","layer","lat","lon","zone","atcocode","city"
548,5,51.38918,-0.4158,400,"400G4405088A","Esher"
793,5,51.42588,-0.37224,490,"490G00003064","Esher"
1084,5,51.37,-0.36467,400,"400G4405076B","Esher"
2323,5,51.384,-0.38714,400,"400G4405103A","Esher"
2448,5,51.32788,-0.41038,400,"400G4405007A","Esher"
2767,5,51.40017,-0.35468,400,"400G4405128A","Esher"
2971,5,51.38275,-0.39385,400,"400G4405102A","Esher"
3593,5,51.37682,-0.43534,400,"400G4405040A","Esher"
4695,5,51.40487,-0.41065,400,"400G4402053A","Esher"
4920,5,51.33777,-0.44606,400,"400G4405013A","Esher"
5302,5,51.37213,-0.46389,400,"400G4405033A","Esher"
5373,5,51.38364,-0.41722,400,"400G4405048A","Esher"
5856,1,51.38221,-0.45688,930,"     930GWYB","Esher"
5891,5,51.43075,-0.40063,490,"490G00010148","Esher"
5896,5,51.3384,-0.39381,400,"400G4405807D","Esher"
5999,5,51.36665,-0.39785,400,"400G4405069A","Esher"
6112,5,51.39614,-0.374,400,"400G4405269A","Esher"
6152,5,51.43643,-0.39142,490,"490G00010807","Esher"
6347,5,51.38348,-0.40177,400,"400G4405099A","Esher"
6763,5,51.36898,-0.38784,400,"400G4405071A","Esher"
7325,5,51.39694,-0.37898,400,"400G4405114A","Esher"
7427,5,51.36917,-0.39589,400,"400G4405057A","Esher"
7600,5,51.37152,-0.44976,400,"400G4405036A","Esher"
7777,5,51.37075,-0.39959,400,"400G4405056B","Esher"
8175,5,51.37925,-0.36975,400,"400G4405805A","Esher"
8306,5,51.43247,-0.39835,490,"490G00004851","Esher"
8455,5,51.32947,-0.41188,400,"400G4405008A","Esher"
8556,5,51.38711,-0.3539,400,"400G4405178B","Esher"
8989,5,51.42283,-0.37111,490,"490G00010276","Esher"
9395,5,51.36442,-0.3551,400,"400G4405147A","Esher"
9921,5,51.3314,-0.36317,400,"400G4405193A","Esher"
9923,5,51.40214,-0.37787,400,"400G4405117A","Esher"
10023,5,51.4148,-0.40717,400,"400G4402809B","Esher"
10399,5,51.40085,-0.42426,400,"400G4402050A","Esher"
10881,5,51.38111,-0.41422,400,"400G4405049A","Esher"
11022,5,51.42286,-0.37605,490,"490G00005665","Esher"
11201,5,51.37043,-0.36858,400,"400G4405227A","Esher"
11278,5,51.40399,-0.37061,400,"400G4405119A","Esher"
11836,5,51.36779,-0.40954,400,"400G4405066A","Esher"
11870,5,51.40747,-0.36079,400,"400G4405122A","Esher"
11912,5,51.39797,-0.36431,400,"400G4405802P","Esher"
11967,5,51.39733,-0.37296,400,"400G4405802C","Esher"
11973,5,51.39812,-0.35588,400,"400G4405802I","Esher"
11977,5,51.39983,-0.36013,400,"400G4405802K","Esher"
12692,5,51.34601,-0.46294,400,"400G4405016A","Esher"
12910,5,51.39167,-0.43473,400,"400G4402042A","Esher"
12934,5,51.36328,-0.37181,400,"400G4405172B","Esher"
12963,5,51.43054,-0.3902,490,"490G00013110","Esher"
13081,5,51.38755,-0.38539,400,"400G4405111B","Esher"
13084,5,51.37851,-0.3692,400,"400G4405140A","Esher"
13247,2,51.37293,-0.41463,400,"    910GWONT","Esher"
13247,5,51.37293,-0.41463,400,"    910GWONT","Esher"
13433,5,51.37995,-0.36965,400,"400G4405231A","Esher"
13773,5,51.38569,-0.38369,400,"400G4405109A","Esher"
14305,5,51.34365,-0.39305,400,"400G4405029A","Esher"
14809,5,51.35629,-0.36306,400,"400G4405250A","Esher"
15032,5,51.38563,-0.42248,400,"400G4405046A","Esher"
16213,5,51.39077,-0.34789,400,"400G4405216A","Esher"
16222,5,51.40849,-0.41562,400,"400G4402055A","Esher"
16226,5,51.35093,-0.31305,490,"490G00005121","Esher"
16282,5,51.38562,-0.40539,400,"400G4405098A","Esher"
16747,5,51.37405,-0.43822,400,"400G4405039A","Esher"
16852,5,51.37091,-0.36642,400,"400G4405142A","Esher"
17096,5,51.33112,-0.40793,400,"400G4405806A","Esher"
17505,5,51.36876,-0.44714,400,"400G4405058A","Esher"
17514,5,51.43714,-0.38014,490,"490G00015342","Esher"
17586,5,51.37091,-0.42255,400,"400G4405063B","Esher"
17693,5,51.40776,-0.36491,400,"400G4405121A","Esher"
17940,5,51.43821,-0.38271,490,"490G00007730","Esher"
17942,5,51.37943,-0.3342,400,"400G4405165B","Esher"
18019,5,51.33556,-0.43316,400,"400G4405247A","Esher"
18430,5,51.40116,-0.36064,400,"400G4405127A","Esher"
18488,5,51.4329,-0.38358,490,"490G00013228","Esher"
18598,5,51.35891,-0.37867,400,"400G4405031B","Esher"
18725,5,51.4023,-0.43242,400,"400G4402045B","Esher"
18732,5,51.37986,-0.36481,400,"400G4405265B","Esher"
19054,5,51.42313,-0.3681,490,"490G00003167","Esher"
19585,5,51.36132,-0.41544,400,"400G4405301A","Esher"
20008,5,51.39899,-0.34954,400,"400G4405129A","Esher"
20020,5,51.43613,-0.38018,490,"490G00015344","Esher"
20143,5,51.37429,-0.35854,400,"400G4405077A","Esher"
20377,5,51.37879,-0.41188,400,"400G4405050A","Esher"
20805,5,51.40029,-0.37971,400,"400G4405116A","Esher"
21354,5,51.34904,-0.46271,400,"400G4405305A","Esher"
21531,5,51.3255,-0.40171,400,"400G4405006A","Esher"
21697,5,51.40244,-0.36543,400,"400G4405126A","Esher"
21753,5,51.38936,-0.38596,400,"400G4405258A","Esher"
22573,5,51.42843,-0.37398,490,"490G00011472","Esher"
22713,5,51.38466,-0.42777,400,"400G4405043A","Esher"
22801,5,51.3634,-0.36295,400,"400G4405145C","Esher"
22803,5,51.36429,-0.36417,400,"400G4405145A","Esher"
23359,5,51.36587,-0.44058,400,"400G4405060A","Esher"
23565,5,51.40006,-0.42914,400,"400G4402213A","Esher"
23829,5,51.38704,-0.40753,400,"400G4405097A","Esher"
23993,5,51.33318,-0.4146,400,"400G4405010A","Esher"
24450,5,51.37187,-0.34086,400,"400G4405811A","Esher"
24818,5,51.40952,-0.40229,400,"400G4402810A","Esher"
24819,5,51.41183,-0.40212,400,"400G4402810B","Esher"
25068,5,51.37675,-0.40991,400,"400G4405051A","Esher"
25193,5,51.36567,-0.40048,400,"400G4405068A","Esher"
25221,5,51.33848,-0.40328,400,"400G4405027B","Esher"
25267,5,51.38757,-0.3498,400,"400G4405179A","Esher"
25807,5,51.35454,-0.4576,400,"400G4405018A","Esher"
25877,5,51.36917,-0.38242,400,"400G4405072B","Esher"
26104,2,51.42099,-0.40974,910," 910GKMPTNPK","Esher"
26104,5,51.42099,-0.40974,910," 910GKMPTNPK","Esher"
26170,5,51.3652,-0.4347,400,"400G4405061B","Esher"
26276,5,51.39683,-0.43579,400,"400G4402040A","Esher"
26460,5,51.39586,-0.38136,400,"400G4405113A","Esher"
27095,5,51.35637,-0.38185,400,"400G4405171A","Esher"
27723,5,51.39649,-0.37549,400,"400G4405802D","Esher"
27724,5,51.39814,-0.3683,400,"400G4405802E","Esher"
27725,5,51.39917,-0.36695,400,"400G4405802F","Esher"
27726,5,51.40153,-0.37062,400,"400G4405802A","Esher"
27727,5,51.398,-0.37239,400,"400G4405802B","Esher"
27732,5,51.39691,-0.36176,400,"400G4405802H","Esher"
27733,5,51.39878,-0.35818,400,"400G4405802J","Esher"
28457,5,51.38622,-0.42471,400,"400G4405044A","Esher"
28578,5,51.40261,-0.37435,400,"400G4405118A","Esher"
29099,5,51.33543,-0.40881,400,"400G4405026A","Esher"
29106,5,51.37115,-0.3943,400,"400G4405107A","Esher"
29684,5,51.39588,-0.34963,400,"400G4405249A","Esher"
29927,5,51.34852,-0.46126,400,"400G4405017A","Esher"
30186,5,51.34004,-0.3189,490,"490G00011796","Esher"
30231,5,51.41594,-0.37211,490," 910GHAMPTON","Esher"
30231,2,51.41594,-0.37211,490," 910GHAMPTON","Esher"
30246,5,51.37163,-0.44707,400,"400G4405037A","Esher"
30620,5,51.37112,-0.40301,400,"400G4405055A","Esher"
31138,5,51.40646,-0.35421,400,"400G4405123A","Esher"
31462,5,51.33293,-0.42037,400,"400G4405241A","Esher"
31561,5,51.38199,-0.39871,400,"400G4405100A","Esher"
31577,5,51.38696,-0.34679,400,"400G4405133A","Esher"
31583,5,51.37698,-0.3898,400," 910GHERSHAM","Esher"
31583,2,51.37698,-0.3898,400," 910GHERSHAM","Esher"
31740,5,51.39022,-0.34926,400,"400G4405180A","Esher"
31828,5,51.37185,-0.40463,400,"400G4405275A","Esher"
32166,5,51.39526,-0.43552,400,"400G4402043A","Esher"
32309,5,51.36559,-0.3442,400,"400G4405810A","Esher"
32317,5,51.3876,-0.3833,400,"400G4405110A","Esher"
32668,5,51.42578,-0.37612,490,"490G00010460","Esher"
32771,5,51.41438,-0.39063,400,"400G4402023A","Esher"
32872,5,51.39036,-0.41251,400,"400G4405089A","Esher"
32882,5,51.3424,-0.39571,400,"400G4405028A","Esher"
33052,5,51.39947,-0.37964,400,"400G4405115B","Esher"
33888,2,51.3364,-0.36241,400," 910GOXSHOTT","Esher"
33888,5,51.3364,-0.36241,400," 910GOXSHOTT","Esher"
34370,5,51.38003,-0.36301,400,"400G4405805C","Esher"
34646,5,51.39096,-0.3849,400,"400G4405248A","Esher"
34652,5,51.38247,-0.33643,400,"400G4405081A","Esher"
34937,5,51.36177,-0.45773,400," 910GWEYBDGB","Esher"
34937,2,51.36177,-0.45773,400," 910GWEYBDGB","Esher"
35214,5,51.3693,-0.37246,400,"400G4405074A","Esher"
35286,5,51.3385,-0.38528,400,"400G4405807B","Esher"
35287,5,51.34024,-0.37402,400,"400G4405807A","Esher"
35290,5,51.33576,-0.38788,400,"400G4405807F","Esher"
35314,5,51.40588,-0.41353,400,"400G4402054A","Esher"
