"node","layer","lat","lon","zone","atcocode","city"
13443,2,50.73127,-3.50197,910," 910GPOLSBDG","Exeter"
13443,5,50.73127,-3.50197,910," 910GPOLSBDG","Exeter"
15407,5,50.6862,-3.46444,910," 910GTOPSHAM","Exeter"
15407,2,50.6862,-3.46444,910," 910GTOPSHAM","Exeter"
20685,2,50.71398,-3.47358,910,"   910GDIGBY","Exeter"
20685,5,50.71398,-3.47358,910,"   910GDIGBY","Exeter"
23546,4,50.67847,-3.49488,110,"900GNX000509","Exeter"
23546,5,50.67847,-3.49488,110,"900GNX000509","Exeter"
27700,2,50.72647,-3.5333,910," 910GEXETERC","Exeter"
27700,5,50.72647,-3.5333,910," 910GEXETERC","Exeter"
29400,2,50.73115,-3.52202,910," 910GSTJAMSP","Exeter"
29400,5,50.73115,-3.52202,910," 910GSTJAMSP","Exeter"
35210,4,50.7257,-3.47059,110,"900GNX002099","Exeter"
35210,5,50.7257,-3.47059,110,"900GNX002099","Exeter"
47111,0,50.73105,-3.41662,920,"    9200EXT1","Exeter"
47111,5,50.73105,-3.41662,920,"    9200EXT1","Exeter"
50640,5,50.72926,-3.54331,910," 910GEXETRSD","Exeter"
50640,2,50.72926,-3.54331,910," 910GEXETRSD","Exeter"
50643,2,50.71714,-3.53886,910," 910GEXETRST","Exeter"
50643,5,50.71714,-3.53886,910," 910GEXETRST","Exeter"
50958,2,50.73777,-3.46935,910,"  910GPINHOE","Exeter"
50958,5,50.73777,-3.46935,910,"  910GPINHOE","Exeter"
53256,5,50.72892,-3.55357,110,"1100DEA08969","Exeter"
53257,5,50.72838,-3.55361,110,"1100DEA08968","Exeter"
53258,5,50.71642,-3.55973,110,"1100DEA08962","Exeter"
53260,5,50.70085,-3.53398,110,"1100DEA08960","Exeter"
53261,5,50.72586,-3.56041,110,"1100DEA08967","Exeter"
53263,5,50.71901,-3.55509,110,"1100DEA08965","Exeter"
53264,5,50.71679,-3.55544,110,"1100DEA08964","Exeter"
54112,5,50.71126,-3.55786,110,"1100DEA05905","Exeter"
54113,5,50.80841,-3.52651,110,"1100DEA05908","Exeter"
54206,5,50.73461,-3.51069,110,"1100DEC10216","Exeter"
