"node","layer","lat","lon","zone","atcocode","city"
10275,2,50.85302,-1.19204,190," 910GFAREHAM","Fareham"
10275,5,50.85302,-1.19204,190," 910GFAREHAM","Fareham"
24513,4,50.85177,-1.17936,190,"      190G27","Fareham"
24513,5,50.85177,-1.17936,190,"      190G27","Fareham"
38356,2,50.87566,-1.26586,190," 910GSWNWICK","Fareham"
38356,5,50.87566,-1.26586,190," 910GSWNWICK","Fareham"
49216,2,50.84874,-1.12424,190," 910GPCHESTR","Fareham"
49216,5,50.84874,-1.12424,190," 910GPCHESTR","Fareham"
51996,5,50.8506,-1.15729,190,"1900HAA09345","Fareham"
55489,5,50.85998,-1.17802,190,"1900HA040263","Fareham"
55493,5,50.8595,-1.17777,190,"1900HA040262","Fareham"
55513,5,50.88237,-1.18144,190,"1900HA040269","Fareham"
57810,5,50.85569,-1.18377,190,"1900HA040238","Fareham"
57812,5,50.85978,-1.19337,190,"1900HA040230","Fareham"
57813,5,50.8589,-1.18894,190,"1900HA040231","Fareham"
57814,5,50.85889,-1.18841,190,"1900HA040232","Fareham"
57815,5,50.85894,-1.18568,190,"1900HA040233","Fareham"
57816,5,50.85904,-1.1853,190,"1900HA040234","Fareham"
57817,5,50.85806,-1.18465,190,"1900HA040235","Fareham"
57818,5,50.85787,-1.18449,190,"1900HA040236","Fareham"
57819,5,50.85602,-1.18406,190,"1900HA040237","Fareham"
59229,5,50.86184,-1.29323,190,"1900HA040052","Fareham"
59509,5,50.83405,-1.18759,190,"1900HA040344","Fareham"
59510,5,50.83466,-1.18743,190,"1900HA040345","Fareham"
59511,5,50.83688,-1.18668,190,"1900HA040346","Fareham"
59512,5,50.83707,-1.18652,190,"1900HA040347","Fareham"
59513,5,50.82608,-1.19218,190,"1900HA040341","Fareham"
59514,5,50.8291,-1.19024,190,"1900HA040342","Fareham"
59515,5,50.83976,-1.186,190,"1900HA040348","Fareham"
59516,5,50.84084,-1.18583,190,"1900HA040349","Fareham"
59605,5,50.818,-1.1727,190,"1900HA050060","Fareham"
60238,5,50.85525,-1.21219,190,"1900HA040182","Fareham"
60239,5,50.8558,-1.20833,190,"1900HA040183","Fareham"
60240,5,50.85626,-1.21515,190,"1900HA040180","Fareham"
60241,5,50.85518,-1.21244,190,"1900HA040181","Fareham"
60242,5,50.85559,-1.20298,190,"1900HA040186","Fareham"
60243,5,50.85574,-1.20813,190,"1900HA040184","Fareham"
60244,5,50.85564,-1.20297,190,"1900HA040185","Fareham"
60245,5,50.85539,-1.19835,190,"1900HA040188","Fareham"
60246,5,50.85527,-1.19794,190,"1900HA040189","Fareham"
62077,5,50.88415,-1.20331,190,"1900HAA13483","Fareham"
65277,5,50.8409,-1.18201,190,"1900HA040396","Fareham"
68213,5,50.84928,-1.25633,190,"1900HA040089","Fareham"
68214,5,50.84935,-1.2563,190,"1900HA040088","Fareham"
68217,5,50.85322,-1.2643,190,"1900HA040082","Fareham"
68218,5,50.85637,-1.26066,190,"1900HA040081","Fareham"
68219,5,50.85736,-1.25938,190,"1900HA040080","Fareham"
68220,5,50.85064,-1.26054,190,"1900HA040087","Fareham"
68221,5,50.85076,-1.26073,190,"1900HA040086","Fareham"
68222,5,50.85148,-1.26447,190,"1900HA040085","Fareham"
69434,5,50.87006,-1.25666,190,"1900HA040156","Fareham"
70554,5,50.85598,-1.21615,190,"1900HAA13471","Fareham"
71604,5,50.86731,-1.28894,190,"1900HA040056","Fareham"
71607,5,50.85868,-1.29657,190,"1900HA040050","Fareham"
71616,5,50.86475,-1.29109,190,"1900HA040053","Fareham"
72370,5,50.85226,-1.16557,190,"1900HA040406","Fareham"
72392,5,50.84943,-1.1786,190,"1900HA040402","Fareham"
72429,5,50.85063,-1.15377,190,"1900HA040409","Fareham"
72884,5,50.80859,-1.21191,190,"1900HA050117","Fareham"
73649,5,50.84887,-1.25048,190,"1900HAA13451","Fareham"
73650,5,50.84884,-1.25038,190,"1900HAA13450","Fareham"
73981,5,50.93483,-1.19674,190,"1900HA110670","Fareham"
73982,5,50.93528,-1.19907,190,"1900HA110671","Fareham"
76479,5,50.8226,-1.21884,190,"1900HA040305","Fareham"
76480,5,50.82247,-1.21906,190,"1900HA040306","Fareham"
76700,5,50.86028,-1.21423,190,"1900HAA09282","Fareham"
77062,5,50.85224,-1.17536,190,"1900HA040252","Fareham"
77063,5,50.85231,-1.17267,190,"1900HA040253","Fareham"
77064,5,50.85696,-1.17584,190,"1900HA040256","Fareham"
77065,5,50.8584,-1.17684,190,"1900HA040257","Fareham"
77066,5,50.85344,-1.1737,190,"1900HA040254","Fareham"
77067,5,50.8538,-1.17377,190,"1900HA040255","Fareham"
77068,5,50.85987,-1.17917,190,"1900HA040258","Fareham"
77069,5,50.86038,-1.18043,190,"1900HA040259","Fareham"
77867,5,50.84828,-1.24995,190,"1900HA040090","Fareham"
77868,5,50.84824,-1.24942,190,"1900HA040091","Fareham"
77869,5,50.8483,-1.24675,190,"1900HA040092","Fareham"
77870,5,50.84835,-1.24613,190,"1900HA040093","Fareham"
77871,5,50.848,-1.24254,190,"1900HA040094","Fareham"
77872,5,50.84804,-1.24254,190,"1900HA040095","Fareham"
80304,5,50.87766,-1.24177,190,"1900HAA13468","Fareham"
80305,5,50.87708,-1.24687,190,"1900HAA13469","Fareham"
80308,5,50.88133,-1.24441,190,"1900HAA13462","Fareham"
80309,5,50.88425,-1.24465,190,"1900HAA13463","Fareham"
80310,5,50.88651,-1.26098,190,"1900HAA13460","Fareham"
80311,5,50.88478,-1.25877,190,"1900HAA13461","Fareham"
80312,5,50.88037,-1.24301,190,"1900HAA13466","Fareham"
80313,5,50.87888,-1.23991,190,"1900HAA13467","Fareham"
80314,5,50.88664,-1.24547,190,"1900HAA13464","Fareham"
82683,5,50.81657,-1.18002,190,"1900HA050026","Fareham"
82698,5,50.8196,-1.18661,190,"1900HA050029","Fareham"
82834,5,50.86258,-1.27075,190,"1900HA040024","Fareham"
86187,5,50.86369,-1.27053,190,"1900HAA13470","Fareham"
86355,5,50.84997,-1.14957,190,"1900HA040411","Fareham"
86357,5,50.84991,-1.15034,190,"1900HA040412","Fareham"
86631,5,50.86606,-1.20838,190,"1900HAA09377","Fareham"
86759,5,50.86579,-1.18252,190,"1900HA040267","Fareham"
86760,5,50.86579,-1.18285,190,"1900HA040266","Fareham"
86761,5,50.86267,-1.18021,190,"1900HA040265","Fareham"
86762,5,50.86233,-1.17991,190,"1900HA040264","Fareham"
86764,5,50.86272,-1.18332,190,"1900HA040261","Fareham"
86765,5,50.86197,-1.18268,190,"1900HA040260","Fareham"
88564,5,50.8385,-1.18061,190,"1900HA040393","Fareham"
88565,5,50.82787,-1.21347,190,"1900HA040392","Fareham"
88566,5,50.82915,-1.21317,190,"1900HA040391","Fareham"
88567,5,50.83233,-1.21289,190,"1900HA040390","Fareham"
88568,5,50.84329,-1.18431,190,"1900HA040397","Fareham"
88569,5,50.84068,-1.18178,190,"1900HA040395","Fareham"
88570,5,50.83864,-1.18097,190,"1900HA040394","Fareham"
88571,5,50.84623,-1.1823,190,"1900HA040399","Fareham"
88572,5,50.84337,-1.1833,190,"1900HA040398","Fareham"
89182,5,50.86226,-1.26496,190,"1900HAA09013","Fareham"
89259,5,50.85297,-1.24852,190,"1900HA040159","Fareham"
89260,5,50.85259,-1.24877,190,"1900HA040158","Fareham"
89261,5,50.8703,-1.26165,190,"1900HA040151","Fareham"
89262,5,50.87028,-1.26153,190,"1900HA040150","Fareham"
89263,5,50.87238,-1.25981,190,"1900HA040153","Fareham"
89264,5,50.87243,-1.26024,190,"1900HA040152","Fareham"
89265,5,50.87157,-1.25888,190,"1900HA040155","Fareham"
89266,5,50.87138,-1.259,190,"1900HA040154","Fareham"
89267,5,50.86977,-1.25631,190,"1900HA040157","Fareham"
89922,5,50.88525,-1.26357,190,"1900HAA13459","Fareham"
89923,5,50.88163,-1.25813,190,"1900HAA13458","Fareham"
89924,5,50.85392,-1.23061,190,"1900HAA13457","Fareham"
89925,5,50.85501,-1.23048,190,"1900HAA13456","Fareham"
89927,5,50.8531,-1.18354,190,"1900HAA13454","Fareham"
90807,5,50.84968,-1.11115,199,"1990PH040462","Fareham"
92645,5,50.85502,-1.24529,190,"1900HA040114","Fareham"
92662,5,50.86141,-1.25488,190,"1900HA040119","Fareham"
92663,5,50.86114,-1.2545,190,"1900HA040118","Fareham"
94117,5,50.85374,-1.10254,199,"1990PH130065","Fareham"
94174,5,50.82065,-1.17281,190,"1900HA050056","Fareham"
95384,5,50.90309,-1.19348,190,"1900HA110592","Fareham"
95385,5,50.90293,-1.19311,190,"1900HA110591","Fareham"
95386,5,50.92185,-1.20008,190,"1900HA110597","Fareham"
95395,5,50.9122,-1.2003,190,"1900HA110594","Fareham"
95407,5,50.89624,-1.18458,190,"1900HA110779","Fareham"
96531,5,50.85246,-1.1958,190,"1900HA040274","Fareham"
