"node","layer","lat","lon","zone","atcocode","city"
113,5,51.31931,-0.69705,400,"400G4403187A","Farnborough"
566,4,51.29054,-0.75423,190,"900GNX000522","Farnborough"
566,5,51.29054,-0.75423,190,"900GNX000522","Farnborough"
633,5,51.30371,-0.72231,400,"400G4403132A","Farnborough"
1966,5,51.30465,-0.65734,400,"400G4407156B","Farnborough"
2386,5,51.3389,-0.71912,400,"400G4403094B","Farnborough"
3861,5,51.33295,-0.75843,400,"400G4403109A","Farnborough"
4205,5,51.34473,-0.72714,400,"400G4403062A","Farnborough"
4215,5,51.3419,-0.70308,400,"400G4403032A","Farnborough"
4908,5,51.31309,-0.7008,400,"400G4403128B","Farnborough"
5431,5,51.34109,-0.77767,38,"038G00119000","Farnborough"
5554,5,51.32262,-0.72,400,"400G4403083B","Farnborough"
6300,5,51.34205,-0.73765,400,"400G4403064B","Farnborough"
8005,5,51.33629,-0.73197,400,"400G4403097A","Farnborough"
8098,5,51.28869,-0.72678,400,"400G4403137A","Farnborough"
8214,5,51.35019,-0.78256,38,"038G00088000","Farnborough"
8790,5,51.34562,-0.77625,38,"038G00097000","Farnborough"
8837,5,51.31107,-0.73506,400,"400G4403123A","Farnborough"
8962,5,51.34129,-0.74447,400,"400G4403072A","Farnborough"
9230,5,51.29688,-0.68226,400,"400G4407805A","Farnborough"
9254,5,51.33479,-0.70123,400,"400G4403912A","Farnborough"
9501,5,51.3334,-0.70757,400,"400G4403088A","Farnborough"
9926,5,51.33551,-0.76277,400,"400G4403104A","Farnborough"
10141,5,51.34353,-0.68251,400,"400G4403207A","Farnborough"
10786,5,51.35138,-0.7741,38,"038G00012000","Farnborough"
11355,5,51.33175,-0.72331,400,"400G4403080B","Farnborough"
11366,5,51.32092,-0.75213,400,"400G4403117B","Farnborough"
12077,5,51.34666,-0.72053,400,"400G4403061C","Farnborough"
12571,5,51.33193,-0.70311,400,"400G4403923A","Farnborough"
12902,5,51.34478,-0.67027,400,"400G4403908A","Farnborough"
13272,5,51.35234,-0.77958,38,"038G00145000","Farnborough"
